,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,11.22,11.365,11.28,11.2,10.6905,241171
1,2021-06-11,11.32,11.32,11.09,11.07,10.5104,212388
2,2021-06-14,11.15,11.23,11.07,11.04,10.4914,405868
3,2021-06-15,11.11,11.11,11.05,11.025,10.4725,258404
4,2021-06-16,11.05,11.1,11.01,10.93,10.4346,277601
5,2021-06-17,11.0,11.04,10.89,10.86,10.3208,271196
6,2021-06-18,10.86,10.9,10.79,10.76,10.2261,508359
7,2021-06-21,10.6,10.65,10.61,10.5,10.2648,319507
8,2021-06-22,10.58,10.65,10.61,10.52,10.2648,156891
9,2021-06-23,10.64,10.73,10.7,10.625,10.3518,144177
10,2021-06-24,10.7,10.815,10.78,10.7,10.4292,163312
11,2021-06-25,10.75,10.86,10.81,10.75,10.4583,212861
12,2021-06-28,10.79,10.81,10.75,10.71,10.4002,205212
13,2021-06-29,10.73,10.74,10.67,10.66,10.3228,182033
14,2021-06-30,10.65,10.785,10.66,10.63,10.3131,648976
15,2021-07-01,10.75,10.79,10.65,10.58,10.3035,146001
16,2021-07-02,10.7,10.7,10.64,10.6,10.2938,128021
17,2021-07-06,10.66,10.66,10.41,10.36,10.0713,269158
18,2021-07-07,10.43,10.46,10.3,10.29,9.9649,218456
19,2021-07-08,10.24,10.24,10.14,10.13,9.8101,270314
20,2021-07-09,10.21,10.3,10.28,10.17,9.9455,203124
21,2021-07-12,10.26,10.3,10.25,10.23,9.9165,151248
22,2021-07-13,10.25,10.29,10.22,10.21,9.8875,145072
23,2021-07-14,10.29,10.74,10.61,10.26,10.2648,578417
24,2021-07-15,10.53,10.58,10.48,10.4,10.139,227923
25,2021-07-16,10.5,10.508,10.39,10.38,10.0519,103243
26,2021-07-19,10.24,10.24,9.86,9.84,9.5392,441285
27,2021-07-20,9.92,10.07,10.04,9.89,9.7133,196365
28,2021-07-21,10.275,10.65,10.43,10.19,10.0906,311195
29,2021-07-22,10.46,10.5,10.47,10.37,10.1293,119234
30,2021-07-23,10.42,10.46,10.42,10.37,10.081,118907
31,2021-07-26,10.31,10.42,10.32,10.27,9.9842,250439
32,2021-07-27,10.25,10.3,10.13,10.04,9.8004,227607
33,2021-07-28,10.15,10.24,10.23,10.115,9.8971,127193
34,2021-07-29,10.24,10.35,10.29,10.24,9.9552,138915
35,2021-07-30,10.26,10.27,10.2,10.15,9.8681,78406
36,2021-08-02,10.26,10.3,10.11,10.11,9.781,157504
37,2021-08-03,10.1,10.1,10.04,9.935,9.7133,244207
38,2021-08-04,10.03,10.1585,9.97,9.97,9.6456,189082
39,2021-08-05,9.95,9.96,9.81,9.8,9.4908,241391
40,2021-08-06,9.83,9.93,9.87,9.77,9.5489,171201
41,2021-08-09,9.81,9.945,9.85,9.79,9.5295,149282
42,2021-08-10,9.79,9.85,9.81,9.68,9.4908,392729
43,2021-08-11,9.82,9.85,9.84,9.7819,9.5198,112369
44,2021-08-12,9.83,9.85,9.82,9.71,9.5005,167038
45,2021-08-13,9.79,9.905,9.89,9.79,9.5682,145224
46,2021-08-16,9.84,9.84,9.72,9.71,9.4037,252824
47,2021-08-17,9.68,9.75,9.72,9.64,9.4037,289766
48,2021-08-18,9.73,9.86,9.75,9.7,9.4328,217902
49,2021-08-19,9.67,9.67,9.09,9.07,8.7942,746827
50,2021-08-20,8.98,9.14,9.01,8.91,8.7168,369704
51,2021-08-23,9.15,9.615,9.53,9.1362,9.2199,448485
52,2021-08-24,9.57,9.71,9.64,9.55,9.3263,254655
53,2021-08-25,9.5,9.56,9.04,8.84,8.7459,1853516
54,2021-08-26,8.97,8.97,8.89,8.88,8.6007,325411
55,2021-08-27,8.93,9.26,9.24,8.91,8.9393,300537
56,2021-08-30,9.27,9.49,9.45,9.26,9.1425,287100
57,2021-08-31,9.43,9.6,9.56,9.42,9.2489,247100
58,2021-09-01,9.5,9.51,9.39,9.38,9.0845,380500
59,2021-09-02,9.35,9.37,9.22,9.22,8.92,503500
60,2021-09-03,8.87,8.95,8.78,8.77,8.78,1126400
61,2021-09-07,8.71,8.71,8.66,8.62,8.66,653939
