,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,56.36,56.64,56.64,56.32,56.3777,670559
1,2021-06-11,56.67,56.68,56.64,56.59,56.3777,107731
2,2021-06-14,56.57,56.59,56.48,56.43,56.2185,211458
3,2021-06-15,56.42,56.5179,56.49,56.41,56.2284,268406
4,2021-06-16,56.56,56.635,56.35,56.21,56.0891,181289
5,2021-06-17,56.48,56.815,56.61,56.48,56.3479,159845
6,2021-06-18,56.72,56.95,56.85,56.67,56.5868,154564
7,2021-06-21,56.68,56.7,56.61,56.5601,56.3479,94744
8,2021-06-22,56.44,56.68,56.67,56.4,56.4076,116319
9,2021-06-23,56.6,56.68,56.61,56.56,56.3479,103502
10,2021-06-24,56.66,56.695,56.66,56.61,56.3976,27922
11,2021-06-25,56.68,56.68,56.53,56.4354,56.2682,59440
12,2021-06-28,56.64,56.78,56.75,56.64,56.4872,47762
13,2021-06-29,56.65,56.8,56.78,56.65,56.5171,27562
14,2021-06-30,56.86,56.94,56.85,56.83,56.5868,129202
15,2021-07-01,56.75,56.79,56.74,56.65,56.5676,125554
16,2021-07-02,56.76,56.87,56.85,56.7,56.6773,61673
17,2021-07-06,56.93,57.16,57.04,56.93,56.8667,109480
18,2021-07-07,57.13,57.28,57.205,57.1,57.0312,89205
19,2021-07-08,57.24,57.339,57.25,57.19,57.0761,90317
20,2021-07-09,57.02,57.0595,57.02,57.01,56.8468,77709
21,2021-07-12,57.07,57.1,57.0,56.96,56.8268,44117
22,2021-07-13,57.0,57.09,56.8,56.75,56.6274,80449
23,2021-07-14,56.94,57.04,57.03,56.94,56.8568,87646
24,2021-07-15,57.185,57.2,57.17,57.0072,56.9963,153999
25,2021-07-16,57.01,57.17,57.14,57.01,56.9664,838112
26,2021-07-19,57.36,57.5198,57.48,57.35,57.3054,119639
27,2021-07-20,57.65,57.675,57.33,57.32,57.1558,162658
28,2021-07-21,57.16,57.249,57.17,57.12,56.9963,75155
29,2021-07-22,57.21,57.41,57.37,57.2,57.1957,67048
30,2021-07-23,57.2,57.35,57.35,57.2,57.1758,53115
31,2021-07-26,57.4,57.4,57.24,57.23,57.0661,41925
32,2021-07-27,57.38,57.46,57.45,57.34,57.2755,41197
33,2021-07-28,57.29,57.57,57.53,57.29,57.3552,296281
34,2021-07-29,57.37,57.42,57.42,57.331,57.2456,51610
35,2021-07-30,57.39,57.49,57.46,57.39,57.2854,54495
36,2021-08-02,57.37,57.6072,57.48,57.37,57.3932,53963
37,2021-08-03,57.5,57.59,57.54,57.49,57.4531,38622
38,2021-08-04,57.64,57.7,57.57,57.36,57.483,99125
39,2021-08-05,57.5,57.5,57.39,57.36,57.3033,53303
40,2021-08-06,57.11,57.145,56.97,56.97,56.8839,118472
41,2021-08-09,56.99,57.02,56.82,56.78,56.7342,128673
42,2021-08-10,56.84,56.85,56.69,56.67,56.6044,70626
43,2021-08-11,56.68,56.86,56.77,56.61,56.6842,180781
44,2021-08-12,56.76,56.81,56.8,56.69,56.7142,31447
45,2021-08-13,56.9,57.09,57.09,56.9,57.0038,72837
46,2021-08-16,57.24,57.31,57.15,57.13,57.0637,60818
47,2021-08-17,57.08,57.1399,57.07,57.03,56.9838,88922
48,2021-08-18,57.05,57.09,57.05,56.96,56.9638,111324
49,2021-08-19,57.22,57.22,57.17,57.05,57.0836,79313
50,2021-08-20,57.14,57.23,57.2,57.13,57.1136,29376
51,2021-08-23,57.19,57.25,57.205,57.171,57.1186,47347
52,2021-08-24,57.16,57.1677,57.1,57.07,57.0137,42751
53,2021-08-25,57.1,57.1,56.96,56.9,56.8739,99888
54,2021-08-26,56.99,56.99,56.95,56.89,56.864,87932
55,2021-08-27,56.98,57.24,57.22,56.92,57.1336,59675
56,2021-08-30,57.14,57.29,57.28,57.14,57.1939,34900
57,2021-08-31,57.24,57.34,57.19,57.15,57.104,81200
58,2021-09-01,57.17,57.18,57.12,57.02,57.12,61800
59,2021-09-02,57.17,57.19,57.18,57.12,57.18,44917
60,2021-09-03,57.04,57.08,57.03,57.01,57.03,52852
61,2021-09-07,56.89,56.89,56.8,56.73,56.8,72923
