Date,Open,High,Low,Close,AdjustedClose,Volume
2019-10-10,25.19,25.5,25.17,25.1812,25.1812,341210
2019-10-11,25.5799,25.7573,25.5799,25.5895,25.5895,737543
2019-10-14,25.6897,25.74,25.64,25.69,25.69,774024
2019-10-15,25.94,26.03,25.81,25.9653,25.9653,35374
2019-10-16,25.9026,25.92,25.751,25.8528,25.8528,46105
2019-10-17,26.01,26.01,25.84,25.9184,25.9184,23309
2019-10-18,25.89,25.89,25.5506,25.722,25.722,22468
2019-10-21,25.79,25.91,25.73,25.8715,25.8715,38439
2019-10-22,25.94,25.94,25.6776,25.6776,25.6776,5167
2019-10-23,25.66,25.696,25.646,25.696,25.696,5550
2019-10-24,25.91,25.98,25.86,25.9661,25.9661,17462
2019-10-25,26.09,26.26,26.09,26.2567,26.2567,13975
2019-10-28,26.459,26.56,26.459,26.5274,26.5274,15548
2019-10-29,26.52,26.53,26.328,26.328,26.328,10070
2019-10-30,26.26,26.4368,26.21,26.4368,26.4368,10506
2019-10-31,26.39,26.45,26.32,26.4014,26.4014,24041
2019-11-01,26.65,26.65,26.52,26.64,26.64,37326
2019-11-04,26.8699,26.89,26.79,26.8579,26.8579,8175
2019-11-05,26.82,26.94,26.82,26.8907,26.8907,3659
2019-11-06,26.74,26.7893,26.7,26.7893,26.7893,6301
2019-11-07,26.9941,27.044,26.8688,26.8688,26.8688,4743
2019-11-08,27,27.0082,26.87,27.0082,27.0082,3622
2019-11-11,25.66,27.05,24.73,26.9981,26.9981,12202
2019-11-12,27.09,27.17,27.0248,27.0861,27.0861,15836
2019-11-13,27.02,27.18,26.98,27.0982,27.0982,15999
2019-11-14,26.89,27.099,26.89,27.0871,27.0871,11498
2019-11-15,27.33,27.33,27.2404,27.2862,27.2862,3643
2019-11-18,27.29,27.41,27.22,27.3703,27.3703,24721
2019-11-19,27.5,27.5,27.395,27.4306,27.4306,9623
2019-11-20,27.39,27.399,27.15,27.2038,27.2038,21907
2019-11-21,27.12,27.22,27.12,27.19,27.19,4524
2019-11-22,27.14,27.26,27.11,27.1542,27.1542,8958
2019-11-25,28.5,28.5,27.45,27.5483,27.5483,30070
2019-11-26,27.64,27.66,27.56,27.6468,27.6468,13232
2019-11-27,27.71,27.83,27.71,27.7994,27.7994,25420
2019-11-29,27.73,27.74,27.72,27.7255,27.7255,1106
2019-12-02,27.62,27.62,27.21,27.3641,27.3641,26843
2019-12-03,26.93,27.1015,26.85,27.1015,27.1015,19352
