,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,3.87,4.07,4.07,3.7595,4.07,5800
1,2021-06-11,4.05,4.05,4.0,4.0,4.0,5100
2,2021-06-14,10.625,10.975,10.875,10.625,10.875,2840
3,2021-06-15,10.975,10.975,10.625,10.625,10.625,1680
4,2021-06-16,9.85,10.95,10.725,9.85,10.725,2449
5,2021-06-17,10.0,10.925,10.85,9.25,10.85,3128
6,2021-06-18,10.5,10.5,10.0,10.0,10.0,1889
7,2021-06-21,7.7,9.0,8.3,7.7,8.3,13667
8,2021-06-22,8.175,8.175,8.15,8.0,8.15,10747
9,2021-06-23,8.0,8.0,7.0,7.0,7.0,9896
10,2021-06-24,7.0,7.5,7.25,7.0,7.25,5878
11,2021-06-25,7.5,7.6,7.5,7.25,7.5,12300
12,2021-06-28,7.5,7.5,7.3,7.3,7.3,1500
13,2021-06-29,7.45,7.45,6.35,5.6,6.35,20100
14,2021-06-30,4.51,5.0,4.5,4.45,4.5,792000
15,2021-07-01,4.55,5.37,4.85,4.55,4.85,548600
16,2021-07-02,4.85,5.1,4.92,4.8379,4.92,364200
17,2021-07-06,5.0,5.86,4.84,4.7301,4.84,186500
18,2021-07-07,5.23,5.49,4.91,4.91,4.91,209500
19,2021-07-08,5.1,5.1,4.96,4.5119,4.96,78900
20,2021-07-09,5.16,5.6799,5.1,4.66,5.1,477600
21,2021-07-12,5.0,5.49,5.22,4.9501,5.22,457200
22,2021-07-13,5.07,5.25,4.86,4.6924,4.86,334300
23,2021-07-14,4.9,5.54,4.96,4.739,4.96,605300
24,2021-07-15,4.95,5.22,5.0,4.51,5.0,274100
25,2021-07-16,5.05,5.22,4.84,4.83,4.84,261900
26,2021-07-19,4.75,5.0898,4.98,4.66,4.98,115300
27,2021-07-20,5.05,5.39,5.12,4.9529,5.12,443400
28,2021-07-21,4.95,5.04,4.92,4.7,4.92,184800
29,2021-07-22,4.99,4.99,4.5801,4.52,4.5801,110600
30,2021-07-23,4.62,4.63,4.27,4.04,4.27,225300
31,2021-07-26,4.27,4.6,4.39,4.1964,4.39,58600
32,2021-07-27,4.26,4.69,4.4479,4.15,4.4479,102600
33,2021-07-28,4.3308,4.42,4.2754,4.2201,4.2754,12900
34,2021-07-29,4.26,4.58,4.41,4.26,4.41,21100
35,2021-07-30,4.7,4.7,4.41,4.3,4.41,68800
36,2021-08-02,4.31,4.49,4.44,4.31,4.44,20600
37,2021-08-03,4.43,4.55,4.55,4.22,4.55,32500
38,2021-08-04,4.5,4.5504,4.37,4.3,4.37,54700
39,2021-08-05,4.45,4.45,4.3,4.1,4.3,26800
40,2021-08-06,4.25,4.45,4.35,4.25,4.35,19400
41,2021-08-09,4.31,4.57,4.35,4.28,4.35,22500
42,2021-08-10,4.4,4.427,4.34,4.1237,4.34,9100
43,2021-08-11,4.2796,4.3999,4.38,4.22,4.38,22000
44,2021-08-12,4.245,4.3004,4.14,4.07,4.14,57300
45,2021-08-13,4.4,4.4,4.37,4.1,4.37,35300
46,2021-08-16,4.34,4.34,4.09,3.82,4.09,60300
47,2021-08-17,4.25,4.25,4.12,3.953,4.12,66300
48,2021-08-18,4.15,4.1876,4.1,3.84,4.1,32800
49,2021-08-19,4.0,4.09,4.08,3.9,4.08,12900
50,2021-08-20,3.9871,4.09,4.0,3.9,4.0,27200
51,2021-08-23,4.0427,4.08,4.08,3.9135,4.08,24800
52,2021-08-24,4.0,4.0699,3.9,3.9,3.9,28700
53,2021-08-25,3.9,4.04,3.85,3.705,3.85,58100
54,2021-08-26,3.7303,4.05,3.96,3.7303,3.96,25600
55,2021-08-27,3.87,4.06,4.02,3.81,4.02,35700
56,2021-08-30,4.22,4.22,4.0,3.84,4.0,53800
57,2021-08-31,4.0225,4.235,4.05,4.005,4.05,33000
58,2021-09-01,4.11,4.59,4.56,4.04,4.56,160100
59,2021-09-02,4.58,5.35,5.05,4.47,5.05,620500
60,2021-09-03,4.91,4.99,4.47,4.23,4.47,109500
61,2021-09-07,4.53,4.79,4.58,4.38,4.58,98602
