,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,31.916,31.916,31.916,31.916,31.5479,100
1,2021-06-11,31.922,31.922,31.922,31.922,31.5538,100
2,2021-06-14,31.89,31.941,31.941,31.89,31.5726,300
3,2021-06-15,32.0,32.012,32.012,32.0,31.6428,200
4,2021-06-16,32.1,32.11,31.834,31.834,31.4668,1000
5,2021-06-17,31.647,31.647,31.647,31.647,31.282,200
6,2021-06-18,31.159,31.16,31.057,31.057,30.6988,500
7,2021-06-21,31.13,31.459,31.447,31.13,31.0843,400
8,2021-06-22,31.44,31.48,31.48,31.44,31.1169,100
9,2021-06-23,31.28,31.29,31.211,31.211,30.851,700
10,2021-06-24,31.14,31.14,31.119,31.119,31.119,500
11,2021-06-25,31.18,31.213,31.213,31.18,31.213,500
12,2021-06-28,31.1179,31.1179,31.1067,31.1067,31.1067,218
13,2021-06-29,31.1407,31.1407,31.1407,31.1407,31.1407,143
14,2021-06-30,30.885,30.885,30.8807,30.8,30.8807,395
15,2021-07-01,30.825,30.91,30.91,30.825,30.91,200
16,2021-07-02,30.979,31.039,31.039,30.979,31.039,200
17,2021-07-06,30.882,30.882,30.882,30.882,30.882,0
18,2021-07-07,31.01,31.073,31.073,31.01,31.073,200
19,2021-07-08,30.688,30.688,30.688,30.688,30.688,100
20,2021-07-09,31.233,31.233,31.233,31.233,31.233,0
21,2021-07-12,31.3,31.409,31.409,31.3,31.409,875
22,2021-07-13,31.389,31.389,31.2641,31.2641,31.2641,226
23,2021-07-14,31.3984,31.3984,31.3984,31.3984,31.3984,10
24,2021-07-15,31.119,31.12,31.1115,31.1115,31.1115,286
25,2021-07-16,30.892,30.892,30.892,30.892,30.892,100
26,2021-07-19,30.499,30.499,30.492,30.366,30.492,300
27,2021-07-20,30.806,30.806,30.806,30.806,30.806,100
28,2021-07-21,31.149,31.149,31.149,31.149,31.149,100
29,2021-07-22,31.169,31.169,31.1268,31.1268,31.1268,102
30,2021-07-23,31.38,31.38,31.3687,31.3687,31.3687,416
31,2021-07-26,31.27,31.32,31.32,31.27,31.32,100
32,2021-07-27,31.2,31.202,31.202,31.14,31.202,300
33,2021-07-28,31.322,31.322,31.322,31.322,31.322,3
34,2021-07-29,31.539,31.539,31.539,31.539,31.539,100
35,2021-07-30,31.3623,31.3623,31.3623,31.3623,31.3623,35
36,2021-08-02,31.535,31.535,31.4643,31.4643,31.4643,553
37,2021-08-03,31.6602,31.6602,31.6602,31.6602,31.6602,73
38,2021-08-04,31.65,31.65,31.567,31.567,31.567,100
39,2021-08-05,31.753,31.753,31.753,31.753,31.753,100
40,2021-08-06,31.554,31.554,31.554,31.554,31.554,100
41,2021-08-09,31.563,31.563,31.563,31.563,31.563,200
42,2021-08-10,31.54,31.594,31.594,31.54,31.594,900
43,2021-08-11,31.8,31.8,31.8,31.8,31.8,100
44,2021-08-12,31.784,31.784,31.784,31.784,31.784,100
45,2021-08-13,31.978,31.978,31.978,31.978,31.978,100
46,2021-08-16,31.8,31.877,31.877,31.8,31.877,395
47,2021-08-17,31.6037,31.6457,31.6457,31.53,31.6457,376
48,2021-08-18,31.539,31.539,31.539,31.539,31.539,100
49,2021-08-19,31.3,31.324,31.324,31.28,31.324,900
50,2021-08-20,31.445,31.445,31.445,31.445,31.445,100
51,2021-08-23,31.707,31.707,31.707,31.707,31.707,400
52,2021-08-24,31.724,31.724,31.724,31.724,31.724,100
53,2021-08-25,31.685,31.685,31.666,31.666,31.666,300
54,2021-08-26,31.51,31.51,31.51,31.51,31.51,400
55,2021-08-27,31.777,31.777,31.777,31.777,31.777,100
56,2021-08-30,31.78,31.8271,31.8271,31.78,31.8271,352
57,2021-08-31,31.8051,31.8051,31.8051,31.8051,31.8051,126
58,2021-09-01,32.0851,32.0851,32.0851,32.0851,32.0851,78
59,2021-09-02,32.209,32.209,32.209,32.209,32.209,100
60,2021-09-03,32.422,32.422,32.422,32.422,32.422,100
61,2021-09-07,32.3949,32.3949,32.3949,32.3949,32.3949,52
