,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,25.539,25.5606,25.5606,25.53,25.4302,3394
1,2021-06-11,25.559,25.561,25.561,25.55,25.4306,1883
2,2021-06-14,25.529,25.529,25.51,25.51,25.3798,335
3,2021-06-15,25.505,25.52,25.52,25.503,25.3898,2918
4,2021-06-16,25.549,25.55,25.445,25.445,25.3151,1060
5,2021-06-17,25.471,25.484,25.4601,25.4601,25.3699,2307
6,2021-06-18,25.5,25.5198,25.5198,25.5,25.4294,674
7,2021-06-21,25.451,25.47,25.4575,25.451,25.3673,6197
8,2021-06-22,25.4806,25.4806,25.4806,25.4806,25.3903,90
9,2021-06-23,25.4786,25.4786,25.46,25.46,25.3698,1967
10,2021-06-24,25.49,25.49,25.4766,25.4766,25.3863,4271
11,2021-06-25,25.411,25.4339,25.4339,25.41,25.3438,2539
12,2021-06-28,25.491,25.4914,25.4908,25.481,25.4005,596
13,2021-06-29,25.52,25.52,25.5054,25.5054,25.415,683
14,2021-06-30,25.56,25.56,25.5361,25.53,25.4456,2684
15,2021-07-01,25.49,25.52,25.52,25.49,25.4296,3274
16,2021-07-02,25.56,25.5699,25.5699,25.5407,25.4793,4638
17,2021-07-06,25.6242,25.6352,25.6352,25.62,25.5443,5758
18,2021-07-07,25.69,25.7,25.7,25.69,25.6089,6077
19,2021-07-08,25.707,25.72,25.72,25.707,25.6288,532
20,2021-07-09,25.66,25.66,25.6385,25.63,25.5476,3720
21,2021-07-12,25.6113,25.63,25.6201,25.6113,25.5293,1755
22,2021-07-13,25.621,25.65,25.56,25.56,25.4694,2328
23,2021-07-14,25.64,25.6495,25.6495,25.6324,25.5586,503
24,2021-07-15,25.66,25.6993,25.6993,25.66,25.6082,5548
25,2021-07-16,25.67,25.69,25.68,25.67,25.589,3982
26,2021-07-19,25.8189,25.8189,25.8059,25.8011,25.7144,525
27,2021-07-20,25.7716,25.7771,25.7771,25.7716,25.6857,331
28,2021-07-21,25.7,25.7,25.6915,25.69,25.6005,1578
29,2021-07-22,25.7,25.7227,25.72,25.7,25.6686,1757
30,2021-07-23,25.68,25.6968,25.6968,25.68,25.6455,1956
31,2021-07-26,25.6802,25.691,25.6741,25.6741,25.6228,3026
32,2021-07-27,25.72,25.74,25.74,25.72,25.6886,1808
33,2021-07-28,25.72,25.7523,25.7523,25.7,25.7008,1272
34,2021-07-29,25.73,25.73,25.7244,25.7244,25.673,127
35,2021-07-30,25.751,25.751,25.7455,25.7455,25.6941,270
36,2021-08-02,25.815,25.815,25.8099,25.8099,25.7583,285
37,2021-08-03,25.82,25.82,25.82,25.79,25.7684,14534
38,2021-08-04,25.8098,25.82,25.82,25.8098,25.7684,3642
39,2021-08-05,25.74,25.7621,25.7621,25.74,25.7106,412
40,2021-08-06,25.65,25.6513,25.6513,25.65,25.6,4412
41,2021-08-09,25.6168,25.62,25.6081,25.6081,25.5569,3031
42,2021-08-10,25.5799,25.5799,25.5799,25.5799,25.5288,41
43,2021-08-11,25.63,25.63,25.6,25.57,25.5488,6875
44,2021-08-12,25.5983,25.5983,25.5983,25.5983,25.5471,218
45,2021-08-13,25.6874,25.6874,25.6874,25.6874,25.6361,7
46,2021-08-16,25.711,25.711,25.706,25.706,25.6549,200
47,2021-08-17,25.69,25.7,25.687,25.68,25.636,34200
48,2021-08-18,25.63,25.68,25.662,25.63,25.611,2900
49,2021-08-19,25.665,25.67,25.665,25.65,25.665,18500
50,2021-08-20,25.651,25.66,25.66,25.64,25.66,19300
51,2021-08-23,25.67,25.79,25.679,25.67,25.679,45500
52,2021-08-24,25.66,25.77,25.65,25.64,25.65,484900
53,2021-08-25,25.615,25.64,25.601,25.6,25.601,48300
54,2021-08-26,25.6,25.61,25.61,25.588,25.61,7900
55,2021-08-27,25.64,25.67,25.67,25.64,25.67,8600
56,2021-08-30,25.685,25.707,25.707,25.685,25.707,700
57,2021-08-31,25.7,25.71,25.68,25.673,25.68,2400
58,2021-09-01,25.73,25.73,25.69,25.661,25.69,3700
59,2021-09-02,25.69,25.71,25.71,25.67,25.71,1200
60,2021-09-03,25.651,25.68,25.67,25.65,25.67,2600
61,2021-09-07,25.61,25.61,25.6,25.5906,25.6,1108
