,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,3.06,3.08,2.88,2.83,2.88,558500
1,2021-06-11,2.9,2.98,2.94,2.88,2.94,207900
2,2021-06-14,2.95,2.965,2.85,2.845,2.85,341700
3,2021-06-15,2.86,2.87,2.72,2.69,2.72,653600
4,2021-06-16,2.71,3.25,2.93,2.71,2.93,7196900
5,2021-06-17,2.928,3.05,2.92,2.85,2.92,1203500
6,2021-06-18,2.87,2.91,2.89,2.8,2.89,474200
7,2021-06-21,2.86,2.9,2.71,2.67,2.71,884800
8,2021-06-22,2.7,2.88,2.87,2.7,2.87,393400
9,2021-06-23,2.84,2.95,2.92,2.84,2.92,241700
10,2021-06-24,2.9,3.03,3.0,2.9,3.0,353900
11,2021-06-25,2.927,3.0,3.0,2.915,3.0,259300
12,2021-06-28,3.0,3.18,3.1,2.96,3.1,942600
13,2021-06-29,3.09,3.095,3.02,2.98,3.02,294900
14,2021-06-30,3.06,3.08,2.97,2.94,2.97,179200
15,2021-07-01,2.96,3.0,2.82,2.82,2.82,577700
16,2021-07-02,2.89,2.89,2.72,2.7,2.72,485600
17,2021-07-06,2.7,2.8,2.71,2.65,2.71,1172700
18,2021-07-07,2.7,2.72,2.62,2.55,2.62,471800
19,2021-07-08,2.56,2.69,2.66,2.55,2.66,340500
20,2021-07-09,2.66,2.75,2.72,2.643,2.72,168700
21,2021-07-12,2.75,2.84,2.8,2.68,2.8,1581000
22,2021-07-13,2.79,2.79,2.69,2.66,2.69,204000
23,2021-07-14,2.64,2.69,2.62,2.62,2.62,169900
24,2021-07-15,2.63,2.655,2.64,2.58,2.64,222700
25,2021-07-16,2.64,2.66,2.61,2.59,2.61,136100
26,2021-07-19,2.55,2.6,2.46,2.36,2.46,1114800
27,2021-07-20,2.45,2.53,2.49,2.38,2.49,406100
28,2021-07-21,2.53,2.58,2.46,2.43,2.46,322400
29,2021-07-22,2.49,2.49,2.39,2.38,2.39,356300
30,2021-07-23,2.39,2.47,2.38,2.33,2.38,708600
31,2021-07-26,2.39,2.44,2.38,2.36,2.38,81400
32,2021-07-27,2.39,2.4,2.31,2.265,2.31,387300
33,2021-07-28,2.34,2.42,2.36,2.29,2.36,514000
34,2021-07-29,2.36,2.465,2.41,2.35,2.41,218000
35,2021-07-30,2.41,2.46,2.35,2.34,2.35,112000
36,2021-08-02,2.35,2.478,2.44,2.35,2.44,169200
37,2021-08-03,2.47,2.47,2.415,2.397,2.415,165700
38,2021-08-04,2.39,2.45,2.37,2.355,2.37,169200
39,2021-08-05,2.38,2.44,2.4,2.38,2.4,118500
40,2021-08-06,2.4,2.44,2.4,2.37,2.4,152700
41,2021-08-09,2.45,2.47,2.44,2.37,2.44,191100
42,2021-08-10,2.45,2.45,2.4,2.4,2.4,146100
43,2021-08-11,2.38,2.426,2.42,2.38,2.42,130300
44,2021-08-12,2.42,2.42,2.38,2.34,2.38,214700
45,2021-08-13,2.37,2.39,2.35,2.33,2.35,272200
46,2021-08-16,2.37,2.37,2.29,2.27,2.29,886300
47,2021-08-17,2.29,2.29,2.17,2.13,2.17,889400
48,2021-08-18,2.18,2.2,2.16,2.13,2.16,350500
49,2021-08-19,2.13,2.18,2.03,2.0,2.03,452700
50,2021-08-20,2.0,2.12,2.12,1.99,2.12,269900
51,2021-08-23,2.15,2.24,2.19,2.13,2.19,245100
52,2021-08-24,2.22,2.29,2.25,2.18,2.25,194900
53,2021-08-25,2.27,2.33,2.29,2.2,2.29,170700
54,2021-08-26,2.28,2.37,2.25,2.24,2.25,141000
55,2021-08-27,2.25,2.37,2.27,2.25,2.27,182900
56,2021-08-30,2.27,2.67,2.44,2.27,2.44,1856400
57,2021-08-31,2.41,2.473,2.42,2.38,2.42,279400
58,2021-09-01,2.44,2.46,2.31,2.31,2.31,329600
59,2021-09-02,2.3,2.36,2.32,2.29,2.32,130400
60,2021-09-03,2.31,2.37,2.31,2.3,2.31,147500
61,2021-09-07,2.28,2.345,2.27,2.27,2.27,96414
