,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,30.86,31.375,30.59,30.2,30.59,130894
1,2021-06-11,30.89,32.41,31.14,30.35,31.14,89941
2,2021-06-14,31.35,32.16,31.7,31.2236,31.7,75104
3,2021-06-15,31.71,32.4,32.0,31.7,32.0,112315
4,2021-06-16,32.02,32.39,32.18,31.31,32.18,121252
5,2021-06-17,32.03,32.25,31.86,31.04,31.86,72153
6,2021-06-18,31.61,31.74,30.9,30.48,30.9,102881
7,2021-06-21,30.94,31.57,30.95,30.61,30.95,65608
8,2021-06-22,30.99,31.7699,31.19,29.97,31.19,60262
9,2021-06-23,31.42,32.39,32.16,31.24,32.16,50296
10,2021-06-24,32.2,33.77,33.3,32.16,33.3,102040
11,2021-06-25,33.15,34.92,34.35,33.03,34.35,163987
12,2021-06-28,34.22,34.705,33.21,32.9,33.21,45885
13,2021-06-29,33.14,33.3007,32.3,32.08,32.3,43284
14,2021-06-30,32.3,32.61,32.01,31.56,32.01,59308
15,2021-07-01,32.03,33.69,33.57,32.03,33.57,92399
16,2021-07-02,33.48,33.48,32.61,32.32,32.61,110716
17,2021-07-06,32.8,33.35,33.0,32.38,33.0,78147
18,2021-07-07,33.03,33.03,32.47,31.755,32.47,77022
19,2021-07-08,32.18,32.49,32.29,31.49,32.29,95836
20,2021-07-09,32.45,34.4,34.23,32.25,34.23,93063
21,2021-07-12,34.03,35.35,34.77,33.68,34.77,119444
22,2021-07-13,34.61,34.7,33.49,33.0347,33.49,81065
23,2021-07-14,33.54,33.63,33.25,32.27,33.25,82761
24,2021-07-15,32.93,33.76,31.55,30.29,31.55,71997
25,2021-07-16,31.97,32.2,31.17,31.03,31.17,69850
26,2021-07-19,30.5,31.39,30.45,30.0,30.45,69012
27,2021-07-20,30.95,32.1,30.19,30.0,30.19,169003
28,2021-07-21,30.46,30.52,29.35,29.19,29.35,89408
29,2021-07-22,29.46,29.54,26.28,26.0,26.28,282848
30,2021-07-23,26.41,26.65,25.9,25.29,25.9,199487
31,2021-07-26,25.91,25.91,25.12,24.92,25.12,99002
32,2021-07-27,30.66,34.49,25.61,23.28,25.61,4443822
33,2021-07-28,24.9,26.88,26.14,24.86,26.14,384722
34,2021-07-29,26.18,26.62,25.96,25.6063,25.96,160221
35,2021-07-30,25.93,26.76,26.0,25.6677,26.0,210526
36,2021-08-02,25.92,26.72,25.71,25.63,25.71,265618
37,2021-08-03,25.78,26.14,24.78,24.55,24.78,243810
38,2021-08-04,24.41,25.18,24.34,24.23,24.34,1145457
39,2021-08-05,24.5,25.9,24.71,24.2,24.71,1294951
40,2021-08-06,24.84,25.71,23.54,23.3,23.54,181132
41,2021-08-09,23.39,24.0,22.71,22.55,22.71,263890
42,2021-08-10,22.52,23.34,23.0,22.32,23.0,200411
43,2021-08-11,22.04,23.83,23.79,20.6,23.79,338620
44,2021-08-12,24.05,24.3,23.65,23.57,23.65,126704
45,2021-08-13,23.63,23.65,22.85,22.5342,22.85,165137
46,2021-08-16,22.85,22.85,21.86,21.65,21.86,123733
47,2021-08-17,21.72,23.92,23.82,21.36,23.82,162907
48,2021-08-18,23.88,24.35,23.63,23.09,23.63,125804
49,2021-08-19,23.4,23.5,22.6,22.27,22.6,194456
50,2021-08-20,22.39,23.18,22.43,22.05,22.43,311523
51,2021-08-23,22.5,24.7,24.3,22.49,24.3,180856
52,2021-08-24,24.35,24.78,24.57,23.285,24.57,108789
53,2021-08-25,24.36,24.75,23.88,23.71,23.88,216139
54,2021-08-26,23.81,24.88,23.67,23.265,23.67,123795
55,2021-08-27,23.72,24.88,24.19,23.72,24.19,107275
56,2021-08-30,24.2,24.68,23.74,23.71,23.74,100548
57,2021-08-31,23.75,24.27,23.91,23.58,23.91,118443
58,2021-09-01,23.88,24.05,24.04,23.28,24.04,113780
59,2021-09-02,24.15,25.005,24.67,23.98,24.67,128081
60,2021-09-03,24.75,24.9,24.4,23.91,24.4,96879
61,2021-09-07,24.35,25.7,25.28,24.2201,25.28,94021
