,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,0.97,0.99,0.93,0.92,0.93,979200
1,2021-06-11,0.92,1.06,0.99,0.92,0.99,2994900
2,2021-06-14,0.99,1.0,0.94,0.93,0.94,1543200
3,2021-06-15,0.94,0.96,0.92,0.91,0.92,946000
4,2021-06-16,0.91,0.93,0.92,0.88,0.92,1211800
5,2021-06-17,0.93,0.93,0.9,0.89,0.9,1041700
6,2021-06-18,0.89,0.9,0.87,0.86,0.87,994300
7,2021-06-21,0.88,0.89,0.89,0.85,0.89,972600
8,2021-06-22,0.89,0.89,0.87,0.85,0.87,685600
9,2021-06-23,0.87,0.88,0.87,0.86,0.87,749900
10,2021-06-24,0.86,0.92,0.92,0.86,0.92,1165100
11,2021-06-25,0.9,0.95,0.91,0.89,0.91,9807100
12,2021-06-28,0.94,0.98,0.96,0.93,0.96,1493100
13,2021-06-29,0.97,0.97,0.94,0.94,0.94,934700
14,2021-06-30,0.95,0.95,0.91,0.89,0.91,817000
15,2021-07-01,0.91,0.92,0.88,0.88,0.88,732800
16,2021-07-02,0.88,0.91,0.86,0.84,0.86,1426700
17,2021-07-06,0.85,0.86,0.84,0.84,0.84,1012500
18,2021-07-07,0.84,0.85,0.79,0.78,0.79,2853500
19,2021-07-08,0.79,0.81,0.8,0.77,0.8,967800
20,2021-07-09,0.81,0.87,0.84,0.8,0.84,1039500
21,2021-07-12,0.83,0.85,0.83,0.81,0.83,619500
22,2021-07-13,0.81,0.82,0.81,0.78,0.81,593000
23,2021-07-14,0.8,0.82,0.79,0.77,0.79,710600
24,2021-07-15,0.78,0.79,0.77,0.74,0.77,1039700
25,2021-07-16,0.78,0.78,0.74,0.74,0.74,702700
26,2021-07-19,0.75,0.76,0.74,0.74,0.74,901800
27,2021-07-20,0.76,0.79,0.77,0.74,0.77,645400
28,2021-07-21,0.76,0.81,0.79,0.76,0.79,456600
29,2021-07-22,0.78,0.79,0.78,0.77,0.78,285300
30,2021-07-23,0.79,0.79,0.75,0.75,0.75,626000
31,2021-07-26,0.77,0.78,0.73,0.73,0.73,616900
32,2021-07-27,0.73,0.74,0.72,0.71,0.72,604200
33,2021-07-28,0.72,0.73,0.73,0.71,0.73,308400
34,2021-07-29,0.75,0.76,0.74,0.72,0.74,935800
35,2021-07-30,0.73,0.73,0.73,0.72,0.73,342300
36,2021-08-02,0.72,0.74,0.74,0.72,0.74,517100
37,2021-08-03,0.74,0.75,0.74,0.72,0.74,345700
38,2021-08-04,0.72,0.73,0.71,0.7,0.71,365200
39,2021-08-05,0.71,0.72,0.71,0.7,0.71,730700
40,2021-08-06,0.71,0.74,0.71,0.7,0.71,960000
41,2021-08-09,0.72,0.73,0.71,0.7,0.71,418000
42,2021-08-10,0.71,0.73,0.7,0.7,0.7,488700
43,2021-08-11,0.7,0.71,0.67,0.67,0.67,1048700
44,2021-08-12,0.67,0.68,0.66,0.65,0.66,754200
45,2021-08-13,0.67,0.68,0.65,0.65,0.65,510900
46,2021-08-16,0.65,0.65,0.61,0.61,0.61,770600
47,2021-08-17,0.59,0.62,0.61,0.59,0.61,650900
48,2021-08-18,0.61,0.62,0.6,0.6,0.6,423900
49,2021-08-19,0.61,0.61,0.57,0.57,0.57,603300
50,2021-08-20,0.57,0.6,0.58,0.56,0.58,665600
51,2021-08-23,0.6,0.62,0.6,0.58,0.6,451600
52,2021-08-24,0.63,0.66,0.64,0.6,0.64,370700
53,2021-08-25,0.64,0.66,0.65,0.64,0.65,290400
54,2021-08-26,0.66,0.7,0.69,0.66,0.69,711400
55,2021-08-27,0.68,0.7,0.67,0.66,0.67,496700
56,2021-08-30,0.67,0.67,0.66,0.65,0.66,244500
57,2021-08-31,0.63,0.69,0.66,0.63,0.66,295800
58,2021-09-01,0.68,0.69,0.65,0.63,0.65,546900
59,2021-09-02,0.65,0.66,0.64,0.63,0.64,529800
60,2021-09-03,0.64,0.65,0.64,0.63,0.64,607700
61,2021-09-07,0.65,0.68,0.6594,0.6451,0.6594,938590
