,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.11,10.12,10.02,10.01,10.02,1291600
1,2021-06-11,10.05,10.05,10.02,10.01,10.02,738100
2,2021-06-14,10.1,10.1,10.02,10.02,10.02,621200
3,2021-06-15,10.04,10.04,9.99,9.935,9.99,1546700
4,2021-06-16,9.99,9.99,9.97,9.91,9.97,454800
5,2021-06-17,9.97,10.036,10.0,9.95,10.0,382100
6,2021-06-18,9.95,10.0,9.96,9.95,9.96,369400
7,2021-06-21,9.98,10.0,10.0,9.94,10.0,853700
8,2021-06-22,10.0,10.0,9.95,9.94,9.95,461800
9,2021-06-23,9.99,9.99,9.96,9.94,9.96,316400
10,2021-06-24,9.97,9.99,9.98,9.95,9.98,247700
11,2021-06-25,10.0,10.21,10.02,9.96,10.02,2158200
12,2021-06-28,10.1,10.12,10.0,9.98,10.0,585000
13,2021-06-29,10.02,10.03,9.97,9.95,9.97,448000
14,2021-06-30,10.0,10.01,9.98,9.98,9.98,356600
15,2021-07-01,10.0,10.01,10.0,9.99,10.0,339900
16,2021-07-02,10.05,10.05,10.0,9.98,10.0,310500
17,2021-07-06,10.0,10.01,10.0,9.98,10.0,331400
18,2021-07-07,10.03,10.03,9.96,9.94,9.96,568000
19,2021-07-08,9.93,9.99,9.98,9.93,9.98,695000
20,2021-07-09,9.95,9.988,9.95,9.94,9.95,233400
21,2021-07-12,9.99,9.99,9.98,9.95,9.98,374600
22,2021-07-13,10.0,10.0,9.94,9.94,9.94,261000
23,2021-07-14,9.96,9.96,9.94,9.93,9.94,432300
24,2021-07-15,9.95,9.95,9.94,9.93,9.94,598800
25,2021-07-16,9.95,9.96,9.95,9.93,9.95,392200
26,2021-07-19,9.95,9.97,9.96,9.95,9.96,2066400
27,2021-07-20,9.95,9.97,9.95,9.95,9.95,935800
28,2021-07-21,9.95,9.97,9.96,9.95,9.96,1041800
29,2021-07-22,9.96,9.97,9.97,9.96,9.97,579300
30,2021-07-23,9.96,9.97,9.97,9.96,9.97,1061000
31,2021-07-26,9.99,9.99,9.98,9.97,9.98,1875300
32,2021-07-27,9.96,9.98,9.95,9.95,9.95,5308900
33,2021-07-28,9.96,9.97,9.97,9.95,9.97,7613800
34,2021-07-29,9.97,9.98,9.98,9.96,9.98,9382200
35,2021-07-30,9.98,9.98,9.98,9.96,9.98,1700900
36,2021-08-02,9.9,9.93,9.9,9.61,9.9,1905500
37,2021-08-03,9.9,9.95,9.94,9.71,9.94,1057200
38,2021-08-04,9.8,9.94,9.31,9.26,9.31,1458000
39,2021-08-05,9.49,10.68,10.33,9.33,10.33,1999332
40,2021-08-06,10.22,10.57,9.59,9.53,9.59,1544701
41,2021-08-09,10.05,10.645,10.5,10.01,10.5,2551197
42,2021-08-10,10.2,10.34,10.03,10.02,10.03,1497593
43,2021-08-11,10.03,10.03,10.03,10.03,10.03,0
44,2021-08-12,10.03,10.03,10.03,10.03,10.03,0
