,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,160.22,160.22,159.4811,159.47,159.3844,1613
1,2021-06-11,158.63,160.9405,160.9405,158.63,160.8429,1828
2,2021-06-14,160.56,160.56,160.5353,160.4,160.4379,921
3,2021-06-15,159.0928,160.2093,160.2093,159.0928,160.1121,1019
4,2021-06-16,159.44,159.9664,159.937,159.0,159.84,1356
5,2021-06-17,159.44,159.44,159.1899,158.0489,159.0933,1768
6,2021-06-18,158.05,158.05,156.56,156.18,156.465,1100
7,2021-06-21,156.62,159.33,159.1764,156.62,159.1764,1464
8,2021-06-22,159.2653,159.97,159.97,159.2653,159.97,877
9,2021-06-23,160.08,161.38,160.8,160.08,160.8,1100
10,2021-06-24,161.83,163.22,163.0,161.79,163.0,2400
11,2021-06-25,163.62,164.1,163.06,163.06,163.06,1200
12,2021-06-28,163.98,163.98,163.3561,162.4977,163.3561,1400
13,2021-06-29,163.828,164.4999,163.5416,163.208,163.5416,1594
14,2021-06-30,163.1599,163.1599,162.821,162.7147,162.821,1502
15,2021-07-01,163.58,163.87,163.61,163.11,163.61,8400
16,2021-07-02,162.23,162.36,162.14,162.14,162.14,1200
17,2021-07-06,160.0,161.0078,161.0078,160.0,161.0078,873
18,2021-07-07,159.79,160.33,160.17,159.79,160.17,1300
19,2021-07-08,156.17,159.92,158.18,156.17,158.18,1000
20,2021-07-09,161.25,162.3,162.3,161.25,162.3,1600
21,2021-07-12,161.02,162.3365,162.331,161.02,162.331,2267
22,2021-07-13,159.9152,159.9969,159.0965,159.0965,159.0965,4260
23,2021-07-14,159.24,159.24,156.39,156.39,156.39,3700
24,2021-07-15,155.51,156.15,155.51,155.03,155.51,1100
25,2021-07-16,154.21,154.21,154.21,154.21,154.21,400
26,2021-07-19,151.61,154.3275,153.2978,151.61,153.2978,1028
27,2021-07-20,156.76,158.47,157.9764,156.76,157.9764,1051
28,2021-07-21,160.0,160.46,160.46,160.0,160.46,1000
29,2021-07-22,158.08,158.08,158.08,158.08,158.08,400
30,2021-07-23,159.23,159.23,159.23,159.23,159.23,200
31,2021-07-26,160.0,160.0,159.9,159.82,159.9,700
32,2021-07-27,157.51,158.34,158.34,157.11,158.34,800
33,2021-07-28,159.59,161.57,160.67,159.59,160.67,2700
34,2021-07-29,161.15,163.63,162.69,161.15,162.69,1200
35,2021-07-30,162.04,162.42,162.42,162.04,162.42,600
36,2021-08-02,164.79,164.79,162.33,162.14,162.33,4700
37,2021-08-03,161.52,164.33,164.33,160.96,164.33,3200
38,2021-08-04,162.76,163.52,162.74,162.74,162.74,1000
39,2021-08-05,163.55,164.82,164.82,163.55,164.82,1000
40,2021-08-06,166.0,166.03,166.03,165.68,166.03,1200
41,2021-08-09,166.0,166.22,165.1978,165.0391,165.1978,1658
42,2021-08-10,165.1101,165.194,165.1278,165.1101,165.1278,606
43,2021-08-11,165.12,165.47,165.47,164.88,165.47,900
44,2021-08-12,164.71,165.0,165.0,164.71,165.0,900
45,2021-08-13,163.76,163.76,163.28,163.28,163.28,600
46,2021-08-16,162.51,162.74,162.35,162.35,162.35,700
47,2021-08-17,159.18,159.18,159.18,159.18,159.18,300
48,2021-08-18,159.34,159.34,157.81,157.81,157.81,600
49,2021-08-19,156.12,157.31,156.01,155.97,156.01,2600
50,2021-08-20,157.81,159.0,158.98,157.81,158.98,500
51,2021-08-23,160.9201,161.7632,161.7632,160.9201,161.7632,982
52,2021-08-24,162.5099,163.0084,162.996,162.314,162.996,3091
53,2021-08-25,163.26,164.4,164.06,163.26,164.06,500
54,2021-08-26,163.72,163.72,162.2,162.09,162.2,600
55,2021-08-27,165.6,165.88,165.88,165.6,165.88,500
56,2021-08-30,166.49,166.49,166.211,166.211,166.211,416
57,2021-08-31,166.01,166.2425,166.0598,165.7001,166.0598,951
58,2021-09-01,166.204,168.264,167.7322,166.204,167.7322,1969
59,2021-09-02,168.5266,168.5266,168.5266,168.5266,168.5266,438
60,2021-09-03,167.8099,168.1799,167.9732,167.48,167.9732,1735
61,2021-09-07,167.86,167.86,165.0442,165.0442,165.0442,1451
