,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,111.8,112.43,112.21,111.4422,111.7762,3833190
1,2021-06-11,112.28,112.83,112.56,112.185,112.1248,3231182
2,2021-06-14,112.78,113.225,112.45,111.5,112.0152,4222383
3,2021-06-15,112.46,112.5,111.89,111.56,111.4574,3487317
4,2021-06-16,112.42,112.57,111.36,110.2,110.9294,4821951
5,2021-06-17,111.0,111.945,111.39,110.71,110.9593,4008537
6,2021-06-18,110.74,110.75,109.7,109.2615,109.2759,7024352
7,2021-06-21,110.0,111.37,110.97,109.68,110.541,5628664
8,2021-06-22,111.07,112.26,111.85,110.6,111.4176,3583547
9,2021-06-23,111.275,111.97,111.56,111.14,111.1287,3552086
10,2021-06-24,111.78,112.91,111.99,111.78,111.557,3840030
11,2021-06-25,112.75,113.22,113.04,112.22,112.603,12171220
12,2021-06-28,112.93,113.05,112.24,111.445,111.806,4546564
13,2021-06-29,112.07,112.69,112.27,111.53,111.8359,3789517
14,2021-06-30,112.34,112.59,111.81,111.27,111.3777,6759115
15,2021-07-01,111.95,113.49,113.41,111.81,112.9715,4810618
16,2021-07-02,113.97,115.3,114.97,113.71,114.5255,4723386
17,2021-07-06,115.08,115.85,115.73,114.32,115.2826,5294660
18,2021-07-07,115.88,117.77,117.14,115.65,116.6871,5382304
19,2021-07-08,115.45,116.76,115.99,115.24,115.5415,4486121
20,2021-07-09,116.06,117.7375,117.47,116.0,117.0158,3533636
21,2021-07-12,117.75,118.775,118.46,117.39,118.002,5683576
22,2021-07-13,118.54,119.99,119.55,118.45,119.0878,5529344
23,2021-07-14,119.94,120.825,119.8,119.68,119.3368,5701765
24,2021-07-15,119.29,119.5795,118.97,118.18,118.51,6467481
25,2021-07-16,119.675,120.48,118.73,118.5,118.271,5024843
26,2021-07-19,117.54,117.55,115.32,114.33,114.8741,7731263
27,2021-07-20,115.63,118.0696,117.42,115.33,116.966,5118174
28,2021-07-21,117.54,119.65,119.27,117.48,118.8089,4377463
29,2021-07-22,119.34,122.92,122.63,119.07,122.1559,7172344
30,2021-07-23,124.55,126.32,125.97,123.92,125.483,7934201
31,2021-07-26,125.74,126.1,126.06,124.2501,125.5726,4827462
32,2021-07-27,126.08,126.16,126.03,124.81,125.5427,6110914
33,2021-07-28,122.555,123.33,122.41,121.39,121.9367,11747040
34,2021-07-29,122.93,123.47,122.38,122.14,121.9068,6618350
35,2021-07-30,122.19,122.98,121.43,121.1,120.9605,5712315
36,2021-08-02,122.027,122.98,120.37,120.065,119.9046,5996786
37,2021-08-03,120.57,120.75,119.13,117.5201,118.6694,6030518
38,2021-08-04,119.13,119.21,118.25,117.57,117.7928,6675845
39,2021-08-05,118.72,119.09,119.03,118.11,118.5698,4281905
40,2021-08-06,119.14,119.21,119.05,118.08,118.5897,6832572
41,2021-08-09,118.99,119.02,117.94,117.75,117.484,4557900
42,2021-08-10,118.39,118.5,116.39,115.98,115.94,9839700
43,2021-08-11,116.34,117.29,116.5,115.9,116.5,6472300
44,2021-08-12,116.41,116.78,115.75,115.51,115.75,4358300
45,2021-08-13,115.94,116.83,116.76,115.4,116.76,4360900
46,2021-08-16,116.69,117.73,117.54,116.41,117.54,5976000
47,2021-08-17,116.62,116.94,116.57,115.56,116.57,4719800
48,2021-08-18,116.28,116.74,115.68,115.6,115.68,4520500
49,2021-08-19,114.51,115.07,114.32,113.61,114.32,5317100
50,2021-08-20,113.98,115.0,114.63,113.66,114.63,3485400
51,2021-08-23,114.71,115.46,115.15,114.71,115.15,4235100
52,2021-08-24,115.39,115.85,115.08,114.94,115.08,3447300
53,2021-08-25,115.59,115.99,115.57,115.0,115.57,3881500
54,2021-08-26,115.62,115.77,114.32,113.86,114.32,5188200
55,2021-08-27,114.61,115.39,115.12,114.18,115.12,4202900
56,2021-08-30,115.61,115.82,115.61,114.63,115.61,3078200
57,2021-08-31,115.77,117.6,117.49,115.65,117.49,6995500
58,2021-09-01,118.01,118.33,117.45,117.28,117.45,4402700
59,2021-09-02,118.29,118.36,117.37,116.9,117.37,3801900
60,2021-09-03,116.84,117.58,117.19,116.34,117.19,2921300
61,2021-09-07,117.09,117.09,115.79,115.47,115.79,4153352
