,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,53.93,53.93,52.95,52.33,52.95,6400
1,2021-06-11,52.95,53.36,53.24,52.63,53.24,8400
2,2021-06-14,52.76,53.06,51.7,50.95,51.7,24400
3,2021-06-15,50.94,53.48,53.48,50.94,53.48,16100
4,2021-06-16,52.0,54.34,53.5,52.0,53.5,14700
5,2021-06-17,52.89,54.13,52.29,52.29,52.29,23100
6,2021-06-18,51.49,52.72,50.05,50.05,50.05,64200
7,2021-06-21,50.84,52.7,51.78,50.84,51.78,16000
8,2021-06-22,51.18,52.1,51.76,51.03,51.76,22100
9,2021-06-23,52.22,52.68,51.65,51.45,51.65,23400
10,2021-06-24,51.7,53.03,52.96,50.44,52.96,21300
11,2021-06-25,52.54,53.97,53.73,51.7,53.73,147300
12,2021-06-28,53.36,53.65,51.63,50.87,51.63,21500
13,2021-06-29,51.98,51.98,51.37,50.8,51.37,32800
14,2021-06-30,50.99,51.67,51.16,50.99,51.16,15300
15,2021-07-01,51.8,51.8,51.68,51.12,51.68,6800
16,2021-07-02,51.6,51.67,51.15,51.15,51.15,6800
17,2021-07-06,49.71,50.12,49.51,48.69,49.51,22900
18,2021-07-07,49.38,49.6,49.28,48.28,49.28,70300
19,2021-07-08,48.27,48.93,48.62,48.0,48.62,11300
20,2021-07-09,49.59,50.54,50.31,49.33,50.31,10500
21,2021-07-12,50.08,52.0,51.75,50.08,51.75,16400
22,2021-07-13,50.8,50.93,50.31,50.07,50.31,15700
23,2021-07-14,50.33,50.7,50.47,49.77,50.47,16900
24,2021-07-15,50.1,51.8,51.7,50.07,51.7,19000
25,2021-07-16,52.0,52.0,50.42,50.22,50.42,10700
26,2021-07-19,49.2,49.2,48.94,48.3,48.94,12300
27,2021-07-20,48.93,51.95,50.58,48.93,50.58,25400
28,2021-07-21,51.94,52.29,51.57,51.23,51.57,12000
29,2021-07-22,50.49,50.74,50.09,48.97,50.09,19400
30,2021-07-23,50.29,50.45,50.02,49.53,50.02,11800
31,2021-07-26,50.11,51.0,50.75,50.11,50.75,7000
32,2021-07-27,50.04,50.38,50.35,50.04,50.35,9900
33,2021-07-28,50.85,50.85,50.61,50.32,50.61,8300
34,2021-07-29,50.26,50.5,49.79,49.5,49.79,15100
35,2021-07-30,49.92,50.1,49.53,49.5,49.53,8600
36,2021-08-02,49.64,50.08,49.64,49.45,49.64,12300
37,2021-08-03,49.5,50.48,49.62,49.02,49.62,13200
38,2021-08-04,49.12,50.16,50.11,49.12,50.11,12000
39,2021-08-05,50.04,50.95,50.67,49.96,50.67,14000
40,2021-08-06,51.37,52.24,51.21,50.25,51.21,33800
41,2021-08-09,50.99,51.48,50.93,50.79,50.93,5900
42,2021-08-10,51.0,51.7,51.0,50.66,51.0,11300
43,2021-08-11,51.12,51.5,51.3,50.63,51.3,12300
44,2021-08-12,52.5,52.5,51.21,51.2,51.21,13000
45,2021-08-13,51.69,51.69,51.12,50.96,51.12,6900
46,2021-08-16,50.12,50.87,50.2,50.12,50.2,14200
47,2021-08-17,50.2,50.28,49.7,48.93,49.7,17300
48,2021-08-18,50.18,50.4,49.28,49.28,49.28,15300
49,2021-08-19,49.04,49.3,48.9,48.29,48.9,17900
50,2021-08-20,48.55,50.03,49.46,48.49,49.46,11600
51,2021-08-23,50.32,50.81,50.42,50.25,50.42,4100
52,2021-08-24,49.54,50.1,49.61,49.26,49.61,10300
53,2021-08-25,50.11,50.72,50.39,49.61,50.39,62200
54,2021-08-26,50.8,50.95,50.11,50.1,50.11,8600
55,2021-08-27,50.67,51.97,51.97,50.67,51.97,16600
56,2021-08-30,51.9,51.9,50.5,50.06,50.5,19300
57,2021-08-31,51.31,51.36,50.98,50.56,50.98,6900
58,2021-09-01,51.14,51.14,50.26,49.99,50.26,5000
59,2021-09-02,49.87,51.09,50.76,49.87,50.76,19900
60,2021-09-03,50.75,51.3,50.95,50.68,50.95,12900
61,2021-09-07,50.69,50.9,50.65,50.245,50.65,34677
