Date,Open,High,Low,Close,AdjustedClose,Volume
2013-10-17,49.85,49.93,49.85,49.93,49.93,12700
2013-10-18,50.05,50.1499,50.045,50.12,50.12,178296
2013-10-21,50.06,50.109,50.05,50.05,50.05,2008
2013-10-22,50.14,50.16,50.136,50.16,50.16,22749
2013-10-23,50.1,50.16,50.09,50.09,50.09,5455
2013-10-24,50.13,50.1699,50.1,50.1,50.1,5880
2013-10-25,50.15,50.1699,50.14,50.14,50.14,7250
2013-10-28,50.174,50.174,50.14,50.15,50.15,11127
2013-10-29,50.16,50.21,50.1526,50.1992,50.1992,8954
2013-10-30,50.22,50.22,50.189,50.189,50.189,2620
2013-10-31,50.13,50.28,50.13,50.23,50.23,215909
2013-11-01,50.209,50.25,50.15,50.24,50.24,37548
2013-11-04,50.29,50.2984,50.2,50.2798,50.2798,24968
2013-11-05,50.27,50.27,50.2591,50.26,50.26,10460
2013-11-06,50.32,50.33,50.2971,50.33,50.33,11790
2013-11-07,50.33,50.33,50.29,50.33,50.33,4130
2013-11-08,50.24,50.25,50.1965,50.24,50.24,2923
2013-11-11,50.27,50.28,50.26,50.2722,50.2722,2873
2013-11-12,50.22,50.22,50.17,50.19,50.19,6857
2013-11-13,50.19,50.19,50.1899,50.1899,50.1899,950
2013-11-14,50.26,50.29,50.24,50.29,50.29,44757
2013-11-15,50.26,50.3,50.22,50.3,50.3,9100
2013-11-18,50.35,50.35,50.33,50.34,50.34,3335
2013-11-19,50.32,50.33,50.2899,50.2899,50.2899,4400
2013-11-20,50.32,50.34,50.24,50.24,50.24,24247
2013-11-21,50.29,50.34,50.28,50.3,50.3,17308
2013-11-22,50.311,50.36,50.311,50.36,50.36,300
2013-11-25,50.4,50.4,50.37,50.38,50.38,9440
2013-11-26,50.43,50.43,50.41,50.41,50.41,8200
2013-11-27,50.48,50.48,50.45,50.48,50.48,3275
2013-11-29,50.48,50.48,50.4699,50.4699,50.4699,1183
2013-12-03,50.2,50.24,50.2,50.216,50.216,3850
2013-12-04,50.24,50.28,50.21,50.26,50.26,17329
2013-12-05,50.3,50.3,50.26,50.26,50.26,2398
2013-12-06,50.32,50.47,50.26,50.47,50.47,71976
2013-12-09,50.5,50.5,50.4,50.48,50.48,1149
2013-12-10,50.49,50.54,50.466,50.51,50.51,45040
2013-12-11,50.53,50.53,50.51,50.51,50.51,348
2013-12-12,50.52,50.52,50.4,50.47,50.47,27674
2013-12-13,50.46,50.53,50.444,50.53,50.53,7572
2013-12-16,50.56,50.61,50.55,50.59,50.59,10627
