,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.48,11.658,11.34,10.45,11.34,66900
1,2021-06-11,11.5,11.5,11.27,11.01,11.27,40200
2,2021-06-14,11.05,11.65,11.05,11.05,11.05,11957
3,2021-06-15,11.13,11.57,11.57,11.04,11.57,8858
4,2021-06-16,11.38,12.115,11.53,11.34,11.53,61700
5,2021-06-17,11.38,12.191,12.0,11.3,12.0,39300
6,2021-06-18,12.11,12.11,11.85,11.5,11.85,12900
7,2021-06-21,12.0,12.0,11.95,11.75,11.95,18900
8,2021-06-22,12.01,12.77,12.77,11.819,12.77,68500
9,2021-06-23,12.86,12.89,12.39,11.98,12.39,21100
10,2021-06-24,12.42,12.84,12.84,12.05,12.84,24800
11,2021-06-25,13.69,13.79,13.26,12.75,13.26,119200
12,2021-06-28,13.53,13.54,12.36,12.26,12.36,67500
13,2021-06-29,12.85,12.89,12.17,12.12,12.17,125800
14,2021-06-30,12.45,12.52,12.38,12.22,12.38,27800
15,2021-07-01,12.38,12.49,11.87,11.61,11.87,69800
16,2021-07-02,12.03,12.03,11.75,11.63,11.75,31000
17,2021-07-06,11.86,11.91,11.91,11.44,11.91,46000
18,2021-07-07,11.92,12.11,12.11,11.655,12.11,51200
19,2021-07-08,11.82,11.86,11.86,11.58,11.86,12300
20,2021-07-09,11.75,12.3,12.3,11.75,12.3,17600
21,2021-07-12,12.44,12.44,12.35,12.07,12.35,14800
22,2021-07-13,12.3,12.489,12.35,12.19,12.35,26600
23,2021-07-14,12.39,12.5,12.5,12.07,12.5,27800
24,2021-07-15,12.5,12.5,12.36,12.1,12.36,7200
25,2021-07-16,12.33,12.34,12.25,11.89,12.25,20200
26,2021-07-19,12.01,12.07,12.01,11.89,12.01,15600
27,2021-07-20,12.01,12.01,11.95,11.71,11.95,10600
28,2021-07-21,11.93,12.06,12.06,11.77,12.06,23600
29,2021-07-22,11.94,12.08,12.05,11.94,12.05,29300
30,2021-07-23,12.02,12.1,12.1,11.918,12.1,11500
31,2021-07-26,12.2,12.365,12.11,11.96,12.11,15700
32,2021-07-27,14.1,14.5,12.0,11.52,12.0,440200
33,2021-07-28,11.88,12.09,12.09,11.2,12.09,87600
34,2021-07-29,12.07,12.07,11.25,11.23,11.25,57800
35,2021-07-30,11.08,11.746,11.23,11.08,11.23,25800
36,2021-08-02,11.21,11.47,10.99,10.9,10.99,15400
37,2021-08-03,10.99,10.99,10.75,10.55,10.75,18600
38,2021-08-04,10.1,10.69,10.14,10.045,10.14,46300
39,2021-08-05,10.37,10.53,10.38,10.3,10.38,24900
40,2021-08-06,10.5,10.5,10.03,9.85,10.03,32400
41,2021-08-09,9.9,10.279,10.09,9.9,10.09,30200
42,2021-08-10,10.1,10.1,9.96,9.88,9.96,21800
43,2021-08-11,9.89,9.95,9.65,9.56,9.65,16300
44,2021-08-12,9.68,9.82,9.79,9.68,9.79,13400
45,2021-08-13,9.72,9.87,9.87,9.69,9.87,10700
46,2021-08-16,9.72,10.015,9.32,9.11,9.32,17900
47,2021-08-17,9.16,9.42,9.2,9.1,9.2,10200
48,2021-08-18,9.26,9.5,9.27,9.128,9.27,12100
49,2021-08-19,9.21,9.49,9.46,9.21,9.46,4100
50,2021-08-20,9.41,9.5,9.37,9.35,9.37,4000
51,2021-08-23,9.49,9.49,9.325,9.05,9.325,14600
52,2021-08-24,9.3,9.9,9.77,9.28,9.77,5400
53,2021-08-25,9.86,9.86,9.74,9.23,9.74,15600
54,2021-08-26,9.7,9.7,9.53,9.35,9.53,7400
55,2021-08-27,9.42,9.573,9.54,9.3,9.54,29100
56,2021-08-30,9.44,9.72,9.69,9.44,9.69,2500
57,2021-08-31,9.66,9.86,9.82,9.5,9.82,18200
58,2021-09-01,9.85,9.85,9.8,9.47,9.8,22300
59,2021-09-02,9.8,10.91,10.4,9.78,10.4,34600
60,2021-09-03,10.22,10.325,10.255,10.05,10.255,9400
61,2021-09-07,10.02,10.2,9.91,9.9,9.91,9549
