,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,35.49,35.55,35.04,34.98,35.04,292600
1,2021-06-11,35.07,35.47,35.19,34.371,35.19,251600
2,2021-06-14,35.31,35.49,35.46,35.17,35.46,293400
3,2021-06-15,35.5,36.148,35.46,35.124,35.46,621000
4,2021-06-16,35.56,36.961,35.73,34.922,35.73,885300
5,2021-06-17,35.93,36.02,35.84,34.83,35.84,475900
6,2021-06-18,35.59,36.77,35.86,35.59,35.86,936500
7,2021-06-21,35.86,36.56,36.13,34.62,36.13,528300
8,2021-06-22,36.44,37.828,36.39,36.16,36.39,753400
9,2021-06-23,36.27,36.89,36.11,36.0,36.11,716500
10,2021-06-24,36.14,36.396,36.14,35.52,36.14,542900
11,2021-06-25,36.04,36.45,35.86,35.72,35.86,1582900
12,2021-06-28,35.5,36.63,36.49,35.5,36.49,530900
13,2021-06-29,36.48,36.71,36.34,36.15,36.34,355500
14,2021-06-30,36.54,36.88,36.51,36.34,36.51,434400
15,2021-07-01,38.5,38.5,37.17,35.82,37.17,1123100
16,2021-07-02,37.68,37.85,37.51,36.69,37.51,474000
17,2021-07-06,37.54,37.54,37.05,36.345,37.05,354400
18,2021-07-07,37.18,37.49,37.26,36.68,37.26,613300
19,2021-07-08,36.72,37.45,37.17,36.51,37.17,514300
20,2021-07-09,37.25,37.63,37.29,37.12,37.29,403300
21,2021-07-12,37.25,37.51,37.21,36.94,37.21,666000
22,2021-07-13,37.02,37.395,36.79,36.79,36.79,338600
23,2021-07-14,36.35,36.86,36.64,35.72,36.64,368100
24,2021-07-15,36.66,36.8,36.61,35.91,36.61,480400
25,2021-07-16,36.9,37.32,36.72,36.6,36.72,295000
26,2021-07-19,36.26,36.75,36.19,35.83,36.19,389700
27,2021-07-20,36.39,37.15,36.81,36.37,36.81,582800
28,2021-07-21,37.07,37.34,37.15,36.95,37.15,331700
29,2021-07-22,37.13,37.23,36.9,36.55,36.9,341100
30,2021-07-23,37.01,37.85,37.79,36.71,37.79,359700
31,2021-07-26,37.91,38.05,37.59,37.47,37.59,299700
32,2021-07-27,37.58,37.6,37.05,36.54,37.05,260500
33,2021-07-28,37.16,37.56,37.31,36.931,37.31,173900
34,2021-07-29,37.28,37.73,37.35,37.03,37.35,276700
35,2021-07-30,37.29,37.72,37.48,37.15,37.48,236900
36,2021-08-02,37.47,37.77,36.96,36.76,36.96,247800
37,2021-08-03,37.11,37.11,36.88,36.45,36.88,352800
38,2021-08-04,36.68,36.84,35.93,35.761,35.93,260400
39,2021-08-05,36.03,36.61,36.54,35.95,36.54,278700
40,2021-08-06,36.81,37.03,36.25,36.16,36.25,334200
41,2021-08-09,36.15,36.44,35.8,35.77,35.8,226900
42,2021-08-10,35.86,36.85,35.47,34.88,35.47,478000
43,2021-08-11,35.67,36.77,36.11,35.465,36.11,712700
44,2021-08-12,36.07,36.57,35.99,35.73,35.99,268400
45,2021-08-13,36.03,36.61,36.56,35.75,36.56,273000
46,2021-08-16,36.35,36.35,36.11,35.8,36.11,276200
47,2021-08-17,35.8,35.9,35.32,35.08,35.32,549200
48,2021-08-18,35.35,35.73,34.55,34.52,34.55,256700
49,2021-08-19,34.25,35.11,34.68,33.91,34.68,361500
50,2021-08-20,35.365,35.365,35.16,34.45,35.16,388000
51,2021-08-23,35.18,35.46,35.36,34.63,35.36,464800
52,2021-08-24,35.3,35.46,34.75,34.3,34.75,460500
53,2021-08-25,34.7,35.28,34.99,34.54,34.99,334800
54,2021-08-26,34.87,35.11,34.17,34.14,34.17,332900
55,2021-08-27,34.2,35.45,35.35,34.2,35.35,464200
56,2021-08-30,35.29,35.66,35.57,33.99,35.57,355700
57,2021-08-31,35.63,35.78,35.62,35.18,35.62,365800
58,2021-09-01,35.78,36.01,35.69,35.21,35.69,199200
59,2021-09-02,35.87,36.03,35.82,35.66,35.82,223800
60,2021-09-03,35.62,35.96,35.56,35.45,35.56,218400
61,2021-09-07,35.45,35.45,34.75,34.73,34.75,203395
