,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,19.6,19.79,19.0,18.78,19.0,467200
1,2021-06-11,19.0,19.26,18.76,18.55,18.76,305200
2,2021-06-14,18.82,19.06,18.9,18.66,18.9,681700
3,2021-06-15,19.02,19.435,19.15,18.781,19.15,592200
4,2021-06-16,19.19,19.73,19.06,18.53,19.06,415900
5,2021-06-17,19.05,19.75,19.57,18.99,19.57,353800
6,2021-06-18,19.38,19.5,19.23,18.55,19.23,1353000
7,2021-06-21,19.24,19.24,17.65,17.53,17.65,368600
8,2021-06-22,17.63,17.99,17.79,17.39,17.79,265300
9,2021-06-23,17.96,18.48,18.06,17.84,18.06,423400
10,2021-06-24,18.36,18.74,18.15,18.0,18.15,396600
11,2021-06-25,18.27,18.45,18.36,17.97,18.36,2754800
12,2021-06-28,19.14,19.54,18.09,18.03,18.09,832800
13,2021-06-29,18.1,18.39,17.41,17.27,17.41,514600
14,2021-06-30,17.3,17.565,17.17,17.03,17.17,602000
15,2021-07-01,17.29,18.195,17.79,16.92,17.79,481500
16,2021-07-02,17.74,17.865,17.59,17.25,17.59,214500
17,2021-07-06,17.6,17.6,16.67,16.65,16.67,332000
18,2021-07-07,16.66,16.665,16.3,16.01,16.3,684600
19,2021-07-08,16.06,16.65,16.32,16.06,16.32,268500
20,2021-07-09,16.41,16.735,16.68,16.22,16.68,165600
21,2021-07-12,16.66,16.77,16.49,16.46,16.49,207300
22,2021-07-13,16.36,16.36,16.21,15.95,16.21,225500
23,2021-07-14,16.26,16.78,15.71,15.69,15.71,320400
24,2021-07-15,15.61,15.71,15.4,14.96,15.4,1214700
25,2021-07-16,15.6,15.66,15.19,15.06,15.19,409800
26,2021-07-19,15.01,15.3,15.05,14.83,15.05,474300
27,2021-07-20,15.01,15.51,15.31,14.96,15.31,597500
28,2021-07-21,15.31,15.6,15.25,15.1,15.25,433100
29,2021-07-22,15.21,15.47,14.7,14.69,14.7,425500
30,2021-07-23,14.69,14.69,14.26,14.085,14.26,275700
31,2021-07-26,14.35,14.575,14.27,14.11,14.27,351400
32,2021-07-27,14.2,14.43,14.31,13.75,14.31,277400
33,2021-07-28,14.37,14.85,14.71,14.335,14.71,225600
34,2021-07-29,14.7,14.97,14.77,14.57,14.77,421300
35,2021-07-30,14.63,14.75,14.58,14.415,14.58,278500
36,2021-08-02,14.7,15.19,14.98,14.6,14.98,248600
37,2021-08-03,14.96,14.96,14.41,14.34,14.41,338900
38,2021-08-04,14.3,14.73,13.87,13.8,13.87,271100
39,2021-08-05,13.82,14.2,14.2,13.58,14.2,329500
40,2021-08-06,14.3,14.4,14.31,13.883,14.31,323900
41,2021-08-09,14.28,15.02,14.55,14.16,14.55,394900
42,2021-08-10,15.21,15.53,15.31,14.72,15.31,345300
43,2021-08-11,15.22,16.0,15.54,15.08,15.54,482800
44,2021-08-12,15.49,15.88,15.67,15.05,15.67,403900
45,2021-08-13,15.53,16.11,15.91,15.21,15.91,447500
46,2021-08-16,15.95,16.065,15.72,15.37,15.72,852300
47,2021-08-17,15.56,16.15,15.99,15.47,15.99,261800
48,2021-08-18,16.0,16.0,15.61,15.54,15.61,343500
49,2021-08-19,15.56,15.92,15.45,15.27,15.45,408300
50,2021-08-20,15.39,15.79,15.75,15.26,15.75,353800
51,2021-08-23,15.87,16.67,16.51,15.75,16.51,621800
52,2021-08-24,16.49,16.9,16.81,16.1,16.81,227800
53,2021-08-25,16.79,17.02,16.96,16.5,16.96,271700
54,2021-08-26,16.89,17.2,16.51,16.19,16.51,294600
55,2021-08-27,16.63,17.025,16.89,16.4,16.89,383600
56,2021-08-30,16.99,17.555,17.25,16.82,17.25,321400
57,2021-08-31,17.32,17.77,17.49,17.25,17.49,334800
58,2021-09-01,17.51,18.145,18.07,17.39,18.07,766900
59,2021-09-02,18.19,18.36,18.17,17.4,18.17,413500
60,2021-09-03,18.14,18.14,17.85,17.58,17.85,363800
61,2021-09-07,17.84,18.17,17.14,17.07,17.14,220386
