,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.01,10.01,9.97,9.97,9.97,225400
1,2021-06-11,10.0,10.0,9.97,9.94,9.97,282600
2,2021-06-14,10.01,10.01,9.96,9.945,9.96,237900
3,2021-06-15,9.98,10.0,9.97,9.96,9.97,1067100
4,2021-06-16,9.96,9.98,9.97,9.94,9.97,87400
5,2021-06-17,9.93,9.97,9.95,9.93,9.95,98000
6,2021-06-18,9.94,9.98,9.94,9.94,9.94,301600
7,2021-06-21,9.955,9.97,9.96,9.94,9.96,290800
8,2021-06-22,9.96,10.0,9.96,9.941,9.96,418100
9,2021-06-23,9.97,9.98,9.94,9.93,9.94,209200
10,2021-06-24,9.94,9.96,9.95,9.94,9.95,53000
11,2021-06-25,9.93,9.98,9.95,9.93,9.95,208700
12,2021-06-28,9.95,9.97,9.96,9.94,9.96,121500
13,2021-06-29,9.96,9.964,9.95,9.94,9.95,112800
14,2021-06-30,9.94,9.96,9.95,9.93,9.95,215800
15,2021-07-01,9.95,9.97,9.95,9.94,9.95,169600
16,2021-07-02,9.95,9.96,9.95,9.94,9.95,126800
17,2021-07-06,9.95,9.96,9.95,9.93,9.95,113000
18,2021-07-07,9.96,9.96,9.95,9.95,9.95,42000
19,2021-07-08,9.95,9.96,9.95,9.94,9.95,125300
20,2021-07-09,9.96,9.96,9.94,9.92,9.94,286300
21,2021-07-12,9.92,9.94,9.93,9.92,9.93,110800
22,2021-07-13,9.92,9.93,9.93,9.9,9.93,483700
23,2021-07-14,9.91,9.933,9.92,9.89,9.92,319400
24,2021-07-15,9.925,9.95,9.94,9.91,9.94,167200
25,2021-07-16,9.95,9.95,9.94,9.92,9.94,166500
26,2021-07-19,9.91,9.98,9.97,9.91,9.97,203300
27,2021-07-20,9.92,9.97,9.97,9.92,9.97,47600
28,2021-07-21,9.97,9.97,9.97,9.94,9.97,114700
29,2021-07-22,9.96,9.96,9.94,9.92,9.94,102800
30,2021-07-23,9.92,9.98,9.97,9.92,9.97,86900
31,2021-07-26,9.97,9.97,9.94,9.93,9.94,180900
32,2021-07-27,9.93,9.95,9.91,9.91,9.91,121200
33,2021-07-28,9.92,9.96,9.92,9.92,9.92,45700
34,2021-07-29,9.93,9.93,9.91,9.91,9.91,163100
35,2021-07-30,9.9,9.92,9.92,9.9,9.92,194400
36,2021-08-02,9.93,9.93,9.91,9.91,9.91,163900
37,2021-08-03,9.93,9.95,9.92,9.91,9.92,57300
38,2021-08-04,9.91,9.95,9.94,9.91,9.94,271300
39,2021-08-05,9.93,9.94,9.93,9.915,9.93,77800
40,2021-08-06,9.91,9.94,9.92,9.91,9.92,49200
41,2021-08-09,9.92,9.94,9.92,9.92,9.92,60200
42,2021-08-10,9.91,9.93,9.92,9.91,9.92,216400
43,2021-08-11,9.95,9.95,9.93,9.92,9.93,213500
44,2021-08-12,9.92,9.94,9.93,9.92,9.93,135800
45,2021-08-13,9.94,9.96,9.95,9.93,9.95,727000
46,2021-08-16,9.95,9.97,9.95,9.95,9.95,1965800
47,2021-08-17,9.95,9.96,9.95,9.95,9.95,477000
48,2021-08-18,9.96,9.97,9.96,9.955,9.96,216000
49,2021-08-19,9.96,9.97,9.96,9.96,9.96,518200
50,2021-08-20,9.95,9.97,9.95,9.95,9.95,462700
51,2021-08-23,9.95,9.96,9.95,9.95,9.95,504400
52,2021-08-24,9.95,9.97,9.96,9.95,9.96,258000
53,2021-08-25,9.96,9.99,9.97,9.96,9.97,2013900
54,2021-08-26,9.97,9.99,9.99,9.97,9.99,1467800
55,2021-08-27,9.98,10.0,9.97,9.97,9.97,6606000
56,2021-08-30,9.97,9.995,9.98,9.97,9.98,2546900
57,2021-08-31,9.8,10.01,9.97,9.64,9.97,581500
58,2021-09-01,9.97,9.99,9.97,9.71,9.97,289400
59,2021-09-02,9.93,10.58,9.94,9.93,9.94,495700
60,2021-09-03,9.94,10.32,10.02,9.51,10.02,721300
61,2021-09-07,9.98,13.29,11.69,9.7534,11.69,5641422
