,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,9.85,9.93,9.92,9.85,9.92,87100
1,2021-06-11,9.93,9.93,9.93,9.88,9.93,15100
2,2021-06-14,9.94,9.94,9.86,9.84,9.86,29500
3,2021-06-15,9.85,9.88,9.85,9.85,9.85,84600
4,2021-06-16,9.91,9.91,9.88,9.84,9.88,206200
5,2021-06-17,9.87,9.9,9.87,9.87,9.87,508400
6,2021-06-18,9.86,9.91,9.82,9.82,9.82,14700
7,2021-06-21,9.82,9.83,9.83,9.81,9.83,20500
8,2021-06-22,9.82,9.84,9.82,9.81,9.82,117900
9,2021-06-23,9.815,9.82,9.8,9.79,9.8,31200
10,2021-06-24,9.8,9.82,9.81,9.8,9.81,24100
11,2021-06-25,9.86,9.86,9.81,9.79,9.81,55600
12,2021-06-28,9.79,9.81,9.74,9.74,9.74,112400
13,2021-06-29,9.74,9.8,9.77,9.74,9.77,64400
14,2021-06-30,9.76,9.79,9.78,9.76,9.78,21600
15,2021-07-01,9.8,9.8,9.77,9.77,9.77,13000
16,2021-07-02,9.78,9.79,9.78,9.78,9.78,10400
17,2021-07-06,9.77,9.81,9.78,9.76,9.78,20400
18,2021-07-07,9.765,9.77,9.75,9.75,9.75,83900
19,2021-07-08,9.78,9.78,9.76,9.75,9.76,66000
20,2021-07-09,9.75,9.761,9.75,9.74,9.75,19000
21,2021-07-12,9.76,9.76,9.76,9.7,9.76,26100
22,2021-07-13,9.76,9.76,9.75,9.74,9.75,28200
23,2021-07-14,9.82,9.82,9.74,9.71,9.74,57700
24,2021-07-15,9.72,9.75,9.74,9.7,9.74,166700
25,2021-07-16,9.74,9.745,9.74,9.74,9.74,9100
26,2021-07-19,9.7,9.715,9.71,9.7,9.71,13900
27,2021-07-20,9.72,9.74,9.74,9.715,9.74,10000
28,2021-07-21,9.735,9.75,9.75,9.73,9.75,69200
29,2021-07-22,9.745,9.745,9.73,9.73,9.73,4600
30,2021-07-23,9.73,9.75,9.74,9.73,9.74,3600
31,2021-07-26,9.74,9.76,9.68,9.67,9.68,411111
32,2021-07-27,9.71,9.73,9.7,9.68,9.7,127039
33,2021-07-28,9.88,9.88,9.88,9.828,9.88,9947000
34,2021-07-29,9.89,9.89,9.86,9.83,9.86,748700
35,2021-07-30,9.9,9.9,9.85,9.84,9.85,1664700
36,2021-08-02,9.88,9.88,9.81,9.81,9.81,293451
37,2021-08-03,9.81,9.835,9.82,9.81,9.82,280650
38,2021-08-04,9.87,9.87,9.83,9.81,9.83,77400
39,2021-08-05,9.86,9.86,9.85,9.83,9.85,166900
40,2021-08-06,9.83,9.85,9.84,9.83,9.84,192200
41,2021-08-09,9.86,9.86,9.85,9.84,9.85,100800
42,2021-08-10,9.86,9.86,9.84,9.84,9.84,467400
43,2021-08-11,9.84,9.85,9.84,9.84,9.84,464500
44,2021-08-12,9.83,9.85,9.84,9.83,9.84,315900
45,2021-08-13,9.85,9.86,9.85,9.84,9.85,176300
46,2021-08-16,9.86,9.86,9.84,9.83,9.84,356600
47,2021-08-17,9.84,9.86,9.84,9.83,9.84,385500
48,2021-08-18,9.85,9.85,9.84,9.839,9.84,177800
49,2021-08-19,9.85,9.86,9.845,9.84,9.845,62500
50,2021-08-20,9.85,9.85,9.85,9.84,9.85,13700
51,2021-08-23,9.86,9.88,9.86,9.84,9.86,63500
52,2021-08-24,9.87,9.88,9.87,9.84,9.87,116500
53,2021-08-25,9.87,9.87,9.86,9.84,9.86,151100
54,2021-08-26,9.88,9.88,9.87,9.85,9.87,91500
55,2021-08-27,9.87,9.87,9.85,9.84,9.85,75600
56,2021-08-30,9.85,9.86,9.85,9.85,9.85,106600
57,2021-08-31,9.85,9.9,9.9,9.85,9.9,225900
58,2021-09-01,9.9,9.9,9.86,9.855,9.86,44300
59,2021-09-02,9.88,9.88,9.88,9.86,9.88,60500
60,2021-09-03,9.86,9.9,9.89,9.86,9.89,16300
61,2021-09-07,9.9,9.91,9.9,9.88,9.9,2790844
