,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,11.5,11.5,11.37,11.28,11.1849,104117
1,2021-06-11,11.38,11.4,11.18,11.13,10.998,63675
2,2021-06-14,11.23,11.23,11.03,10.93,10.8505,141270
3,2021-06-15,11.09,11.09,10.73,10.65,10.5554,90202
4,2021-06-16,10.68,10.68,10.6,10.46,10.4275,101012
5,2021-06-17,10.55,10.55,10.45,10.35,10.2799,125181
6,2021-06-18,10.33,10.35,10.21,10.12,10.0438,175291
7,2021-06-21,10.27,10.37,10.32,10.17,10.152,135090
8,2021-06-22,10.34,10.42,10.02,10.0077,9.8569,311081
9,2021-06-23,9.99,10.07,9.77,9.74,9.611,260173
10,2021-06-24,9.8,9.91,9.61,9.59,9.4536,211413
11,2021-06-25,9.7,9.88,9.74,9.41,9.5815,3029267
12,2021-06-28,9.97,9.97,9.79,9.75,9.6307,94060
13,2021-06-29,9.75,9.77,9.53,9.42,9.3749,152024
14,2021-06-30,9.54,9.67,9.62,9.475,9.4634,125648
15,2021-07-01,9.62,9.6699,9.48,9.45,9.3257,482510
16,2021-07-02,9.5,9.51,9.3,9.14,9.1486,154295
17,2021-07-06,9.25,9.2687,9.23,8.95,9.0798,209014
18,2021-07-07,9.2,9.25,9.19,9.14,9.0404,175309
19,2021-07-08,9.16,9.21,8.96,8.89,8.8142,132629
20,2021-07-09,8.97,9.1,9.06,8.89,8.9125,97608
21,2021-07-12,9.02,9.09,9.02,8.91,8.8732,76277
22,2021-07-13,9.0,9.0204,8.93,8.9,8.7847,111026
23,2021-07-14,8.99,8.99,8.73,8.71,8.5879,142442
24,2021-07-15,8.77,8.8,8.77,8.68,8.6273,112828
25,2021-07-16,8.77,9.07,9.0,8.77,8.8535,140928
26,2021-07-19,8.95,9.19,9.02,8.95,8.8732,222337
27,2021-07-20,9.05,9.47,9.15,8.97,9.0011,199241
28,2021-07-21,9.13,9.3,9.16,9.12,9.0109,76000
29,2021-07-22,9.15,9.17,8.97,8.96,8.824,110215
30,2021-07-23,9.02,9.06,8.89,8.84,8.7453,93101
31,2021-07-26,8.88,9.04,8.98,8.84,8.8338,107006
32,2021-07-27,8.98,9.14,8.96,8.84,8.8142,270496
33,2021-07-28,8.46,9.29,8.69,7.8,8.5486,1185284
34,2021-07-29,8.61,8.8,8.35,8.2,8.2141,507943
35,2021-07-30,8.35,8.39,8.24,8.09,8.1059,423121
36,2021-08-02,8.26,8.35,8.07,7.67,7.9387,714414
37,2021-08-03,8.0,8.31,8.15,7.52,8.0174,5127026
38,2021-08-04,8.16,8.28,7.81,7.79,7.6829,401356
39,2021-08-05,7.81,7.895,7.85,7.66,7.7222,583870
40,2021-08-06,7.85,7.9,7.75,7.685,7.6239,399289
41,2021-08-09,7.78,7.97,7.81,7.72,7.6829,132932
42,2021-08-10,7.76,7.915,7.63,7.62,7.5058,183359
43,2021-08-11,7.69,7.735,7.47,7.43,7.3484,223656
44,2021-08-12,7.52,7.7,7.59,7.34,7.4665,277856
45,2021-08-13,7.59,7.71,7.68,7.49,7.555,128600
46,2021-08-16,7.49,7.51,7.25,7.17,7.25,308700
47,2021-08-17,7.24,7.3,7.22,7.16,7.22,128700
48,2021-08-18,7.22,7.48,7.46,7.17,7.46,180400
49,2021-08-19,7.45,8.05,8.0,7.44,8.0,273500
50,2021-08-20,7.96,8.06,8.01,7.86,8.01,171700
51,2021-08-23,7.99,8.29,8.23,7.92,8.23,791400
52,2021-08-24,8.21,8.31,7.97,7.95,7.97,215300
53,2021-08-25,8.0,8.02,7.86,7.77,7.86,106100
54,2021-08-26,7.88,7.92,7.85,7.84,7.85,90900
55,2021-08-27,7.89,8.04,7.86,7.85,7.86,59000
56,2021-08-30,7.86,8.09,7.85,7.83,7.85,156600
57,2021-08-31,9.35,10.02,9.91,9.01,9.91,4048400
58,2021-09-01,9.8,10.45,10.17,9.79,10.17,686700
59,2021-09-02,10.15,10.29,10.19,10.03,10.19,351500
60,2021-09-03,10.75,10.84,10.59,10.23,10.59,363000
61,2021-09-07,10.6,10.78,10.34,10.26,10.34,165934
