Date,Open,High,Low,Close,AdjustedClose,Volume
2013-02-15,0.75,0.75,0.75,0.75,0.75,2
2013-02-21,1,1.5,1,1.5,1.5,2
2013-02-22,1.4,1.4,1.4,1.4,1.4,1
2013-02-28,1.25,1.5,1.25,1.5,1.5,4
2013-03-25,1.25,1.55,1.25,1.55,1.55,6
2013-03-26,1.01,1.55,1,1.55,1.55,2
2013-03-27,1.55,1.55,1,1.49,1.49,13
2013-04-01,1.48,1.48,1.25,1.25,1.25,4
2013-04-02,1.25,1.35,1.25,1.35,1.35,9
2013-04-03,1.35,1.49,1.35,1.49,1.49,19
2013-04-04,1.5,1.5,1.5,1.5,1.5,10
2013-04-05,1.5,1.5,1.5,1.5,1.5,1
2013-04-08,1.5,2,1.5,2,2,16
2013-04-09,1.5,1.5,1.5,1.5,1.5,7
2013-04-10,2,2,2,2,2,0
2013-04-11,2,2,2,2,2,7
2013-04-15,2,2.25,2,2.25,2.25,3
2013-04-16,2.01,2.24,2.01,2.24,2.24,2
2013-04-17,2.02,2.24,2.02,2.24,2.24,4
2013-04-18,2.1,2.1,2.1,2.1,2.1,8
2013-04-19,2.2,2.2,2.2,2.2,2.2,0
2013-04-22,2,2.2,2,2.2,2.2,7
2013-04-23,2,2,2,2,2,3
2013-04-24,2,2.1,2,2.1,2.1,1
2013-04-25,1.75,2.1,1.75,2.1,2.1,7
2013-04-26,1.85,1.85,1.75,1.75,1.75,15
2013-04-29,2.1,2.1,2.1,2.1,2.1,0
2013-04-30,1.95,2.2,1.95,2.1,2.1,4
2013-05-01,1.7,1.75,1.7,1.75,1.75,51
2013-05-02,1.75,1.75,1.65,1.65,1.65,19
2013-05-03,1.7,1.7,1.7,1.7,1.7,7
2013-05-06,1.8,1.8,1.75,1.75,1.75,4
2013-05-07,1.7,1.7,1.7,1.7,1.7,1
2013-05-08,1.7,1.7,1.7,1.7,1.7,1
2013-05-10,1.7,1.7,1.7,1.7,1.7,2
2013-05-13,1.7,1.7,1.7,1.7,1.7,3
2013-05-14,1.65,1.65,1.65,1.65,1.65,1
2013-05-15,1.6,1.65,1.6,1.65,1.65,4
2013-05-17,1.65,1.65,1.65,1.65,1.65,7
2013-05-20,1.65,1.65,1.65,1.65,1.65,3
2013-05-21,1.7,1.7,1.7,1.7,1.7,5
2013-05-22,1.7,1.7,1.65,1.65,1.65,1
2013-05-23,1.6,1.6,1.6,1.6,1.6,0
2013-05-24,1.65,1.65,1.65,1.65,1.65,5
2013-05-28,1.65,1.65,1.65,1.65,1.65,7
2013-05-30,1.65,1.65,1.65,1.65,1.65,7
2013-06-05,1.52,1.52,1.5,1.5,1.5,6
2013-06-07,1.65,1.65,1.65,1.65,1.65,1
2013-06-11,1.6,1.6,1.6,1.6,1.6,7
2013-06-12,1.65,1.65,1.65,1.65,1.65,1
2013-06-25,1.5,1.5,1.5,1.5,1.5,0
