,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,89.01,89.01,88.36,88.3,87.9654,255514
1,2021-06-11,88.54,89.14,88.93,88.39,88.5328,127125
2,2021-06-14,89.15,89.15,88.64,88.24,88.2441,214467
3,2021-06-15,88.82,89.39,89.16,88.5,88.7618,154353
4,2021-06-16,89.25,89.25,88.74,88.25,88.3437,133547
5,2021-06-17,88.67,89.15,87.98,87.44,87.5871,274280
6,2021-06-18,87.44,87.62,86.94,86.26,86.5517,440284
7,2021-06-21,87.73,88.78,88.3,87.13,87.9056,161372
8,2021-06-22,88.01,88.23,87.42,87.21,87.0296,189493
9,2021-06-23,87.46,87.46,86.77,86.52,86.3825,287346
10,2021-06-24,87.01,87.66,87.58,86.575,87.1888,146530
11,2021-06-25,87.2,87.88,87.19,87.03,86.8006,780456
12,2021-06-28,87.28,87.95,86.58,86.04,86.1933,190697
13,2021-06-29,86.7,87.35,86.33,86.17,85.9444,125098
14,2021-06-30,86.0,86.92,86.56,85.73,86.1734,239760
15,2021-07-01,87.04,87.92,87.51,86.64,87.1192,212570
16,2021-07-02,87.67,87.67,87.45,87.06,87.0594,133760
17,2021-07-06,87.24,87.24,86.1,85.01,85.7154,102847
18,2021-07-07,85.81,87.04,86.75,85.58,86.3625,104647
19,2021-07-08,85.68,86.45,85.88,85.25,85.4964,130733
20,2021-07-09,86.63,87.29,85.99,85.86,85.6059,319708
21,2021-07-12,85.46,86.95,86.49,85.1,86.1037,265085
22,2021-07-13,85.77,86.23,84.15,84.07,83.7742,136016
23,2021-07-14,84.27,85.51,84.6,83.18,84.2221,277300
24,2021-07-15,84.3,84.56,83.74,83.335,83.366,116406
25,2021-07-16,83.99,83.99,82.25,82.14,81.8826,138649
26,2021-07-19,81.02,81.09,79.47,79.2825,79.1151,338611
27,2021-07-20,79.28,81.63,80.93,78.21,80.5685,294672
28,2021-07-21,81.75,82.92,82.25,81.75,81.8826,274338
29,2021-07-22,81.87,82.305,81.51,81.09,81.1459,187918
30,2021-07-23,84.42,86.01,85.56,82.58,85.1779,374984
31,2021-07-26,86.09,87.08,86.43,85.34,86.044,288200
32,2021-07-27,85.94,86.44,85.9,84.66,85.5163,384800
33,2021-07-28,85.64,86.1,85.99,84.13,85.6059,226400
34,2021-07-29,86.72,87.44,87.32,86.36,86.93,168600
35,2021-07-30,87.1,88.4,87.18,86.85,87.18,210800
36,2021-08-02,87.32,88.19,86.78,86.48,86.78,209300
37,2021-08-03,86.57,87.5,87.07,85.83,87.07,127900
38,2021-08-04,86.36,86.71,85.08,85.05,85.08,92700
39,2021-08-05,85.74,86.51,86.18,85.24,86.18,95700
40,2021-08-06,86.92,87.34,87.12,86.81,87.12,73400
41,2021-08-09,86.79,87.05,86.66,86.35,86.66,93800
42,2021-08-10,86.53,87.93,87.54,86.3,87.54,80600
43,2021-08-11,87.72,88.43,88.35,87.72,88.35,67900
44,2021-08-12,88.51,88.56,88.4,87.75,88.4,83900
45,2021-08-13,88.34,88.99,88.87,87.83,88.87,68300
46,2021-08-16,88.34,89.06,88.84,87.46,88.84,79500
47,2021-08-17,87.96,88.43,87.4,87.32,87.4,125000
48,2021-08-18,87.19,87.79,86.04,85.98,86.04,92200
49,2021-08-19,85.38,86.78,85.46,85.3,85.46,167300
50,2021-08-20,85.64,86.21,86.2,85.25,86.2,206000
51,2021-08-23,87.02,87.67,86.92,86.52,86.92,112800
52,2021-08-24,86.74,87.66,87.06,86.74,87.06,131600
53,2021-08-25,86.71,87.47,86.61,86.61,86.61,127900
54,2021-08-26,86.58,86.72,85.36,85.32,85.36,120800
55,2021-08-27,85.82,88.0,87.72,85.82,87.72,205500
56,2021-08-30,88.0,88.14,86.99,86.9,86.99,121400
57,2021-08-31,86.76,87.45,86.85,86.53,86.85,218000
58,2021-09-01,86.69,88.17,87.97,86.13,87.97,271300
59,2021-09-02,87.99,88.79,88.06,87.79,88.06,253400
60,2021-09-03,88.18,88.65,88.19,87.51,88.19,206700
61,2021-09-07,87.99,88.85,87.97,87.72,87.97,238610
