,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,17.13,17.43,17.36,17.11,17.36,1625200
1,2021-06-11,17.28,17.3,17.21,17.16,17.21,1255400
2,2021-06-14,17.09,17.14,17.13,17.05,17.13,1886900
3,2021-06-15,17.33,17.35,17.21,17.14,17.21,2122100
4,2021-06-16,17.18,17.26,17.05,16.97,17.05,3245500
5,2021-06-17,17.0,17.0,16.91,16.83,16.91,3346600
6,2021-06-18,16.75,16.75,16.55,16.49,16.55,4899500
7,2021-06-21,16.6,16.75,16.73,16.58,16.73,2594700
8,2021-06-22,16.92,16.92,16.86,16.76,16.86,2034800
9,2021-06-23,16.83,16.84,16.69,16.66,16.69,2528300
10,2021-06-24,16.74,16.92,16.89,16.74,16.89,2092700
11,2021-06-25,16.88,16.97,16.93,16.88,16.93,750400
12,2021-06-28,16.97,16.98,16.89,16.88,16.89,1446100
13,2021-06-29,16.79,16.86,16.83,16.78,16.83,2617300
14,2021-06-30,16.83,16.85,16.83,16.73,16.83,2176100
15,2021-07-01,16.8,16.91,16.9,16.76,16.9,1694300
16,2021-07-02,16.85,16.91,16.87,16.8,16.87,1529400
17,2021-07-06,16.77,16.77,16.54,16.5,16.54,1326000
18,2021-07-07,16.58,16.65,16.63,16.51,16.63,930700
19,2021-07-08,16.48,16.5,16.46,16.36,16.46,1378100
20,2021-07-09,16.63,16.76,16.74,16.59,16.74,1519300
21,2021-07-12,16.75,16.76,16.69,16.67,16.69,1071100
22,2021-07-13,16.75,16.87,16.76,16.72,16.76,1583500
23,2021-07-14,17.02,17.3,17.26,17.02,17.26,2263400
24,2021-07-15,17.08,17.08,17.02,16.93,17.02,1426600
25,2021-07-16,17.0,17.12,17.01,16.86,17.01,1324200
26,2021-07-19,16.83,16.91,16.88,16.78,16.88,1871300
27,2021-07-20,17.02,17.11,17.01,16.96,17.01,1860600
28,2021-07-21,16.99,16.99,16.85,16.83,16.85,1480700
29,2021-07-22,16.9,16.94,16.81,16.79,16.81,1032700
30,2021-07-23,16.83,16.89,16.86,16.8,16.86,914000
31,2021-07-26,16.79,16.85,16.84,16.68,16.84,2129800
32,2021-07-27,16.75,16.86,16.77,16.69,16.77,1359600
33,2021-07-28,16.84,17.2,17.13,16.79,17.13,2460400
34,2021-07-29,17.13,17.14,16.93,16.89,16.93,2698900
35,2021-07-30,16.82,16.84,16.5,16.4,16.5,3076000
36,2021-08-02,16.77,16.9,16.74,16.72,16.74,2548400
37,2021-08-03,16.73,16.73,16.63,16.5,16.63,2358700
38,2021-08-04,16.56,16.63,16.5,16.48,16.5,1981800
39,2021-08-05,16.5,16.6,16.59,16.45,16.59,1076600
40,2021-08-06,16.5,16.53,16.3,16.28,16.3,1311100
41,2021-08-09,16.3,16.42,16.42,16.29,16.42,1349400
42,2021-08-10,16.28,16.44,16.35,16.25,16.35,1824500
43,2021-08-11,16.48,16.59,16.5,16.34,16.5,2755400
44,2021-08-12,16.47,16.59,16.56,16.44,16.56,1257600
45,2021-08-13,16.57,16.84,16.75,16.54,16.75,1518100
46,2021-08-16,16.6,16.7,16.63,16.55,16.63,2135700
47,2021-08-17,16.58,16.72,16.66,16.56,16.66,2130000
48,2021-08-18,16.67,16.7,16.53,16.53,16.53,1081000
49,2021-08-19,16.5,16.67,16.59,16.48,16.59,1583100
50,2021-08-20,16.61,16.71,16.68,16.6,16.68,966400
51,2021-08-23,16.84,17.0,16.99,16.82,16.99,1234000
52,2021-08-24,16.92,16.94,16.86,16.86,16.86,1378300
53,2021-08-25,16.82,16.86,16.82,16.7,16.82,1065300
54,2021-08-26,16.71,16.74,16.7,16.62,16.7,1684000
55,2021-08-27,16.61,16.65,16.63,16.54,16.63,1382600
56,2021-08-30,16.58,16.61,16.55,16.54,16.55,1206400
57,2021-08-31,16.62,16.74,16.59,16.58,16.59,1476300
58,2021-09-01,16.84,16.98,16.91,16.82,16.91,1554200
59,2021-09-02,16.81,16.83,16.72,16.67,16.72,1390000
60,2021-09-03,16.9,16.98,16.97,16.85,16.97,1289500
61,2021-09-07,16.95,17.105,17.07,16.95,17.07,1539580
