,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,25.31,25.32,25.305,25.27,25.305,1000
1,2021-06-11,25.34,25.34,25.32,25.31,25.32,1500
2,2021-06-14,25.32,25.33,25.306,25.261,25.306,3500
3,2021-06-15,25.2,25.28,25.24,25.19,25.24,12100
4,2021-06-16,25.24,25.269,25.213,25.213,25.213,8600
5,2021-06-17,25.37,25.37,25.204,25.2,25.204,4500
6,2021-06-18,25.18,25.22,25.183,25.17,25.183,7500
7,2021-06-21,25.22,25.26,25.226,25.205,25.226,2800
8,2021-06-22,25.242,25.26,25.242,25.23,25.242,12900
9,2021-06-23,25.28,25.28,25.255,25.255,25.255,6000
10,2021-06-24,25.28,25.33,25.295,25.27,25.295,5800
11,2021-06-25,25.35,25.358,25.32,25.27,25.32,8500
12,2021-06-28,25.315,25.34,25.315,25.3,25.315,26700
13,2021-06-29,25.34,25.36,25.344,25.29,25.344,85000
14,2021-06-30,25.33,25.35,25.335,25.3,25.335,6600
15,2021-07-01,25.375,25.4,25.378,25.36,25.378,13600
16,2021-07-02,25.387,25.43,25.419,25.381,25.419,15000
17,2021-07-06,25.33,25.43,25.411,25.33,25.411,13000
18,2021-07-07,25.42,25.422,25.422,25.4,25.422,4100
19,2021-07-08,25.38,25.38,25.35,25.35,25.35,16200
20,2021-07-09,25.385,25.42,25.405,25.38,25.405,12000
21,2021-07-12,25.4,25.41,25.38,25.38,25.38,1100
22,2021-07-13,25.385,25.385,25.344,25.344,25.344,500
23,2021-07-14,25.35,25.36,25.36,25.34,25.36,8500
24,2021-07-15,25.28,25.285,25.285,25.28,25.285,3500
25,2021-07-16,25.275,25.275,25.249,25.249,25.249,1800
26,2021-07-19,24.94,25.18,25.096,24.94,25.096,17900
27,2021-07-20,25.129,25.14,25.136,25.129,25.136,1100
28,2021-07-21,25.169,25.17,25.154,25.12,25.154,14500
29,2021-07-22,25.17,25.18,25.16,25.16,25.16,8700
30,2021-07-23,25.19,25.23,25.207,25.19,25.207,3600
31,2021-07-26,25.16,25.19,25.175,25.16,25.175,29000
32,2021-07-27,25.16,25.16,25.15,25.125,25.15,4300
33,2021-07-28,25.166,25.18,25.159,25.15,25.159,16300
34,2021-07-29,25.18,25.2,25.196,25.18,25.196,10700
35,2021-07-30,25.18,25.18,25.175,25.175,25.175,1200
36,2021-08-02,25.17,25.18,25.126,25.126,25.126,6800
37,2021-08-03,25.14,25.15,25.13,25.125,25.13,2700
38,2021-08-04,25.12,25.12,25.1,25.1,25.1,1700
39,2021-08-05,25.1,25.12,25.116,25.09,25.116,9300
40,2021-08-06,25.12,25.12,25.11,25.11,25.11,1700
41,2021-08-09,25.08,25.09,25.07,25.05,25.07,17200
42,2021-08-10,25.06,25.06,25.015,25.01,25.015,2600
43,2021-08-11,25.03,25.06,25.035,25.01,25.035,6000
44,2021-08-12,25.05,25.059,25.045,25.036,25.045,3400
45,2021-08-13,25.0,25.0,25.0,25.0,25.0,4600
46,2021-08-16,24.99,25.005,25.005,24.98,25.005,1616
47,2021-08-17,24.99,24.99,24.985,24.985,24.985,1566
48,2021-08-18,24.97,25.0,24.95,24.95,24.95,16700
49,2021-08-19,24.95,25.01,24.98,24.95,24.98,7100
50,2021-08-20,25.02,25.02,24.945,24.945,24.945,8200
51,2021-08-23,25.01,25.01,24.99,24.99,24.99,800
52,2021-08-24,24.98,25.01,24.98,24.97,24.98,22900
53,2021-08-25,24.96,24.995,24.995,24.96,24.995,5800
54,2021-08-26,24.98,24.999,24.975,24.97,24.975,96100
55,2021-08-27,25.05,25.06,25.04,25.01,25.04,15800
56,2021-08-30,25.08,25.08,25.065,25.065,25.065,1400
57,2021-08-31,25.09,25.1,25.075,25.05,25.075,7100
58,2021-09-01,25.119,25.119,25.105,25.105,25.105,500
59,2021-09-02,25.13,25.145,25.145,25.13,25.145,1900
60,2021-09-03,25.15,25.16,25.145,25.135,25.145,9100
61,2021-09-07,25.11,25.11,25.095,25.095,25.095,388
