Date,Open,High,Low,Close,AdjustedClose,Volume
1980-03-17,7.375,7.5,7.375,7.375,7.375,500
1980-03-18,7.251,7.251,7.126,7.251,7.251,1599
1980-03-19,7.375,7.375,7.375,7.375,7.375,1500
1980-03-20,7.251,7.5,7.251,7.251,7.251,500
1980-03-21,7.5,7.5,7.375,7.5,7.5,1401
1980-03-24,7.5,7.5,7.375,7.5,7.5,200
1980-03-25,7.251,7.375,7.251,7.251,7.251,2001
1980-03-26,6.997,7.251,6.997,6.997,6.997,1401
1980-03-27,6.997,7.126,6.997,6.997,6.997,1301
1980-03-28,7.126,7.126,7.126,7.126,7.126,1200
1980-03-31,7.126,7.251,7.126,7.126,7.126,901
1980-04-01,6.997,7.251,6.997,6.997,6.997,2801
1980-04-02,7.126,7.126,7.126,7.126,7.126,600
1980-04-03,7.126,7.251,7.126,7.126,7.126,801
1980-04-07,6.748,6.997,6.748,6.748,6.748,2001
1980-04-08,6.748,6.877,6.748,6.748,6.748,1701
1980-04-09,6.877,6.877,6.748,6.877,6.877,2500
1980-04-10,7.126,7.126,6.997,7.126,7.126,801
1980-04-14,6.997,7.126,6.997,6.997,6.997,1500
1980-04-15,7.251,7.251,7.251,7.251,7.251,1100
1980-04-16,7.375,7.5,7.375,7.375,7.375,1500
1980-04-17,7.251,7.251,7.251,7.251,7.251,500
1980-04-18,7.251,7.375,7.251,7.251,7.251,1301
1980-04-21,7.251,7.375,7.251,7.251,7.251,400
1980-04-24,7.251,7.251,7.251,7.251,7.251,1001
1980-04-28,7.126,7.375,6.997,7.126,7.126,4401
1980-04-29,7.126,7.126,7.126,7.126,7.126,100
1980-04-30,7.251,7.251,7.251,7.251,7.251,100
1980-05-02,7.251,7.375,7.251,7.251,7.251,400
1980-05-05,7.375,7.375,7.251,7.375,7.375,301
1980-05-06,7.375,7.375,7.375,7.375,7.375,100
1980-05-07,7.375,7.375,7.251,7.375,7.375,701
1980-05-08,7.251,7.251,7.251,7.251,7.251,500
1980-05-09,7.375,7.375,7.251,7.375,7.375,701
1980-05-12,6.997,7.251,6.997,6.997,6.997,1001
1980-05-14,6.997,6.997,6.997,6.997,6.997,500
1980-05-15,6.997,6.997,6.997,6.997,6.997,400
1980-05-16,6.877,6.877,6.748,6.877,6.877,1301
1980-05-19,6.877,6.997,6.748,6.877,6.877,2601
1980-05-20,6.997,6.997,6.877,6.997,6.997,1401
1980-05-22,7.251,7.251,6.997,7.251,7.251,2700
1980-05-23,7.126,7.126,7.126,7.126,7.126,400
1980-05-27,7.251,7.251,7.126,7.251,7.251,1701
1980-05-28,7.251,7.251,7.251,7.251,7.251,200
1980-05-30,6.877,6.997,6.877,6.877,6.877,2801
1980-06-02,6.997,6.997,6.877,6.997,6.997,701
1980-06-03,6.997,6.997,6.997,6.997,6.997,301
1980-06-04,7.126,7.126,6.997,7.126,7.126,400
1980-06-05,6.877,6.997,6.877,6.877,6.877,801
1980-06-06,7.126,7.126,6.997,7.126,7.126,500
1980-06-09,7.126,7.126,7.126,7.126,7.126,100
1980-06-10,7.126,7.126,6.997,7.126,7.126,200
1980-06-11,7.126,7.126,7.126,7.126,7.126,100
1980-06-12,6.997,7.126,6.997,6.997,6.997,901
1980-06-13,6.997,7.126,6.997,6.997,6.997,400
1980-06-16,6.997,6.997,6.877,6.997,6.997,801
1980-06-17,6.877,6.997,6.877,6.877,6.877,1500
1980-06-18,6.997,6.997,6.877,6.997,6.997,200
1980-06-19,6.997,6.997,6.877,6.997,6.997,301
1980-06-20,6.877,6.877,6.877,6.877,6.877,100
1980-06-23,6.877,6.877,6.877,6.877,6.877,400
1980-06-24,6.877,6.997,6.877,6.877,6.877,1001
1980-06-25,7.126,7.375,6.748,7.126,7.126,4701
1980-06-26,7.251,7.251,7.126,7.251,7.251,1200
1980-06-27,7.251,7.251,7.251,7.251,7.251,100
1980-06-30,6.997,7.126,6.997,6.997,6.997,901
1980-07-01,6.997,6.997,6.997,6.997,6.997,400
1980-07-03,7.126,7.126,6.997,7.126,7.126,400
1980-07-07,7.126,7.126,7.126,7.126,7.126,200
1980-07-08,7.126,7.126,6.997,7.126,7.126,400
1980-07-09,7.251,7.375,7.126,7.251,7.251,1599
1980-07-10,6.877,7.375,6.877,6.877,6.877,6200
1980-07-11,7.126,7.251,7.126,7.126,7.126,3201
1980-07-14,7.251,7.251,7.251,7.251,7.251,200
1980-07-15,7.251,7.375,7.251,7.251,7.251,400
1980-07-16,6.997,7.375,6.997,6.997,6.997,301
1980-07-17,7.5,7.5,7.251,7.5,7.5,1001
1980-07-18,7.375,7.375,7.375,7.375,7.375,1200
1980-07-21,7.5,7.5,7.5,7.5,7.5,200
1980-07-22,7.5,7.5,7.375,7.5,7.5,1301
1980-07-23,7.878,7.878,7.749,7.878,7.878,1401
1980-07-24,7.878,7.878,7.749,7.878,7.878,3901
1980-07-25,7.749,7.878,7.749,7.749,7.749,801
1980-07-28,7.749,7.878,7.749,7.749,7.749,1900
1980-07-29,7.749,7.749,7.749,7.749,7.749,200
1980-07-30,7.878,7.878,7.749,7.878,7.878,1301
1980-07-31,7.878,7.878,7.749,7.878,7.878,2200
1980-08-01,7.749,7.749,7.629,7.749,7.749,600
1980-08-04,7.5,7.629,7.5,7.5,7.5,200
1980-08-05,7.629,7.629,7.5,7.629,7.629,600
1980-08-06,7.629,7.629,7.5,7.629,7.629,301
1980-08-07,7.629,7.629,7.629,7.629,7.629,500
1980-08-08,7.749,7.878,7.629,7.749,7.749,6302
1980-08-11,8.127,8.127,7.749,8.127,8.127,6601
1980-08-12,8.127,8.256,8.127,8.127,8.127,4201
1980-08-13,8.127,8.256,8.127,8.127,8.127,1301
1980-08-14,8.256,8.256,8.256,8.256,8.256,801
1980-08-15,8.376,8.376,8.256,8.376,8.376,1701
1980-08-18,8.127,8.127,8.127,8.127,8.127,200
1980-08-19,8.256,8.256,8.256,8.256,8.256,901
1980-08-20,8.127,8.127,8.127,8.127,8.127,801
