,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,19.82,19.82,19.63,19.4566,19.397,113667
1,2021-06-11,19.78,19.78,19.65,19.52,19.4168,64832
2,2021-06-14,19.73,19.8,19.57,19.43,19.3377,84965
3,2021-06-15,19.6,19.7,19.47,19.25,19.2389,75485
4,2021-06-16,19.5,19.71,19.59,19.36,19.3575,91817
5,2021-06-17,19.65,19.65,19.45,19.04,19.2192,162869
6,2021-06-18,19.37,19.45,19.03,19.01,18.8042,232056
7,2021-06-21,19.12,19.6894,19.66,19.07,19.4267,131053
8,2021-06-22,19.66,19.66,19.54,19.34,19.3081,84594
9,2021-06-23,19.61,19.71,19.57,19.34,19.3377,95037
10,2021-06-24,19.54,19.63,19.59,19.3564,19.3575,84610
11,2021-06-25,19.65,19.97,19.95,19.54,19.7132,304442
12,2021-06-28,19.9,19.9,19.35,19.07,19.1204,146840
13,2021-06-29,19.41,19.61,19.37,19.27,19.1401,131017
14,2021-06-30,19.32,19.66,19.38,19.32,19.15,142155
15,2021-07-01,19.235,19.48,19.28,19.11,19.28,141803
16,2021-07-02,19.43,19.43,19.22,19.04,19.22,92340
17,2021-07-06,19.07,19.17,19.07,18.7,19.07,103052
18,2021-07-07,18.95,19.1,18.91,18.76,18.91,100505
19,2021-07-08,18.76,18.97,18.62,18.44,18.62,138318
20,2021-07-09,18.81,19.14,19.13,18.7503,19.13,104721
21,2021-07-12,19.0,19.63,19.61,18.945,19.61,149645
22,2021-07-13,19.6,19.66,19.19,19.18,19.19,121754
23,2021-07-14,19.19,19.44,19.31,19.075,19.31,121858
24,2021-07-15,19.16,19.35,19.23,19.036,19.23,124611
25,2021-07-16,19.38,19.53,19.14,19.09,19.14,90633
26,2021-07-19,18.84,18.85,18.36,18.12,18.36,162974
27,2021-07-20,18.36,19.18,18.94,18.36,18.94,127631
28,2021-07-21,19.11,19.485,19.11,19.0,19.11,95357
29,2021-07-22,19.07,19.07,18.61,18.47,18.61,79182
30,2021-07-23,18.62,18.85,18.58,18.46,18.58,81647
31,2021-07-26,18.53,19.0,19.0,18.53,19.0,68700
32,2021-07-27,18.87,19.04,18.8,18.71,18.8,105400
33,2021-07-28,18.91,19.0,18.83,18.65,18.83,70800
34,2021-07-29,19.09,19.31,19.09,18.93,19.09,91000
35,2021-07-30,19.11,19.49,19.07,18.99,19.07,179600
36,2021-08-02,19.19,19.59,18.99,18.87,18.99,114000
37,2021-08-03,19.17,19.3,19.25,18.74,19.25,153500
38,2021-08-04,19.07,19.25,18.86,18.81,18.86,80700
39,2021-08-05,18.93,19.36,19.36,18.93,19.36,63400
40,2021-08-06,19.58,19.69,19.3,19.22,19.3,74200
41,2021-08-09,19.3,19.32,19.06,18.94,19.06,63700
42,2021-08-10,19.09,19.28,19.21,18.86,19.21,44700
43,2021-08-11,19.25,19.5,19.49,19.12,19.49,57600
44,2021-08-12,19.54,19.54,19.24,19.11,19.24,50600
45,2021-08-13,19.23,19.44,19.25,19.1,19.25,33400
46,2021-08-16,19.19,19.45,19.16,19.06,19.16,90700
47,2021-08-17,18.98,19.0,18.96,18.67,18.96,58500
48,2021-08-18,18.87,19.04,18.86,18.66,18.86,65000
49,2021-08-19,18.7,18.95,18.79,18.57,18.79,72000
50,2021-08-20,18.77,19.23,19.02,18.67,19.02,142400
51,2021-08-23,19.14,19.21,19.05,18.77,19.05,74800
52,2021-08-24,19.08,19.1,19.05,18.92,19.05,47600
53,2021-08-25,19.06,19.19,18.9,18.9,18.9,118200
54,2021-08-26,18.85,18.96,18.73,18.72,18.73,90000
55,2021-08-27,18.7,19.27,19.11,18.7,19.11,97900
56,2021-08-30,19.13,19.13,19.03,18.77,19.03,98600
57,2021-08-31,19.03,19.13,19.08,18.95,19.08,90500
58,2021-09-01,19.1,19.26,19.12,18.91,19.12,62200
59,2021-09-02,19.2,19.25,19.21,18.98,19.21,85900
60,2021-09-03,19.22,19.22,19.16,18.96,19.16,54400
61,2021-09-07,19.17,19.17,18.77,18.765,18.77,90123
