,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,73.59,73.75,72.19,71.98,71.4772,37142
1,2021-06-11,72.11,72.5984,70.89,70.44,70.19,72158
2,2021-06-14,70.64,71.52,70.89,70.4,70.19,63800
3,2021-06-15,69.75,69.94,69.24,68.41,69.24,42400
4,2021-06-16,69.02,69.02,67.0,66.83,67.0,53900
5,2021-06-17,67.39,67.39,64.51,63.91,64.51,92400
6,2021-06-18,63.37,63.6,61.01,60.95,61.01,206100
7,2021-06-21,61.96,63.09,62.43,60.75,62.43,97200
8,2021-06-22,62.21,62.21,61.11,60.41,61.11,82700
9,2021-06-23,61.5,61.66,60.43,60.24,60.43,85400
10,2021-06-24,60.5,61.48,60.99,59.28,60.99,100700
11,2021-06-25,60.91,62.36,61.75,60.5,61.75,398100
12,2021-06-28,62.38,62.5,61.94,60.36,61.94,82400
13,2021-06-29,61.79,63.18,61.94,61.79,61.94,45000
14,2021-06-30,62.27,63.04,61.55,61.4,61.55,68000
15,2021-07-01,62.31,63.11,62.49,61.89,62.49,87800
16,2021-07-02,62.84,62.84,61.14,60.71,61.14,58200
17,2021-07-06,61.48,61.7,61.4,59.83,61.4,67200
18,2021-07-07,61.2,61.41,60.92,60.18,60.92,39000
19,2021-07-08,60.0,60.61,60.07,59.59,60.07,71700
20,2021-07-09,60.68,61.99,61.89,60.68,61.89,47100
21,2021-07-12,61.9,62.61,62.25,61.31,62.25,43700
22,2021-07-13,62.24,62.37,61.85,61.04,61.85,50400
23,2021-07-14,62.06,62.36,61.85,61.63,61.85,25000
24,2021-07-15,61.43,62.06,61.99,61.0,61.99,32800
25,2021-07-16,62.37,62.98,62.41,62.04,62.41,54100
26,2021-07-19,61.24,61.89,59.85,59.31,59.85,56800
27,2021-07-20,60.24,63.21,61.83,60.21,61.83,85600
28,2021-07-21,61.98,62.26,61.35,61.3,61.35,22100
29,2021-07-22,60.95,61.05,60.67,59.47,60.67,49800
30,2021-07-23,60.63,61.0,60.84,60.25,60.84,21100
31,2021-07-26,60.99,61.66,61.01,60.31,61.01,21200
32,2021-07-27,61.06,61.83,60.39,59.96,60.39,48800
33,2021-07-28,60.86,60.86,60.02,59.53,60.02,30500
34,2021-07-29,60.57,60.93,60.09,59.82,60.09,27100
35,2021-07-30,60.29,61.37,59.75,59.55,59.75,40100
36,2021-08-02,59.8,60.57,58.71,58.61,58.71,41300
37,2021-08-03,59.21,59.73,59.65,58.29,59.65,71600
38,2021-08-04,59.1,60.02,59.44,58.98,59.44,41300
39,2021-08-05,59.46,59.75,59.61,59.11,59.61,21700
40,2021-08-06,59.93,60.13,59.92,59.2,59.92,24800
41,2021-08-09,59.93,60.0,59.02,59.0,59.02,31000
42,2021-08-10,59.28,59.48,58.87,58.25,58.87,41400
43,2021-08-11,58.96,59.19,58.88,58.47,58.88,28000
44,2021-08-12,58.85,58.92,57.5,57.47,57.5,53200
45,2021-08-13,57.29,57.7,57.54,56.66,57.54,48500
46,2021-08-16,57.49,57.8,57.01,56.7,57.01,31400
47,2021-08-17,56.86,57.99,57.72,56.17,57.72,70600
48,2021-08-18,58.0,58.39,58.01,57.3,58.01,75000
49,2021-08-19,57.49,58.92,58.91,57.49,58.91,77700
50,2021-08-20,58.81,59.42,58.86,58.5,58.86,51000
51,2021-08-23,59.0,59.54,58.65,58.07,58.65,47400
52,2021-08-24,58.81,59.36,58.84,58.29,58.84,54000
53,2021-08-25,59.17,59.5,58.6,58.6,58.6,66800
54,2021-08-26,58.58,59.52,58.04,58.03,58.04,43200
55,2021-08-27,58.2,59.36,59.0,58.2,59.0,58300
56,2021-08-30,58.92,59.37,59.34,58.39,59.34,35117
57,2021-08-31,59.25,59.86,59.23,59.05,59.23,43499
58,2021-09-01,59.9,59.9,58.64,58.06,58.64,74783
59,2021-09-02,58.61,59.1,58.12,57.3,58.12,96600
60,2021-09-03,57.99,58.34,57.91,57.19,57.91,76500
61,2021-09-07,58.17,58.17,56.57,56.53,56.57,74874
