Date,Open,High,Low,Close,AdjustedClose,Volume
2018-10-01,24.6,24.6,24.55,24.55,24.55,24405
2018-10-02,24.6004,24.62,24.5782,24.62,24.62,12359
2018-10-03,24.74,24.74,24.58,24.6129,24.6129,11555
2018-10-04,24.58,24.58,24.46,24.5066,24.5066,59527
2018-10-05,24.51,24.52,24.469,24.52,24.52,14503
2018-10-08,24.43,24.52,24.43,24.52,24.52,28666
2018-10-09,24.54,24.54,24.54,24.54,24.54,5638
2018-10-10,24.54,24.55,24.14,24.14,24.14,12996
2018-10-11,24.0749,24.16,23.94,24.04,24.04,24080
2018-10-12,24.15,24.15,23.9504,24.1,24.1,10420
2018-10-15,24.03,24.0506,23.93,23.9675,23.9675,27333
2018-10-16,24.08,24.25,24.024,24.155,24.155,72614
2018-10-17,24.38,24.4,24.06,24.16,24.16,29631
2018-10-18,24.18,24.18,23.9686,24.06,24.06,15617
2018-10-19,24.08,24.12,24.0101,24.0101,24.0101,23839
2018-10-22,23.95,23.9592,23.895,23.93,23.93,10703
2018-10-23,23.79,23.91,23.66,23.89,23.89,62042
2018-10-24,23.99,23.99,23.6,23.6,23.6,37156
2018-10-25,23.67,23.8199,23.635,23.75,23.75,24055
2018-10-26,23.67,23.67,23.44,23.61,23.61,126948
2018-10-29,23.66,23.74,23.4,23.5,23.5,50077
2018-10-30,23.589,23.66,23.51,23.645,23.645,93154
2018-10-31,23.84,23.9,23.77,23.77,23.77,207282
2018-11-01,23.78,23.88,23.78,23.88,23.88,190943
2018-11-02,24.05,24.05,23.7455,23.82,23.82,20169
2018-11-05,23.87,23.91,23.82,23.89,23.89,12695
2018-11-06,23.95,23.95,23.91,23.91,23.91,10671
2018-11-07,24.1768,24.1768,24.1259,24.1591,24.1591,2400
2018-11-08,24.18,24.2184,24.13,24.15,24.15,33639
2018-11-09,24.11,24.13,23.9897,24.105,24.105,20588
2018-11-12,24.15,24.15,23.845,23.87,23.87,23006
2018-11-13,23.905,23.91,23.82,23.87,23.87,13700
2018-11-14,23.97,23.97,23.6949,23.71,23.71,29978
2018-11-15,23.719,23.8,23.5884,23.7899,23.7899,9833
2018-11-16,23.81,23.93,23.81,23.885,23.885,49243
2018-11-19,23.8061,23.82,23.6378,23.75,23.75,51839
2018-11-20,23.6,23.6,23.471,23.529,23.529,41166
2018-11-21,23.6,23.65,23.58,23.58,23.58,21212
2018-11-23,23.55,23.57,23.53,23.53,23.53,4361
2018-11-26,23.591,23.6393,23.591,23.6,23.6,4410
2018-11-27,23.55,23.67,23.5487,23.64,23.64,25539
2018-11-28,23.74,23.97,23.6828,23.97,23.97,156486
2018-11-29,23.8948,24.03,23.8948,23.99,23.99,27188
2018-11-30,23.97,24.05,23.9205,24.05,24.05,35831
2018-12-03,24.29,24.29,24.06,24.16,24.16,73967
2018-12-04,24.0913,24.0923,23.7901,23.81,23.81,13292
2018-12-06,23.645,23.83,23.56,23.83,23.83,60811
2018-12-07,23.7899,23.7899,23.515,23.595,23.595,97888
2018-12-10,23.5399,23.66,23.43,23.65,23.65,83200
2018-12-11,23.73,23.73,23.53,23.561,23.561,58341
2018-12-12,23.745,23.81,23.6177,23.65,23.65,53806
2018-12-13,23.6764,23.68,23.52,23.575,23.575,145774
2018-12-14,23.56,23.56,23.41,23.444,23.444,211721
2018-12-17,23.46,23.46,23.1401,23.2,23.2,115915
2018-12-18,23.2641,23.37,23.17,23.3,23.3,154528
2018-12-19,23.36,23.41,23.0601,23.1338,23.1338,146200
2018-12-20,23.08,23.13,22.956,23.02,23.02,236145
2018-12-21,22.85,23.0657,22.81,22.81,22.81,205670
2018-12-24,22.88,22.9,22.64,22.72,22.72,92524
2018-12-26,22.869,22.96,22.6201,22.88,22.88,219377
2018-12-27,22.8361,23.1,22.7801,23.1,23.1,15003
2018-12-28,23.1,23.2,22.9961,23,23,120376
2018-12-31,23.37,23.37,22.93,23.03,23.03,231798
2019-01-02,23.019,23.09,22.91,22.95,22.95,424685
2019-01-03,22.95,22.95,22.79,22.8001,22.8001,64282
2019-01-04,23.04,23.0599,22.99,23.0543,23.0543,17323
2019-01-07,23.1321,23.235,23.12,23.12,23.12,42852
2019-01-08,23.2001,23.24,23.12,23.12,23.12,20273
2019-01-09,23.2223,23.26,23.2,23.2001,23.2001,22260
2019-01-10,23.21,23.35,23.153,23.28,23.28,52166
2019-01-11,23.49,23.49,23.1872,23.26,23.26,32652
2019-01-14,23.46,23.46,23.2,23.225,23.225,6914
2019-01-15,23.28,23.39,23.22,23.3676,23.3676,9674
2019-01-16,23.3213,23.36,23.2399,23.34,23.34,31036
2019-01-17,23.31,23.42,23.233,23.3437,23.3437,34245
2019-01-18,23.4157,23.54,23.4113,23.4606,23.4606,48120
2019-01-22,23.63,23.63,23.2701,23.33,23.33,149781
2019-01-23,23.55,23.55,23.28,23.3372,23.3372,44423
2019-01-24,23.62,23.62,23.31,23.3594,23.3594,19837
2019-01-25,23.69,23.69,23.4186,23.465,23.465,23735
2019-01-28,23.25,23.4499,23.25,23.4244,23.4244,41277
2019-01-29,23.4477,23.4899,23.3101,23.4402,23.4402,16378
2019-01-30,23.68,23.68,23.4229,23.5452,23.5452,9745
2019-01-31,23.55,23.72,23.55,23.7032,23.7032,12670
2019-02-01,23.88,23.88,23.6301,23.665,23.665,17297
2019-02-04,23.7,23.74,23.63,23.74,23.74,13288
2019-02-05,23.8,23.82,23.6682,23.7946,23.7946,14420
2019-02-06,23.7557,23.82,23.75,23.82,23.82,12625
2019-02-07,23.7,23.75,23.62,23.6872,23.6872,173463
2019-02-08,23.67,23.7299,23.61,23.6748,23.6748,28106
2019-02-11,23.91,23.91,23.6993,23.72,23.72,37506
2019-02-12,23.8,23.87,23.67,23.6701,23.6701,89965
2019-02-13,23.85,23.85,23.75,23.8,23.8,18348
2019-02-14,23.8,23.83,23.71,23.7812,23.7812,61191
2019-02-15,23.7912,23.9,23.7912,23.89,23.89,20666
2019-02-19,23.73,23.9699,23.73,23.85,23.85,21558
2019-02-20,23.8529,24,23.8529,24,24,24282
2019-02-21,23.95,23.98,23.8768,23.98,23.98,26763
2019-02-22,23.955,24.0639,23.91,24.0639,24.0639,21062
2019-02-25,24.1,24.18,24.0301,24.1,24.1,25111
2019-02-26,24.0473,24.0912,24,24,24,57375
2019-02-27,24.0499,24.0499,23.9721,23.995,23.995,25305
2019-02-28,24.004,24.0891,23.9907,24.0891,24.0891,8312
2019-03-01,24.1,24.1,23.96,24.04,24.04,5982
2019-03-04,24.27,24.27,23.92,23.92,23.92,24725
2019-03-05,23.9742,24.03,23.9301,24.03,24.03,3744
2019-03-06,23.999,23.999,23.86,23.965,23.965,20759
2019-03-07,23.95,23.97,23.7892,23.9,23.9,17544
2019-03-08,23.77,23.8,23.65,23.7357,23.7357,18546
2019-03-11,23.8,23.9706,23.8,23.9706,23.9706,53622
2019-03-12,23.63,24.07,23.63,24.02,24.02,26908
2019-03-13,24.1,24.1,23.9832,24.1,24.1,8838
2019-03-14,24.02,24.0736,24.0001,24.055,24.055,24934
2019-03-15,24.03,24.15,24.03,24.135,24.135,10420
2019-03-18,24.2699,24.2699,24.115,24.115,24.115,16267
2019-03-19,24.26,24.34,24.17,24.1979,24.1979,26714
2019-03-20,24.13,24.2055,24.0801,24.1346,24.1346,9686
2019-03-21,24.1638,24.33,24.1638,24.3048,24.3048,3904
2019-03-22,24.21,24.26,24.07,24.0736,24.0736,34011
2019-03-25,24.1,24.1,23.9614,24.0499,24.0499,13700
2019-03-26,24.38,24.38,24.08,24.08,24.08,11185
2019-03-27,24.15,24.15,24.025,24.0556,24.0556,15687
2019-03-28,24.16,24.16,24.0511,24.1098,24.1098,20332
2019-03-29,24.175,24.26,24.17,24.1912,24.1912,104862
2019-04-01,24.28,24.41,24.28,24.3998,24.3998,21716
2019-04-02,24.42,24.44,24.3501,24.44,24.44,43916
2019-04-03,24.4946,24.519,24.38,24.4036,24.4036,52067
