,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,25.11,25.11,25.1,25.1,25.1,392000
1,2021-06-11,25.1,25.11,25.1,25.1,25.1,211300
2,2021-06-14,25.1,25.11,25.11,25.1,25.11,1079500
3,2021-06-15,25.11,25.11,25.1,25.1,25.1,385300
4,2021-06-16,25.11,25.11,25.1,25.1,25.1,477300
5,2021-06-17,25.1,25.11,25.11,25.1,25.11,174300
6,2021-06-18,25.1,25.11,25.11,25.1,25.11,230000
7,2021-06-21,25.1,25.11,25.1,25.1,25.1,172400
8,2021-06-22,25.1,25.11,25.11,25.1,25.11,98900
9,2021-06-23,25.1,25.11,25.11,25.1,25.11,136200
10,2021-06-24,25.1,25.11,25.11,25.1,25.11,225100
11,2021-06-25,25.1,25.11,25.1,25.1,25.1,143000
12,2021-06-28,25.1,25.11,25.11,25.1,25.11,321000
13,2021-06-29,25.1,25.11,25.1,25.1,25.1,117100
14,2021-06-30,25.11,25.11,25.11,25.1,25.11,325700
15,2021-07-01,25.1,25.11,25.1,25.09,25.1,337500
16,2021-07-02,25.1,25.11,25.1,25.1,25.1,193900
17,2021-07-06,25.1,25.11,25.11,25.1,25.11,160900
18,2021-07-07,25.1,25.11,25.11,25.1,25.11,304100
19,2021-07-08,25.1,25.11,25.1,25.1,25.1,154700
20,2021-07-09,25.1,25.11,25.1,25.1,25.1,177200
21,2021-07-12,25.1,25.11,25.1,25.1,25.1,232000
22,2021-07-13,25.11,25.11,25.1,25.1,25.1,166500
23,2021-07-14,25.1,25.11,25.11,25.1,25.11,222500
24,2021-07-15,25.1,25.11,25.11,25.1,25.11,212700
25,2021-07-16,25.11,25.11,25.1,25.1,25.1,156900
26,2021-07-19,25.1,25.11,25.11,25.1,25.11,185800
27,2021-07-20,25.1,25.11,25.11,25.1,25.11,192400
28,2021-07-21,25.1,25.11,25.1,25.1,25.1,204600
29,2021-07-22,25.1,25.11,25.1,25.1,25.1,100600
30,2021-07-23,25.1,25.11,25.1,25.1,25.1,129300
31,2021-07-26,25.1,25.11,25.1,25.1,25.1,155500
32,2021-07-27,25.1,25.11,25.1,25.1,25.1,148200
33,2021-07-28,25.11,25.11,25.1,25.1,25.1,94200
34,2021-07-29,25.1,25.11,25.1,25.1,25.1,67900
35,2021-07-30,25.1,25.11,25.1,25.1,25.1,410800
36,2021-08-02,25.1,25.11,25.1,25.1,25.1,126800
37,2021-08-03,25.1,25.11,25.11,25.1,25.11,100600
38,2021-08-04,25.1,25.11,25.1,25.1,25.1,141400
39,2021-08-05,25.1,25.11,25.1,25.1,25.1,214300
40,2021-08-06,25.1,25.11,25.1,25.1,25.1,100000
41,2021-08-09,25.1,25.11,25.1,25.1,25.1,1015800
42,2021-08-10,25.11,25.11,25.11,25.1,25.11,200700
43,2021-08-11,25.1,25.11,25.11,25.1,25.11,259900
44,2021-08-12,25.11,25.11,25.1,25.1,25.1,193100
45,2021-08-13,25.1,25.11,25.11,25.1,25.11,220400
46,2021-08-16,25.1,25.11,25.11,25.1,25.11,1027300
47,2021-08-17,25.1,25.11,25.1,25.1,25.1,259200
48,2021-08-18,25.11,25.11,25.1,25.1,25.1,121700
49,2021-08-19,25.1,25.11,25.11,25.1,25.11,203600
50,2021-08-20,25.1,25.11,25.1,25.1,25.1,94200
51,2021-08-23,25.1,25.11,25.11,25.1,25.11,106300
52,2021-08-24,25.1,25.11,25.1,25.1,25.1,363800
53,2021-08-25,25.1,25.11,25.1,25.1,25.1,204600
54,2021-08-26,25.11,25.11,25.1,25.1,25.1,230600
55,2021-08-27,25.1,25.11,25.1,25.1,25.1,205400
56,2021-08-30,25.11,25.11,25.1,25.1,25.1,156100
57,2021-08-31,25.1,25.11,25.1,25.1,25.1,333000
58,2021-09-01,25.1,25.11,25.1,25.1,25.1,212700
59,2021-09-02,25.1,25.11,25.11,25.1,25.11,192800
60,2021-09-03,25.1,25.11,25.1,25.1,25.1,283300
61,2021-09-07,25.1,25.12,25.1,25.1,25.1,556962
