,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,72.89,73.34,73.32,72.76,73.32,3331800
1,2021-06-11,73.28,73.28,73.23,72.98,73.23,4256200
2,2021-06-14,73.32,73.35,73.35,72.94,73.35,1718300
3,2021-06-15,73.45,73.45,73.08,73.03,73.08,3189000
4,2021-06-16,73.24,73.26,72.5,72.23,72.5,3186700
5,2021-06-17,72.38,72.86,72.68,72.28,72.68,4013400
6,2021-06-18,72.43,72.43,71.84,71.81,71.84,4013600
7,2021-06-21,72.27,72.79,72.76,72.0,72.76,3732200
8,2021-06-22,72.76,73.13,72.98,72.71,72.98,2727800
9,2021-06-23,73.03,73.03,72.61,72.61,72.61,2412900
10,2021-06-24,73.04,73.2,73.08,72.91,73.08,2177700
11,2021-06-25,73.25,73.6,73.56,73.14,73.56,1948200
12,2021-06-28,73.69,73.77,73.7,73.5,73.7,1697000
13,2021-06-29,73.7,73.89,73.67,73.58,73.67,2120000
14,2021-06-30,73.73,73.78,73.61,73.55,73.61,2109800
15,2021-07-01,73.64,74.09,74.06,73.64,74.06,1804700
16,2021-07-02,74.29,74.57,74.52,74.2,74.52,1542600
17,2021-07-06,74.53,74.59,74.51,74.04,74.51,1763300
18,2021-07-07,74.64,74.97,74.96,74.55,74.96,2574300
19,2021-07-08,74.28,74.61,74.47,74.18,74.47,2937600
20,2021-07-09,74.81,75.03,74.99,74.56,74.99,2562300
21,2021-07-12,75.02,75.07,75.01,74.88,75.01,2431100
22,2021-07-13,74.96,75.28,74.85,74.8,74.85,2590700
23,2021-07-14,75.14,75.21,75.12,74.95,75.12,1888400
24,2021-07-15,74.94,75.22,75.19,74.86,75.19,1826800
25,2021-07-16,75.47,75.58,75.28,75.2,75.28,2820400
26,2021-07-19,74.82,75.03,74.58,74.07,74.58,6238800
27,2021-07-20,74.8,75.45,75.19,74.69,75.19,2291100
28,2021-07-21,75.16,75.35,75.23,75.07,75.23,1892700
29,2021-07-22,75.19,75.5,75.47,75.15,75.47,2654900
30,2021-07-23,75.74,76.3,76.25,75.54,76.25,2012500
31,2021-07-26,76.2,76.23,76.11,75.93,76.11,1642400
32,2021-07-27,76.11,76.23,76.23,75.85,76.23,2178200
33,2021-07-28,76.15,76.22,76.05,75.83,76.05,3055700
34,2021-07-29,76.31,76.4,76.23,76.19,76.23,1478500
35,2021-07-30,75.82,76.45,76.22,75.82,76.22,1926300
36,2021-08-02,76.31,76.47,76.09,76.03,76.09,2024200
37,2021-08-03,76.0,76.57,76.56,75.95,76.56,2705500
38,2021-08-04,76.53,76.59,76.26,76.13,76.26,2143500
39,2021-08-05,76.35,76.53,76.52,76.22,76.52,1652000
40,2021-08-06,76.44,76.59,76.48,76.34,76.48,1598700
41,2021-08-09,76.58,76.62,76.56,76.42,76.56,2117800
42,2021-08-10,76.54,76.68,76.49,76.4,76.49,1481700
43,2021-08-11,76.67,76.8,76.6,76.53,76.6,2186800
44,2021-08-12,76.75,76.81,76.77,76.51,76.77,1511500
45,2021-08-13,76.9,77.09,77.09,76.88,77.09,1602200
46,2021-08-16,76.89,77.49,77.49,76.81,77.49,2590500
47,2021-08-17,77.24,77.59,77.57,77.13,77.57,2886700
48,2021-08-18,77.42,77.53,76.68,76.64,76.68,2729000
49,2021-08-19,76.22,77.22,77.02,76.22,77.02,4861300
50,2021-08-20,77.05,77.71,77.59,76.91,77.59,2809500
51,2021-08-23,77.75,77.97,77.75,77.65,77.75,1889300
52,2021-08-24,77.88,77.88,77.5,77.49,77.5,1550600
53,2021-08-25,77.52,77.58,77.49,77.29,77.49,1914100
54,2021-08-26,77.42,77.46,77.12,77.03,77.12,2040000
55,2021-08-27,77.24,77.53,77.46,77.02,77.46,1600500
56,2021-08-30,77.5,77.91,77.74,77.46,77.74,1402352
57,2021-08-31,77.77,77.82,77.65,77.52,77.65,1953693
58,2021-09-01,77.735,78.05,77.94,77.595,77.94,2583931
59,2021-09-02,78.16,78.32,78.28,78.01,78.28,1860600
60,2021-09-03,78.11,78.39,78.26,77.93,78.26,1452000
61,2021-09-07,78.19,78.19,77.42,77.34,77.42,1640051
