,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,1.02,1.03,1.01,1.0,1.01,1248472
1,2021-06-11,1.0,1.01,0.9314,0.9077,0.9314,3558329
2,2021-06-14,0.93,1.01,0.9432,0.93,0.9432,3032182
3,2021-06-15,0.97,0.97,0.9359,0.93,0.9359,1462346
4,2021-06-16,0.9328,0.936,0.911,0.9,0.911,1799951
5,2021-06-17,0.8943,0.933,0.9003,0.88,0.9003,1269119
6,2021-06-18,0.9,0.92,0.8683,0.8683,0.8683,1011679
7,2021-06-21,0.8878,1.02,0.97,0.871,0.97,4305653
8,2021-06-22,0.9676,1.01,0.9345,0.9231,0.9345,2195911
9,2021-06-23,0.96,0.97,0.97,0.92,0.97,2028168
10,2021-06-24,0.969,1.0,0.9999,0.9536,0.9999,1826055
11,2021-06-25,1.03,1.07,1.06,1.0,1.06,3979043
12,2021-06-28,1.08,1.09,1.04,1.01,1.04,2400158
13,2021-06-29,1.03,1.04,0.9869,0.9703,0.9869,1740646
14,2021-06-30,0.983,1.05,1.01,0.935,1.01,5074404
15,2021-07-01,1.09,1.18,1.12,1.04,1.12,8856819
16,2021-07-02,1.1,1.11,1.08,1.04,1.08,1785528
17,2021-07-06,1.06,1.07,1.04,1.0,1.04,1818005
18,2021-07-07,1.05,1.14,1.12,1.02,1.12,4914962
19,2021-07-08,1.03,1.16,1.13,1.02,1.13,2725380
20,2021-07-09,1.14,1.165,1.12,1.11,1.12,1343836
21,2021-07-12,1.12,1.13,1.11,1.09,1.11,857397
22,2021-07-13,1.1,1.125,1.12,1.05,1.12,2030821
23,2021-07-14,1.12,1.19,1.13,1.09,1.13,4332564
24,2021-07-15,1.1,1.1445,1.07,1.03,1.07,1374358
25,2021-07-16,1.1,1.1,1.02,1.02,1.02,804766
26,2021-07-19,0.95,0.9689,0.9586,0.9102,0.9586,1596190
27,2021-07-20,0.98,0.98,0.9749,0.9303,0.9749,823710
28,2021-07-21,0.9723,1.04,1.03,0.97,1.03,904484
29,2021-07-22,1.02,1.0312,0.9975,0.963,0.9975,740527
30,2021-07-23,1.0023,1.01,0.9435,0.94,0.9435,687593
31,2021-07-26,0.95,0.985,0.9604,0.95,0.9604,599579
32,2021-07-27,0.9604,0.9604,0.915,0.9101,0.915,3782445
33,2021-07-28,0.9849,1.06,0.9998,0.9512,0.9998,3684592
34,2021-07-29,0.9801,1.01,0.9999,0.97,0.9999,912840
35,2021-07-30,0.98,0.9999,0.9643,0.9643,0.9643,410813
36,2021-08-02,1.0,1.005,0.9714,0.9651,0.9714,586670
37,2021-08-03,0.97,0.979,0.9294,0.9033,0.9294,1372421
38,2021-08-04,0.931,0.94,0.8915,0.88,0.8915,901624
39,2021-08-05,0.9096,0.977,0.9299,0.896,0.9299,1450773
40,2021-08-06,0.921,0.945,0.9169,0.91,0.9169,728535
41,2021-08-09,0.9264,0.99,0.959,0.9101,0.959,1445886
42,2021-08-10,0.95,0.9659,0.955,0.922,0.955,1172206
43,2021-08-11,0.92,0.9551,0.9365,0.9018,0.9365,1082878
44,2021-08-12,0.89,0.9069,0.8689,0.84,0.8689,1756626
45,2021-08-13,0.8443,0.8798,0.8223,0.8109,0.8223,1076450
46,2021-08-16,0.81,0.8233,0.765,0.76,0.765,1095704
47,2021-08-17,0.784,0.798,0.7273,0.711,0.7273,1191185
48,2021-08-18,0.7476,0.75,0.7375,0.715,0.7375,684873
49,2021-08-19,0.7275,0.7275,0.7041,0.695,0.7041,811431
50,2021-08-20,0.71,0.7195,0.7154,0.7013,0.7154,601890
51,2021-08-23,0.7144,0.7763,0.7511,0.7144,0.7511,686099
52,2021-08-24,0.7637,0.799,0.7908,0.7523,0.7908,973235
53,2021-08-25,0.78,0.8,0.76,0.7501,0.76,1500789
54,2021-08-26,0.7587,0.769,0.7501,0.74,0.7501,822237
55,2021-08-27,0.7497,0.775,0.7694,0.7456,0.7694,1243344
56,2021-08-30,0.7808,0.8475,0.8275,0.7631,0.8275,1974694
57,2021-08-31,0.831,0.8346,0.8188,0.8035,0.8188,779633
58,2021-09-01,0.82,0.8282,0.8016,0.8001,0.8016,534135
59,2021-09-02,0.809,0.8199,0.8074,0.7807,0.8074,1660583
60,2021-09-03,0.8,0.8699,0.839,0.785,0.839,4112587
61,2021-09-07,0.8098,0.8449,0.8206,0.8028,0.8206,2053673
