,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,15.3,16.12,15.19,15.178,15.19,16700
1,2021-06-11,15.16,15.87,15.44,15.14,15.44,11400
2,2021-06-14,15.4,15.505,14.69,14.323,14.69,14400
3,2021-06-15,15.34,15.34,14.49,14.35,14.49,20300
4,2021-06-16,14.49,14.57,14.01,13.615,14.01,30600
5,2021-06-17,14.15,14.29,13.95,13.9,13.95,18700
6,2021-06-18,14.0,14.3,14.3,14.0,14.3,23000
7,2021-06-21,14.25,15.15,14.71,14.25,14.71,28400
8,2021-06-22,15.43,16.28,16.0,15.285,16.0,82000
9,2021-06-23,16.0,16.0,15.96,15.25,15.96,13900
10,2021-06-24,16.1,16.1,15.4,15.38,15.4,18100
11,2021-06-25,15.71,15.71,15.19,15.0,15.19,12800
12,2021-06-28,15.3,15.43,14.7,14.5,14.7,29600
13,2021-06-29,15.0,15.38,14.33,14.23,14.33,48000
14,2021-06-30,14.65,17.99,16.78,14.65,16.78,149500
15,2021-07-01,16.94,16.94,15.61,15.599,15.61,21000
16,2021-07-02,15.75,16.229,14.95,14.95,14.95,20900
17,2021-07-06,15.25,15.926,15.18,15.15,15.18,9700
18,2021-07-07,15.16,15.847,15.3,14.4,15.3,26500
19,2021-07-08,15.32,15.39,14.52,14.52,14.52,22700
20,2021-07-09,14.66,15.485,14.85,14.66,14.85,7400
21,2021-07-12,15.515,15.93,15.57,14.8496,15.57,19852
22,2021-07-13,15.42,16.39,16.39,15.11,16.39,28049
23,2021-07-14,16.1,16.19,15.95,15.95,15.95,7900
24,2021-07-15,16.2,16.2,15.995,15.9,15.995,13600
25,2021-07-16,16.48,16.48,16.0,15.95,16.0,100700
26,2021-07-19,16.0,16.0,15.61,15.46,15.61,6800
27,2021-07-20,15.515,16.312,14.88,14.56,14.88,31600
28,2021-07-21,14.72,15.49,14.75,14.55,14.75,20900
29,2021-07-22,14.8,15.156,14.76,14.75,14.76,3900
30,2021-07-23,14.81,15.0,14.68,14.395,14.68,10400
31,2021-07-26,15.27,15.27,15.0,14.61,15.0,10900
32,2021-07-27,14.99,15.13,15.0,14.7,15.0,5700
33,2021-07-28,15.1,15.34,14.5,14.5,14.5,4100
34,2021-07-29,14.51,14.99,14.77,14.51,14.77,5000
35,2021-07-30,14.75,14.8,14.56,14.56,14.56,1500
36,2021-08-02,14.859,15.467,15.43,14.563,15.43,37400
37,2021-08-03,15.08,15.39,15.07,14.81,15.07,15600
38,2021-08-04,14.774,15.225,14.9,14.55,14.9,10100
39,2021-08-05,15.01,15.01,15.0,14.56,15.0,9200
40,2021-08-06,14.62,15.87,14.86,14.596,14.86,68900
41,2021-08-09,16.29,16.29,15.58,14.87,15.58,17000
42,2021-08-10,15.8,15.8,15.02,14.8,15.02,7700
43,2021-08-11,14.8,15.25,14.77,14.6,14.77,21500
44,2021-08-12,14.75,15.125,14.72,14.4,14.72,13400
45,2021-08-13,14.973,14.973,14.55,14.41,14.55,13700
46,2021-08-16,14.92,14.99,14.79,14.37,14.79,3500
47,2021-08-17,14.59,14.72,14.4,14.4,14.4,1800
48,2021-08-18,14.745,14.78,14.43,14.25,14.43,10600
49,2021-08-19,14.2,14.4,14.0,13.85,14.0,32400
50,2021-08-20,13.83,14.97,14.85,13.8,14.85,62800
51,2021-08-23,14.78,14.92,14.92,13.92,14.92,42700
52,2021-08-24,14.96,15.43,14.71,14.6,14.71,11100
53,2021-08-25,14.56,15.08,14.44,14.09,14.44,14000
54,2021-08-26,14.86,15.19,15.19,14.05,15.19,14000
55,2021-08-27,15.27,15.39,15.39,14.8,15.39,2700
56,2021-08-30,14.79,14.944,14.85,14.23,14.85,4600
57,2021-08-31,14.131,15.13,15.13,14.109,15.13,5400
58,2021-09-01,14.53,14.8,14.7,14.53,14.7,3300
59,2021-09-02,15.0,15.0,14.54,14.28,14.54,4800
60,2021-09-03,15.0,15.0,14.96,14.315,14.96,6400
61,2021-09-07,15.3,15.4904,14.93,14.93,14.93,18503
