,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,13.14,13.5,13.25,13.02,13.25,49300
1,2021-06-11,13.31,13.47,13.15,12.79,13.15,55500
2,2021-06-14,13.15,13.215,13.01,12.95,13.01,114973
3,2021-06-15,12.93,13.16,13.04,12.88,13.04,41568
4,2021-06-16,12.99,13.04,12.86,12.75,12.86,32800
5,2021-06-17,12.81,13.0,12.51,12.29,12.51,47100
6,2021-06-18,12.41,12.56,12.56,12.091,12.56,27300
7,2021-06-21,12.56,12.9,12.84,12.56,12.84,47100
8,2021-06-22,12.87,13.05,12.91,12.69,12.91,42800
9,2021-06-23,12.99,13.02,12.9,12.61,12.9,46500
10,2021-06-24,12.91,12.98,12.55,12.38,12.55,149900
11,2021-06-25,12.5,12.89,12.55,12.32,12.55,914200
12,2021-06-28,12.4,12.5,12.5,12.24,12.5,22500
13,2021-06-29,12.5,12.5,12.41,11.99,12.41,22900
14,2021-06-30,12.3,12.82,12.49,12.3,12.49,37500
15,2021-07-01,12.4,12.85,12.82,12.4,12.82,24600
16,2021-07-02,12.87,13.489,12.69,12.67,12.69,40600
17,2021-07-06,12.42,12.52,11.62,11.42,11.62,31000
18,2021-07-07,11.59,12.16,12.03,11.5,12.03,16100
19,2021-07-08,11.86,12.07,12.0,11.57,12.0,18100
20,2021-07-09,12.15,12.62,12.36,12.015,12.36,16500
21,2021-07-12,12.4,12.74,12.49,12.17,12.49,16300
22,2021-07-13,12.47,12.64,12.56,12.46,12.56,17300
23,2021-07-14,12.56,12.74,12.53,12.3,12.53,24900
24,2021-07-15,12.43,12.65,12.52,12.355,12.52,19800
25,2021-07-16,12.65,12.65,12.49,12.16,12.49,20400
26,2021-07-19,12.28,12.3,11.97,11.8,11.97,25200
27,2021-07-20,11.96,12.64,12.5,11.96,12.5,40500
28,2021-07-21,12.55,13.29,12.97,12.55,12.97,27500
29,2021-07-22,12.627,13.31,12.82,12.52,12.82,17500
30,2021-07-23,12.75,13.396,13.0,12.75,13.0,62500
31,2021-07-26,13.0,13.25,13.22,13.0,13.22,17800
32,2021-07-27,13.28,13.28,13.14,12.89,13.14,14700
33,2021-07-28,13.0,13.25,13.25,12.77,13.25,17400
34,2021-07-29,13.39,13.41,13.41,12.96,13.41,12600
35,2021-07-30,13.32,13.32,12.65,12.44,12.65,22200
36,2021-08-02,13.1,13.1,12.06,11.766,12.06,18900
37,2021-08-03,11.97,12.04,11.55,10.715,11.55,32300
38,2021-08-04,11.32,12.025,11.96,11.32,11.96,15000
39,2021-08-05,11.73,12.369,12.2,11.53,12.2,14400
40,2021-08-06,13.42,13.8,13.26,13.0,13.26,25800
41,2021-08-09,13.25,13.4,12.87,12.71,12.87,16800
42,2021-08-10,12.99,13.18,13.04,12.72,13.04,8400
43,2021-08-11,13.04,13.51,13.33,12.795,13.33,11900
44,2021-08-12,13.663,13.663,13.29,13.14,13.29,12800
45,2021-08-13,13.29,13.29,12.94,12.89,12.94,3400
46,2021-08-16,12.83,13.28,13.03,12.83,13.03,9600
47,2021-08-17,13.01,13.42,12.68,12.65,12.68,11800
48,2021-08-18,12.81,13.33,13.24,12.81,13.24,14900
49,2021-08-19,13.05,13.05,12.86,12.6,12.86,5800
50,2021-08-20,12.67,13.107,12.95,12.67,12.95,9000
51,2021-08-23,12.998,12.998,12.57,12.26,12.57,13700
52,2021-08-24,12.57,12.72,12.33,12.32,12.33,6700
53,2021-08-25,12.44,13.31,12.88,12.36,12.88,10300
54,2021-08-26,13.04,13.09,12.73,12.6,12.73,9600
55,2021-08-27,12.9,13.24,13.21,12.87,13.21,11600
56,2021-08-30,13.07,13.07,12.77,12.69,12.77,6500
57,2021-08-31,12.765,13.02,12.87,12.31,12.87,20600
58,2021-09-01,13.0,13.003,12.91,12.61,12.91,9300
59,2021-09-02,12.94,13.3599,13.23,12.94,13.23,12041
60,2021-09-03,13.09,13.155,12.58,12.53,12.58,4589
61,2021-09-07,12.65,13.33,13.15,12.65,13.15,25485
