,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,66.46,67.07,67.07,66.46,66.9677,282498
1,2021-06-11,67.12,67.25,67.25,66.909,67.1474,210955
2,2021-06-14,67.21,67.81,67.79,67.1222,67.6866,226428
3,2021-06-15,67.82,67.82,67.43,67.3269,67.3271,254022
4,2021-06-16,67.55,67.68,67.14,66.59,67.0376,303020
5,2021-06-17,67.0084,68.15,67.97,66.96,67.8663,502751
6,2021-06-18,67.67,67.89,67.48,67.42,67.377,510595
7,2021-06-21,67.7,68.17,68.13,67.19,68.026,512297
8,2021-06-22,68.11,68.86,68.78,68.11,68.675,241518
9,2021-06-23,68.78,69.0,68.84,68.68,68.735,332848
10,2021-06-24,69.27,69.45,69.13,69.05,69.0245,292363
11,2021-06-25,69.32,69.35,69.28,69.055,69.1743,207748
12,2021-06-28,69.49,69.86,69.86,69.45,69.753,269300
13,2021-06-29,69.79,70.0,69.93,69.64,69.93,318800
14,2021-06-30,69.89,69.96,69.82,69.73,69.82,251100
15,2021-07-01,69.81,70.03,70.03,69.61,70.03,259800
16,2021-07-02,70.24,70.83,70.8,70.24,70.8,300800
17,2021-07-06,70.93,71.22,71.22,70.54,71.22,347900
18,2021-07-07,71.58,71.58,71.4,70.96,71.4,417300
19,2021-07-08,70.42,71.08,70.88,70.06,70.88,1125300
20,2021-07-09,70.96,71.52,71.46,70.89,71.46,303600
21,2021-07-12,71.68,71.73,71.64,71.4,71.64,311300
22,2021-07-13,71.57,72.07,71.48,71.36,71.48,1057300
23,2021-07-14,71.96,72.03,71.6,71.43,71.6,348600
24,2021-07-15,71.58,71.62,71.19,70.76,71.19,440300
25,2021-07-16,71.45,71.47,70.65,70.64,70.65,396400
26,2021-07-19,69.85,70.07,69.93,69.44,69.93,593900
27,2021-07-20,70.25,71.3,71.0,69.92,71.0,337200
28,2021-07-21,71.15,71.54,71.51,71.05,71.51,267300
29,2021-07-22,71.69,72.07,72.07,71.57,72.07,555900
30,2021-07-23,72.53,73.11,73.03,72.31,73.03,927100
31,2021-07-26,73.0,73.1,73.05,72.75,73.05,267200
32,2021-07-27,72.98,72.98,72.39,71.61,72.39,570900
33,2021-07-28,72.54,72.76,72.5,72.01,72.5,420500
34,2021-07-29,72.51,72.89,72.63,72.5,72.63,251700
35,2021-07-30,71.83,72.34,72.1,71.83,72.1,489000
36,2021-08-02,72.53,72.53,72.03,71.97,72.03,319300
37,2021-08-03,72.24,72.55,72.55,71.68,72.55,426200
38,2021-08-04,72.55,72.77,72.56,72.33,72.56,254400
39,2021-08-05,72.73,73.1,73.1,72.61,73.1,226400
40,2021-08-06,73.02,73.07,72.78,72.59,72.78,323400
41,2021-08-09,72.86,72.9,72.83,72.55,72.83,156700
42,2021-08-10,72.9,73.04,72.46,72.38,72.46,252300
43,2021-08-11,72.69,72.71,72.32,72.08,72.32,303500
44,2021-08-12,72.32,72.75,72.74,72.15,72.74,224900
45,2021-08-13,72.81,72.98,72.93,72.68,72.93,215500
46,2021-08-16,72.88,73.1,73.1,72.09,73.1,306300
47,2021-08-17,72.59,72.65,72.45,71.93,72.45,243000
48,2021-08-18,72.32,72.58,71.68,71.66,71.68,209400
49,2021-08-19,71.22,72.23,71.96,71.15,71.96,171100
50,2021-08-20,72.22,72.79,72.73,72.07,72.73,407000
51,2021-08-23,72.95,73.76,73.63,72.93,73.63,210600
52,2021-08-24,73.81,73.93,73.77,73.69,73.77,262200
53,2021-08-25,73.85,74.0,73.95,73.75,73.95,227000
54,2021-08-26,73.86,73.95,73.55,73.44,73.55,349100
55,2021-08-27,73.71,74.32,74.22,73.6,74.22,166100
56,2021-08-30,74.46,75.1,74.97,74.41,74.97,274200
57,2021-08-31,75.01,75.04,74.83,74.64,74.83,259500
58,2021-09-01,75.01,75.27,74.98,74.89,74.98,302900
59,2021-09-02,75.21,75.29,75.0,74.73,75.0,375800
60,2021-09-03,74.85,75.26,75.18,74.72,75.18,190700
61,2021-09-07,75.31,75.315,75.23,74.95,75.23,374716
