,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,57.95,57.98,57.69,57.13,57.2414,1618950
1,2021-06-11,58.09,58.27,58.09,57.45,57.6383,1531810
2,2021-06-14,58.33,58.96,58.96,58.21,58.5015,1023455
3,2021-06-15,59.65,59.75,58.44,58.37,57.9856,1548017
4,2021-06-16,58.46,59.03,57.77,57.695,57.3208,1622647
5,2021-06-17,57.62,58.04,57.81,57.07,57.3605,1749350
6,2021-06-18,57.53,58.12,56.57,56.54,56.1301,4291765
7,2021-06-21,57.0,57.82,57.62,56.68,57.1719,1506276
8,2021-06-22,57.67,58.94,58.54,57.55,58.0848,2153180
9,2021-06-23,58.54,59.52,59.24,58.23,58.7793,2537612
10,2021-06-24,59.13,59.16,57.96,57.65,57.5093,1662508
11,2021-06-25,57.89,58.345,58.31,57.64,57.8566,2089378
12,2021-06-28,57.25,58.17,58.01,56.48,57.5589,4456600
13,2021-06-29,58.02,58.17,57.87,57.26,57.42,3429100
14,2021-06-30,57.63,58.1,57.1,56.88,57.1,4281600
15,2021-07-01,56.76,57.85,57.21,56.43,57.21,3659300
16,2021-07-02,57.44,57.7,57.27,56.54,57.27,3042000
17,2021-07-06,57.31,57.86,57.74,56.12,57.74,2722200
18,2021-07-07,57.33,57.76,57.55,57.1,57.55,4165400
19,2021-07-08,57.13,58.1,57.57,56.8,57.57,3174900
20,2021-07-09,58.06,58.67,58.64,57.53,58.64,4319900
21,2021-07-12,58.47,59.61,59.45,58.26,59.45,3417700
22,2021-07-13,59.24,59.6,58.95,58.78,58.95,6530400
23,2021-07-14,58.75,59.79,59.67,58.63,59.67,3663800
24,2021-07-15,59.45,59.7,59.31,58.92,59.31,1969400
25,2021-07-16,59.59,59.94,59.62,59.46,59.62,1903800
26,2021-07-19,58.87,58.99,57.55,56.99,57.55,2875900
27,2021-07-20,57.87,60.38,60.08,57.81,60.08,2874300
28,2021-07-21,60.4,61.09,60.4,60.27,60.4,1664100
29,2021-07-22,60.15,60.15,60.13,59.29,60.13,1423100
30,2021-07-23,60.42,60.76,59.85,59.68,59.85,1178600
31,2021-07-26,59.77,60.27,59.75,59.18,59.75,1319400
32,2021-07-27,59.67,60.4,60.04,59.13,60.04,1483400
33,2021-07-28,60.29,60.36,59.54,59.27,59.54,1215200
34,2021-07-29,59.66,60.59,59.64,59.58,59.64,1178100
35,2021-07-30,59.81,60.95,59.78,59.61,59.78,1747100
36,2021-08-02,60.02,61.02,59.28,59.2,59.28,1523700
37,2021-08-03,59.43,59.57,59.48,58.62,59.48,1589200
38,2021-08-04,59.46,59.63,58.72,58.55,58.72,1527700
39,2021-08-05,59.13,60.0,59.98,58.59,59.98,1330000
40,2021-08-06,59.5,60.78,58.3,58.01,58.3,2507700
41,2021-08-09,58.0,58.19,57.42,57.01,57.42,2474200
42,2021-08-10,57.33,57.74,56.83,56.79,56.83,4103900
43,2021-08-11,57.24,57.42,56.91,56.52,56.91,2145600
44,2021-08-12,56.95,57.18,56.56,56.22,56.56,1488300
45,2021-08-13,56.84,57.13,57.09,56.29,57.09,1900600
46,2021-08-16,56.79,57.28,56.56,56.16,56.56,1565000
47,2021-08-17,56.16,56.41,56.22,55.2,56.22,2115400
48,2021-08-18,56.05,56.1,55.32,55.05,55.32,1966100
49,2021-08-19,55.02,55.48,54.57,53.93,54.57,2144700
50,2021-08-20,54.35,55.05,54.59,53.57,54.59,2794200
51,2021-08-23,54.76,55.04,54.23,53.88,54.23,1278600
52,2021-08-24,54.24,54.69,54.53,53.77,54.53,1803600
53,2021-08-25,54.49,55.75,55.13,54.13,55.13,2386200
54,2021-08-26,55.43,55.48,54.54,54.5,54.54,1264500
55,2021-08-27,54.8,56.04,55.29,54.65,55.29,1267500
56,2021-08-30,55.21,55.59,55.43,54.8,55.43,1862100
57,2021-08-31,55.23,56.07,55.94,55.05,55.94,2377500
58,2021-09-01,56.28,57.09,56.54,56.04,56.54,2204600
59,2021-09-02,56.79,56.86,56.68,56.14,56.68,1979900
60,2021-09-03,56.5,56.5,56.31,55.77,56.31,1776900
61,2021-09-07,57.21,57.21,55.81,55.03,55.81,1975003
