,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,5.68,6.0,5.95,5.578,5.95,145100
1,2021-06-11,5.97,6.09,5.95,5.73,5.95,87700
2,2021-06-14,5.99,6.03,5.95,5.77,5.95,99000
3,2021-06-15,5.98,5.98,5.81,5.74,5.81,68000
4,2021-06-16,5.77,5.795,5.64,5.28,5.64,250700
5,2021-06-17,5.44,5.69,5.68,5.44,5.68,118300
6,2021-06-18,5.57,5.67,4.94,4.88,4.94,401300
7,2021-06-21,5.03,5.44,5.06,4.905,5.06,149100
8,2021-06-22,5.04,5.139,5.02,4.85,5.02,183200
9,2021-06-23,4.98,5.065,4.9,4.88,4.9,92300
10,2021-06-24,4.9,5.0,4.95,4.86,4.95,94700
11,2021-06-25,4.99,5.072,4.99,4.87,4.99,104700
12,2021-06-28,5.05,5.05,5.01,4.85,5.01,72300
13,2021-06-29,4.99,4.99,4.83,4.82,4.83,98000
14,2021-06-30,4.85,4.95,4.95,4.76,4.95,66000
15,2021-07-01,4.95,4.95,4.79,4.762,4.79,44300
16,2021-07-02,4.8,4.845,4.51,4.49,4.51,130600
17,2021-07-06,4.48,4.6,4.21,4.21,4.21,178900
18,2021-07-07,5.038,5.45,5.2,4.42,5.2,7333300
19,2021-07-08,4.84,4.97,4.9,4.64,4.9,751600
20,2021-07-09,4.75,4.78,4.63,4.44,4.63,216100
21,2021-07-12,4.63,4.635,4.52,4.35,4.52,202100
22,2021-07-13,4.47,4.63,4.51,4.37,4.51,173500
23,2021-07-14,4.49,4.565,4.23,4.18,4.23,205500
24,2021-07-15,4.18,4.3,4.3,4.01,4.3,245100
25,2021-07-16,4.28,4.28,4.06,4.05,4.06,81600
26,2021-07-19,4.07,4.15,3.96,3.885,3.96,210800
27,2021-07-20,3.96,4.05,4.0,3.92,4.0,121800
28,2021-07-21,4.0,4.1,4.07,3.917,4.07,172900
29,2021-07-22,4.12,4.12,3.9,3.67,3.9,284300
30,2021-07-23,3.94,3.99,3.97,3.76,3.97,88900
31,2021-07-26,3.99,4.0,3.73,3.71,3.73,99400
32,2021-07-27,3.71,3.88,3.62,3.59,3.62,94800
33,2021-07-28,3.65,3.655,3.13,3.0,3.13,856000
34,2021-07-29,3.18,3.27,3.12,3.06,3.12,199300
35,2021-07-30,3.08,3.171,3.02,3.01,3.02,233200
36,2021-08-02,3.09,3.09,3.04,3.01,3.04,147300
37,2021-08-03,3.05,3.08,2.89,2.763,2.89,379100
38,2021-08-04,2.9,2.94,2.84,2.81,2.84,89100
39,2021-08-05,2.84,2.91,2.715,2.68,2.715,332700
40,2021-08-06,2.77,2.94,2.84,2.61,2.84,309800
41,2021-08-09,2.94,3.05,2.86,2.81,2.86,281800
42,2021-08-10,2.9,2.915,2.8,2.72,2.8,136500
43,2021-08-11,2.84,2.86,2.82,2.75,2.82,144100
44,2021-08-12,2.82,2.88,2.74,2.66,2.74,276700
45,2021-08-13,2.8,3.78,3.27,2.71,3.27,3167800
46,2021-08-16,3.24,3.43,2.88,2.78,2.88,421200
47,2021-08-17,2.82,3.8,3.365,2.82,3.365,1301400
48,2021-08-18,3.071,3.47,3.41,3.02,3.41,605400
49,2021-08-19,3.41,3.99,3.52,3.34,3.52,684900
50,2021-08-20,3.49,4.119,3.84,3.41,3.84,759100
51,2021-08-23,6.52,7.09,5.9,5.35,5.9,172885300
52,2021-08-24,5.4,5.55,5.47,4.9,5.47,8159600
53,2021-08-25,5.379,5.5,5.09,4.98,5.09,2312600
54,2021-08-26,5.31,5.55,5.1,4.98,5.1,1535700
55,2021-08-27,5.05,5.29,5.28,4.727,5.28,1767600
56,2021-08-30,5.13,5.45,5.23,4.9801,5.23,646047
57,2021-08-31,5.22,5.46,5.26,5.15,5.26,511500
58,2021-09-01,5.3,5.3,5.06,5.02,5.06,384292
59,2021-09-02,5.12,5.23,5.16,5.01,5.16,393543
60,2021-09-03,5.12,5.2,5.09,5.045,5.09,198979
61,2021-09-07,4.97,5.73,5.63,4.96,5.63,1160565
