,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,250.87,253.11,249.83,249.085,249.1144,38761
1,2021-06-11,250.29,253.29,253.13,249.1,252.405,35057
2,2021-06-14,253.3,253.57,252.34,250.04,251.6173,70468
3,2021-06-15,252.34,256.38,256.27,250.34,255.536,85288
4,2021-06-16,256.27,257.46,254.81,252.3,254.0802,105122
5,2021-06-17,254.58,258.19,254.79,254.0,254.0602,73565
6,2021-06-18,252.52,255.455,247.91,246.0,247.1999,158735
7,2021-06-21,249.33,252.06,251.6,246.9,250.8794,60896
8,2021-06-22,251.49,253.35,252.81,250.06,252.0859,54428
9,2021-06-23,252.81,255.46,254.03,251.29,253.3024,60702
10,2021-06-24,254.21,256.34,255.93,253.255,255.197,51457
11,2021-06-25,256.19,259.0,258.34,254.65,257.6001,155802
12,2021-06-28,258.44,259.24,255.9,252.8,255.1671,60396
13,2021-06-29,255.86,258.48,257.89,254.87,257.1514,45894
14,2021-06-30,257.98,257.98,256.29,253.28,255.5559,80303
15,2021-07-01,256.93,258.65,257.11,255.69,256.3736,45948
16,2021-07-02,257.11,257.6105,255.72,255.19,254.9876,41725
17,2021-07-06,256.98,259.4122,255.49,254.67,254.7582,72042
18,2021-07-07,255.99,264.985,260.54,253.26,259.7938,241733
19,2021-07-08,277.65,279.98,261.8,261.0,261.0502,314240
20,2021-07-09,263.15,264.19,255.03,253.99,254.2995,192715
21,2021-07-12,254.07,259.87,257.72,251.57,256.9818,90400
22,2021-07-13,255.73,256.42,251.41,251.11,250.6899,76500
23,2021-07-14,251.41,253.27,251.38,249.17,250.66,66000
24,2021-07-15,250.29,256.16,255.81,247.42,255.81,56300
25,2021-07-16,257.98,258.72,252.29,251.88,252.29,60500
26,2021-07-19,250.39,256.09,252.58,250.0,252.58,117300
27,2021-07-20,253.39,255.44,250.76,250.41,250.76,89700
28,2021-07-21,250.93,251.5,241.31,241.03,241.31,108700
29,2021-07-22,240.65,242.08,233.72,232.85,233.72,95100
30,2021-07-23,232.92,239.75,239.23,230.02,239.23,65900
31,2021-07-26,239.29,242.47,242.15,237.94,242.15,50800
32,2021-07-27,241.79,243.04,243.02,238.47,243.02,58400
33,2021-07-28,243.81,247.28,244.17,242.5,244.17,72200
34,2021-07-29,244.69,248.99,247.82,243.3,247.82,69700
35,2021-07-30,248.16,250.0,242.99,241.96,242.99,80700
36,2021-08-02,243.18,248.15,246.84,243.18,246.84,65500
37,2021-08-03,246.46,250.29,249.23,245.51,249.23,104600
38,2021-08-04,247.79,249.67,240.15,239.38,240.15,65300
39,2021-08-05,239.84,246.98,246.14,239.84,246.14,60400
40,2021-08-06,245.85,246.6,244.21,242.28,244.21,47500
41,2021-08-09,244.32,246.88,244.83,241.89,244.83,74900
42,2021-08-10,243.97,247.88,247.0,242.22,247.0,52400
43,2021-08-11,247.81,247.99,241.34,239.65,241.34,67000
44,2021-08-12,240.79,244.92,242.6,239.71,242.6,41100
45,2021-08-13,242.62,243.81,241.46,240.63,241.46,34000
46,2021-08-16,241.76,243.79,241.45,239.74,241.45,54100
47,2021-08-17,240.55,241.45,234.13,233.89,234.13,54600
48,2021-08-18,234.13,236.24,231.13,230.57,231.13,51900
49,2021-08-19,231.23,235.59,233.2,230.49,233.2,67400
50,2021-08-20,232.28,235.51,233.59,230.6,233.59,124600
51,2021-08-23,233.3,235.54,232.1,231.08,232.1,50000
52,2021-08-24,232.44,235.85,235.27,231.1,235.27,52100
53,2021-08-25,235.27,235.92,232.6,232.0,232.6,43800
54,2021-08-26,232.61,235.37,234.12,232.44,234.12,56600
55,2021-08-27,233.43,233.67,233.01,228.74,233.01,83900
56,2021-08-30,234.25,237.32,235.5,232.7,235.5,41100
57,2021-08-31,235.51,241.4,239.63,235.36,239.63,104300
58,2021-09-01,240.02,240.87,239.04,236.82,239.04,44300
59,2021-09-02,239.5,241.73,238.79,238.25,238.79,50900
60,2021-09-03,237.92,240.06,237.99,235.06,237.99,40600
61,2021-09-07,237.52,238.01,232.83,232.575,232.83,56053
