,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,20.32,20.69,20.4,20.19,18.4191,16737
1,2021-06-11,20.255,20.4825,20.09,19.88,18.1392,24433
2,2021-06-14,20.08,20.23,19.58,19.4812,17.6787,19984
3,2021-06-15,19.61,19.94,19.66,19.53,17.751,63956
4,2021-06-16,19.55,19.76,19.63,19.49,17.7239,29519
5,2021-06-17,19.49,19.56,18.81,18.65,16.9835,40394
6,2021-06-18,18.43,19.2,18.78,18.43,16.9564,120421
7,2021-06-21,19.1,19.37,19.1,18.58,17.2453,54134
8,2021-06-22,19.08,19.08,18.56,18.26,16.7578,45449
9,2021-06-23,18.7,18.72,18.28,18.02,16.505,51127
10,2021-06-24,18.3,20.75,20.59,17.88,18.5907,140139
11,2021-06-25,20.8,21.94,21.62,20.35,19.5207,1141232
12,2021-06-28,21.46,22.22,22.09,21.1,19.945,52466
13,2021-06-29,22.37,22.37,22.0,21.91,19.8638,31145
14,2021-06-30,21.93,22.11,21.76,21.67,19.6471,76185
15,2021-07-01,21.92,21.92,21.04,20.825,18.997,40095
16,2021-07-02,21.03,21.31,21.29,20.7357,19.2227,54463
17,2021-07-06,21.22,21.22,20.19,20.05,18.2295,29574
18,2021-07-07,20.19,20.22,19.58,19.14,17.6787,70545
19,2021-07-08,19.1,19.81,19.72,19.07,17.8051,18559
20,2021-07-09,19.81,19.8168,19.23,19.105,17.3627,36014
21,2021-07-12,19.05,20.13,19.86,19.05,17.9316,18162
22,2021-07-13,19.49,20.0,19.56,19.49,17.6607,24750
23,2021-07-14,19.59,23.6894,22.68,19.59,20.4777,290378
24,2021-07-15,22.65,23.02,23.02,22.45,20.7847,26824
25,2021-07-16,23.13,23.47,22.72,22.72,20.5138,49176
26,2021-07-19,22.58,23.07,22.91,22.11,20.6854,37872
27,2021-07-20,23.0,23.1481,22.69,22.41,20.4868,38888
28,2021-07-21,22.79,23.2,23.06,22.74,20.8208,32124
29,2021-07-22,22.95,23.01,22.88,22.6707,20.6583,10448
30,2021-07-23,23.0,23.03,22.77,22.62,20.559,12728
31,2021-07-26,22.57,23.04,22.8,22.5301,20.5861,19854
32,2021-07-27,22.62,22.7,22.14,22.0,19.9902,32221
33,2021-07-28,23.3,24.83,23.66,23.3,21.3626,62014
34,2021-07-29,23.76,24.84,24.57,23.72,22.1842,114254
35,2021-07-30,24.57,25.78,25.35,24.5,22.8885,48960
36,2021-08-02,25.65,26.65,25.97,25.65,23.4483,40810
37,2021-08-03,26.45,26.45,26.08,25.765,23.5476,80572
38,2021-08-04,26.56,27.01,26.87,26.03,24.2609,118201
39,2021-08-05,24.0,24.24,22.98,22.4212,22.8771,81510
40,2021-08-06,23.01,23.3,22.94,22.57,22.8373,37883
41,2021-08-09,22.73,23.27,23.03,22.4043,22.9269,27418
42,2021-08-10,22.77,23.28,23.07,22.77,22.9667,7448
43,2021-08-11,22.99,23.23,22.73,22.64,22.6282,13679
44,2021-08-12,22.81,23.39,23.29,22.69,23.1857,13565
45,2021-08-13,23.44,23.44,23.17,23.0301,23.0662,26029
46,2021-08-16,23.1,23.44,23.15,23.0,23.0463,38721
47,2021-08-17,22.99,23.37,22.03,21.97,21.9313,74298
48,2021-08-18,22.17,22.62,21.77,21.72,21.6725,17694
49,2021-08-19,21.5,21.6,20.92,20.69,20.8263,22583
50,2021-08-20,21.24,21.5744,20.86,20.7809,20.7666,11214
51,2021-08-23,20.86,22.0,20.67,20.48,20.5774,16695
52,2021-08-24,20.74,21.04,20.9,20.37,20.8064,13694
53,2021-08-25,20.9,21.45,21.1,20.9,21.0055,33960
54,2021-08-26,20.92,21.49,21.25,20.5901,21.1548,14810
55,2021-08-27,21.52,21.95,21.76,21.45,21.6626,9171
56,2021-08-30,21.75,21.88,21.73,21.26,21.6327,13216
57,2021-08-31,21.96,22.6,22.28,21.96,22.1802,16505
58,2021-09-01,22.37,22.57,22.33,22.12,22.23,13198
59,2021-09-02,22.25,22.5,22.34,22.14,22.34,13479
60,2021-09-03,22.34,22.74,22.48,21.94,22.48,9137
61,2021-09-07,22.29,22.29,22.0,21.79,22.0,12057
