,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,8.79,8.834,8.59,8.46,8.487,636638
1,2021-06-11,8.66,8.7,8.67,8.6,8.566,448854
2,2021-06-14,8.65,8.73,8.67,8.46,8.566,604711
3,2021-06-15,8.65,8.75,8.67,8.6,8.566,421014
4,2021-06-16,8.65,8.765,8.63,8.58,8.5265,397868
5,2021-06-17,8.63,8.63,8.47,8.27,8.3684,554896
6,2021-06-18,8.37,8.39,8.08,8.07,7.9831,1028682
7,2021-06-21,8.15,8.47,8.33,8.12,8.2301,941175
8,2021-06-22,8.32,8.35,8.25,8.21,8.151,313813
9,2021-06-23,8.27,8.42,8.21,8.21,8.1115,413974
10,2021-06-24,8.24,8.285,8.27,8.11,8.1708,411862
11,2021-06-25,8.25,8.48,8.35,8.21,8.2498,945423
12,2021-06-28,8.4,8.45,8.33,8.12,8.2301,792893
13,2021-06-29,8.35,8.44,8.3,8.29,8.2004,309144
14,2021-06-30,8.3,8.36,8.25,8.25,8.151,322968
15,2021-07-01,8.25,8.3148,8.23,8.14,8.1667,412167
16,2021-07-02,8.23,8.33,8.08,8.06,8.0179,335365
17,2021-07-06,8.11,8.11,7.99,7.76,7.9286,808043
18,2021-07-07,7.95,8.01,7.91,7.84,7.8492,354084
19,2021-07-08,7.79,7.9,7.71,7.65,7.6507,545560
20,2021-07-09,7.83,8.12,8.11,7.81,8.0477,586870
21,2021-07-12,8.07,8.19,8.16,8.015,8.0973,427005
22,2021-07-13,8.13,8.14,7.97,7.935,7.9087,464141
23,2021-07-14,8.03,8.1,8.0,7.925,7.9385,419233
24,2021-07-15,8.0,8.06,8.01,7.95,7.9484,303308
25,2021-07-16,8.08,8.1,7.96,7.91,7.8988,363485
26,2021-07-19,7.79,7.87,7.69,7.56,7.6309,805321
27,2021-07-20,7.73,8.14,8.01,7.7,7.9484,466182
28,2021-07-21,8.1,8.24,8.16,8.1,8.0973,229568
29,2021-07-22,8.15,8.15,8.04,7.965,7.9782,288106
30,2021-07-23,8.08,8.13,8.1,7.99,8.0377,140366
31,2021-07-26,8.1,8.65,8.62,8.1,8.5537,1094065
32,2021-07-27,8.6,8.645,8.63,8.45,8.5637,454765
33,2021-07-28,8.71,8.77,8.66,8.53,8.5934,602905
34,2021-07-29,8.84,8.92,8.71,8.69,8.6431,422369
35,2021-07-30,8.7,8.94,8.85,8.68,8.782,967052
36,2021-08-02,8.93,9.0967,8.69,8.66,8.6583,575044
37,2021-08-03,8.76,8.83,8.83,8.53,8.7977,543845
38,2021-08-04,8.81,8.94,8.82,8.65,8.7878,603045
39,2021-08-05,8.99,9.44,9.39,8.9354,9.3557,553000
40,2021-08-06,9.36,9.49,9.32,9.23,9.286,316641
41,2021-08-09,9.33,9.33,9.27,9.08,9.2361,562423
42,2021-08-10,9.29,9.34,9.24,9.16,9.2063,247652
43,2021-08-11,9.23,9.2799,9.19,9.045,9.1564,458898
44,2021-08-12,9.18,9.27,9.26,9.12,9.2262,329432
45,2021-08-13,9.25,9.47,9.42,9.2,9.3856,336488
46,2021-08-16,9.48,9.74,9.68,9.33,9.6446,962956
47,2021-08-17,9.64,9.64,9.51,9.25,9.4753,704828
48,2021-08-18,9.44,9.62,9.46,9.36,9.4254,471464
49,2021-08-19,9.32,9.418,9.32,9.17,9.286,444164
50,2021-08-20,9.27,9.64,9.6,9.24,9.5649,458831
51,2021-08-23,9.65,9.74,9.55,9.475,9.5151,391323
52,2021-08-24,9.59,9.65,9.62,9.48,9.5849,295061
53,2021-08-25,9.64,9.85,9.79,9.52,9.7542,403520
54,2021-08-26,9.78,9.83,9.7,9.64,9.6646,395750
55,2021-08-27,9.8,10.04,10.04,9.785,10.0033,698085
56,2021-08-30,10.0,10.0,9.75,9.66,9.7142,464900
57,2021-08-31,9.75,9.86,9.81,9.66,9.774,549300
58,2021-09-01,9.91,9.99,9.89,9.75,9.89,449800
59,2021-09-02,9.85,9.92,9.86,9.76,9.86,549500
60,2021-09-03,9.83,9.86,9.82,9.64,9.82,480300
61,2021-09-07,9.8,9.921,9.76,9.68,9.76,447388
