,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,89.28,90.3084,87.3,87.18,87.3,121138
1,2021-06-11,87.76,90.38,90.21,87.32,90.21,93502
2,2021-06-14,90.75,91.23,88.12,87.615,88.12,107046
3,2021-06-15,88.5,88.8,88.6,85.74,88.6,81402
4,2021-06-16,88.58,91.06,90.02,87.4672,90.02,85911
5,2021-06-17,89.07,90.5721,86.78,85.5337,86.78,168558
6,2021-06-18,85.04,85.83,84.4,81.34,84.4,296138
7,2021-06-21,85.39,89.0,88.7,84.5,88.7,180515
8,2021-06-22,88.5,88.75,86.54,84.5,86.54,177529
9,2021-06-23,86.57,89.9713,89.42,86.36,89.42,134257
10,2021-06-24,90.0,90.5,87.86,87.81,87.86,119196
11,2021-06-25,88.89,89.7631,86.32,86.123,86.32,223411
12,2021-06-28,86.83,87.6,86.25,83.0,86.25,200474
13,2021-06-29,86.21,86.77,84.56,83.5,84.56,163492
14,2021-06-30,85.93,85.93,83.87,82.96,83.87,192502
15,2021-07-01,84.0,87.43,86.83,82.45,86.83,164102
16,2021-07-02,87.46,87.58,82.9,82.45,82.9,204144
17,2021-07-06,82.5,83.505,83.36,79.22,83.36,317973
18,2021-07-07,83.3,83.36,82.2,78.53,82.2,265044
19,2021-07-08,80.0,84.99,84.06,79.17,84.06,231273
20,2021-07-09,84.06,85.25,84.52,81.27,84.52,137433
21,2021-07-12,85.0,91.35,90.8,83.3858,90.8,298759
22,2021-07-13,89.82,91.2408,89.85,88.26,89.85,212960
23,2021-07-14,90.3,90.3,84.42,80.86,84.42,362185
24,2021-07-15,84.7,88.052,84.19,83.07,84.19,177183
25,2021-07-16,84.35,86.0,83.94,83.67,83.94,135048
26,2021-07-19,82.56,85.66,85.06,79.84,85.06,231818
27,2021-07-20,85.87,90.9278,89.29,85.33,89.29,213095
28,2021-07-21,89.98,93.85,91.85,89.31,91.85,211372
29,2021-07-22,91.85,101.42,98.66,91.56,98.66,616243
30,2021-07-23,100.41,102.8899,101.4,97.16,101.4,352487
31,2021-07-26,103.0,103.84,95.34,92.1601,95.34,340456
32,2021-07-27,95.07,95.07,85.59,84.0,85.59,574391
33,2021-07-28,85.44,87.93,87.61,84.0,87.61,248973
34,2021-07-29,88.84,92.76,91.98,88.3,91.98,244926
35,2021-07-30,92.0,92.9,92.6,88.8647,92.6,271466
36,2021-08-02,93.0,95.9699,92.95,91.41,92.95,226352
37,2021-08-03,92.82,92.82,86.18,84.1726,86.18,327514
38,2021-08-04,85.43,86.255,84.2,83.0,84.2,252329
39,2021-08-05,83.92,86.47,85.99,83.0,85.99,168140
40,2021-08-06,85.42,87.63,83.89,82.76,83.89,227278
41,2021-08-09,84.2,85.3491,81.96,79.23,81.96,551999
42,2021-08-10,82.5,85.87,85.5,80.38,85.5,198808
43,2021-08-11,84.71,87.63,86.71,83.4,86.71,167422
44,2021-08-12,86.11,86.4,82.8,80.11,82.8,238578
45,2021-08-13,82.37,82.569,75.55,73.9965,75.55,412311
46,2021-08-16,74.35,78.0,74.17,74.115,74.17,206992
47,2021-08-17,72.65,74.23,73.1,70.39,73.1,405081
48,2021-08-18,73.22,75.81,73.11,72.7,73.11,248773
49,2021-08-19,71.63,73.245,71.65,70.39,71.65,306368
50,2021-08-20,71.28,72.69,69.75,68.425,69.75,368032
51,2021-08-23,69.86,72.47,70.53,69.75,70.53,225945
52,2021-08-24,70.79,72.54,70.91,70.27,70.91,228286
53,2021-08-25,70.92,75.76,74.6,70.4,74.6,270361
54,2021-08-26,74.02,76.11,74.29,71.67,74.29,323300
55,2021-08-27,74.0,78.87,77.82,73.29,77.82,313200
56,2021-08-30,77.93,77.93,75.21,75.09,75.21,316800
57,2021-08-31,75.09,75.99,75.98,73.73,75.98,249400
58,2021-09-01,76.36,78.025,77.0,73.09,77.0,228000
59,2021-09-02,78.0,80.36,77.71,77.02,77.71,297600
60,2021-09-03,77.48,77.6,76.77,75.64,76.77,179900
61,2021-09-07,76.09,77.93,76.5,75.75,76.5,238777
