,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,506.67,511.6,508.63,505.8,508.63,149800
1,2021-06-11,511.02,511.48,508.48,505.81,508.48,157800
2,2021-06-14,509.1,511.28,509.92,505.49,509.92,208500
3,2021-06-15,509.92,509.92,506.1,504.32,506.1,184900
4,2021-06-16,506.87,513.09,506.7,504.4,506.7,196600
5,2021-06-17,506.61,509.31,502.09,499.01,502.09,189400
6,2021-06-18,499.25,500.4,493.43,484.34,493.43,487100
7,2021-06-21,494.39,504.5,504.13,492.68,504.13,301200
8,2021-06-22,501.89,507.0,506.44,498.93,506.44,239200
9,2021-06-23,504.48,506.48,502.88,500.0,502.88,167800
10,2021-06-24,505.31,511.29,510.39,501.5,510.39,258500
11,2021-06-25,513.17,514.6,510.65,506.47,510.65,251400
12,2021-06-28,511.92,529.01,527.13,510.56,527.13,380500
13,2021-06-29,529.69,536.78,536.06,528.29,536.06,327800
14,2021-06-30,535.82,538.51,529.49,527.59,529.49,273200
15,2021-07-01,530.0,533.23,532.02,521.02,532.02,227500
16,2021-07-02,537.01,541.26,539.94,534.14,539.94,205400
17,2021-07-06,540.69,545.46,544.35,534.29,544.35,306100
18,2021-07-07,546.45,547.8,546.65,531.02,546.65,232100
19,2021-07-08,539.22,546.84,539.84,534.0,539.84,229200
20,2021-07-09,542.47,548.47,547.73,541.23,547.73,158900
21,2021-07-12,548.79,549.98,548.1,539.04,548.1,212100
22,2021-07-13,546.36,546.36,533.62,531.94,533.62,229100
23,2021-07-14,537.74,539.48,530.14,528.4,530.14,190100
24,2021-07-15,528.86,531.92,522.62,517.91,522.62,246000
25,2021-07-16,523.7,525.47,518.33,517.91,518.33,162500
26,2021-07-19,509.59,514.45,506.91,502.63,506.91,274400
27,2021-07-20,510.98,524.18,519.67,507.27,519.67,276000
28,2021-07-21,520.64,534.14,533.77,520.64,533.77,197500
29,2021-07-22,534.0,537.37,536.22,530.01,536.22,153100
30,2021-07-23,540.64,548.94,548.61,538.21,548.61,163800
31,2021-07-26,550.0,553.66,545.31,539.43,545.31,162300
32,2021-07-27,543.26,544.08,540.18,529.21,540.18,233800
33,2021-07-28,539.5,547.42,545.74,535.93,545.74,140400
34,2021-07-29,548.0,554.1,548.1,547.0,548.1,162500
35,2021-07-30,545.3,554.22,552.48,544.6,552.48,250100
36,2021-08-02,555.0,558.68,550.97,548.84,550.97,240500
37,2021-08-03,559.49,559.86,546.74,527.54,546.74,446400
38,2021-08-04,547.56,566.77,560.0,547.0,560.0,321700
39,2021-08-05,560.0,570.83,569.22,558.02,569.22,248300
40,2021-08-06,565.06,566.99,562.27,552.51,562.27,205700
41,2021-08-09,562.31,566.04,563.98,557.96,563.98,128800
42,2021-08-10,565.0,567.45,567.11,560.6,567.11,144000
43,2021-08-11,567.91,572.21,569.54,564.09,569.54,129700
44,2021-08-12,568.97,570.5,568.4,564.27,568.4,149300
45,2021-08-13,568.0,571.39,571.07,562.21,571.07,117300
46,2021-08-16,570.54,576.0,572.89,567.04,572.89,133200
47,2021-08-17,569.34,569.93,562.68,558.42,562.68,150200
48,2021-08-18,559.68,568.28,557.18,556.87,557.18,197300
49,2021-08-19,552.91,565.94,562.72,551.09,562.72,153300
50,2021-08-20,563.18,572.33,571.49,562.27,571.49,187900
51,2021-08-23,574.33,581.62,578.89,574.33,578.89,154900
52,2021-08-24,580.31,583.67,578.71,577.59,578.71,109700
53,2021-08-25,577.84,584.25,584.11,577.84,584.11,133900
54,2021-08-26,584.62,584.62,578.91,578.53,578.91,121100
55,2021-08-27,581.09,588.35,587.96,578.8,587.96,317300
56,2021-08-30,591.9,594.14,584.78,583.91,584.78,175000
57,2021-08-31,585.07,588.77,587.17,579.21,587.17,230100
58,2021-09-01,592.48,592.48,582.78,579.47,582.78,195200
59,2021-09-02,588.36,591.49,588.25,585.61,588.25,170000
60,2021-09-03,589.0,594.77,590.6,585.56,590.6,178600
61,2021-09-07,593.58,593.58,581.14,580.4,581.14,179833
