Date,Open,High,Low,Close,AdjustedClose,Volume
2020-10-29,14.66,14.8,14.66,14.67,14.67,22200
2020-10-30,14.65,14.65,14.355,14.437,14.437,8800
2020-11-02,14.5,14.7,14.5,14.575,14.575,10300
2020-11-03,15,15,14.67,14.789,14.789,12400
2020-11-04,15.09,15.39,14.69,15.182,15.182,36100
2020-11-05,15.39,15.5,15.33,15.47,15.47,7200
2020-11-06,15.6,15.6,15.47,15.58,15.58,20400
2020-11-09,16.8,16.8,15.162,15.162,15.162,25600
2020-11-10,15.04,15.04,14.71,14.756,14.756,11900
2020-11-11,15.1,15.22,15.1,15.195,15.195,8700
2020-11-12,15.3,15.3,15.085,15.13,15.13,18000
2020-11-13,15.26,15.39,15.2,15.344,15.344,7100
2020-11-16,15.5,15.5,15.229,15.28,15.28,25500
2020-11-17,15.3,15.3,15.16,15.16,15.16,14600
2020-11-18,15.29,16.04,15.13,15.205,15.205,29700
2020-11-19,15.2,15.25,15.095,15.18,15.18,14800
2020-11-20,15.19,15.23,15.04,15.098,15.098,5500
2020-11-23,15.1,15.196,14.95,15.007,15.007,11400
2020-11-24,15.02,15.02,14.85,14.89,14.89,10000
2020-11-25,14.89,15.01,14.89,14.975,14.975,6500
2020-11-27,15,15.169,15,15.119,15.119,3300
2020-11-30,15.02,15.08,14.98,15.045,15.045,10200
2020-12-01,15.25,15.25,15.15,15.201,15.201,6100
2020-12-02,15.2,15.2,14.98,15.04,15.04,11400
2020-12-03,14.95,15.15,14.95,15.09,15.09,25000
2020-12-04,15.23,15.245,15.15,15.215,15.215,6500
2020-12-07,15.3,15.3,15.21,15.21,15.21,11400
2020-12-08,15.21,15.21,15.1,15.2,15.2,35400
2020-12-09,15.35,15.37,14.785,14.9,14.9,22300
2020-12-10,14.9,14.97,14.811,14.93,14.93,6000
2020-12-11,14.8,14.852,14.68,14.852,14.852,29500
2020-12-14,14.85,15,14.85,14.88,14.88,12300
2020-12-15,14.84,14.94,14.84,14.92,14.92,4900
2020-12-16,14.86,15.03,14.821,14.946,14.946,9200
2020-12-17,14.94,15.16,14.94,15.16,15.16,5700
2020-12-18,15.09,15.293,15.05,15.05,15.05,11900
2020-12-21,15.13,15.19,15.045,15.09,15.09,14700
2020-12-22,15.2,15.36,15.015,15.36,15.36,8100
2020-12-23,15.4,15.48,15.166,15.166,15.166,15200
2020-12-24,15.28,15.37,15.02,15.18,15.18,6000
2020-12-28,15.54,15.54,15.174,15.39,15.39,23900
2020-12-29,15.5,15.64,15.11,15.167,15.167,20000
2020-12-30,15.32,15.48,15.31,15.45,15.45,5100
2020-12-31,15.5,15.61,15.293,15.58,15.58,20900
