Date,Open,High,Low,Close,AdjustedClose,Volume
2021-01-21,20,36,18,30,30,310300
2021-01-22,30,30.99,27,29.07,29.07,83100
2021-01-25,28.98,30,28,28.92,28.92,87800
2021-01-26,27.3,29.25,27.26,28.64,28.64,17600
2021-01-27,27.96,28.5,27.3,28.5,28.5,19000
2021-01-28,29,29.05,27.5,28,28,8200
2021-01-29,27.18,29.44,27.18,28,28,10900
2021-02-01,26.86,28.04,26.86,28.04,28.04,5700
2021-02-02,28,28,26.14,26.96,26.96,30800
2021-02-03,26.56,27.97,26.46,27.97,27.97,4300
2021-02-04,28,28.37,26.6,28,28,26100
2021-02-05,27.61,29,26.25,29,29,35500
2021-02-08,28,29.5,27.99,28.24,28.24,20100
2021-02-09,28.41,30,28.41,29.69,29.69,414800
2021-02-10,29,30.123,28.91,29.5,29.5,484800
2021-02-11,29.5,33.8,27.558,31.5,31.5,353800
2021-02-12,32,32.58,30.02,31.8,31.8,394300
2021-02-16,34.43,35.99,33.08,34.78,34.78,88200
2021-02-17,35.14,35.14,33.685,34.16,34.16,38900
2021-02-18,33.63,35,32.32,32.65,32.65,88100
2021-02-19,33.31,35.5,31.97,35.5,35.5,155000
2021-02-22,35,36.35,34.055,35.93,35.93,76000
2021-02-23,35.82,35.98,34.34,34.63,34.63,50000
2021-02-24,34.3,34.5,33.59,34.05,34.05,79100
2021-02-25,34.31,35,33.33,34.02,34.02,43600
2021-02-26,34.1,34.38,32.91,33.65,33.65,13900
2021-03-01,33.8,34.935,33.28,33.7,33.7,37300
2021-03-02,33.79,34.315,33.41,34,34,20600
2021-03-03,34.53,35.19,33.75,34.29,34.29,65400
2021-03-04,34.5,35.575,32.525,35.02,35.02,134700
2021-03-05,35.87,36,32.92,34.93,34.93,149400
2021-03-08,34.7,34.7,31.462,33.29,33.29,170300
2021-03-09,33.07,35.23,33.07,34.08,34.08,93100
2021-03-10,34.8326,35.6975,33.9757,35.04,35.04,111329
2021-03-11,35.34,35.55,33.945,34.97,34.97,55000
2021-03-12,34.29,35.5,33.947,35.49,35.49,50700
2021-03-15,34.5,35.22,33.82,34.5,34.5,44200
2021-03-16,33.48,34.11,33.48,33.65,33.65,9300
2021-03-17,33.28,34,33.06,33.68,33.68,38300
2021-03-18,33.92,34.6,32.6,33.52,33.52,44300
2021-03-19,33.87,35.67,33.44,34.69,34.69,79000
2021-03-22,33.24,35.5,32.51,34.03,34.03,38800
2021-03-23,33.78,35.18,31.97,32.65,32.65,57700
2021-03-24,33.18,35.46,32.91,34.18,34.18,42800
2021-03-25,34.39,35.56,33.46,35.56,35.56,43400
2021-03-26,35.67,36.988,35.06,35.95,35.95,217300
2021-03-29,35.92,36,34.46,35.6,35.6,72723
2021-03-30,35.11,35.95,33.91,35.43,35.43,69804
2021-03-31,35.03,36,35.03,35.94,35.94,68500
2021-04-01,36.13,36.295,34.88,36.025,36.025,141200
2021-04-05,34.92,36.93,34.92,36.25,36.25,99500
2021-04-06,35.68,36.84,34.5,36.45,36.45,45200
2021-04-07,36.4,38,36.34,37.43,37.43,78800
2021-04-08,35.72,37.74,35.72,37.68,37.68,45400
2021-04-09,36.75,38.25,36.75,37.92,37.92,65700
2021-04-12,37.95,38.18,37.11,38.18,38.18,32300
2021-04-13,38.23,38.23,37.765,38,38,29800
2021-04-14,38,40.47,38,39.98,39.98,43700
2021-04-15,39.63,40.13,39.49,39.9,39.9,33200
2021-04-16,40.23,40.733,39.11,40.04,40.04,35107
2021-04-19,39.77,40.08,39.4,39.77,39.77,17900
2021-04-20,38.8,40.29,37.03,37.16,37.16,53800
2021-04-21,36.25,40.155,36.25,39.86,39.86,45800
2021-04-22,37.23,40.385,37.23,40,40,55200
2021-04-23,40,40.25,39.85,40,40,43300
2021-04-26,40.7,40.9,39.85,40,40,89700
2021-04-27,40.3,40.76,39.95,40.5,40.5,100800
2021-04-28,40.5,41.925,40.41,41,41,116800
2021-04-29,41.55,41.74,40.6,41.5,41.5,100500
2021-04-30,41.66,41.99,41.4,41.78,41.78,79300
2021-05-03,40.78,41.95,40.66,41.39,41.39,68200
2021-05-04,40.28,41.99,40.28,41.55,41.55,60600
2021-05-05,41.35,43.472,41.35,42.91,42.91,108800
2021-05-06,42.92,44.61,41.78,42.96,42.96,57400
2021-05-07,42.67,44.2,40.57,43.44,43.44,310800
2021-05-10,44.61,47.12,44.61,46.37,46.37,247300
2021-05-11,45.39,46.99,44.09,46.84,46.84,345700
2021-05-12,47.18,49.455,46.01,46.8,46.8,222300
2021-05-13,46.31,47.5,45.56,46.75,46.75,185000
2021-05-14,46.84,47.93,46.21,47.03,47.03,402900
2021-05-17,47.33,49.13,47.33,48.76,48.76,125300
2021-05-18,49.24,50.967,48.87,49.97,49.97,265400
2021-05-19,49.43,50.685,47.65,50.17,50.17,214100
2021-05-20,49.89,50.04,48.362,49.96,49.96,139500
2021-05-21,50,50.5,49.46,49.61,49.61,152900
2021-05-24,49.56,50,48.63,49.96,49.96,129400
2021-05-25,49.69,50,48.75,48.96,48.96,96100
2021-05-26,48.97,50.22,48.97,49.9,49.9,307700
2021-05-27,50,50.62,49.49,49.49,49.49,456800
2021-05-28,50,50,49.07,49.12,49.12,229300
2021-06-01,49.79,52.34,49.74,51.87,51.87,1009600
2021-06-02,52.1,52.59,51.73,52.55,52.55,408300
2021-06-03,52.58,53.12,51.77,53.06,53.06,169900
2021-06-04,53.17,55.035,52.79,54.6,54.6,190600
2021-06-07,55.08,55.59,54.48,54.49,54.49,482600
2021-06-08,54.47,54.95,53.02,54.82,54.82,241500
2021-06-09,54.82,55.78,54.25,55.14,55.14,164638
2021-06-10,55.75,56.31,54.9,56.08,56.08,85100
2021-06-11,56.1,58.47,56.1,58.34,58.34,153300
2021-06-14,58.68,59.29,55.6,55.66,55.66,123100
2021-06-15,55.67,58.27,55.67,57.95,57.95,206000
2021-06-16,57.97,57.97,56.1,57.13,57.13,232100
2021-06-17,56.84,57.4,53.24,55.21,55.21,213300
2021-06-18,54.51,55.92,53.58,54.7,54.7,258000
2021-06-21,55.2,56.49,54.9,56.49,56.49,341600
2021-06-22,56.52,56.59,55.02,56.59,56.59,362200
2021-06-23,56.83,57.53,55.73,55.82,55.82,134200
2021-06-24,55.9,57.14,55.05,57.07,57.07,145600
2021-06-25,57.1,58.005,56.58,56.76,56.76,2016000
2021-06-28,56.87,56.87,53.45,53.98,53.98,239800
2021-06-29,54.3,55.14,54.3,54.49,54.49,106900
2021-06-30,54.57,55.27,53.99,54.91,54.91,167400
2021-07-01,55.55,58.33,55.55,57.79,57.79,190600
2021-07-02,58,58.5,57.1,57.68,57.68,182100
2021-07-06,57.79,57.79,54.58,55.81,55.81,156800
2021-07-07,56.02,56.36,53.66,54.09,54.09,128600
2021-07-08,53.7,55.15,53.045,53.94,53.94,104700
2021-07-09,54.33,54.76,53.841,54.17,54.17,176400
2021-07-12,53.99,55.055,52.8,53.95,53.95,96000
2021-07-13,53.9,54.02,52.74,53,53,89600
2021-07-14,53,53,50.05,50.39,50.39,63500
2021-07-15,50.05,50.765,47.37,48.26,48.26,179900
2021-07-16,48.72,49.05,46.18,46.45,46.45,64100
2021-07-19,44.93,45.85,42.765,43.72,43.72,226554
