Date,Open,High,Low,Close,AdjustedClose,Volume
2014-07-11,0.4489,0.8919,0.4489,0.8919,0.8919,1150
2014-07-14,0.6239,0.6239,0.5755,0.5755,0.5755,2583
2014-07-15,0.648,0.6941,0.5946,0.5947,0.5947,16042
2014-07-16,0.5844,0.6319,0.5844,0.6319,0.6319,183
2014-07-21,0.5854,0.5854,0.5854,0.5854,0.5854,250
2014-07-23,0.5942,0.5942,0.5942,0.5942,0.5942,1075
2014-07-28,0.5612,0.5612,0.5612,0.5612,0.5612,42
2014-07-29,0.4452,0.4493,0.4452,0.4493,0.4493,8958
2014-07-30,0.445,0.445,0.445,0.445,0.445,14
2014-08-01,0.441,0.441,0.441,0.441,0.441,8
2014-08-25,0.5725,0.5725,0.5725,0.5725,0.5725,22
2014-09-02,0.5923,0.5923,0.5923,0.5923,0.5923,192
2014-09-05,0.8296,0.8296,0.8296,0.8296,0.8296,2517
2014-09-08,0.8998,0.8998,0.8998,0.8998,0.8998,131
2015-01-12,0.3807,0.3807,0.3807,0.3807,0.3807,125
2015-02-04,0.3322,0.3402,0.3322,0.3402,0.3402,4644
2015-02-06,0.3095,0.3095,0.3095,0.3095,0.3095,125
2015-02-09,0.3144,0.3144,0.3144,0.3144,0.3144,1000
2015-02-13,0.2986,0.2986,0.2986,0.2986,0.2986,417
2015-02-20,0.5181,0.5508,0.4995,0.4995,0.4995,1544
2015-02-23,0.4984,0.4994,0.4509,0.4509,0.4509,1429
2015-02-24,0.3985,0.4094,0.3758,0.4094,0.4094,1113
2015-02-25,0.3441,0.3441,0.3441,0.3441,0.3441,83
2015-02-27,0.3283,0.3283,0.3283,0.3283,0.3283,208
2015-03-03,0.3332,0.3332,0.3332,0.3332,0.3332,208
2015-03-12,0.2937,0.3061,0.2937,0.3061,0.3061,208
2015-03-17,0.2828,0.2828,0.2798,0.2798,0.2798,3417
2015-03-20,0.2947,0.2947,0.2947,0.2947,0.2947,208
2015-03-23,0.295,0.295,0.295,0.295,0.295,25
2015-03-24,0.2897,0.2897,0.2897,0.2897,0.2897,28
2015-03-30,0.2795,0.2907,0.2795,0.2907,0.2907,1292
2015-04-02,0.2696,0.2696,0.2696,0.2696,0.2696,42
2015-04-07,0.2601,0.2601,0.2561,0.2561,0.2561,167
2015-04-08,0.2559,0.2559,0.2559,0.2559,0.2559,504
2015-04-13,0.2419,0.2419,0.2419,0.2419,0.2419,333
2015-04-17,0.264,0.2969,0.264,0.2969,0.2969,667
2015-04-21,0.3377,0.3377,0.3199,0.3199,0.3199,35
2015-04-22,0.3496,0.356,0.3472,0.352,0.352,8599
2015-04-23,0.355,0.3639,0.3438,0.3445,0.3445,300
2015-04-24,0.336,0.3441,0.336,0.3441,0.3441,1625
2015-04-28,0.3461,0.3461,0.3451,0.3451,0.3451,898
2015-04-30,0.3328,0.338,0.3328,0.338,0.338,150
2015-05-05,0.3304,0.3304,0.3304,0.3304,0.3304,117
2015-05-06,0.3362,0.3362,0.3332,0.3332,0.3332,2018
2015-05-11,0.3383,0.3383,0.3204,0.3204,0.3204,1000
2015-05-12,0.3174,0.3174,0.3174,0.3174,0.3174,1879
2015-06-03,0.2294,0.2294,0.2294,0.2294,0.2294,58
2015-06-09,0.2363,0.2403,0.2363,0.2403,0.2403,750
2015-06-11,0.23,0.23,0.23,0.23,0.23,67
2015-06-12,0.2077,0.2077,0.2077,0.2077,0.2077,83
2015-06-29,0.2373,0.2373,0.2287,0.2367,0.2367,1798
2015-06-30,0.2363,0.2363,0.2363,0.2363,0.2363,833
2015-07-07,0.2383,0.2383,0.2383,0.2383,0.2383,83
2015-07-10,0.2494,0.2494,0.2494,0.2494,0.2494,750
2015-07-15,0.2541,0.2541,0.2521,0.2521,0.2521,192
2015-07-22,0.244,0.244,0.244,0.244,0.244,900
2015-07-30,0.2175,0.2175,0.2175,0.2175,0.2175,158
2015-08-10,0.2394,0.2394,0.2281,0.2281,0.2281,33
2015-08-11,0.2267,0.2267,0.2267,0.2267,0.2267,208
2015-08-12,0.2358,0.2358,0.2358,0.2358,0.2358,417
2015-08-13,0.2359,0.2359,0.2359,0.2359,0.2359,213
2015-08-14,0.2317,0.2317,0.2317,0.2317,0.2317,17
2015-08-21,0.2272,0.2272,0.2271,0.2271,0.2271,83
2015-08-24,0.2146,0.2156,0.1978,0.1978,0.1978,2873
2015-08-27,0.2213,0.2213,0.2213,0.2213,0.2213,13
2015-08-28,0.2139,0.214,0.2139,0.214,0.214,142
2015-09-01,0.2194,0.2194,0.2194,0.2194,0.2194,375
2015-09-04,0.1978,0.1978,0.1978,0.1978,0.1978,2833
2015-09-09,0.2264,0.2601,0.2264,0.2601,0.2601,194
2015-09-10,0.2531,0.2531,0.2531,0.2531,0.2531,42
2015-09-18,0.245,0.245,0.245,0.245,0.245,17
2015-09-21,0.2403,0.2591,0.2403,0.2591,0.2591,833
2015-09-25,0.2541,0.2729,0.2541,0.2729,0.2729,337
2015-09-29,0.2744,0.2744,0.2744,0.2744,0.2744,833
2015-09-30,0.2808,0.2865,0.2808,0.2865,0.2865,717
2015-10-01,0.3184,0.3184,0.3184,0.3184,0.3184,100
2015-10-02,0.3065,0.3164,0.3065,0.3164,0.3164,1208
2015-10-05,0.3036,0.3036,0.3036,0.3036,0.3036,250
2015-10-06,0.2968,0.2968,0.2968,0.2968,0.2968,833
2015-10-07,0.2788,0.2788,0.2601,0.2601,0.2601,200
2015-10-08,0.263,0.263,0.263,0.263,0.263,383
2015-10-13,0.2759,0.3014,0.2759,0.3014,0.3014,258
2015-10-14,0.2917,0.2917,0.2917,0.2917,0.2917,250
2015-10-19,0.2907,0.2907,0.2907,0.2907,0.2907,375
2015-10-20,0.3164,0.3164,0.3164,0.3164,0.3164,1208
2015-10-21,0.3293,0.3293,0.3105,0.3105,0.3105,1317
2015-10-22,0.3192,0.3192,0.3192,0.3192,0.3192,8
2015-10-23,0.3214,0.3253,0.3214,0.3253,0.3253,177
2015-10-26,0.356,0.3748,0.3481,0.3656,0.3656,1083
2015-10-27,0.3758,0.3866,0.3758,0.3866,0.3866,713
2015-10-28,0.3856,0.4173,0.3856,0.4074,0.4074,2917
2015-10-30,0.4143,0.4143,0.4143,0.4143,0.4143,25
2015-11-02,0.4202,0.4202,0.4202,0.4202,0.4202,167
2015-11-03,0.4282,0.4291,0.4282,0.4291,0.4291,346
2015-11-04,0.4361,0.4598,0.4361,0.4598,0.4598,2724
2015-11-05,0.5241,0.5458,0.4974,0.531,0.531,5713
2015-11-06,0.5405,0.5405,0.4708,0.4776,0.4776,1502
2015-11-09,0.4877,0.4877,0.4877,0.4877,0.4877,8
2015-11-12,0.4709,0.4709,0.4709,0.4709,0.4709,38
2015-11-13,0.4657,0.4657,0.4392,0.4392,0.4392,625
2015-11-16,0.4796,0.4946,0.4766,0.4806,0.4806,875
2015-11-17,0.4923,0.4954,0.4866,0.494,0.494,333
2015-11-18,0.4938,0.5023,0.4938,0.4954,0.4954,1038
2015-11-19,0.4974,0.4974,0.4952,0.4952,0.4952,96
2015-11-20,0.5043,0.5043,0.4652,0.4787,0.4787,556
2015-11-30,0.582,0.5825,0.4647,0.5537,0.5537,3558
2015-12-01,0.5686,0.5686,0.5155,0.5155,0.5155,625
2015-12-02,0.5216,0.5216,0.5132,0.5132,0.5132,604
2015-12-03,0.4944,0.5075,0.4944,0.5016,0.5016,671
2015-12-04,0.5083,0.5083,0.4868,0.5003,0.5003,198
2015-12-07,0.4939,0.4939,0.4939,0.4939,0.4939,167
2015-12-08,0.4945,0.5059,0.4858,0.4858,0.4858,956
2015-12-09,0.4796,0.4796,0.4796,0.4796,0.4796,83
2015-12-10,0.4391,0.4393,0.3972,0.4237,0.4237,2001
2015-12-11,0.4172,0.4172,0.4172,0.4172,0.4172,375
2015-12-15,0.4158,0.4158,0.4049,0.4049,0.4049,262
2015-12-16,0.4166,0.4202,0.4166,0.4172,0.4172,702
2015-12-17,0.3995,0.3995,0.3955,0.3955,0.3955,917
2015-12-18,0.4005,0.4104,0.3924,0.4024,0.4024,3483
2015-12-21,0.3955,0.3955,0.3738,0.3738,0.3738,269
2015-12-22,0.3743,0.3743,0.3669,0.3669,0.3669,595
2015-12-23,0.1882,0.3644,0.1882,0.3644,0.3644,844
2015-12-29,0.4158,0.4158,0.4016,0.4016,0.4016,875
2015-12-30,0.4158,0.4158,0.4146,0.4147,0.4147,133
2016-01-04,0.4144,0.4144,0.4144,0.4144,0.4144,42
2016-01-05,0.4338,0.4351,0.433,0.4343,0.4343,5498
2016-01-06,0.4272,0.4315,0.4172,0.4315,0.4315,373
2016-01-07,0.4054,0.4096,0.4054,0.4054,0.4054,1954
2016-01-08,0.4165,0.4165,0.4165,0.4165,0.4165,250
2016-01-11,0.4227,0.4227,0.4071,0.4153,0.4153,1343
2016-01-12,0.4,0.42,0.4,0.42,0.42,175
2016-01-13,0.4153,0.4153,0.4054,0.4054,0.4054,101
2016-01-14,0.4054,0.4054,0.3916,0.3916,0.3916,500
2016-01-15,0.3646,0.3646,0.3646,0.3646,0.3646,333
2016-01-19,0.3738,0.3787,0.372,0.3787,0.3787,607
2016-01-20,0.3767,0.3775,0.3402,0.3629,0.3629,1288
2016-01-21,0.3692,0.3692,0.3609,0.3609,0.3609,110
2016-01-22,0.3648,0.3965,0.3648,0.3962,0.3962,1596
2016-01-25,0.3861,0.3886,0.3861,0.3861,0.3861,304
2016-01-26,0.3667,0.3926,0.3667,0.3843,0.3843,217
2016-01-27,0.3878,0.3878,0.3803,0.3803,0.3803,1133
2016-01-28,0.3758,0.3821,0.3758,0.3821,0.3821,442
2016-01-29,0.3695,0.3758,0.3695,0.3758,0.3758,125
2016-02-01,0.3936,0.3936,0.3866,0.3911,0.3911,438
2016-02-02,0.3916,0.3936,0.3758,0.3936,0.3936,157
2016-02-03,0.3966,0.3966,0.389,0.389,0.389,258
2016-02-04,0.3955,0.3955,0.3945,0.3945,0.3945,292
2016-02-05,0.3889,0.3889,0.3749,0.3749,0.3749,892
2016-02-08,0.3997,0.4005,0.3919,0.392,0.392,1096
2016-02-09,0.4118,0.4262,0.4044,0.4262,0.4262,913
2016-02-10,0.4311,0.4311,0.4012,0.4012,0.4012,792
2016-02-12,0.4303,0.4303,0.4146,0.4235,0.4235,975
2016-02-16,0.4341,0.44,0.4301,0.44,0.44,3315
2016-02-17,0.4485,0.4583,0.4485,0.4583,0.4583,2431
2016-02-18,0.4608,0.4728,0.4494,0.4728,0.4728,3675
2016-02-19,0.4489,0.4628,0.445,0.445,0.445,1127
2016-02-22,0.4421,0.445,0.431,0.4427,0.4427,425
2016-02-23,0.446,0.4487,0.446,0.4469,0.4469,2627
2016-02-24,0.4595,0.4595,0.4159,0.4159,0.4159,2490
2016-02-25,0.4044,0.4239,0.3937,0.4239,0.4239,1592
2016-02-26,0.4331,0.4549,0.4331,0.4549,0.4549,1018
2016-02-29,0.4498,0.4628,0.44,0.4422,0.4422,728
2016-03-01,0.444,0.444,0.4367,0.4373,0.4373,486
2016-03-02,0.4294,0.4449,0.4294,0.4449,0.4449,328
2016-03-03,0.4436,0.4479,0.4282,0.445,0.445,531
2016-03-04,0.4385,0.4407,0.434,0.4407,0.4407,188
2016-03-07,0.4273,0.444,0.4202,0.4202,0.4202,915
2016-03-08,0.442,0.442,0.4331,0.4331,0.4331,367
2016-03-09,0.4314,0.4314,0.4153,0.4153,0.4153,285
2016-03-10,0.4092,0.4104,0.4092,0.4104,0.4104,708
2016-03-14,0.4301,0.4365,0.4113,0.4342,0.4342,742
2016-03-15,0.4202,0.4323,0.4153,0.4263,0.4263,507
2016-03-16,0.4153,0.4322,0.4153,0.4298,0.4298,2258
2016-03-17,0.4351,0.4351,0.4153,0.4153,0.4153,917
2016-03-18,0.4373,0.4373,0.4193,0.4193,0.4193,1221
2016-03-22,0.4202,0.4202,0.4138,0.4138,0.4138,92
2016-03-23,0.4084,0.4179,0.4084,0.4157,0.4157,271
2016-03-24,0.4043,0.4152,0.401,0.401,0.401,396
2016-03-28,0.4114,0.4114,0.3914,0.4113,0.4113,670
2016-03-29,0.3936,0.3965,0.3936,0.3955,0.3955,935
2016-03-30,0.4015,0.4262,0.4015,0.4173,0.4173,56
2016-04-01,0.3906,0.4053,0.3906,0.4053,0.4053,1300
2016-04-04,0.4232,0.4232,0.4076,0.4184,0.4184,357
2016-04-05,0.4252,0.4252,0.4193,0.4193,0.4193,618
2016-04-06,0.4176,0.428,0.402,0.4097,0.4097,3424
2016-04-07,0.4034,0.4034,0.3926,0.3926,0.3926,117
2016-04-08,0.3975,0.4055,0.3975,0.4055,0.4055,365
2016-04-11,0.4189,0.4189,0.4143,0.4143,0.4143,500
2016-04-12,0.4133,0.427,0.4133,0.4252,0.4252,491
2016-04-13,0.4344,0.4344,0.4268,0.4301,0.4301,1229
2016-04-14,0.4283,0.44,0.4181,0.44,0.44,415
2016-04-15,0.444,0.444,0.4221,0.4221,0.4221,70
2016-04-18,0.4113,0.4297,0.4113,0.4297,0.4297,1061
2016-04-19,0.4153,0.4153,0.4153,0.4153,0.4153,84
2016-04-20,0.4262,0.4648,0.4262,0.4648,0.4648,1908
2016-04-21,0.4727,0.4727,0.4222,0.4222,0.4222,4546
