Date,Open,High,Low,Close,AdjustedClose,Volume
2003-01-28,15.75,22.75,15.75,22.05,22.05,573300
2003-01-29,22.05,22.75,22.05,22.4,22.4,422821
2003-01-30,23.1,23.1,22.75,23.1,23.1,201586
2003-01-31,22.96,23.1,22.96,23.1,23.1,100793
2003-02-03,23.1,23.1,23.1,23.1,23.1,34986
2003-02-04,23.1,23.1,23.1,23.1,23.1,14014
2003-02-05,23.1,23.1,23.1,23.1,23.1,0
2003-02-06,23.45,23.45,23.45,23.45,23.45,26607
2003-02-07,23.1,23.8,23.1,23.8,23.8,9114
2003-02-10,23.8,23.8,23.1,23.1,23.1,11221
2003-02-11,23.45,23.45,23.45,23.45,23.45,11221
2003-02-12,23.45,23.45,22.75,23.1,23.1,14700
2003-02-13,23.45,23.45,23.45,23.45,23.45,686
2003-02-14,23.45,23.45,23.45,23.45,23.45,686
2003-02-18,23.45,23.45,23.45,23.45,23.45,0
2003-02-19,23.45,23.45,23.45,23.45,23.45,0
2003-02-20,23.8,23.8,23.8,23.8,23.8,2793
2003-02-21,23.8,23.8,23.8,23.8,23.8,0
2003-02-24,23.8,23.8,23.8,23.8,23.8,0
2003-02-25,23.8,23.8,23.8,23.8,23.8,0
2003-02-26,23.45,23.45,23.345,23.345,23.345,34986
2003-02-27,23.45,23.45,23.45,23.45,23.45,3479
2003-02-28,23.45,23.45,23.45,23.45,23.45,0
2003-03-03,23.45,23.45,23.45,23.45,23.45,0
2003-03-04,23.45,23.45,23.45,23.45,23.45,686
2003-03-05,23.45,23.45,23.45,23.45,23.45,7007
2003-03-06,23.45,23.45,23.45,23.45,23.45,1421
2003-03-07,23.31,23.45,23.31,23.45,23.45,49000
2003-03-10,23.66,23.8,23.45,23.45,23.45,38514
2003-03-11,23.45,23.45,23.45,23.45,23.45,0
2003-03-12,23.8,23.8,23.66,23.8,23.8,25186
2003-03-13,23.8,23.8,23.1,23.1,23.1,49000
2003-03-14,23.1,23.1,23.1,23.1,23.1,0
2003-03-17,23.1,23.1,23.1,23.1,23.1,0
2003-03-18,23.8,23.8,23.8,23.8,23.8,686
2003-03-19,23.8,23.8,23.8,23.8,23.8,0
2003-03-20,23.66,23.8,23.45,23.8,23.8,44100
2003-03-21,23.1,23.45,23.1,23.45,23.45,27979
2003-03-24,24.15,24.15,23.94,24.15,24.15,21021
2003-03-25,23.94,23.94,23.94,23.94,23.94,3479
2003-03-26,23.94,23.94,23.94,23.94,23.94,0
2003-03-27,23.94,23.94,23.94,23.94,23.94,0
2003-03-28,24.15,24.15,23.66,23.8,23.8,66493
2003-03-31,23.8,23.8,23.8,23.8,23.8,0
2003-04-01,23.8,23.8,23.8,23.8,23.8,0
2003-04-02,23.8,23.8,23.8,23.8,23.8,0
2003-04-03,23.8,23.8,23.8,23.8,23.8,0
2003-04-04,23.8,23.8,23.8,23.8,23.8,0
2003-04-07,23.8,23.8,23.8,23.8,23.8,0
2003-04-08,24.01,24.15,23.8,23.8,23.8,108486
2003-04-09,23.8,23.8,23.8,23.8,23.8,0
2003-04-10,23.8,23.8,23.8,23.8,23.8,0
2003-04-11,23.1,23.1,22.75,22.75,22.75,14014
2003-04-14,22.75,22.75,22.75,22.75,22.75,0
2003-04-15,23.1,24.15,23.1,24.15,24.15,21021
2003-04-16,23.8,24.15,22.75,23.1,23.1,34986
2003-04-17,23.1,23.1,23.1,23.1,23.1,0
2003-04-21,23.1,23.8,22.4,23.8,23.8,36407
2003-04-22,23.8,23.8,23.8,23.8,23.8,0
2003-04-23,23.8,23.8,23.8,23.8,23.8,0
2003-04-24,23.8,23.8,23.8,23.8,23.8,0
2003-04-25,23.1,23.45,23.1,23.45,23.45,14014
2003-04-28,23.45,23.45,23.45,23.45,23.45,4214
2003-04-29,23.45,23.45,23.45,23.45,23.45,0
2003-04-30,22.4,22.4,22.4,22.4,22.4,3479
2003-05-01,22.4,22.4,22.4,22.4,22.4,0
2003-05-02,22.4,22.4,22.4,22.4,22.4,0
2003-05-05,22.4,22.4,22.4,22.4,22.4,0
2003-05-06,22.05,22.75,21,21.35,21.35,27979
2003-05-07,19.25,19.53,19.25,19.53,19.53,14014
