Date,Open,High,Low,Close,AdjustedClose,Volume
2018-08-08,25.52,25.52,25.52,25.52,25.52,191
2018-08-09,25.52,25.52,25.52,25.52,25.52,0
2018-08-10,25.52,25.52,25.52,25.52,25.52,0
2018-08-13,24.98,25,24.97,24.97,24.97,57457
2018-08-14,25,25.235,24.99,25.03,25.03,7415781
2018-08-15,24.75,24.88,24.69,24.81,24.81,5798763
2018-08-16,25.09,25.14,25.0429,25.05,25.05,5497158
2018-08-17,25.08,25.35,25.06,25.31,25.31,4800309
2018-08-20,25.3,25.35,25.25,25.31,25.31,311714
2018-08-21,25.32,25.33,25.2201,25.26,25.26,428242
2018-08-22,25.29,25.3,25.1996,25.24,25.24,99302
2018-08-23,24.98,25,24.86,24.88,24.88,107348
2018-08-24,25,25.07,24.9331,25.05,25.05,40701
2018-08-27,25.25,25.35,25.22,25.32,25.32,53456
2018-08-28,25.41,25.42,25.26,25.31,25.31,95577
2018-08-29,25.38,25.6,25.38,25.59,25.59,133803
2018-08-30,25.34,25.35,25.18,25.24,25.24,48415
2018-08-31,25.14,25.2,25.01,25.1,25.1,42359
2018-09-04,24.88,24.91,24.8161,24.9,24.9,41091
2018-09-05,24.58,24.58,24.4698,24.55,24.55,57713
2018-09-06,24.38,24.42,24.21,24.32,24.32,64578
2018-09-07,24.04,24.15,23.9,24,24,53730
2018-09-10,24.08,24.1,23.95,24.01,24.01,66674
2018-09-11,23.93,24.05,23.87,24.05,24.05,61900
2018-09-12,24.11,24.35,24.11,24.33,24.33,134578
2018-09-13,24.5076,24.53,24.368,24.49,24.49,56277
2018-09-14,24.46,24.55,24.38,24.45,24.45,62682
2018-09-17,24.45,24.5541,24.44,24.44,24.44,34118
2018-09-18,24.64,24.73,24.59,24.72,24.72,47853
2018-09-19,24.79,24.88,24.786,24.85,24.85,41450
2018-09-20,24.87,24.99,24.85,24.98,24.98,42806
2018-09-21,24.99,25.06,24.98,25.02,25.02,26328
2018-09-24,24.91,24.92,24.85,24.89,24.89,59918
2018-09-25,24.8357,24.84,24.7399,24.78,24.78,38840
2018-09-26,24.71,25.01,24.71,24.75,24.75,43214
2018-09-27,24.69,24.8251,24.69,24.74,24.74,47696
2018-09-28,24.69,24.84,24.65,24.7,24.7,48256
2018-10-01,24.62,24.73,24.62,24.7,24.7,40883
2018-10-02,24.27,24.42,24.27,24.37,24.37,55941
2018-10-03,24.3,24.36,24.17,24.18,24.18,54126
2018-10-04,24.04,24.05,23.85,23.93,23.93,74341
2018-10-05,23.95,23.99,23.7728,23.88,23.88,85282
2018-10-08,23.63,23.73,23.5303,23.73,23.73,59279
2018-10-09,23.53,23.67,23.524,23.65,23.65,30709
2018-10-10,23.56,23.7,23.11,23.11,23.11,91734
2018-10-11,22.86,23.03,22.61,22.81,22.81,68983
2018-10-12,23.03,23.08,22.79,23.03,23.03,59493
2018-10-15,22.93,23.07,22.93,22.96,22.96,178041
2018-10-16,23.07,23.24,23.02,23.23,23.23,182573
2018-10-17,23.16,23.22,23.01,23.17,23.17,265031
2018-10-18,23.13,23.17,22.86,22.96,22.96,150641
2018-10-19,23.13,23.2768,23.067,23.16,23.16,131587
2018-10-22,23.2,23.22,23.081,23.17,23.17,53685
2018-10-23,22.65,22.92,22.6,22.92,22.92,107476
2018-10-24,22.74,22.76,22.325,22.35,22.35,70654
2018-10-25,22.33,22.54,22.32,22.47,22.47,122422
2018-10-26,22.11,22.4,22.0501,22.31,22.31,106299
2018-10-29,22.51,22.55,22,22.18,22.18,92532
2018-10-30,22.3,22.56,22.3,22.56,22.56,247442
2018-10-31,22.7,22.77,22.63,22.71,22.71,87036
2018-11-01,23,23.23,22.99,23.22,23.22,146902
2018-11-02,23.39,23.49,23.118,23.31,23.31,252323
2018-11-05,23.24,23.33,23.2,23.31,23.31,204251
2018-11-06,23.28,23.45,23.28,23.45,23.45,105588
2018-11-07,23.76,23.81,23.6104,23.81,23.81,133614
2018-11-08,23.7,23.725,23.48,23.57,23.57,53421
2018-11-09,23.39,23.404,23.24,23.34,23.34,46234
2018-11-12,23.4,23.42,23.15,23.17,23.17,68292
2018-11-13,23.29,23.442,23.2604,23.33,23.33,55490
2018-11-14,23.24,23.29,22.9701,23.16,23.16,106274
2018-11-15,23.16,23.5,23.13,23.44,23.44,347337
2018-11-16,23.29,23.53,23.29,23.53,23.53,415017
2018-11-19,23.29,23.34,23.0952,23.17,23.17,349874
2018-11-20,22.88,22.93,22.69,22.7,22.7,245005
2018-11-21,23.15,23.21,23.08,23.11,23.11,266099
2018-11-23,23.05,23.1843,23.05,23.12,23.12,106813
2018-11-26,23.31,23.4464,23.31,23.44,23.44,166516
2018-11-27,23.25,23.41,23.25,23.39,23.39,331301
2018-11-28,23.39,23.8,23.33,23.79,23.79,217424
2018-11-29,23.54,23.69,23.5101,23.56,23.56,232756
2018-11-30,23.4,23.51,23.34,23.51,23.51,328082
2018-12-03,23.97,24.03,23.8475,23.94,23.94,237984
2018-12-04,23.84,23.87,23.44,23.47,23.47,175662
2018-12-06,23,23.29,22.89,23.22,23.22,638988
2018-12-07,23.26,23.425,22.98,23.11,23.11,366535
2018-12-10,22.77,22.87,22.58,22.79,22.79,1035548
2018-12-11,23.02,23.09,22.8203,22.99,22.99,875864
2018-12-12,23.1,23.4,23.1,23.24,23.24,538214
2018-12-13,23.24,23.33,23.2047,23.28,23.28,531858
2018-12-14,22.99,23.09,22.97,23,23,530586
2018-12-17,23.07,23.15,22.85,22.94,22.94,549099
2018-12-18,22.95,23.075,22.825,22.95,22.95,591148
2018-12-19,23.12,23.19,22.57,22.76,22.76,707579
2018-12-20,22.68,22.77,22.46,22.61,22.61,3364919
2018-12-21,22.45,22.605,22.165,22.22,22.22,2681841
2018-12-24,22.08,22.31,21.94,22.06,22.06,865619
2018-12-26,22.09,22.65,21.96,22.65,22.65,1202405
2018-12-27,22.22,22.6,22.2,22.53,22.53,1831499
2018-12-28,22.77,22.8425,22.6703,22.79,22.79,1483148
2018-12-31,22.66,22.89,22.66,22.755,22.755,1795625
2019-01-02,22.23,22.56,22.23,22.51,22.51,131509
2019-01-03,22.36,22.4155,22.25,22.3,22.3,128759
2019-01-04,22.71,23.11,22.71,23.01,23.01,104940
2019-01-07,23,23.22,22.99,23.09,23.09,230802
2019-01-08,23.31,23.412,23.25,23.31,23.31,89592
2019-01-09,23.56,23.7696,23.56,23.62,23.62,132375
2019-01-10,23.64,23.85,23.64,23.77,23.77,232305
2019-01-11,23.63,23.81,23.63,23.74,23.74,90756
2019-01-14,23.58,23.75,23.58,23.7,23.7,66329
2019-01-15,23.81,23.9,23.77,23.85,23.85,70670
2019-01-16,23.88,24.04,23.88,23.95,23.95,63202
2019-01-17,23.79,24.1525,23.79,24.11,24.11,132301
2019-01-18,24.09,24.24,24.09,24.24,24.24,82169
2019-01-22,23.78,23.85,23.6,23.6,23.6,163531
2019-01-23,23.79,23.854,23.6756,23.77,23.77,118206
2019-01-24,23.78,23.8908,23.71,23.82,23.82,148709
2019-01-25,24.06,24.24,24.06,24.18,24.18,78096
2019-01-28,23.975,24.09,23.975,24.02,24.02,130616
2019-01-29,24.04,24.09,23.99,23.99,23.99,152654
2019-01-30,24.06,24.42,24.05,24.35,24.35,102371
2019-01-31,24.27,24.4,24.26,24.3,24.3,124256
2019-02-01,24.27,24.29,24.16,24.16,24.16,97402
2019-02-04,24.23,24.43,24.23,24.37,24.37,98739
2019-02-05,24.63,24.78,24.63,24.71,24.71,55134
2019-02-06,24.6,24.652,24.48,24.54,24.54,90590
2019-02-07,24.46,24.556,24.34,24.45,24.45,48740
2019-02-08,24.505,24.52,24.394,24.44,24.44,96235
2019-02-11,24.49,24.56,24.46,24.47,24.47,83344
2019-02-12,24.6,24.68,24.58,24.67,24.67,76913
2019-02-13,24.68,24.82,24.63,24.68,24.68,101322
2019-02-14,24.62,24.74,24.6,24.7,24.7,92542
2019-02-15,24.71,24.85,24.71,24.83,24.83,100017
2019-02-19,24.8,25.1,24.8,25.05,25.05,106986
2019-02-20,25.02,25.19,25.02,25.14,25.14,350095
2019-02-21,25.08,25.13,25.01,25.03,25.03,72660
2019-02-22,25.23,25.34,25.23,25.3,25.3,71207
2019-02-25,25.345,25.4593,25.34,25.34,25.34,86656
2019-02-26,25.21,25.3829,25.21,25.37,25.37,84021
2019-02-27,25.32,25.33,25.19,25.25,25.25,59043
2019-02-28,25.19,25.265,25.13,25.18,25.18,69999
2019-03-01,25.33,25.3399,25.19,25.23,25.23,79027
2019-03-04,25.31,25.33,25.1255,25.25,25.25,67027
2019-03-05,25.15,25.31,25.08,25.2,25.2,121588
2019-03-06,25.31,25.3325,25.17,25.17,25.17,131002
2019-03-07,25.24,25.24,25.01,25.06,25.06,120476
2019-03-08,24.82,24.96,24.82,24.96,24.96,66065
2019-03-11,24.98,25.21,24.98,25.17,25.17,80758
2019-03-12,25.11,25.22,25.11,25.2,25.2,66384
2019-03-13,25.13,25.28,25.13,25.23,25.23,47628
2019-03-14,25.06,25.17,25.06,25.17,25.17,36797
2019-03-15,25.15,25.2899,25.03,25.26,25.26,81684
2019-03-18,25.36,25.43,25.3,25.43,25.43,33642
2019-03-19,25.4,25.48,25.32,25.32,25.32,64805
2019-03-20,24.92,25.195,24.9,25.02,25.02,43483
2019-03-21,24.96,25.18,24.96,25.18,25.18,61962
2019-03-22,24.92,25.03,24.75,24.75,24.75,66590
2019-03-25,24.66,24.9,24.66,24.89,24.89,60191
2019-03-26,24.99,25.0477,24.91,25,25,39839
2019-03-27,24.84,24.8999,24.7,24.85,24.85,164503
2019-03-28,24.98,25.07,24.9569,25.06,25.06,97429
2019-03-29,25.22,25.28,25.17,25.28,25.28,47365
2019-04-01,25.62,25.62,25.52,25.58,25.58,113858
2019-04-02,25.59,25.65,25.54,25.65,25.65,95259
2019-04-03,25.76,25.9,25.75,25.81,25.81,106156
2019-04-04,25.62,25.72,25.62,25.71,25.71,75760
2019-04-05,25.56,25.69,25.56,25.69,25.69,66681
2019-04-08,25.59,25.73,25.59,25.73,25.73,121599
2019-04-09,25.56,25.62,25.55,25.6,25.6,93071
2019-04-10,25.59,25.76,25.59,25.71,25.71,68324
2019-04-11,25.56,25.63,25.52,25.55,25.55,88238
2019-04-12,25.8,25.8662,25.78,25.85,25.85,68197
2019-04-15,25.71,25.75,25.65,25.7,25.7,38713
2019-04-16,25.79,25.85,25.76,25.8,25.8,37945
2019-04-17,25.82,25.85,25.72,25.79,25.79,48222
2019-04-18,25.65,25.85,25.65,25.82,25.82,47385
2019-04-22,25.59,25.77,25.59,25.77,25.77,60794
2019-04-23,25.8241,25.9,25.78,25.86,25.86,45050
2019-04-24,25.73,25.78,25.6501,25.71,25.71,39389
2019-04-25,25.63,25.79,25.63,25.79,25.79,86130
2019-04-26,25.76,25.86,25.76,25.78,25.78,2171479
2019-04-29,25.83,25.9,25.81,25.82,25.82,1880968
2019-04-30,25.71,25.78,25.6404,25.78,25.78,1159938
2019-05-01,25.79,25.9196,25.65,25.7,25.7,178211
2019-05-02,25.74,25.8299,25.67,25.69,25.69,918190
2019-05-03,25.83,26,25.83,25.96,25.96,482069
2019-05-06,25.27,25.59,25.27,25.57,25.57,338984
2019-05-07,25.37,25.4622,25.1724,25.29,25.29,196161
2019-05-08,25.19,25.34,25.19,25.26,25.26,141481
2019-05-09,25.0306,25.19,24.88,25.14,25.14,88647
2019-05-10,25.22,25.42,25.06,25.4,25.4,119998
2019-05-13,24.85,24.93,24.7,24.75,24.75,281143
2019-05-14,24.845,25.01,24.78,24.91,24.91,144721
2019-05-15,24.82,25.08,24.82,25.05,25.05,95001
2019-05-16,25.08,25.327,25.08,25.21,25.21,100647
2019-05-17,24.87,25.06,24.87,24.98,24.98,81948
2019-05-20,25.18,25.3,25.18,25.24,25.24,70344
2019-05-21,25.27,25.38,25.25,25.34,25.34,82115
2019-05-22,25.4,25.4201,25.305,25.41,25.41,68732
2019-05-23,25.13,25.22,25.1,25.22,25.22,77696
2019-05-24,25.32,25.37,25.2246,25.32,25.32,106242
2019-05-28,25.38,25.42,25.2,25.2,25.2,76989
2019-05-29,25.1,25.19,25.03,25.19,25.19,67871
2019-05-30,25.05,25.0933,25.01,25.09,25.09,45874
2019-05-31,24.85,25.01,24.78,25.01,25.01,192902
2019-06-03,24.92,24.98,24.8457,24.93,24.93,69880
2019-06-04,25.02,25.22,25.02,25.22,25.22,57048
2019-06-05,25.2322,25.2322,25.0533,25.07,25.07,98338
2019-06-06,25.21,25.35,25.21,25.31,25.31,139994
2019-06-07,25.44,25.6442,25.44,25.57,25.57,214678
2019-06-10,25.66,25.76,25.65,25.7,25.7,65017
2019-06-11,25.915,25.97,25.805,25.89,25.89,50226
2019-06-12,25.64,25.6683,25.53,25.57,25.57,52882
2019-06-13,25.6,25.6799,25.54,25.62,25.62,57960
2019-06-14,25.43,25.472,25.38,25.46,25.46,51644
2019-06-17,25.42,25.5042,25.32,25.46,25.46,104435
2019-06-18,25.69,25.96,25.69,25.96,25.96,159427
2019-06-19,26.12,26.25,26.07,26.21,26.21,133617
2019-06-20,26.48,26.545,26.38,26.48,26.48,157336
2019-06-21,26.34,26.42,26.32,26.32,26.32,56474
2019-06-24,26.4,26.5,26.4,26.475,26.475,71652
2019-06-25,26.25,26.25,25.98,26.04,26.04,148584
2019-06-26,26.2,26.2464,26.1457,26.18,26.18,66067
2019-06-27,26.37,26.42,26.33,26.36,26.36,115765
2019-06-28,26.31,26.38,26.2625,26.3,26.3,152693
2019-07-01,26.51,26.535,26.331,26.45,26.45,67082
2019-07-02,26.49,26.5,26.41,26.5,26.5,91926
2019-07-03,26.67,26.745,26.64,26.74,26.74,46464
2019-07-05,26.51,26.66,26.455,26.64,26.64,67968
2019-07-08,26.41,26.44,26.21,26.44,26.44,151609
2019-07-09,26.21,26.3,26.2,26.3,26.3,58345
2019-07-10,26.44,26.4449,26.3005,26.4,26.4,113797
2019-07-11,26.46,26.46,26.3203,26.41,26.41,75530
2019-07-12,26.49,26.51,26.39,26.46,26.46,44413
2019-07-15,26.54,26.57,26.435,26.53,26.53,91184
2019-07-16,26.52,26.5503,26.41,26.45,26.45,100246
2019-07-17,26.48,26.58,26.445,26.51,26.51,142158
2019-07-18,26.45,26.65,26.4434,26.65,26.65,55747
2019-07-19,26.77,26.8206,26.655,26.7,26.7,69038
2019-07-22,26.65,26.6541,26.53,26.53,26.53,53749
2019-07-23,26.67,26.72,26.565,26.72,26.72,60596
2019-07-24,26.58,26.69,26.58,26.66,26.66,109620
2019-07-25,26.645,26.65,26.44,26.54,26.54,114258
2019-07-26,26.49,26.49,26.36,26.44,26.44,77693
2019-07-29,26.36,26.42,26.34,26.41,26.41,113687
2019-07-30,26.18,26.23,26.1396,26.22,26.22,168699
