Date,Open,High,Low,Close,AdjustedClose,Volume
1987-04-03,18.625,18.625,17.25,18.625,18.625,1021700
1987-04-07,18,18.625,18,18,18,295600
1987-04-08,18.75,18.875,18.25,18.75,18.75,479700
1987-04-09,17.875,18.75,17.875,17.875,17.875,850800
1987-04-10,18.125,18.25,17.875,18.125,18.125,224000
1987-04-13,17.625,18.125,17.5,17.625,17.625,304700
1987-04-14,16.125,17.5,15.875,16.125,16.125,168300
1987-04-15,17.5,17.5,16.375,17.5,17.5,423900
1987-04-16,18,18.125,17.75,18,18,231400
1987-04-20,17.75,18,17.75,17.75,17.75,139300
1987-04-21,17.625,17.875,17.5,17.625,17.625,287200
1987-04-22,17.25,17.75,16.875,17.25,17.25,290500
1987-04-23,17.375,17.625,17.25,17.375,17.375,230700
1987-04-24,16.875,17.5,16.875,16.875,16.875,142700
1987-04-27,16.5,16.75,16,16.5,16.5,466500
1987-04-28,17.125,17.5,16.5,17.125,17.125,272200
1987-04-29,17.25,17.5,17.25,17.25,17.25,374500
1987-04-30,18,18,17.25,18,18,845800
1987-05-01,18,18.375,17.875,18,18,713800
1987-05-04,18.5,18.625,18,18.5,18.5,212200
1987-05-05,19.375,19.375,18,19.375,19.375,1046600
1987-05-06,20.75,20.75,19.25,20.75,20.75,1037800
1987-05-07,22.25,22.375,21.875,22.25,22.25,1478800
1987-05-08,21.875,22.125,21.625,21.875,21.875,365400
1987-05-11,22.5,23.375,21.875,22.5,22.5,815000
1987-05-12,22.5,22.625,22.25,22.5,22.5,422900
1987-05-13,21.875,22.625,21.625,21.875,21.875,231300
1987-05-14,21.75,22,21.5,21.75,21.75,341500
1987-05-15,21.375,22,21.125,21.375,21.375,408700
1987-05-18,21,21.125,20.5,21,21,386200
1987-05-19,20.75,21,20.625,20.75,20.75,270200
1987-05-20,20.125,20.625,20.125,20.125,20.125,308100
1987-05-21,20.375,20.5,19.75,20.375,20.375,258900
1987-05-22,20.75,20.75,20.25,20.75,20.75,255700
1987-05-26,21.75,22,20.625,21.75,21.75,400600
1987-05-27,21.625,21.875,21.5,21.625,21.625,211500
1987-05-28,21.5,21.625,20.5,21.5,21.5,165000
1987-05-29,21.875,21.875,21.25,21.875,21.875,288100
1987-06-01,21.875,22.125,21.75,21.875,21.875,363100
1987-06-02,21.625,21.875,21.5,21.625,21.625,215500
1987-06-03,21.75,21.875,21.5,21.75,21.75,442000
1987-06-04,22,22,21.75,22,22,576100
1987-06-05,21.875,22.125,21.75,21.875,21.875,294100
1987-06-08,22.25,22.25,21.875,22.25,22.25,310200
1987-06-09,22,22.375,21.875,22,22,853800
1987-06-10,22,22.75,22,22,22,340700
1987-06-11,21.75,22.125,21.75,21.75,21.75,89100
1987-06-12,21.25,21.75,21.125,21.25,21.25,378700
1987-06-15,21.75,22,21.25,21.75,21.75,269500
1987-06-16,21.875,21.875,21.625,21.875,21.875,160300
1987-06-17,21.75,22,21.75,21.75,21.75,276100
