Date,Open,High,Low,Close,AdjustedClose,Volume
1980-03-17,17.499,18.999,17.499,17.499,17.499,1100
1980-03-21,17.499,18.999,17.499,17.499,17.499,1000
1980-03-24,17.499,18.999,17.499,17.499,17.499,500
1980-03-26,17.499,18.999,17.499,17.499,17.499,100
1980-03-28,17.001,18.501,17.001,17.001,17.001,300
1980-04-01,17.001,18.501,17.001,17.001,17.001,1400
1980-04-03,17.001,18.501,17.001,17.001,17.001,1500
1980-04-07,17.001,18.501,17.001,17.001,17.001,900
1980-04-08,16.5,18,16.5,16.5,16.5,500
1980-04-11,15.999,17.499,15.999,15.999,15.999,700
1980-04-17,15,16.5,15,15,15,1300
1980-04-18,15.501,17.001,15.501,15.501,15.501,1500
1980-04-22,15.501,17.001,15.501,15.501,15.501,200
1980-04-24,15.501,17.001,15.501,15.501,15.501,500
1980-04-25,15.501,17.001,15.501,15.501,15.501,2500
1980-04-28,15.501,17.001,15.501,15.501,15.501,100
1980-04-29,15.501,17.001,15.501,15.501,15.501,300
1980-05-01,15.501,17.001,15.501,15.501,15.501,100
1980-05-05,15.999,17.499,15.999,15.999,15.999,300
1980-05-12,15.999,17.499,15.999,15.999,15.999,200
1980-05-13,15.999,17.499,15.999,15.999,15.999,900
1980-05-14,15.999,17.499,15.999,15.999,15.999,400
1980-05-15,15.999,17.499,15.999,15.999,15.999,2000
1980-05-16,15.999,17.499,15.999,15.999,15.999,1000
1980-05-22,16.5,18,16.5,16.5,16.5,400
1980-05-27,16.5,18,16.5,16.5,16.5,200
1980-05-28,16.5,18,16.5,16.5,16.5,100
1980-05-29,16.5,18,16.5,16.5,16.5,500
1980-05-30,16.5,18,16.5,16.5,16.5,500
1980-06-11,15.999,17.499,15.999,15.999,15.999,600
1980-06-12,15.999,17.499,15.999,15.999,15.999,400
1980-06-13,15.999,17.499,15.999,15.999,15.999,100
1980-06-18,15.999,17.499,15.999,15.999,15.999,100
1980-06-20,15.999,17.499,15.999,15.999,15.999,100
1980-06-27,15.999,17.499,15.999,15.999,15.999,1000
1980-06-30,15.999,17.499,15.999,15.999,15.999,500
1980-07-03,15.501,17.001,15.501,15.501,15.501,500
1980-07-11,15.501,17.001,15.501,15.501,15.501,500
1980-07-15,15.501,17.001,15.501,15.501,15.501,1500
1980-07-16,15.501,17.001,15.501,15.501,15.501,1200
1980-07-17,15.999,17.001,15.999,15.999,15.999,300
1980-07-18,15.999,17.499,15.999,15.999,15.999,700
1980-07-23,17.001,18.501,17.001,17.001,17.001,1800
1980-08-01,17.001,18,17.001,17.001,17.001,200
1980-08-08,16.5,18,16.5,16.5,16.5,500
1980-08-11,17.001,18,17.001,17.001,17.001,800
1980-08-12,16.5,18,16.5,16.5,16.5,1100
1980-08-19,16.5,17.499,16.5,16.5,16.5,1000
1980-08-21,16.5,17.001,16.5,16.5,16.5,1000
1980-08-22,15.501,17.001,15.501,15.501,15.501,1000
1980-09-02,15.501,17.001,15.501,15.501,15.501,1200
1980-09-03,15.501,17.001,15.501,15.501,15.501,100
1980-09-10,15.501,17.001,15.501,15.501,15.501,200
1980-09-15,15.999,17.499,15.999,15.999,15.999,100
1980-09-16,15.999,17.499,15.999,15.999,15.999,500
1980-09-17,15.999,17.499,15.999,15.999,15.999,100
1980-09-25,15.999,17.499,15.999,15.999,15.999,900
1980-09-26,15.999,17.499,15.999,15.999,15.999,500
1980-09-29,15.999,17.499,15.999,15.999,15.999,200
1980-10-01,15.999,17.499,15.999,15.999,15.999,100
1980-10-08,15.999,17.499,15.999,15.999,15.999,100
1980-10-09,15.999,17.499,15.999,15.999,15.999,600
1980-10-14,15.999,17.499,15.999,15.999,15.999,400
1980-10-15,15.999,17.499,15.999,15.999,15.999,100
1980-10-16,15.999,17.499,15.999,15.999,15.999,2000
1980-10-17,15.999,17.499,15.999,15.999,15.999,400
1980-10-20,15.999,17.001,15.999,15.999,15.999,1300
1980-10-21,16.5,17.001,16.5,16.5,16.5,1800
1980-10-22,16.5,17.499,16.5,16.5,16.5,800
1980-10-23,16.5,17.499,16.5,16.5,16.5,200
1980-10-24,16.5,17.499,16.5,16.5,16.5,900
1980-10-27,16.749,18,16.749,16.749,16.749,3400
1980-10-28,17.499,18.501,17.499,17.499,17.499,100
1980-10-29,18,18.999,18,18,18,6300
1980-10-30,18,19.5,18,18,18,800
1980-10-31,18,19.5,18,18,18,100
1980-11-03,18,19.5,18,18,18,1100
1980-11-05,18,19.5,18,18,18,3400
1980-11-06,18.249,19.5,18.249,18.249,18.249,700
1980-11-11,18.249,19.5,18.249,18.249,18.249,3900
1980-11-12,18.249,19.5,18.249,18.249,18.249,1700
1980-11-13,18.501,19.5,18.501,18.501,18.501,400
1980-11-14,18.75,20.001,18.75,18.75,18.75,1000
1980-11-17,18.999,20.001,18.999,18.999,18.999,600
1980-11-21,19.5,20.499,19.5,19.5,19.5,1300
1980-11-26,19.5,20.499,19.5,19.5,19.5,1500
1980-12-02,18.999,20.499,18.999,18.999,18.999,1600
1980-12-04,18.999,20.499,18.999,18.999,18.999,800
1980-12-05,18.999,20.499,18.999,18.999,18.999,4200
1980-12-08,18.999,20.001,18.999,18.999,18.999,4100
1980-12-09,18.999,20.499,18.999,18.999,18.999,9800
1980-12-10,18.999,20.001,18.999,18.999,18.999,600
1980-12-11,18.999,20.001,18.999,18.999,18.999,300
1980-12-12,18.999,20.001,18.999,18.999,18.999,800
1980-12-15,18.75,20.001,18.75,18.75,18.75,2600
1980-12-16,18.501,19.749,18.501,18.501,18.501,1000
1980-12-17,18.501,19.5,18.501,18.501,18.501,500
1980-12-18,18.501,19.5,18.501,18.501,18.501,1100
1980-12-19,17.499,18.501,17.499,17.499,17.499,1100
1980-12-22,17.499,18.501,17.499,17.499,17.499,4100
1980-12-23,17.499,18.501,17.499,17.499,17.499,800
1980-12-24,17.499,18.501,17.499,17.499,17.499,1500
1980-12-26,17.499,18.501,17.499,17.499,17.499,1600
1980-12-30,17.001,18.501,17.001,17.001,17.001,4500
1980-12-31,17.001,18.501,17.001,17.001,17.001,1000
1981-01-05,17.001,18.501,17.001,17.001,17.001,100
1981-01-06,17.25,18.501,17.25,17.25,17.25,800
1981-01-07,17.25,18.501,17.25,17.25,17.25,400
1981-01-08,17.499,18.75,17.499,17.499,17.499,200
1981-01-15,18,18.999,18,18,18,2100
1981-01-19,18.249,19.251,18.249,18.249,18.249,2500
1981-01-20,18.501,19.5,18.501,18.501,18.501,1000
1981-01-23,18.501,19.5,18.501,18.501,18.501,3300
1981-01-26,18.501,19.5,18.501,18.501,18.501,200
1981-01-27,18.501,19.5,18.501,18.501,18.501,1700
1981-01-29,18.501,19.5,18.501,18.501,18.501,1400
1981-01-30,18.501,19.5,18.501,18.501,18.501,5000
1981-02-02,18.501,19.5,18.501,18.501,18.501,2900
1981-02-03,18.501,19.5,18.501,18.501,18.501,1300
1981-02-04,18.501,19.5,18.501,18.501,18.501,300
1981-02-05,18.501,19.5,18.501,18.501,18.501,600
1981-02-06,18.501,19.5,18.501,18.501,18.501,100
1981-02-10,18.501,19.5,18.501,18.501,18.501,500
1981-02-11,18.501,19.5,18.501,18.501,18.501,700
1981-02-24,18.501,19.5,18.501,18.501,18.501,400
1981-02-27,18.501,19.5,18.501,18.501,18.501,1900
1981-03-03,18.501,19.5,18.501,18.501,18.501,200
1981-03-05,18.501,19.5,18.501,18.501,18.501,600
1981-03-06,18.501,19.5,18.501,18.501,18.501,300
1981-03-09,18.249,19.5,18.249,18.249,18.249,2400
1981-03-10,18,18.999,18,18,18,4000
1981-03-11,18,18.999,18,18,18,1100
1981-03-12,18,18.999,18,18,18,1900
1981-03-17,18,18.999,18,18,18,1300
1981-03-18,18,18.999,18,18,18,500
1981-03-19,18,19.374,18,18,18,2000
1981-03-20,18,19.374,18,18,18,200
1981-03-23,18,19.374,18,18,18,600
1981-03-26,18.501,19.374,18.501,18.501,18.501,200
1981-03-31,18.501,19.749,18.501,18.501,18.501,100
1981-04-01,18.501,19.374,18.501,18.501,18.501,1700
1981-04-06,19.749,20.499,19.749,19.749,19.749,10500
1981-04-07,19.749,20.25,19.749,19.749,19.749,2000
1981-04-13,18.999,20.001,18.999,18.999,18.999,1300
1981-04-14,18.999,20.001,18.999,18.999,18.999,500
1981-04-15,18.999,20.001,18.999,18.999,18.999,2000
1981-04-16,18.999,20.001,18.999,18.999,18.999,300
1981-04-20,18.999,20.001,18.999,18.999,18.999,2700
1981-04-23,18.999,20.001,18.999,18.999,18.999,300
1981-04-24,18.999,20.001,18.999,18.999,18.999,8600
1981-04-27,18.999,20.001,18.999,18.999,18.999,300
1981-04-28,18.999,20.001,18.999,18.999,18.999,900
1981-04-29,18.501,20.001,18.501,18.501,18.501,100
1981-04-30,18.501,20.001,18.501,18.501,18.501,1000
1981-05-01,18.501,20.001,18.501,18.501,18.501,2500
1981-05-04,18.501,20.001,18.501,18.501,18.501,500
1981-05-05,18.501,20.001,18.501,18.501,18.501,800
1981-05-06,18.501,19.5,18.501,18.501,18.501,2300
1981-05-07,18,19.5,18,18,18,500
1981-05-11,18,18.999,18,18,18,100
1981-05-12,18,18.999,18,18,18,300
1981-05-15,17.499,18.999,17.499,17.499,17.499,400
1981-05-18,17.499,18.999,17.499,17.499,17.499,200
1981-05-20,17.499,18.999,17.499,17.499,17.499,500
1981-06-01,18,18.999,18,18,18,1900
1981-06-03,18,19.5,18,18,18,300
1981-06-05,18.501,19.5,18.501,18.501,18.501,200
1981-06-08,18.501,19.5,18.501,18.501,18.501,100
1981-06-09,18.501,18.999,18.501,18.501,18.501,1800
1981-06-10,18.501,18.999,18.501,18.501,18.501,2000
1981-06-11,18.501,18.999,18.501,18.501,18.501,800
1981-06-15,18.501,20.001,18.501,18.501,18.501,500
1981-06-17,18.501,20.001,18.501,18.501,18.501,200
1981-06-22,18.501,20.001,18.501,18.501,18.501,200
1981-06-24,18.75,20.001,18.75,18.75,18.75,100
1981-06-25,18.501,19.5,18.501,18.501,18.501,1800
1981-06-26,18.501,19.5,18.501,18.501,18.501,5700
1981-06-29,18.501,19.5,18.501,18.501,18.501,5900
1981-06-30,18.501,19.5,18.501,18.501,18.501,17400
1981-07-01,18.501,19.5,18.501,18.501,18.501,100
1981-07-02,18.501,19.5,18.501,18.501,18.501,2100
1981-07-06,18.501,19.5,18.501,18.501,18.501,200
1981-07-07,18.501,19.5,18.501,18.501,18.501,200
1981-07-08,18.501,19.5,18.501,18.501,18.501,100
1981-07-14,18.501,19.5,18.501,18.501,18.501,1100
1981-07-15,18.501,19.5,18.501,18.501,18.501,800
1981-07-16,18.501,19.5,18.501,18.501,18.501,1000
1981-07-17,18.501,19.5,18.501,18.501,18.501,1400
1981-07-20,18.501,19.5,18.501,18.501,18.501,4000
1981-07-21,18.501,19.5,18.501,18.501,18.501,500
1981-07-29,18.501,19.5,18.501,18.501,18.501,500
