Date,Open,High,Low,Close,AdjustedClose,Volume
2015-08-20,34.46,34.51,34.44,34.44,34.44,1500
2015-08-21,33.88,33.88,33.53,33.53,33.53,366
2015-08-24,33.0699,33.0699,33.0699,33.0699,33.0699,150
2015-08-25,33.3,33.3,33.3,33.3,33.3,100
2015-08-26,32.83,32.83,32.83,32.83,32.83,200
2015-08-27,33.77,33.97,33.77,33.87,33.87,700
2015-08-31,33.63,33.63,33.5721,33.59,33.59,500
2015-09-01,32.63,32.64,32.63,32.64,32.64,600
2015-09-10,33.28,33.38,33.28,33.38,33.38,200
2015-09-17,34.24,34.25,34.24,34.25,34.25,200
2015-09-30,32.36,32.36,32.36,32.36,32.36,100
2015-10-02,33.06,33.06,33.06,33.06,33.06,100
2015-10-08,34.01,34.01,34.01,34.01,34.01,300
2015-10-09,34.28,34.28,34.28,34.28,34.28,100
2015-10-12,34.25,34.25,34.25,34.25,34.25,500
2015-10-13,34.02,34.02,34.02,34.02,34.02,100
2015-10-14,33.99,33.99,33.99,33.99,33.99,175
2015-10-15,34.41,34.41,34.41,34.41,34.41,100
2015-10-16,34.5223,34.55,34.5223,34.55,34.55,245
2015-10-19,34.34,34.34,34.34,34.34,34.34,200
2015-10-23,35.08,35.08,35.06,35.07,35.07,300
2015-10-26,34.97,34.97,34.97,34.97,34.97,100
2015-11-05,34.68,34.68,34.68,34.68,34.68,550
2015-11-06,34.4,35.3,34.19,34.5066,34.5066,11620
2015-11-09,34.11,34.11,34.11,34.11,34.11,100
2015-11-11,34.32,34.4,34.32,34.39,34.39,700
2015-11-12,33.98,34.05,33.98,34.03,34.03,710
2015-11-13,33.8,33.81,33.71,33.72,33.72,2483
2015-11-16,34.219,35.005,33.535,34.06,34.06,280898
2015-11-17,34.11,34.18,34.04,34.07,34.07,931
2015-11-18,34.12,34.24,34.08,34.17,34.17,1770
2015-11-19,34.48,34.59,34.48,34.57,34.57,3900
2015-11-20,34.57,34.59,34.48,34.54,34.54,41694
2015-11-23,34.39,34.41,34.33,34.33,34.33,6054
