Date,Open,High,Low,Close,AdjustedClose,Volume
1987-03-13,2.25,2.75,2.25,2.25,2.25,1000
1987-03-16,2.75,3.25,2.75,2.75,2.75,3500
1987-03-17,3,3.5,3,3,3,4900
1987-03-18,3,3.5,3,3,3,1300
1987-03-19,3,3.5,3,3,3,200
1987-03-20,3,3.5,3,3,3,800
1987-03-23,3.125,3.5,3.125,3.125,3.125,800
1987-03-24,3.125,3.5,3.125,3.125,3.125,200
1987-03-25,3.125,3.5,3.125,3.125,3.125,2000
1987-03-26,3.125,3.5,3.125,3.125,3.125,1000
1987-03-27,3.125,3.5,3.125,3.125,3.125,500
1987-03-30,3,3.5,3,3,3,20
1987-03-31,3,3.5,3,3,3,200
1987-04-01,2.5,3,2.5,2.5,2.5,5400
1987-04-02,2.5,3,2.5,2.5,2.5,40
1987-04-03,2.5,3,2.5,2.5,2.5,900
1987-04-06,2.5,2.75,2.5,2.5,2.5,3500
1987-04-07,2.5,3,2.5,2.5,2.5,3300
1987-04-08,2.75,3,2.75,2.75,2.75,300
1987-04-09,2.75,3.25,2.75,2.75,2.75,2200
1987-04-10,2.75,3.25,2.75,2.75,2.75,600
1987-04-13,2.75,3.25,2.75,2.75,2.75,2700
1987-04-14,2.5,3,2.5,2.5,2.5,2300
1987-04-15,2.25,2.75,2.25,2.25,2.25,3100
1987-04-16,2,2.5,2,2,2,2500
1987-04-20,2,2.5,2,2,2,900
1987-04-21,2,2.5,2,2,2,1800
1987-04-22,2,2.5,2,2,2,400
1987-04-23,2,2.5,2,2,2,100
1987-04-24,2,2.5,2,2,2,300
1987-04-27,2,2.5,2,2,2,700
1987-04-28,2,2.5,2,2,2,800
1987-04-29,2,2.5,2,2,2,1000
1987-04-30,2,2.5,2,2,2,400
1987-05-01,2,2.5,2,2,2,200
1987-05-05,2.25,2.625,2.25,2.25,2.25,7000
1987-05-06,2.5,3,2.5,2.5,2.5,3300
1987-05-07,2.5,3,2.5,2.5,2.5,100
1987-05-11,2.5,3,2.5,2.5,2.5,100
1987-05-12,2.5,3,2.5,2.5,2.5,30
1987-05-13,2.5,3,2.5,2.5,2.5,30
1987-05-14,2.5,3,2.5,2.5,2.5,700
1987-05-15,2.5,3,2.5,2.5,2.5,900
1987-05-18,2.5,2.875,2.5,2.5,2.5,1200
1987-05-19,2.5,2.875,2.5,2.5,2.5,100
1987-05-21,2.5,2.875,2.5,2.5,2.5,500
1987-05-22,2.5,2.875,2.5,2.5,2.5,50
1987-05-26,2.5,2.875,2.5,2.5,2.5,700
1987-05-27,2.25,2.75,2.25,2.25,2.25,2000
1987-05-28,2.25,2.75,2.25,2.25,2.25,500
1987-05-29,2.25,2.75,2.25,2.25,2.25,600
1987-06-01,2.25,2.75,2.25,2.25,2.25,400
1987-06-02,2.25,2.75,2.25,2.25,2.25,800
1987-06-04,2,2.5,2,2,2,1000
1987-06-05,2.25,2.75,2.25,2.25,2.25,7500
1987-06-08,2.25,2.75,2.25,2.25,2.25,100
1987-06-09,2.25,2.75,2.25,2.25,2.25,1700
1987-06-11,2.25,2.625,2.25,2.25,2.25,900
1987-06-12,2.25,2.625,2.25,2.25,2.25,4000
1987-06-15,2.25,2.625,2.25,2.25,2.25,1000
1987-06-16,2,2.625,2,2,2,1100
1987-06-18,2,2.625,2,2,2,500
1987-06-19,2.25,2.625,2.25,2.25,2.25,2200
1987-06-22,2,2.625,2,2,2,500
1987-06-24,2,2.625,2,2,2,200
1987-06-26,2,2.625,2,2,2,400
1987-06-30,2,2.625,2,2,2,500
1987-07-01,2,2.625,2,2,2,400
1987-07-06,2,2.625,2,2,2,50
1987-07-09,2,2.625,2,2,2,100
1987-07-10,2,2.5,2,2,2,1800
1987-07-13,2,2.625,2,2,2,2000
1987-07-14,2,2.625,2,2,2,500
1987-07-15,2,2.625,2,2,2,300
1987-07-20,2,2.625,2,2,2,200
1987-07-21,2,2.625,2,2,2,1100
1987-07-23,2,2.5,2,2,2,100
1987-07-24,2,2.5,2,2,2,90
1987-07-27,2,2.5,2,2,2,600
1987-07-28,2,2.5,2,2,2,700
1987-07-30,2,2.5,2,2,2,1400
1987-07-31,2,2.5,2,2,2,500
1987-08-04,2,2.5,2,2,2,200
1987-08-05,2,2.5,2,2,2,500
1987-08-06,2,2.5,2,2,2,500
1987-08-07,2,2.5,2,2,2,400
1987-08-11,2,2.5,2,2,2,400
1987-08-12,2,2.5,2,2,2,1100
1987-08-14,2,2.5,2,2,2,1000
1987-08-17,2,2.5,2,2,2,300
1987-08-18,2,2.5,2,2,2,20
1987-08-19,2.125,2.5,2.125,2.125,2.125,300
1987-08-20,2.125,2.5,2.125,2.125,2.125,2500
1987-08-21,2.125,2.5,2.125,2.125,2.125,30
1987-08-24,2.125,2.5,2.125,2.125,2.125,300
1987-08-25,2.125,2.5,2.125,2.125,2.125,300
1987-08-26,2.125,2.5,2.125,2.125,2.125,400
1987-08-27,2.125,2.5,2.125,2.125,2.125,200
1987-08-28,2.125,2.5,2.125,2.125,2.125,100
1987-08-31,2.125,2.5,2.125,2.125,2.125,1000
1987-09-01,2.125,2.625,2.125,2.125,2.125,100
1987-09-02,2.125,2.625,2.125,2.125,2.125,400
1987-09-03,2.25,2.625,2.25,2.25,2.25,4600
1987-09-04,2.25,2.5,2.25,2.25,2.25,400
1987-09-08,2.125,2.5,2.125,2.125,2.125,4100
1987-09-09,2,2.5,2,2,2,700
1987-09-10,2,2.5,2,2,2,50
1987-09-11,2,2.5,2,2,2,500
1987-09-15,2,2.5,2,2,2,1200
1987-09-16,2,2.5,2,2,2,400
1987-09-17,2,2.5,2,2,2,50
1987-09-18,2,2.5,2,2,2,4000
1987-09-21,2,2.5,2,2,2,200
1987-09-23,1.75,2.25,1.75,1.75,1.75,2000
1987-09-24,1.75,2.25,1.75,1.75,1.75,1000
1987-09-25,1.75,2.25,1.75,1.75,1.75,20
1987-09-28,1.75,2.25,1.75,1.75,1.75,500
1987-09-29,1.625,2.125,1.625,1.625,1.625,2100
1987-09-30,1.625,2,1.625,1.625,1.625,80
1987-10-01,1.625,2,1.625,1.625,1.625,100
1987-10-02,1.625,2,1.625,1.625,1.625,600
1987-10-06,1.625,2,1.625,1.625,1.625,200
1987-10-07,1.625,2,1.625,1.625,1.625,200
1987-10-08,1.625,2,1.625,1.625,1.625,100
1987-10-09,1.625,2,1.625,1.625,1.625,100
1987-10-12,1.5,1.875,1.5,1.5,1.5,1100
1987-10-13,1.375,1.875,1.375,1.375,1.375,100
1987-10-14,1.375,1.75,1.375,1.375,1.375,50
1987-10-15,1.375,1.75,1.375,1.375,1.375,10
1987-10-16,1.375,1.75,1.375,1.375,1.375,50
1987-10-19,1.375,1.75,1.375,1.375,1.375,400
1987-10-21,1.25,1.5,1.25,1.25,1.25,1000
1987-10-22,1.25,1.5,1.25,1.25,1.25,1500
1987-10-23,1.25,1.5,1.25,1.25,1.25,400
1987-10-26,1.25,1.5,1.25,1.25,1.25,300
1987-10-27,1.125,1.5,1.125,1.125,1.125,1500
1987-10-28,1.125,1.5,1.125,1.125,1.125,100
1987-10-30,1.25,1.5,1.25,1.25,1.25,12300
1987-11-02,1.25,1.5,1.25,1.25,1.25,100
1987-11-03,1.25,1.5,1.25,1.25,1.25,60
1987-11-05,1.125,1.5,1.125,1.125,1.125,2700
1987-11-06,1,1.5,1,1,1,500
1987-11-10,1,1.375,1,1,1,60
1987-11-11,1,1.375,1,1,1,200
1987-11-12,1,1.375,1,1,1,800
1987-11-17,1,1.375,1,1,1,200
1987-11-18,1,1.375,1,1,1,500
1987-11-19,1,1.375,1,1,1,200
1987-11-23,0.875,1.125,0.875,0.875,0.875,700
1987-11-24,0.875,1.125,0.875,0.875,0.875,1700
1987-11-25,0.875,1.125,0.875,0.875,0.875,10
1987-11-30,0.75,1.125,0.75,0.75,0.75,100
1987-12-01,0.75,1.125,0.75,0.75,0.75,900
1987-12-02,0.625,1.125,0.625,0.625,0.625,400
1987-12-03,0.625,1,0.625,0.625,0.625,60
1987-12-04,0.5,1,0.5,0.5,0.5,1200
1987-12-07,0.5,1,0.5,0.5,0.5,100
1987-12-08,0.625,1,0.625,0.625,0.625,20
1987-12-09,0.625,1,0.625,0.625,0.625,50
1987-12-10,0.625,1,0.625,0.625,0.625,500
1987-12-11,0.625,1,0.625,0.625,0.625,100
1987-12-14,0.625,1,0.625,0.625,0.625,900
1987-12-15,0.625,1,0.625,0.625,0.625,100
1987-12-16,0.625,1,0.625,0.625,0.625,200
1987-12-17,0.625,1,0.625,0.625,0.625,300
1987-12-18,0.625,1,0.625,0.625,0.625,600
1987-12-21,0.625,1,0.625,0.625,0.625,300
1987-12-22,0.625,1,0.625,0.625,0.625,300
1987-12-23,0.625,1,0.625,0.625,0.625,2200
1987-12-28,0.625,1,0.625,0.625,0.625,900
1987-12-29,0.625,1,0.625,0.625,0.625,100
1987-12-30,0.75,1,0.75,0.75,0.75,1800
1987-12-31,0.75,1,0.75,0.75,0.75,10100
1988-01-07,0.625,0.875,0.625,0.625,0.625,10400
1988-01-11,0.625,0.875,0.625,0.625,0.625,200
1988-01-12,0.625,0.875,0.625,0.625,0.625,50
1988-01-14,0.625,0.75,0.625,0.625,0.625,1200
1988-01-15,0.625,0.75,0.625,0.625,0.625,300
1988-01-18,0.625,0.75,0.625,0.625,0.625,30
1988-01-22,0.625,0.75,0.625,0.625,0.625,50
1988-01-26,0.625,0.75,0.625,0.625,0.625,200
1988-01-29,0.625,0.75,0.625,0.625,0.625,1000
1988-02-01,0.625,1,0.625,0.625,0.625,2400
1988-02-04,0.625,1,0.625,0.625,0.625,50
1988-02-08,0.625,1,0.625,0.625,0.625,200
1988-02-10,0.625,1,0.625,0.625,0.625,20
