Date,Open,High,Low,Close,AdjustedClose,Volume
2015-01-28,1.395,1.395,1.395,1.395,1.395,1200
2015-01-29,1.355,1.355,1.345,1.345,1.345,4000
2015-02-11,1.455,1.455,1.455,1.455,1.455,100
2015-02-25,1.443,1.443,1.443,1.443,1.443,1020
2015-02-27,1.403,1.403,1.393,1.393,1.393,6000
2015-03-04,1.505,1.553,1.505,1.515,1.515,2200
2015-03-06,1.46,1.46,1.46,1.46,1.46,1750
2015-03-10,1.453,1.453,1.453,1.453,1.453,2100
2015-03-11,1.453,1.453,1.3257,1.453,1.453,2250
2015-03-19,1.307,1.307,1.307,1.307,1.307,2000
2015-03-24,1.335,1.335,1.335,1.335,1.335,8400
2015-04-06,1.293,1.293,1.293,1.293,1.293,1000
2015-04-13,1.145,1.145,1.145,1.145,1.145,2000
2015-04-20,1.079,1.079,1.079,1.079,1.079,10000
2015-04-21,1.063,1.063,1.063,1.063,1.063,1000
2015-05-19,0.975,0.975,0.975,0.975,0.975,1500
2015-05-20,0.98,0.98,0.95,0.95,0.95,16000
2015-05-21,0.96,0.96,0.95,0.955,0.955,15500
2015-05-22,0.972,1,0.972,1,1,13000
2015-05-26,0.89,0.992,0.89,0.94,0.94,16000
2015-05-27,0.94,0.96,0.94,0.94,0.94,7320
2015-05-29,0.95,0.95,0.95,0.95,0.95,1000
2015-06-01,1.15,1.15,0.935,0.935,0.935,12000
2015-06-03,0.895,0.895,0.895,0.895,0.895,1000
2015-06-09,0.985,0.985,0.985,0.985,0.985,0
2015-06-10,0.935,0.935,0.935,0.935,0.935,5000
2015-06-12,0.955,0.955,0.955,0.955,0.955,5000
2015-06-15,0.944,0.944,0.944,0.944,0.944,1000
2015-06-16,0.9083,0.945,0.905,0.945,0.945,7073
2015-06-22,0.945,0.945,0.9281,0.945,0.945,25400
2015-06-23,0.955,0.955,0.955,0.955,0.955,5000
2015-06-24,0.975,0.995,0.975,0.995,0.995,11500
2015-06-25,0.9803,0.9803,0.9803,0.9803,0.9803,7500
2015-06-26,1.008,1.008,1.008,1.008,1.008,2000
2015-06-29,0.995,1.008,0.995,1.008,1.008,6000
2015-07-07,0.992,1,0.992,1,1,5100
2015-07-16,0.945,0.955,0.945,0.955,0.955,4000
2015-07-17,0.955,1,0.952,1,1,17000
2015-07-22,0.995,1.002,0.955,1.002,1.002,10000
2015-07-24,1,1,1,1,1,4000
2015-07-30,1.05,1.05,1.05,1.05,1.05,5000
2015-07-31,1.1,1.1,1.09,1.092,1.092,3000
