Date,Open,High,Low,Close,AdjustedClose,Volume
2013-03-12,25.23,25.29,25.2,25.29,25.29,118664
2013-03-13,25.34,25.38,25.2,25.3625,25.3625,112461
2013-03-14,25.45,25.48,25.37,25.4,25.4,118096
2013-03-15,25.44,25.5,25.36,25.5,25.5,54287
2013-03-18,25.4,25.44,25.34,25.36,25.36,84087
2013-03-19,25.4,25.4,25.21,25.32,25.32,58673
2013-03-20,25.4,25.49,25.38,25.48,25.48,71280
2013-03-21,25.48,25.5425,25.47,25.48,25.48,36952
2013-03-22,25.57,25.63,25.51,25.5783,25.5783,48310
2013-03-25,25.7,25.7599,25.55,25.5824,25.5824,84524
2013-03-26,25.7,25.78,25.68,25.77,25.77,26583
2013-03-27,25.7,25.76,25.649,25.76,25.76,68894
2013-03-28,25.85,25.89,25.769,25.89,25.89,25198
2013-04-01,25.78,25.8,25.63,25.6686,25.6686,42343
2013-04-02,25.78,25.89,25.77,25.8199,25.8199,45559
2013-04-03,25.86,25.88,25.66,25.74,25.74,42193
2013-04-04,25.7804,25.94,25.7601,25.94,25.94,45203
2013-04-05,25.76,26.04,25.7,26.04,26.04,50384
2013-04-08,26.04,26.18,26.02,26.18,26.18,38302
2013-04-09,26.23,26.2886,26.1357,26.235,26.235,63742
2013-04-10,26.29,26.42,26.276,26.4,26.4,49854
2013-04-11,26.42,26.49,26.36,26.47,26.47,33902
2013-04-12,26.44,26.47,26.32,26.47,26.47,36636
2013-04-15,26.4,26.4,25.8459,25.89,25.89,61902
2013-04-16,25.96,26.1605,25.9216,26.159,26.159,90564
2013-04-17,26.07,26.07,25.7,25.8199,25.8199,46251
2013-04-18,25.83,25.92,25.7932,25.89,25.89,18276
2013-04-19,25.96,26.1,25.96,26.1,26.1,44009
2013-04-22,26.12,26.27,26.01,26.24,26.24,26228
2013-04-23,26.38,26.42,26.24,26.41,26.41,27830
2013-04-24,26.4,26.47,26.3481,26.45,26.45,19333
2013-04-25,26.48,26.589,26.47,26.49,26.49,15595
2013-04-26,26.5,26.5,26.38,26.46,26.46,29367
2013-04-29,26.51,26.69,26.477,26.68,26.68,40526
2013-04-30,26.68,26.78,26.6301,26.78,26.78,45591
2013-05-01,26.62,26.62,26.2466,26.25,26.25,46325
2013-05-02,26.2855,26.31,26.19,26.31,26.31,21986
2013-05-03,26.31,26.38,26.277,26.3,26.3,46923
2013-05-06,26.23,26.2405,26.11,26.12,26.12,68220
2013-05-07,26.17,26.27,26.16,26.27,26.27,22059
2013-05-08,26.29,26.39,26.2717,26.37,26.37,41309
2013-05-09,26.39,26.4,26.174,26.22,26.22,20242
2013-05-10,26.269,26.27,26.17,26.24,26.24,30135
2013-05-13,26.24,26.24,26.15,26.15,26.15,13234
2013-05-14,26.16,26.3999,26.16,26.3676,26.3676,56815
2013-05-15,26.36,26.56,26.26,26.51,26.51,32644
2013-05-16,26.5,26.634,26.4,26.4,26.4,25327
2013-05-17,26.41,26.63,26.41,26.63,26.63,14104
2013-05-20,26.62,26.62,26.45,26.47,26.47,31265
2013-05-21,26.53,26.559,26.4244,26.55,26.55,97920
2013-05-22,26.59,26.8,26.11,26.2325,26.2325,61451
2013-05-23,26.02,26.259,25.8601,26.23,26.23,77875
2013-05-24,26.15,26.15,26.029,26.14,26.14,58736
2013-05-28,26.3,26.43,25.8667,25.96,25.96,53204
2013-05-29,25.81,25.81,25.3102,25.6599,25.6599,92249
2013-05-30,25.63,25.8468,25.63,25.71,25.71,30774
2013-05-31,25.6,25.7363,25.39,25.4,25.4,57376
2013-06-03,25.3,25.3,25.05,25.25,25.25,44217
2013-06-04,25.22,25.2876,25.1,25.25,25.25,24297
2013-06-05,25.21,25.21,24.881,24.92,24.92,53440
2013-06-06,24.93,25.22,24.86,25.22,25.22,28577
2013-06-07,25.42,25.49,25.1772,25.359,25.359,50678
2013-06-10,25.42,25.44,25.28,25.34,25.34,63509
2013-06-11,25.25,25.26,25.05,25.09,25.09,23599
2013-06-12,25.16,25.2223,24.8795,24.972,24.972,22254
2013-06-13,24.9,25.42,24.9,25.42,25.42,34047
2013-06-14,25.38,25.54,25.37,25.41,25.41,32138
2013-06-17,25.48,25.6,25.3238,25.35,25.35,35324
2013-06-18,25.38,25.56,25.31,25.54,25.54,32279
2013-06-19,25.59,25.59,25.11,25.11,25.11,54131
2013-06-20,25,25.06,24.43,24.56,24.56,85912
2013-06-21,24.6,24.86,24.43,24.7,24.7,37428
2013-06-24,24.57,24.63,24.16,24.42,24.42,106924
2013-06-25,24.54,24.7462,24.491,24.7462,24.7462,21893
2013-06-26,24.9,25.02,24.81,24.98,24.98,42997
2013-06-27,25.13,25.31,25.13,25.28,25.28,35607
2013-06-28,25.27,25.376,25.17,25.25,25.25,25921
2013-07-01,25.14,25.4299,25.14,25.21,25.21,35665
2013-07-02,25.15,25.2524,24.9308,25.01,25.01,20044
2013-07-03,25.02,25.02,24.77,24.9,24.9,9862
2013-07-05,25,25,24.45,24.72,24.72,15879
2013-07-08,24.76,25.1,24.76,25.05,25.05,34555
2013-07-09,25.25,25.264,25.09,25.25,25.25,40466
2013-07-10,25.241,25.34,25.234,25.329,25.329,24066
2013-07-11,25.47,25.7075,25.47,25.7075,25.7075,24153
2013-07-12,25.77,25.77,25.5886,25.68,25.68,18699
2013-07-15,25.59,25.85,25.58,25.84,25.84,12921
2013-07-16,25.91,25.91,25.6301,25.73,25.73,22599
2013-07-17,25.86,25.8899,25.7701,25.83,25.83,20876
2013-07-18,25.79,25.98,25.79,25.92,25.92,23546
2013-07-19,25.79,25.94,25.75,25.89,25.89,9142
2013-07-22,25.88,26.049,25.88,26,26,24186
2013-07-23,26.0199,26.0199,25.88,25.93,25.93,12761
2013-07-24,25.85,25.85,25.5,25.58,25.58,26128
2013-07-25,25.49,25.7,25.4101,25.65,25.65,17995
2013-07-26,25.63,25.75,25.52,25.75,25.75,22449
2013-07-29,25.77,25.8,25.7,25.77,25.77,32526
2013-07-30,25.81,25.88,25.68,25.75,25.75,26293
2013-07-31,25.79,25.79,25.58,25.66,25.66,34662
2013-08-01,25.71,25.71,25.44,25.48,25.48,29830
2013-08-02,25.42,25.54,25.42,25.53,25.53,18390
2013-08-05,25.5,25.62,25.4,25.41,25.41,25012
2013-08-06,25.3,25.45,25.27,25.45,25.45,35380
2013-08-07,25.44,25.44,25.221,25.4,25.4,19569
2013-08-08,25.64,25.64,25.28,25.38,25.38,9042
2013-08-09,25.36,25.37,25.25,25.29,25.29,20481
2013-08-12,25.25,25.269,25.1701,25.269,25.269,21188
2013-08-13,25.28,25.28,25,25.12,25.12,18746
2013-08-14,25.09,25.11,24.94,25.04,25.04,20989
2013-08-15,24.9,24.92,24.6901,24.73,24.73,31497
2013-08-16,24.77,24.8,24.4303,24.51,24.51,27253
2013-08-19,24.48,24.51,24.1,24.15,24.15,38533
2013-08-20,24.18,24.4999,24.18,24.42,24.42,23761
2013-08-21,24.41,24.4682,24.26,24.3,24.3,27340
2013-08-22,24.33,24.5088,24.33,24.4208,24.4208,5234
2013-08-23,24.47,24.81,24.47,24.809,24.809,17693
2013-08-26,24.81,24.825,24.66,24.68,24.68,7932
2013-08-27,24.538,24.62,24.5,24.55,24.55,10315
2013-08-28,24.35,24.56,24.34,24.47,24.47,8368
2013-08-29,24.37,24.55,24.37,24.54,24.54,6434
2013-08-30,24.51,24.59,24.34,24.34,24.34,13778
2013-09-03,24.35,24.35,24.05,24.12,24.12,24299
2013-09-04,24.15,24.31,24.1,24.216,24.216,15864
2013-09-05,24.21,24.2295,24.13,24.2001,24.2001,4407
2013-09-06,24.3,24.346,24.2,24.2352,24.2352,15584
2013-09-09,24.22,24.433,24.22,24.43,24.43,15381
2013-09-10,24.52,24.56,24.45,24.5326,24.5326,19804
2013-09-11,24.5,24.57,24.4614,24.5383,24.5383,13720
2013-09-12,24.57,24.619,24.49,24.54,24.54,12993
2013-09-13,24.619,24.669,24.54,24.5504,24.5504,4266
2013-09-16,24.7,24.8,24.6,24.6,24.6,16655
2013-09-17,24.64,24.71,24.61,24.69,24.69,15438
2013-09-18,24.67,25.072,24.6,25.0589,25.0589,37267
2013-09-19,25.15,25.2099,25.071,25.1214,25.1214,22454
2013-09-20,25.11,25.11,24.89,24.9,24.9,13995
2013-09-23,24.89,24.9743,24.85,24.94,24.94,6814
2013-09-24,24.93,25.03,24.8,24.94,24.94,7266
2013-09-25,24.92,25.0195,24.88,24.9299,24.9299,22119
2013-09-26,24.95,25.0022,24.95,24.99,24.99,13969
2013-09-27,24.95,24.95,24.8068,24.88,24.88,12966
2013-09-30,24.76,24.9,24.7201,24.82,24.82,22711
2013-10-01,24.75,24.93,24.734,24.84,24.84,5022
2013-10-02,24.8,24.8995,24.71,24.88,24.88,13859
2013-10-03,24.7,24.73,24.64,24.66,24.66,11033
2013-10-04,24.66,24.73,24.66,24.68,24.68,8834
2013-10-07,24.62,24.72,24.61,24.62,24.62,9928
2013-10-08,24.61,24.69,24.5292,24.5292,24.5292,24822
2013-10-09,24.51,24.6099,24.46,24.47,24.47,22604
2013-10-10,24.76,24.91,24.726,24.89,24.89,20035
2013-10-11,24.9,25.09,24.9,25.061,25.061,30988
2013-10-14,25.03,25.06,24.89,25.06,25.06,9099
2013-10-15,25.06,25.06,24.85,24.8899,24.8899,17083
2013-10-16,24.98,25.11,24.9791,25.11,25.11,9522
2013-10-17,25.12,25.48,25.12,25.47,25.47,28009
2013-10-18,25.5,25.63,25.5,25.6,25.6,24415
2013-10-21,25.68,25.68,25.541,25.6,25.6,16318
2013-10-22,25.68,25.9,25.68,25.87,25.87,17177
2013-10-23,25.8,25.96,25.76,25.924,25.924,25982
2013-10-24,25.97,25.97,25.9096,25.9499,25.9499,9473
2013-10-25,25.9211,26.0488,25.918,26.0488,26.0488,14923
2013-10-28,26.09,26.1,26.0199,26.1,26.1,15123
2013-10-29,26.02,26.21,25.97,26.06,26.06,13362
2013-10-30,26.09,26.13,25.95,25.98,25.98,29154
2013-10-31,25.99,26.1,25.82,26.02,26.02,35484
2013-11-01,25.89,25.9399,25.8,25.9026,25.9026,28738
2013-11-04,25.95,25.95,25.83,25.93,25.93,6516
2013-11-05,25.85,25.85,25.75,25.75,25.75,16879
2013-11-06,25.87,25.909,25.82,25.884,25.884,14756
2013-11-07,25.8,25.829,25.562,25.562,25.562,12966
2013-11-08,25.59,25.6698,25.42,25.6698,25.6698,13917
2013-11-11,25.66,25.66,25.55,25.592,25.592,24455
2013-11-12,25.52,25.588,25.45,25.57,25.57,8923
2013-11-13,25.44,25.66,25.4201,25.66,25.66,7436
2013-11-14,25.81,25.979,25.74,25.92,25.92,23667
2013-11-15,25.93,25.95,25.8597,25.95,25.95,20666
2013-11-18,25.93,26.02,25.893,25.95,25.95,134590
2013-11-19,25.94,25.949,25.814,25.84,25.84,9986
2013-11-20,25.88,25.88,25.75,25.75,25.75,6537
2013-11-21,25.74,25.89,25.74,25.8499,25.8499,6866
2013-11-22,25.86,25.97,25.8599,25.97,25.97,8287
2013-11-25,25.99,26.0396,25.914,25.914,25.914,13101
2013-11-26,25.97,25.97,25.821,25.83,25.83,14258
2013-11-27,25.83,25.8899,25.81,25.864,25.864,24083
2013-11-29,25.92,25.969,25.8933,25.912,25.912,8117
2013-12-02,25.79,25.79,25.52,25.52,25.52,23657
2013-12-03,25.42,25.468,25.3285,25.406,25.406,17079
2013-12-04,25.31,25.457,25.22,25.39,25.39,15991
2013-12-05,25.3,25.3402,25.2555,25.2824,25.2824,6476
2013-12-06,25.41,25.48,25.3288,25.46,25.46,13763
2013-12-09,25.5,25.5,25.38,25.44,25.44,14854
2013-12-10,25.36,25.429,25.3071,25.33,25.33,10689
2013-12-11,25.2694,25.29,25.01,25.01,25.01,28527
2013-12-12,25.03,25.119,24.96,25.08,25.08,14456
2013-12-13,25.125,25.17,25.05,25.14,25.14,40596
2013-12-16,25.25,25.306,25.199,25.23,25.23,20240
2013-12-17,25.24,25.321,25.1501,25.305,25.305,37393
2013-12-18,25.3,25.589,25.21,25.589,25.589,15095
2013-12-19,25.58,25.58,25.38,25.49,25.49,109299
2013-12-20,25.43,25.77,25.43,25.77,25.77,155792
2013-12-23,25.86,25.91,25.7901,25.8635,25.8635,18815
2013-12-24,25.876,25.987,25.876,25.93,25.93,5651
2013-12-26,25.96,26.03,25.9501,26,26,19951
2013-12-27,25.88,25.909,25.83,25.909,25.909,14831
2013-12-30,25.87,25.9731,25.84,25.96,25.96,7914
2013-12-31,25.94,26.033,25.925,25.975,25.975,15863
2014-01-02,25.88,25.88,25.6365,25.72,25.72,31714
2014-01-03,25.65,25.779,25.65,25.72,25.72,15517
2014-01-06,25.78,25.78,25.67,25.71,25.71,58162
2014-01-07,25.74,25.83,25.74,25.82,25.82,8300
2014-01-08,25.76,25.76,25.62,25.7,25.7,16273
2014-01-09,25.79,25.79,25.63,25.69,25.69,17723
2014-01-10,25.75,25.87,25.7275,25.825,25.825,18038
2014-01-13,25.88,25.9096,25.65,25.72,25.72,33339
2014-01-14,25.68,25.889,25.68,25.85,25.85,14970
2014-01-15,25.9,25.95,25.8506,25.93,25.93,12591
2014-01-16,25.93,26.09,25.9001,26.09,26.09,29795
2014-01-17,26.06,26.112,26.0224,26.03,26.03,10275
2014-01-21,26.15,26.3299,26.15,26.29,26.29,29150
2014-01-22,26.379,26.48,26.356,26.48,26.48,13311
2014-01-23,26.43,26.43,26.306,26.3803,26.3803,18500
2014-01-24,26.35,26.35,26.14,26.1874,26.1874,21365
2014-01-27,26.11,26.249,25.9659,26.07,26.07,19845
2014-01-28,26.09,26.3,26.09,26.242,26.242,16805
2014-01-29,26.18,26.2535,26.0104,26.12,26.12,16064
2014-01-30,26.26,26.5005,26.26,26.414,26.414,32407
2014-01-31,26.2,26.65,26.2,26.53,26.53,28460
2014-02-03,26.35,26.35,25.858,25.915,25.915,50129
2014-02-04,25.97,26.0725,25.91,25.968,25.968,14188
2014-02-05,25.88,25.88,25.7,25.8,25.8,21561
2014-02-06,25.84,26.052,25.84,26.01,26.01,22027
2014-02-07,26.03,26.31,26.03,26.31,26.31,37273
2014-02-10,26.3,26.38,26.19,26.25,26.25,21005
2014-02-11,26.24,26.48,26.22,26.47,26.47,14534
2014-02-12,26.48,26.51,26.405,26.469,26.469,10967
2014-02-13,26.32,26.629,26.32,26.6,26.6,28951
2014-02-14,26.53,26.66,26.53,26.66,26.66,23387
2014-02-18,26.66,26.85,26.66,26.75,26.75,15419
2014-02-19,26.7,26.74,26.55,26.55,26.55,15087
2014-02-20,26.5,26.85,26.5,26.85,26.85,26067
2014-02-21,26.829,26.88,26.78,26.84,26.84,10320
2014-02-24,26.92,27.01,26.84,26.85,26.85,18559
2014-02-25,26.89,27.08,26.86,26.92,26.92,36683
2014-02-26,26.93,26.95,26.8101,26.87,26.87,15042
2014-02-27,26.85,26.91,26.7304,26.8188,26.8188,24102
2014-02-28,26.87,27.02,26.87,26.96,26.96,72835
2014-03-03,26.77,26.89,26.6801,26.89,26.89,66770
2014-03-04,27.23,27.23,27.05,27.14,27.14,31414
2014-03-05,27.11,27.129,26.9545,26.9904,26.9904,22825
2014-03-06,27.09,27.09,26.9061,26.94,26.94,12491
2014-03-07,27.07,27.07,26.77,26.886,26.886,18130
2014-03-10,26.88,26.92,26.76,26.8222,26.8222,28448
2014-03-11,26.88,26.88,26.66,26.7,26.7,98193
2014-03-12,26.68,26.71,26.632,26.691,26.691,9717
2014-03-13,26.78,26.85,26.68,26.77,26.77,28735
2014-03-14,26.7,26.97,26.7,26.88,26.88,10508
2014-03-17,26.96,27.05,26.94,27,27,28222
2014-03-18,27.06,27.169,27.05,27.13,27.13,9557
2014-03-19,27.18,27.18,26.736,26.7914,26.7914,36990
2014-03-20,26.82,26.82,26.668,26.78,26.78,9475
2014-03-21,26.931,27.01,26.8605,26.8605,26.8605,16468
2014-03-24,27,27,26.7463,26.83,26.83,34561
2014-03-25,26.92,26.92,26.7788,26.8564,26.8564,7154
2014-03-26,26.99,26.99,26.7658,26.7658,26.7658,10417
2014-03-27,26.82,26.83,26.68,26.81,26.81,6619
2014-03-28,26.93,26.97,26.8847,26.9,26.9,11500
2014-03-31,27.07,27.174,27,27.16,27.16,23040
2014-04-01,27.01,27.12,26.94,27.11,27.11,23710
2014-04-02,27.2,27.2,27.0639,27.13,27.13,29087
2014-04-03,27.25,27.25,27.08,27.15,27.15,24261
2014-04-04,27.27,27.33,27.13,27.14,27.14,15199
2014-04-07,27.17,27.2,27.01,27.01,27.01,23790
2014-04-08,27.03,27.22,27.02,27.191,27.191,15096
2014-04-09,27.29,27.29,27.11,27.28,27.28,71409
2014-04-10,27.28,27.45,27.1028,27.13,27.13,41380
2014-04-11,27.13,27.16,26.99,27.05,27.05,39707
2014-04-14,27.25,27.28,27.13,27.199,27.199,44426
2014-04-15,27.27,27.32,27.17,27.32,27.32,50212
2014-04-16,27.49,27.53,27.38,27.53,27.53,40171
2014-04-17,27.53,27.53,27.45,27.478,27.478,19769
2014-04-21,27.53,27.58,27.49,27.58,27.58,36909
2014-04-22,27.64,27.7,27.57,27.65,27.65,58799
2014-04-23,27.65,27.7,27.52,27.53,27.53,18459
2014-04-24,27.63,27.63,27.526,27.56,27.56,37722
2014-04-25,27.63,27.63,27.4995,27.62,27.62,41040
2014-04-28,27.68,27.81,27.631,27.81,27.81,44543
2014-04-29,27.94,27.99,27.8555,27.93,27.93,69928
2014-04-30,28,28.1,27.94,28.08,28.08,87662
2014-05-01,27.92,28.04,27.92,28.02,28.02,43407
2014-05-02,27.92,28.0099,27.8,27.8401,27.8401,108572
