Date,Open,High,Low,Close,AdjustedClose,Volume
2001-07-13,0.21,0.21,0.21,0.21,0.21,0
2001-07-17,0.21,0.21,0.21,0.21,0.21,0
2001-07-18,0.21,0.21,0.21,0.21,0.21,0
2001-07-23,0.205,0.205,0.205,0.205,0.205,0
2001-07-24,0.205,0.205,0.205,0.205,0.205,0
2001-07-26,0.2,0.2,0.2,0.2,0.2,0
2001-08-08,0.22,0.22,0.22,0.22,0.22,0
2001-08-09,0.21,0.21,0.21,0.21,0.21,0
2001-08-13,0.21,0.21,0.21,0.21,0.21,0
2001-08-14,0.21,0.21,0.21,0.21,0.21,0
2001-08-30,0.25,0.25,0.25,0.25,0.25,0
2001-08-31,0.21,0.21,0.21,0.21,0.21,0
2001-09-05,0.21,0.21,0.21,0.21,0.21,0
2001-09-07,0.201,0.201,0.201,0.201,0.201,0
2001-09-10,0.2,0.2,0.2,0.2,0.2,0
2001-09-17,0.2,0.2,0.2,0.2,0.2,0
2001-09-20,0.2,0.2,0.2,0.2,0.2,0
2001-10-05,0.18,0.18,0.18,0.18,0.18,0
2001-10-11,0.185,0.185,0.185,0.185,0.185,0
2001-10-16,0.19,0.19,0.19,0.19,0.19,0
2001-10-18,0.17,0.17,0.17,0.17,0.17,0
2001-10-25,0.18,0.18,0.18,0.18,0.18,0
2001-10-29,0.185,0.185,0.185,0.185,0.185,0
2001-11-06,0.2,0.2,0.2,0.2,0.2,0
2001-11-07,0.185,0.185,0.185,0.185,0.185,0
2001-11-09,0.18,0.18,0.18,0.18,0.18,0
2001-11-20,0.18,0.18,0.18,0.18,0.18,0
2001-12-03,0.18,0.18,0.18,0.18,0.18,0
2001-12-10,0.185,0.185,0.185,0.185,0.185,0
2001-12-28,0.18,0.18,0.18,0.18,0.18,0
2001-12-31,0.185,0.185,0.185,0.185,0.185,0
2002-01-09,0.185,0.185,0.185,0.185,0.185,0
2002-01-10,0.185,0.185,0.185,0.185,0.185,0
2002-01-14,0.185,0.185,0.185,0.185,0.185,0
2002-01-18,0.18,0.18,0.18,0.18,0.18,0
2002-01-31,0.2,0.2,0.2,0.2,0.2,0
2002-02-06,0.21,0.21,0.21,0.21,0.21,0
2002-02-07,0.213,0.213,0.213,0.213,0.213,0
2002-02-15,0.21,0.21,0.21,0.21,0.21,0
2002-02-19,0.21,0.21,0.21,0.21,0.21,0
2002-02-20,0.21,0.21,0.21,0.21,0.21,0
2002-02-25,0.21,0.21,0.21,0.21,0.21,0
2002-02-27,0.225,0.225,0.225,0.225,0.225,0
2002-02-28,0.205,0.205,0.205,0.205,0.205,0
2002-03-01,0.2,0.2,0.2,0.2,0.2,0
2002-03-06,0.2,0.2,0.2,0.2,0.2,0
2002-03-07,0.2,0.2,0.2,0.2,0.2,0
2002-03-08,0.2,0.2,0.2,0.2,0.2,0
2002-03-11,0.2,0.2,0.2,0.2,0.2,0
