Date,Open,High,Low,Close,AdjustedClose,Volume
2010-09-29,51,51.63,51,51.37,51.37,1911
2010-09-30,51.64,51.64,51.64,51.64,51.64,3500
2010-10-01,52.26,52.55,52.25,52.49,52.49,18498
2010-10-04,52.5,52.5,51.95,51.95,51.95,31080
2010-10-05,52.55,52.75,52.24,52.75,52.75,4300
2010-10-06,52.8,53.04,52.6,53.04,53.04,57702
2010-10-07,53.35,53.35,52.85,53.13,53.13,15061
2010-10-08,53.14,53.76,53.068,53.59,53.59,8378
2010-10-11,53.23,53.25,53,53.25,53.25,45178
2010-10-12,53.1,53.1,52.91,53.05,53.05,6556
2010-10-13,54.24,54.59,54.1601,54.44,54.44,3946
2010-10-14,54.3,54.3,53.4,53.72,53.72,23440
2010-10-15,55.74,55.74,53.4,54.06,54.06,9741
2010-10-18,54.13,55.53,53.83,54.645,54.645,38439
2010-10-19,54.27,54.92,53.47,53.5,53.5,5739
2010-10-20,54.4,54.699,54,54.17,54.17,9132
2010-10-21,54.38,54.801,54,54.407,54.407,12373
2010-10-22,54.45,54.75,54.35,54.5,54.5,5978
2010-10-25,55.27,55.67,55.27,55.38,55.38,14850
2010-10-26,54.93,55.18,54.64,55.05,55.05,13547
2010-10-27,54.07,54.1,53.48,54.1,54.1,8370
2010-10-28,55.19,55.3,53.655,53.6701,53.6701,4785
2010-10-29,54.29,54.63,54.21,54.619,54.619,5548
2010-11-01,55.27,55.54,55.03,55.03,55.03,16361
2010-11-02,55.66,56.47,55.66,56.319,56.319,20334
2010-11-03,56.4,56.7,55.85,56.7,56.7,49390
2010-11-04,57.52,57.79,56.83,57.77,57.77,15230
2010-11-05,57.32,57.59,57.32,57.51,57.51,17430
2010-11-08,57.54,58.61,57.54,58.1,58.1,6472
2010-11-09,58.5,58.8,57.43,57.4501,57.4501,14035
2010-11-10,58.15,58.59,57.66,58.59,58.59,11368
2010-11-11,58.31,58.31,57.86,58.24,58.24,9759
2010-11-12,56.79,56.82,55.92,56.14,56.14,47277
2010-11-15,55.97,56.6399,55.88,55.88,55.88,11359
2010-11-16,55.22,55.22,54,54.174,54.174,10528
2010-11-17,53.35,53.64,53.24,53.5,53.5,15585
2010-11-18,54.64,55.141,54.64,54.938,54.938,12639
2010-11-19,54.8,54.84,54.24,54.82,54.82,10673
2010-11-22,54.96,55.1,54.4,54.9082,54.9082,5236
2010-11-23,53.14,54.08,53.14,53.8799,53.8799,33839
2010-11-24,54.01,54.81,54.01,54.75,54.75,10095
2010-11-26,54.06,54.56,54.06,54.41,54.41,6965
2010-11-29,54.87,54.87,54.3,54.82,54.82,6247
2010-11-30,55.01,55.32,54.86,55.0999,55.0999,9684
2010-12-01,55.3,56.22,55.3,56.07,56.07,9905
2010-12-02,55.66,56.4899,55.66,56.414,56.414,11761
2010-12-03,55.74,56.25,55.71,56.25,56.25,20036
2010-12-06,55.75,55.82,55.55,55.5501,55.5501,1361
2010-12-07,56.15,56.18,55.65,55.65,55.65,3950
2010-12-08,55.51,55.51,55,55.21,55.21,6020
2010-12-09,55,55,54.64,54.7,54.7,5023
2010-12-10,54.84,55.11,54.84,54.99,54.99,10410
2010-12-13,55.21,55.764,55.21,55.5999,55.5999,5875
2010-12-14,55.67,55.699,55.2779,55.2779,55.2779,8032
2010-12-15,55.05,55.33,54.97,54.97,54.97,1720
2010-12-16,54.4,54.5,54.181,54.344,54.344,6918
2010-12-17,55,55.025,54.73,55,55,24090
2010-12-20,54.2294,54.46,54.2294,54.33,54.33,1385
2010-12-21,54.47,55.16,54.47,55.1499,55.1499,4191
2010-12-22,55.07,55.13,55.06,55.096,55.096,4839
2010-12-23,54.96,54.96,54.508,54.52,54.52,4701
2010-12-27,54.52,54.6,54.2301,54.6,54.6,3053
2010-12-28,53.94,53.94,53.5901,53.922,53.922,6345
2010-12-29,54.28,54.452,54.191,54.41,54.41,2010
2010-12-30,54.59,54.73,54.43,54.4888,54.4888,2999
2010-12-31,54.63,55.08,54.63,55.07,55.07,7456
2011-01-03,57.24,57.24,55.595,55.65,55.65,13122
2011-01-04,56.45,56.46,56.001,56.3685,56.3685,14757
2011-01-05,56.51,56.95,56.51,56.874,56.874,3778
2011-01-06,57.2,57.2,56.201,56.4,56.4,3594
2011-01-07,55.77,56.41,55.77,56.03,56.03,3226
2011-01-10,55.56,55.9496,55.56,55.9496,55.9496,5091
2011-01-11,56.08,56.1999,55.989,56.15,56.15,5569
2011-01-12,56.48,56.68,56.4,56.6,56.6,3725
2011-01-13,56.01,56.26,56.01,56.16,56.16,11898
2011-01-14,56.26,56.26,56.01,56.05,56.05,12675
2011-01-18,55.59,55.65,55.45,55.65,55.65,13084
2011-01-19,55.64,55.73,55.33,55.45,55.45,6970
2011-01-20,55.45,55.45,54.5,54.7401,54.7401,18704
2011-01-21,55.2,55.44,54.34,54.38,54.38,19559
2011-01-24,53.78,54.04,53.78,54.01,54.01,21152
2011-01-25,53.97,53.97,53.33,53.653,53.653,3648
2011-01-26,53.61,53.74,53.59,53.74,53.74,2881
2011-01-27,53.87,54.04,53.83,53.964,53.964,3217
2011-01-28,54.07,54.07,52.68,52.79,52.79,7291
2011-01-31,53.45,53.81,53.38,53.61,53.61,9243
2011-02-01,54.35,54.553,54.28,54.361,54.361,8931
2011-02-02,54.58,54.748,54.48,54.48,54.48,8244
2011-02-03,54.34,54.38,54.22,54.35,54.35,2187
2011-02-04,54.26,54.37,54,54.37,54.37,2610
2011-02-07,54.82,55.102,54.68,54.88,54.88,13632
2011-02-08,54.83,54.8399,54.55,54.8399,54.8399,3100
2011-02-09,54.08,54.22,53.36,53.72,53.72,15352
2011-02-10,52.89,53.792,52.89,53.61,53.61,11827
2011-02-11,52.81,53.69,52.81,53.56,53.56,3113
2011-02-14,53.45,53.93,53.45,53.73,53.73,4582
2011-02-15,53.795,53.9456,53.6,53.92,53.92,3125
2011-02-16,53.86,54.224,53.86,54.224,54.224,3445
2011-02-17,54.09,54.1088,53.8001,53.981,53.981,1850
2011-02-18,53.64,53.77,53.52,53.56,53.56,7982
2011-02-22,52.61,52.61,51.671,51.825,51.825,9414
2011-02-23,51.87,51.94,51.3825,51.6984,51.6984,9482
2011-02-24,50.8,51.083,50.57,51.083,51.083,6875
2011-02-25,51.06,51.4,51.06,51.3199,51.3199,1195
2011-02-28,52.05,52.13,51.79,51.95,51.95,10850
2011-03-01,51.98,51.98,51.316,51.316,51.316,12171
2011-03-02,51.93,52.21,51.9,52.12,52.12,3812
2011-03-03,52.45,53,52.45,53,53,2894
2011-03-04,53.13,53.15,52.82,53.15,53.15,7153
2011-03-07,53.55,53.55,52.84,52.87,52.87,3602
2011-03-08,53.02,53.522,52.89,53.522,53.522,750
2011-03-09,53.64,53.8004,53.52,53.8004,53.8004,2153
2011-03-10,53.17,53.22,52.78,52.91,52.91,5425
2011-03-11,52.7,52.95,52.7,52.95,52.95,709
2011-03-14,52.4906,52.73,52.4906,52.73,52.73,2850
2011-03-15,51.13,52.092,50.81,51.96,51.96,2400
2011-03-16,51.84,52.03,50.93,51.2,51.2,10307
2011-03-17,50.45,50.934,50.45,50.667,50.667,14721
2011-03-18,51.76,52.16,51.76,51.8,51.8,4911
2011-03-21,52.28,52.5,52.28,52.5,52.5,800
2011-03-22,52.7146,52.7146,52.4954,52.4954,52.4954,2426
2011-03-23,52.75,53.22,52.75,53.22,53.22,3650
2011-03-24,52.98,53.4699,52.94,53.4699,53.4699,5935
2011-03-25,52.89,53.234,52.89,53.16,53.16,2644
2011-03-28,52.88,52.88,52.65,52.65,52.65,1143
2011-03-29,52.66,52.93,52.61,52.8655,52.8655,5427
2011-03-30,52.84,53.32,52.84,53.24,53.24,6477
2011-03-31,53.02,53.77,53.02,53.77,53.77,3650
2011-04-01,53.81,53.95,53.68,53.73,53.73,9391
2011-04-04,53.9,54.39,53.9,54.39,54.39,6280
2011-04-05,53.84,54.42,53.84,54.2699,54.2699,6268
2011-04-06,54.16,54.69,54.16,54.55,54.55,4245
2011-04-07,54.66,54.94,54.396,54.5576,54.5576,8646
2011-04-08,55.05,55.42,54.88,55.05,55.05,6889
2011-04-11,55.35,55.49,54.7,54.75,54.75,4786
2011-04-12,54.98,55.12,54.49,54.58,54.58,5900
2011-04-13,55.21,55.38,54.95,55.0401,55.0401,3745
2011-04-14,55.52,55.74,55.38,55.74,55.74,1814
2011-04-15,55.86,56.46,55.86,56.37,56.37,12179
2011-04-18,55.69,55.69,55.0001,55.23,55.23,11101
2011-04-19,55.43,55.85,55.43,55.71,55.71,7019
2011-04-20,56.138,56.47,56.12,56.32,56.32,9105
2011-04-21,56.3799,56.51,56.3,56.51,56.51,1296
2011-04-25,56.34,56.34,55.7509,55.8616,55.8616,7870
2011-04-26,55.82,56.14,55.82,56,56,1825
2011-04-27,55.26,55.5,54.83,55.5,55.5,10702
2011-04-28,54.54,54.54,54.2994,54.3324,54.3324,2325
2011-04-29,54.58,55.458,51.71,55.3591,55.3591,1616
2011-05-02,54.59,55.3,54.59,54.86,54.86,9758
2011-05-03,54.3,54.44,54.01,54.076,54.076,11066
2011-05-04,53.83,53.83,53.21,53.5,53.5,13559
2011-05-05,53.55,53.8104,53.04,53.17,53.17,7752
2011-05-06,53.93,54.36,53.49,53.62,53.62,4000
2011-05-09,54.08,54.318,53.89,54.18,54.18,11197
2011-05-10,54.38,54.54,54.25,54.5048,54.5048,3026
2011-05-11,54.42,54.42,53.68,53.94,53.94,26150
2011-05-12,53.69,53.95,53.56,53.92,53.92,1000
2011-05-13,54.05,54.05,53.3,53.3688,53.3688,1467
2011-05-16,53.56,54.03,53.56,53.64,53.64,5546
2011-05-17,53.55,53.55,53.136,53.301,53.301,6588
2011-05-18,53.73,54.38,53.73,54.38,54.38,3890
2011-05-19,53.54,53.6,53.37,53.52,53.52,1947
2011-05-20,52.89,52.89,52.43,52.53,52.53,2602
2011-05-23,51.71,51.71,51.16,51.39,51.39,8000
2011-05-24,51.48,51.79,51.48,51.63,51.63,5786
2011-05-25,51.21,51.44,51.081,51.3146,51.3146,3387
2011-05-26,51.1,51.2276,51.032,51.2276,51.2276,1693
2011-05-27,50.8855,50.8855,50.78,50.78,50.78,1300
2011-05-31,52.2,52.2,51.98,52.14,52.14,2185
2011-06-01,51.96,51.96,51.3112,51.3112,51.3112,3080
2011-06-02,51.37,51.51,51.13,51.51,51.51,3000
2011-06-03,51.32,51.43,51.29,51.29,51.29,4672
2011-06-06,51.47,51.47,50.86,50.99,50.99,8506
2011-06-07,51.15,51.37,50.98,50.98,50.98,5028
2011-06-08,50.5,50.5,50.07,50.1265,50.1265,3318
2011-06-09,49.3,49.4624,49,49.4624,49.4624,4229
2011-06-10,48.89,48.89,48.1801,48.3795,48.3795,5855
2011-06-13,47.91,47.91,47.3934,47.689,47.689,4450
2011-06-14,48.5,48.66,48.4204,48.4204,48.4204,2713
2011-06-15,48.25,48.25,47.68,47.786,47.786,2751
2011-06-16,47.4221,47.58,47.126,47.2054,47.2054,2445
2011-06-17,47.3,47.31,47.112,47.131,47.131,2620
2011-06-20,46.47,46.5099,46.33,46.3622,46.3622,4228
2011-06-21,46.89,47.109,46.88,47.102,47.102,2560
2011-06-22,46.46,46.69,46.45,46.61,46.61,1317
2011-06-23,46,46.35,45.81,46.35,46.35,4241
2011-06-24,47.32,47.32,47.01,47.04,47.04,3165
2011-06-27,47.6499,47.78,47.6124,47.78,47.78,581
2011-06-28,47.8688,48.2088,47.8688,48.2088,48.2088,3185
