Date,Open,High,Low,Close,AdjustedClose,Volume
2012-06-21,20.03,20.03,19.82,19.82,19.82,89324
2012-06-22,20.1,20.1,19.823,19.91,19.91,19355
2012-06-25,19.84,19.84,19.66,19.69,19.69,7673
2012-06-26,19.73,19.81,19.7,19.78,19.78,41724
2012-06-27,19.89,20.0167,19.89,20.01,20.01,66250
2012-06-28,20.46,20.46,19.89,20.06,20.06,118347
2012-06-29,20.3,20.39,20.28,20.39,20.39,69996
2012-07-02,20.99,20.99,20.43,20.58,20.58,30177
2012-07-03,20.85,20.85,20.564,20.63,20.63,4439
2012-07-05,21,21,20.5431,20.6,20.6,7953
2012-07-06,20.51,20.59,20.49,20.59,20.59,5677
2012-07-09,20.95,20.95,20.46,20.5399,20.5399,3956
2012-07-10,20.81,20.81,20.52,20.57,20.57,22113
2012-07-11,20.89,20.89,20.55,20.68,20.68,57542
2012-07-12,20.62,20.71,20.56,20.7,20.7,41224
2012-07-13,20.9,20.91,20.794,20.91,20.91,40513
2012-07-16,20.9,20.94,20.8416,20.92,20.92,94690
2012-07-17,20.83,21.03,20.83,21.02,21.02,158571
2012-07-18,21.07,21.1,21.024,21.1,21.1,89629
2012-07-19,21.17,21.19,21.062,21.15,21.15,164227
2012-07-20,21.14,21.2,21.1,21.12,21.12,52517
2012-07-23,21.01,21.01,20.85,20.98,20.98,17319
2012-07-24,21.08,21.1,20.77,20.86,20.86,144778
2012-07-25,20.98,20.98,20.71,20.7968,20.7968,42172
2012-07-26,21,21.0599,20.9058,21.03,21.03,50928
2012-07-27,21.12,21.22,21.08,21.21,21.21,22879
2012-07-30,21.2382,21.34,21.2382,21.3,21.3,71446
2012-07-31,21.35,21.35,21.28,21.31,21.31,62804
2012-08-01,21.49,21.49,21.3182,21.39,21.39,182864
2012-08-02,21.24,21.24,21.06,21.18,21.18,92069
2012-08-03,21.34,21.36,21.23,21.31,21.31,30662
2012-08-06,21.35,21.43,21.3,21.4,21.4,147937
2012-08-07,21.44,21.45,21.19,21.25,21.25,78162
2012-08-08,21.24,21.24,21.02,21.02,21.02,122932
2012-08-09,21.08,21.15,21.0475,21.11,21.11,95286
2012-08-10,21.11,21.2,21.06,21.19,21.19,60257
2012-08-13,21.19,21.27,21.09,21.14,21.14,127746
2012-08-14,21.2,21.28,21.16,21.26,21.26,99549
2012-08-15,21.29,21.29,21.2001,21.26,21.26,49455
2012-08-16,21.27,21.32,21.2399,21.32,21.32,35892
2012-08-17,21.37,21.37,21.2264,21.279,21.279,38116
2012-08-20,21.29,21.36,21.25,21.36,21.36,25023
2012-08-21,21.41,21.41,21.24,21.24,21.24,44951
2012-08-22,21.24,21.24,21.14,21.22,21.22,51844
2012-08-23,21.21,21.21,21.02,21.048,21.048,68906
2012-08-24,21.05,21.1,20.98,21.1,21.1,111764
2012-08-27,21.1225,21.13,21.0788,21.11,21.11,89204
2012-08-28,21.08,21.14,21.055,21.1,21.1,46925
2012-08-29,21.07,21.13,21.03,21.06,21.06,83682
2012-08-30,21.04,21.05,20.982,21.02,21.02,76369
2012-08-31,21.09,21.09,20.942,21.04,21.04,60711
2012-09-04,21.0193,21.08,20.9324,21.07,21.07,67653
2012-09-05,21.08,21.09,20.93,20.99,20.99,66300
2012-09-06,21,21.11,20.96,21.11,21.11,100964
2012-09-07,21.13,21.18,21.0813,21.18,21.18,82825
2012-09-10,21.18,21.2,21.14,21.15,21.15,36366
2012-09-11,21.15,21.16,21.07,21.12,21.12,28101
2012-09-12,21.1004,21.12,21.0672,21.12,21.12,25137
2012-09-13,21.15,21.309,21.08,21.29,21.29,199096
2012-09-14,21.32,21.36,21.2696,21.36,21.36,114359
2012-09-17,21.37,21.37,21.2304,21.26,21.26,59854
2012-09-18,21.27,21.2721,21.1735,21.24,21.24,172480
2012-09-19,21.28,21.28,21.2,21.23,21.23,207595
2012-09-20,21.19,21.26,21.1464,21.25,21.25,65375
2012-09-21,21.18,21.23,21.148,21.22,21.22,185234
2012-09-24,21.11,21.31,21.11,21.28,21.28,98286
2012-09-25,21.33,21.332,21.22,21.22,21.22,92613
