Date,Open,High,Low,Close,AdjustedClose,Volume
2021-01-27,10.36,10.46,10.29,10.29,10.29,8775891
2021-01-28,10.4,10.59,10.35,10.48,10.48,183899
2021-01-29,10.36,10.69,10.35,10.58,10.58,424064
2021-02-01,11,11.15,10.66,10.82,10.82,484700
2021-02-02,10.86,10.9,10.71,10.84,10.84,315500
2021-02-03,10.9,10.94,10.72,10.73,10.73,358400
2021-02-04,10.8,10.86,10.64,10.7,10.7,622000
2021-02-05,10.72,10.98,10.72,10.8,10.8,602600
2021-02-08,10.96,11.13,10.81,11.02,11.02,575400
2021-02-09,11.09,11.25,11,11.1,11.1,137800
2021-02-10,11,11,10.89,10.94,10.94,114800
2021-02-11,11.01,11.09,10.88,10.9,10.9,113200
2021-02-12,11.032,11.032,10.84,10.84,10.84,43200
2021-02-16,10.75,10.87,10.75,10.85,10.85,89800
2021-02-17,10.79,10.95,10.75,10.9,10.9,81000
2021-02-18,10.81,10.9,10.81,10.9,10.9,41400
2021-02-19,10.95,11,10.89,10.9,10.9,90000
2021-02-22,10.9,11.05,10.9,10.95,10.95,108300
2021-02-23,10.91,10.91,10.75,10.8,10.8,136200
2021-02-24,10.8,11.2,10.75,10.8,10.8,182200
2021-02-25,10.75,10.86,10.4,10.585,10.585,203000
2021-02-26,10.46,10.88,10.4,10.48,10.48,158800
2021-03-01,10.68,10.74,10.35,10.44,10.44,535200
2021-03-02,10.44,10.44,10.18,10.3,10.3,372600
2021-03-03,10.35,10.35,10.18,10.24,10.24,208500
2021-03-04,10.15,10.1792,10.01,10.1,10.1,249685
2021-03-05,10.08,10.32,10.05,10.23,10.23,239800
2021-03-08,10.198,10.2,10.11,10.13,10.13,49700
2021-03-09,10.14,10.21,10.07,10.2,10.2,55300
2021-03-10,10.071,10.225,10.071,10.157,10.157,67200
2021-03-11,10.22,10.22,10.06,10.12,10.12,24700
2021-03-12,10.09,10.17,10.05,10.08,10.08,25500
2021-03-15,10.09,10.12,9.96,10.05,10.05,704200
2021-03-16,10.035,10.07,10.02,10.03,10.03,111400
2021-03-17,10.048,10.1,10.048,10.076,10.076,46200
2021-03-18,10.1,10.1,9.94,10.005,10.005,127200
2021-03-19,10.02,10.02,9.99,10,10,413000
2021-03-22,10.02,10.029,9.96,9.98,9.98,316400
2021-03-23,9.96,10.02,9.92,9.95,9.95,209200
2021-03-24,9.95,9.95,9.85,9.92,9.92,480700
2021-03-25,9.87,10.06,9.8,10.02,10.02,791100
2021-03-26,10.01,10.14,10.01,10.1,10.1,36800
2021-03-29,10.01,10.02,9.93,9.99,9.99,98700
2021-03-30,9.93,10.06,9.91,10,10,29100
2021-03-31,10.04,10.04,9.9,9.91,9.91,30100
2021-04-01,10,10.2,9.95,10.11,10.11,369368
2021-04-05,10.05,10.15,10,10.15,10.15,221500
2021-04-06,10.06,10.1,10.02,10.1,10.1,75300
2021-04-07,10.05,10.28,10.05,10.28,10.28,90100
2021-04-08,10.24,10.35,10.15,10.35,10.35,83800
2021-04-09,10.5,10.76,10.4,10.55,10.55,434100
2021-04-12,10.43,10.43,10.29,10.33,10.33,61500
2021-04-13,10.42,10.43,10.24,10.26,10.26,100800
2021-04-14,10.27,10.3,10.252,10.3,10.3,54500
2021-04-15,10.26,10.3,10.22,10.29,10.29,5600
2021-04-16,10.3,10.34,10.25,10.34,10.34,97500
2021-04-19,10.3,10.43,10.3,10.43,10.43,131600
2021-04-20,10.35,10.35,10.27,10.32,10.32,40000
2021-04-21,10.27,10.35,10.27,10.34,10.34,32500
2021-04-22,10.302,10.38,10.302,10.34,10.34,18200
2021-04-23,10.31,10.44,10.3,10.3,10.3,175400
2021-04-26,10.3,10.3,10.29,10.29,10.29,8400
2021-04-27,10.39,10.39,10.24,10.26,10.26,6000
2021-04-28,10.29,10.29,10.29,10.29,10.29,2200
2021-04-29,10.28,10.3,10.24,10.24,10.24,5100
2021-04-30,10.37,10.37,10.25,10.31,10.31,8000
2021-05-03,10.31,10.32,10.24,10.31,10.31,34400
2021-05-04,10.244,10.31,10.24,10.31,10.31,2700
2021-05-05,10.28,10.31,10.24,10.28,10.28,21800
2021-05-06,10.22,10.299,10.22,10.299,10.299,600
2021-05-07,10.25,10.25,10.19,10.19,10.19,1000
2021-05-10,10.22,10.22,10.1783,10.21,10.21,22424
2021-05-11,10.13,10.18,10.1132,10.18,10.18,7967
2021-05-12,10.13,10.18,10.13,10.14,10.14,6700
2021-05-13,10.21,10.21,10.16,10.16,10.16,400
2021-05-14,10.2,10.2,10.138,10.14,10.14,2000
2021-05-17,10.19,10.19,10.08,10.08,10.08,20000
2021-05-18,10.1,10.1,10.08,10.1,10.1,53000
2021-05-19,10.12,10.16,10.09,10.1,10.1,500
2021-05-20,10.1,10.11,10.06,10.07,10.07,178800
2021-05-21,10.1,10.1,10.06,10.06,10.06,53200
2021-05-24,10.08,10.08,10.07,10.08,10.08,5147
2021-05-25,10.1,10.2,10.1,10.2,10.2,22389
2021-05-26,10.15,10.2,10.15,10.2,10.2,11666
2021-05-27,10.2,10.2,10.2,10.2,10.2,5000
2021-05-28,10.29,10.32,10.28,10.32,10.32,2600
2021-06-01,10.25,10.25,10.25,10.25,10.25,100
2021-06-02,10.22,10.22,10.22,10.22,10.22,1500
2021-06-03,10.22,10.22,10.22,10.22,10.22,0
2021-06-04,10.23,10.24,10.23,10.24,10.24,3500
2021-06-07,10.2128,10.2148,10.2128,10.2128,10.2128,2262
2021-06-08,10.24,10.25,10.1701,10.1701,10.1701,852
2021-06-09,10.21,10.21,10.14,10.14,10.14,27300
2021-06-10,10.14,10.14,10.14,10.14,10.14,6200
2021-06-11,10.15,10.15,10.14,10.14,10.14,14600
2021-06-14,10.14,10.21,10.14,10.2,10.2,3700
2021-06-15,10.162,10.18,10.15,10.18,10.18,1900
2021-06-16,10.18,10.24,10.17,10.24,10.24,3900
2021-06-17,10.215,10.215,10.17,10.21,10.21,900
2021-06-18,10.275,10.275,10.2,10.21,10.21,1100
2021-06-21,10.21,10.21,10.21,10.21,10.21,0
2021-06-22,10.27,10.27,10.21,10.21,10.21,300
2021-06-23,10.21,10.21,10.21,10.21,10.21,0
2021-06-24,10.26,10.26,10.22,10.25,10.25,1200
2021-06-25,10.19,10.2,10.18,10.18,10.18,2600
2021-06-28,10.2,10.36,10.18,10.22,10.22,23900
2021-06-29,10.22,10.26,10.22,10.26,10.26,2100
2021-06-30,10.26,10.305,10.25,10.26,10.26,11800
2021-07-01,10.27,10.28,10.22,10.28,10.28,4900
2021-07-02,10.28,10.28,10.28,10.28,10.28,0
2021-07-06,10.32,10.33,10.27,10.27,10.27,11096
2021-07-07,10.225,10.34,10.225,10.3,10.3,3900
2021-07-08,10.24,10.3,10.23,10.23,10.23,5500
2021-07-09,10.2,10.255,10.17,10.2,10.2,17900
2021-07-12,10.19,10.3,10.19,10.3,10.3,5000
2021-07-13,10.3,10.3,10.3,10.3,10.3,0
2021-07-14,10.17,10.22,10.1,10.21,10.21,12600
2021-07-15,10.171,10.171,10.171,10.171,10.171,1000
2021-07-16,10.35,10.35,10.275,10.275,10.275,300
2021-07-19,10.275,10.275,10.275,10.275,10.275,100
