Date,Open,High,Low,Close,AdjustedClose,Volume
2020-07-15,25,26.25,18.71,19.46,19.46,40101505
2020-07-16,19.01,20.4,19,19.75,19.75,6203129
2020-07-17,20,21.6,19.85,21.3,21.3,4958546
2020-07-20,21.17,21.61,20.35,20.99,20.99,2750903
2020-07-21,21.01,21.24,20.1,20.9,20.9,5355449
2020-07-22,21.2,22.22,20.76,21.98,21.98,2230937
2020-07-23,22.18,22.4,20.3,21.03,21.03,1926284
2020-07-24,20.34,20.75,18.75,19.78,19.78,4509774
2020-07-27,19.9,20.47,19.9,20.1,20.1,885887
2020-07-28,20.02,20.47,18.88,19.05,19.05,2177297
2020-07-29,18.94,19.125,17.24,17.51,17.51,4186375
2020-07-30,17.2,18.09,17.2,18,18,1278263
2020-07-31,17.83,18.25,17.73,17.75,17.75,725542
2020-08-03,17.82,18.485,17.18,18.29,18.29,915462
2020-08-04,18.14,18.5,17.75,17.85,17.85,1049416
2020-08-05,18,18.19,17.32,17.45,17.45,1103777
2020-08-06,17.5,17.59,16.82,16.97,16.97,1112507
2020-08-07,16.9,17.46,16.4,17.25,17.25,847446
2020-08-10,17.35,17.72,16.85,17.48,17.48,1229809
2020-08-11,17.7,17.8265,15.38,15.47,15.47,2718003
2020-08-12,15.73,16,15.2324,15.84,15.84,1059575
2020-08-13,15.93,15.995,15.14,15.71,15.71,1010435
2020-08-14,15.75,16.9084,15.71,16.82,16.82,1739500
2020-08-17,17.1,19.27,17.1,19.19,19.19,1917123
2020-08-18,19.4,19.5,18.1,19.03,19.03,890240
2020-08-19,19.09,19.43,18.681,19.02,19.02,979011
2020-08-20,18.01,18.2399,16.615,17.03,17.03,2818653
2020-08-21,17,17.61,15.86,15.97,15.97,1533755
2020-08-24,16.05,16.1069,14.686,15.51,15.51,2117940
2020-08-25,15.52,15.52,14.26,14.3,14.3,1905409
2020-08-26,14.49,14.58,13.88,13.96,13.96,1919225
2020-08-27,13.97,13.9831,12.91,13.6,13.6,2839379
2020-08-28,13.52,13.8,13.16,13.43,13.43,1980014
2020-08-31,13.46,14.21,13.39,13.91,13.91,1969985
2020-09-01,13.92,14.05,13.12,13.67,13.67,1329630
2020-09-02,13.64,14.36,13.5,14.3,14.3,1493706
2020-09-03,14.3,14.48,13.35,13.855,13.855,1550091
2020-09-04,13.78,13.86,13.27,13.39,13.39,898928
2020-09-08,13.28,13.4,12.75,13.07,13.07,1113976
2020-09-09,13.16,13.43,12.935,12.95,12.95,457346
2020-09-10,13.67,13.67,13.28,13.5,13.5,793489
2020-09-11,13.48,13.68,12.77,12.77,12.77,692178
2020-09-14,12.88,13.2,12.825,12.84,12.84,1071557
2020-09-15,13.14,13.2,12.32,12.53,12.53,776422
2020-09-16,12.57,12.77,12.4,12.53,12.53,1271211
2020-09-17,12.41,13.99,12.22,13.545,13.545,2114391
2020-09-18,13.48,14.025,13.2,13.88,13.88,4688709
2020-09-21,13.67,13.95,13.0134,13.32,13.32,520746
2020-09-22,13.36,14.06,13.055,13.95,13.95,832676
2020-09-23,14,14.64,13.81,14.08,14.08,885069
2020-09-24,13.61,13.99,13.11,13.43,13.43,590695
2020-09-25,13.57,13.97,13.4501,13.79,13.79,357868
2020-09-28,13.93,14.06,13.38,13.48,13.48,316239
2020-09-29,13.48,13.59,13.1104,13.29,13.29,916887
2020-09-30,13.37,13.5,12.8853,13.025,13.025,546411
2020-10-01,13.26,13.91,13.21,13.72,13.72,1172304
