Date,Open,High,Low,Close,AdjustedClose,Volume
1984-11-05,39.25,39.25,39.25,39.25,39.25,171600
1984-11-06,38.75,39.1252,38.75,38.75,38.75,270000
1984-11-07,39.3752,39.3752,39,39.3752,39.3752,384000
1984-11-08,39.1252,39.5,39.1252,39.1252,39.1252,1149600
1984-11-09,38.3752,38.3752,37.25,38.3752,38.3752,352800
1984-11-12,38.3752,38.3752,38.3752,38.3752,38.3752,67200
1984-11-13,38.25,38.6252,38.25,38.25,38.25,793200
1984-11-14,38.1252,38.1252,38.1252,38.1252,38.1252,279600
1984-11-15,39.1252,39.1252,38.75,39.1252,39.1252,332400
1984-11-16,39.25,39.25,39.25,39.25,39.25,162000
1984-11-19,38.8752,38.8752,38.5,38.8752,38.8752,228000
1984-11-20,38.75,38.75,38.75,38.75,38.75,74400
1984-11-21,40.25,40.25,39.1248,40.25,40.25,556800
1984-11-23,40.5,40.8752,40.5,40.5,40.5,498000
1984-11-26,40,40.3752,40,40,40,188400
1984-11-27,40,40,39.6252,40,40,170400
1984-11-28,39.5,39.8752,39.5,39.5,39.5,128400
1984-11-29,39.1252,39.1252,39.1252,39.1252,39.1252,81600
1984-11-30,39.25,39.25,38.8752,39.25,39.25,94800
1984-12-03,39,39,39,39,39,81600
1984-12-04,39.3752,39.3752,39,39.3752,39.3752,135600
1984-12-05,39.5,39.8752,39.5,39.5,39.5,340800
1984-12-06,39.75,39.75,39.3752,39.75,39.75,261600
1984-12-07,38.75,39.5,38.75,38.75,38.75,291600
1984-12-10,38.8752,38.8752,38.8752,38.8752,38.8752,96000
1984-12-11,39.1252,39.1252,38.75,39.1252,39.1252,73200
1984-12-12,39.1252,39.1252,39.1252,39.1252,39.1252,79200
1984-12-13,38.5,38.8752,38.5,38.5,38.5,494400
1984-12-14,38.3752,38.3752,38.3752,38.3752,38.3752,147600
1984-12-17,39.3752,39.3752,38.6252,39.3752,39.3752,366000
1984-12-18,39.8752,39.8752,39.5,39.8752,39.8752,301200
1984-12-19,39.1252,39.8752,39.1252,39.1252,39.1252,216000
1984-12-20,38.6252,38.6252,38.6252,38.6252,38.6252,121200
1984-12-21,37.75,38.5,37.75,37.75,37.75,176400
1984-12-24,38,38,38,38,38,33600
1984-12-26,38.25,38.25,38.25,38.25,38.25,44400
1984-12-27,38.3752,38.3752,38.3752,38.3752,38.3752,135600
1984-12-28,38.25,38.25,38.25,38.25,38.25,236400
1984-12-31,38.6252,38.6252,38.25,38.6252,38.6252,500400
1985-01-02,38.3752,38.3752,38.3752,38.3752,38.3752,222000
1985-01-03,38.1252,38.5,38.1252,38.1252,38.1252,176400
1985-01-04,37.6252,38,37.6252,37.6252,37.6252,214800
1985-01-07,37.6252,37.6252,37.6252,37.6252,37.6252,216000
1985-01-08,38.1252,38.1252,37.75,38.1252,38.1252,122400
1985-01-09,38.3752,38.3752,38.3752,38.3752,38.3752,300000
1985-01-10,38.3752,38.3752,38.3752,38.3752,38.3752,368400
1985-01-11,39.3752,39.3752,38.25,39.3752,39.3752,206400
1985-01-14,39.25,39.6252,39.25,39.25,39.25,494400
1985-01-15,38.8752,39.25,38.8752,38.8752,38.8752,340800
1985-01-16,38,38.3752,38,38,38,412800
1985-01-17,38,38,37.6252,38,38,615600
1985-01-18,37.75,37.75,37.75,37.75,37.75,810000
1985-01-21,37.25,38,37.25,37.25,37.25,513600
1985-01-22,37.25,37.6252,37.25,37.25,37.25,1106400
1985-01-23,36.75,37.1252,36.3752,36.75,36.75,1081200
1985-01-24,35.3752,36.8752,35.3752,35.3752,35.3752,2206800
1985-01-25,36.8752,36.8752,35.3748,36.8752,36.8752,2301600
1985-01-28,36.6252,37.3752,36.6252,36.6252,36.6252,1221600
1985-01-29,38,38,36.5,38,38,1056000
1985-01-30,37.8752,38.6252,37.8752,37.8752,37.8752,744000
1985-01-31,37.5,37.5,37.5,37.5,37.5,2367600
1985-02-01,37.25,37.25,37.25,37.25,37.25,278400
1985-02-04,37.8752,37.8752,37.8752,37.8752,37.8752,646800
1985-02-05,37.1252,37.8752,37.1252,37.1252,37.1252,316800
1985-02-06,38.3752,38.3752,37.25,38.3752,38.3752,460800
1985-02-07,39,39.3752,38.25,39,39,266400
1985-02-08,39.6252,39.6252,39.25,39.6252,39.6252,793200
1985-02-11,38.6252,39.3752,38.6252,38.6252,38.6252,339600
1985-02-12,38.25,38.6252,38.25,38.25,38.25,324000
1985-02-13,39.75,39.75,38.25,39.75,39.75,573600
1985-02-14,40.1252,40.5,40.1252,40.1252,40.1252,684000
1985-02-15,40.5,40.5,40.5,40.5,40.5,154800
1985-02-19,40.75,40.75,40.3752,40.75,40.75,292800
1985-02-20,39.8752,40.6252,39.8752,39.8752,39.8752,279600
1985-02-21,40,40,40,40,40,120000
1985-02-22,39.5,39.8752,39.5,39.5,39.5,142800
1985-02-25,39,39,39,39,39,91200
1985-02-26,40,40,39.25,40,40,228000
1985-02-27,40,40.3752,40,40,40,370800
1985-02-28,39.75,39.75,39.3752,39.75,39.75,312000
1985-03-01,40,40.3752,39.6252,40,40,566400
1985-03-04,40.8752,40.8752,40.5,40.8752,40.8752,396000
1985-03-05,41,41,41,41,41,388800
1985-03-06,40.6252,40.6252,40.6252,40.6252,40.6252,360000
1985-03-07,40.3752,40.3752,40.3752,40.3752,40.3752,397200
1985-03-08,41.25,41.25,40.8752,41.25,41.25,272400
1985-03-11,41.1252,41.5,41.1252,41.1252,41.1252,225600
1985-03-12,41.5,41.5,41.5,41.5,41.5,135600
1985-03-13,41.6252,41.6252,41.6252,41.6252,41.6252,194400
1985-03-14,41,41.3752,41,41,41,148800
1985-03-15,41.1252,41.5,41.1252,41.1252,41.1252,464400
1985-03-18,40.8752,40.8752,40.8752,40.8752,40.8752,114000
1985-03-19,41,41.3752,41,41,41,132000
1985-03-20,40.75,41.1252,40.75,40.75,40.75,44400
1985-03-21,41.5,41.5,41.1252,41.5,41.5,195600
1985-03-22,42,42,41.6252,42,42,190800
1985-03-25,41.5,41.8752,41.1252,41.5,41.5,118800
1985-03-26,41.5,41.8752,41.5,41.5,41.5,115200
1985-03-27,41.75,41.75,41.75,41.75,41.75,271200
1985-03-28,41.5,41.8752,41.5,41.5,41.5,238800
1985-03-29,42,42,41.6252,42,42,656400
1985-04-01,41.25,41.6252,41.25,41.25,41.25,430800
1985-04-02,40.8752,40.8752,40.8752,40.8752,40.8752,1328400
1985-04-03,40,40.3752,40,40,40,560400
1985-04-04,40.25,40.25,39.5,40.25,40.25,259200
1985-04-08,40.25,40.25,40.25,40.25,40.25,270000
1985-04-09,40.1252,40.5,40.1252,40.1252,40.1252,85200
1985-04-10,40.25,40.25,40.25,40.25,40.25,255600
1985-04-11,40.1252,40.1252,40.1252,40.1252,40.1252,502800
1985-04-12,40.25,40.25,40.25,40.25,40.25,471600
1985-04-15,40,40,40,40,40,103200
1985-04-16,41,41,40.25,41,41,1776000
1985-04-17,40.8752,40.8752,40.8752,40.8752,40.8752,922800
1985-04-18,40.5,40.5,40.5,40.5,40.5,520800
1985-04-19,40,40.3752,40,40,40,253200
1985-04-22,40.25,40.25,39.8752,40.25,40.25,110400
1985-04-23,40.3752,40.3752,40.3752,40.3752,40.3752,262800
1985-04-24,40.5,40.5,40.1252,40.5,40.5,112800
1985-04-25,40.5,40.5,40.5,40.5,40.5,224400
1985-04-26,40.75,40.75,40.75,40.75,40.75,322800
1985-04-29,40.25,40.6252,40.25,40.25,40.25,661200
1985-04-30,40,40,40,40,40,574800
1985-05-01,39.75,40.5,39.75,39.75,39.75,182400
1985-05-02,40.5,40.5,39.75,40.5,40.5,236400
1985-05-03,40.3752,40.3752,40.3752,40.3752,40.3752,82800
1985-05-06,40.25,40.25,40.25,40.25,40.25,105600
1985-05-07,40.5,40.5,40.1252,40.5,40.5,927600
1985-05-08,40.5,40.5,40.1252,40.5,40.5,148800
1985-05-09,40.5,40.5,40.1252,40.5,40.5,301200
1985-05-10,40.75,40.75,40.75,40.75,40.75,448800
1985-05-13,40.8752,40.8752,40.8752,40.8752,40.8752,195600
1985-05-14,41.25,41.25,40.8752,41.25,41.25,402000
1985-05-15,41.1252,41.1252,41.1252,41.1252,41.1252,147600
1985-05-16,40.8752,40.8752,40.8752,40.8752,40.8752,212400
1985-05-17,41.1252,41.1252,41.1252,41.1252,41.1252,309600
1985-05-20,41,41,40.6252,41,41,194400
1985-05-21,41.25,41.25,40.8752,41.25,41.25,1003200
1985-05-22,41,41,41,41,41,432000
1985-05-23,41.1252,41.1252,40.75,41.1252,41.1252,423600
1985-05-24,41.1252,41.1252,41.1252,41.1252,41.1252,120000
1985-05-28,41.3752,41.3752,41.3752,41.3752,41.3752,555600
1985-05-29,41.5,41.5,41.5,41.5,41.5,766800
1985-05-30,42.8752,42.8752,42.1252,42.8752,42.8752,1377600
1985-05-31,43.8752,43.8752,43.1252,43.8752,43.8752,972000
1985-06-03,45.6252,46,44.1248,45.6252,45.6252,771600
1985-06-04,48,48.3752,45.7496,48,48,979200
1985-06-05,47.25,49.1252,47.25,47.25,47.25,3541200
1985-06-06,46,47.1252,46,46,46,484800
1985-06-07,45.6252,46,45.6252,45.6252,45.6252,613200
1985-06-10,45.6252,46,45.6252,45.6252,45.6252,237600
1985-06-11,45.25,45.25,45.25,45.25,45.25,496800
1985-06-12,45,45.3752,45,45,45,345600
1985-06-13,44.6252,45,44.6252,44.6252,44.6252,307200
1985-06-14,44.8752,44.8752,44.5,44.8752,44.8752,324000
1985-06-17,45,45,45,45,45,76800
1985-06-18,45,45,45,45,45,188400
1985-06-19,45.5,45.5,44.75,45.5,45.5,537600
1985-06-20,46,46.3752,46,46,46,439200
1985-06-21,49,49,45.2496,49,49,1304400
1985-06-24,48.5,48.5,47.3752,48.5,48.5,585600
1985-06-25,48,48.3752,47.6252,48,48,352800
1985-06-26,47.6252,47.6252,47.6252,47.6252,47.6252,121200
1985-06-27,47.25,47.6252,47.25,47.25,47.25,468000
1985-06-28,47.25,47.25,47.25,47.25,47.25,300000
1985-07-01,47.8752,47.8752,47.5,47.8752,47.8752,489600
1985-07-02,48.25,48.25,48.25,48.25,48.25,232800
1985-07-03,48.3752,48.3752,48.3752,48.3752,48.3752,217200
1985-07-05,48,48.3752,48,48,48,112800
1985-07-08,48.25,48.25,47.8752,48.25,48.25,354000
1985-07-09,48.5,48.5,48.5,48.5,48.5,466800
1985-07-10,48.6252,48.6252,48.6252,48.6252,48.6252,133200
1985-07-11,48.75,48.75,48.3752,48.75,48.75,124800
1985-07-12,48.3752,48.3752,48.3752,48.3752,48.3752,206400
1985-07-15,48.25,49,48.25,48.25,48.25,489600
1985-07-16,47.75,48.1252,47.75,47.75,47.75,319200
1985-07-17,47.25,47.6252,47.25,47.25,47.25,507600
1985-07-18,47.25,47.25,47.25,47.25,47.25,136800
1985-07-19,47.25,47.25,47.25,47.25,47.25,357600
1985-07-22,47.75,47.75,47.75,47.75,47.75,282000
1985-07-23,46.1252,47.6252,46.1252,46.1252,46.1252,331200
1985-07-24,45.75,46.1252,45.75,45.75,45.75,441600
1985-07-25,44.5,45.6252,44.5,44.5,44.5,286800
1985-07-26,43.75,44.1252,43.75,43.75,43.75,368400
1985-07-29,43.75,44.1252,43.75,43.75,43.75,606000
1985-07-30,44.3752,44.3752,44,44.3752,44.3752,424800
1985-07-31,44.8752,44.8752,44.5,44.8752,44.8752,411600
1985-08-01,45.3752,45.3752,45,45.3752,45.3752,373200
1985-08-02,45.5,45.5,45.5,45.5,45.5,230400
1985-08-05,45,45.3752,45,45,45,153600
1985-08-06,44.8752,45.25,44.8752,44.8752,44.8752,217200
1985-08-07,44.5,44.8752,44.5,44.5,44.5,169200
1985-08-08,44.25,44.6252,44.25,44.25,44.25,141600
1985-08-09,44.6252,44.6252,44.6252,44.6252,44.6252,385200
1985-08-12,45.3752,45.3752,44.6252,45.3752,45.3752,376800
1985-08-13,45.25,45.25,45.25,45.25,45.25,84000
1985-08-14,45,45,45,45,45,279600
1985-08-15,44.5,44.8752,44.5,44.5,44.5,276000
1985-08-16,43.8752,44.25,43.8752,43.8752,43.8752,394800
1985-08-19,43.8752,43.8752,43.8752,43.8752,43.8752,271200
1985-08-20,44.25,44.25,44.25,44.25,44.25,102000
1985-08-21,43.8752,44.25,43.8752,43.8752,43.8752,159600
1985-08-22,43.75,43.75,43.75,43.75,43.75,80400
1985-08-23,42.8752,43.6252,42.8752,42.8752,42.8752,398400
1985-08-26,43.3752,43.3752,43,43.3752,43.3752,367200
1985-08-27,43.3752,43.3752,43.3752,43.3752,43.3752,172800
1985-08-28,43.25,43.25,43.25,43.25,43.25,324000
1985-08-29,43,43,43,43,43,292800
1985-08-30,43.75,43.75,43.3752,43.75,43.75,428400
1985-09-03,44.3752,44.3752,44,44.3752,44.3752,170400
1985-09-04,44.6252,45,44.6252,44.6252,44.6252,411600
1985-09-05,44.5,44.5,44.5,44.5,44.5,106800
1985-09-06,44.8752,44.8752,44.8752,44.8752,44.8752,128400
1985-09-09,45.3752,45.3752,45,45.3752,45.3752,466800
1985-09-10,45.3752,45.3752,45.3752,45.3752,45.3752,334800
1985-09-11,44.8752,45.25,44.8752,44.8752,44.8752,238800
1985-09-12,44.1252,44.8752,44.1252,44.1252,44.1252,112800
1985-09-13,43.75,43.75,43.3752,43.75,43.75,388800
1985-09-16,44.1252,44.5,44.1252,44.1252,44.1252,139200
1985-09-17,43.75,44.5,43.75,43.75,43.75,159600
1985-09-18,43.5,43.5,43.5,43.5,43.5,156000
1985-09-19,44.3752,44.3752,43.6252,44.3752,44.3752,379200
1985-09-20,44.25,44.6252,44.25,44.25,44.25,427200
1985-09-23,44.5,44.5,44.5,44.5,44.5,139200
1985-09-24,44.8752,44.8752,44.8752,44.8752,44.8752,157200
1985-09-25,44.25,44.6252,44.25,44.25,44.25,108000
1985-09-26,44.8752,44.8752,44.1252,44.8752,44.8752,439200
1985-09-30,45.1252,45.5,45.1252,45.1252,45.1252,297600
1985-10-01,45.6252,45.6252,44.8752,45.6252,45.6252,435600
1985-10-02,46,47.1252,46,46,46,986400
1985-10-03,46.6252,46.6252,46.6252,46.6252,46.6252,499200
1985-10-04,46.3752,46.3752,46.3752,46.3752,46.3752,194400
1985-10-07,46.8752,46.8752,46.8752,46.8752,46.8752,444000
1985-10-08,47.1252,47.1252,46.75,47.1252,47.1252,331200
1985-10-09,47.6252,47.6252,47.6252,47.6252,47.6252,586800
1985-10-10,47.75,47.75,47.75,47.75,47.75,219600
1985-10-11,48.3752,48.3752,47.6252,48.3752,48.3752,440400
1985-10-14,47.8752,47.8752,47.8752,47.8752,47.8752,195600
1985-10-15,47.25,47.6252,47.25,47.25,47.25,332400
1985-10-16,48,48,47.6252,48,48,229200
1985-10-17,48.5,48.5,48.1252,48.5,48.5,405600
1985-10-18,48.5,48.8752,48.5,48.5,48.5,280800
1985-10-21,48.25,48.25,48.25,48.25,48.25,174000
1985-10-22,47.75,48.1252,47.75,47.75,47.75,541200
1985-10-23,48,48,47.6252,48,48,158400
1985-10-24,47.6252,47.6252,47.6252,47.6252,47.6252,105600
1985-10-25,47.3752,47.3752,47.3752,47.3752,47.3752,115200
1985-10-28,47.25,47.25,47.25,47.25,47.25,128400
1985-10-29,48,48,47.6252,48,48,339600
1985-10-30,49.25,49.25,48.1248,49.25,49.25,386400
1985-10-31,49.3752,49.3752,49.3752,49.3752,49.3752,270000
1985-11-01,50,50,49.25,50,50,379200
1985-11-04,50,50.75,49.6252,50,50,360000
1985-11-05,49.75,50.1252,49.75,49.75,49.75,206400
1985-11-06,49.3752,49.75,49.3752,49.3752,49.3752,399600
1985-11-07,49.6252,49.6252,49.25,49.6252,49.6252,357600
1985-11-08,49.75,49.75,49.75,49.75,49.75,154800
1985-11-11,50.5,50.5,49.75,50.5,50.5,466800
1985-11-12,50.25,50.6252,50.25,50.25,50.25,726000
1985-11-13,50.3752,50.3752,50.3752,50.3752,50.3752,416400
1985-11-14,50.3752,50.3752,50.3752,50.3752,50.3752,488400
1985-11-15,51.1252,51.1252,50.75,51.1252,51.1252,518400
1985-11-18,51.3752,51.3752,50.6252,51.3752,51.3752,369600
1985-11-19,51.25,51.6252,51.25,51.25,51.25,259200
1985-11-20,52.1252,52.1252,51.3752,52.1252,52.1252,252000
1985-11-21,52.75,52.75,52.3752,52.75,52.75,229200
1985-11-22,52.75,53.1252,52.75,52.75,52.75,645600
1985-11-25,52.5,52.5,52.5,52.5,52.5,295200
1985-11-26,52.75,52.75,52.75,52.75,52.75,171600
1985-11-27,53.25,53.25,52.8752,53.25,53.25,100800
1985-11-29,54,54,53.25,54,54,241200
1985-12-02,53.8752,54.25,53.8752,53.8752,53.8752,379200
1985-12-03,53.75,54.1252,53.75,53.75,53.75,142800
1985-12-04,54.6252,54.6252,53.5,54.6252,54.6252,537600
1985-12-05,53.8752,54.6252,53.8752,53.8752,53.8752,1483200
1985-12-06,53.8752,53.8752,53.8752,53.8752,53.8752,727200
1985-12-09,54.25,54.25,53.8752,54.25,54.25,458400
1985-12-10,53.5,53.8752,53.5,53.5,53.5,304800
1985-12-11,53.5,53.5,53.5,53.5,53.5,285600
1985-12-12,53.1252,53.5,52.75,53.1252,53.1252,577200
1985-12-13,53.75,53.75,53,53.75,53.75,404400
1985-12-16,54.25,54.25,53.8752,54.25,54.25,460800
1985-12-17,54.3752,54.75,54.3752,54.3752,54.3752,276000
1985-12-18,53.3752,54.1252,53.3752,53.3752,53.3752,255600
1985-12-19,53.25,53.25,52.8752,53.25,53.25,253200
1985-12-20,53.8752,53.8752,53.5,53.8752,53.8752,565200
1985-12-23,52.5,53.6252,52.5,52.5,52.5,319200
1985-12-24,51.8752,52.25,51.8752,51.8752,51.8752,136800
1985-12-26,52.1252,52.1252,52.1252,52.1252,52.1252,282000
1985-12-27,52,52,52,52,52,147600
1985-12-30,51.6252,51.6252,51.6252,51.6252,51.6252,129600
1985-12-31,51.5,51.5,50.75,51.5,51.5,651600
1986-01-02,50.6252,51.3752,50.6252,50.6252,50.6252,595200
1986-01-03,51.1252,51.1252,51.1252,51.1252,51.1252,420000
1986-01-06,50.8752,50.8752,50.5,50.8752,50.8752,195600
1986-01-07,50.75,50.75,50.75,50.75,50.75,470400
1986-01-08,49,50.5,49,49,49,889200
1986-01-09,48.1252,48.8752,48.1252,48.1252,48.1252,811200
1986-01-10,48.75,48.75,48.3752,48.75,48.75,490800
1986-01-13,48.6252,48.6252,48.6252,48.6252,48.6252,228000
1986-01-14,48.5,48.8752,48.5,48.5,48.5,412800
1986-01-15,48,48,48,48,48,536400
1986-01-16,46.8752,48,46.8752,46.8752,46.8752,540000
1986-01-17,48.25,48.25,47.1248,48.25,48.25,868800
1986-01-20,49.6252,49.6252,48.1248,49.6252,49.6252,410400
1986-01-21,48.8752,49.6252,48.8752,48.8752,48.8752,232800
1986-01-22,49.8752,49.8752,49.1252,49.8752,49.8752,300000
1986-01-23,51.3752,51.3752,50.25,51.3752,51.3752,344400
1986-01-24,52.6252,52.6252,51.8752,52.6252,52.6252,289200
1986-01-27,53.6252,53.6252,52.1248,53.6252,53.6252,548400
1986-01-28,53.6252,53.6252,53.6252,53.6252,53.6252,321600
1986-01-29,52,53.8752,52,52,52,696000
1986-01-30,51.75,52.5,51.3752,51.75,51.75,236400
1986-01-31,52.6252,53,51.8752,52.6252,52.6252,250800
1986-02-03,54.3752,54.3752,52.5,54.3752,54.3752,397200
1986-02-04,54.1252,55.25,54.1252,54.1252,54.1252,756000
1986-02-05,53.75,53.75,53.3752,53.75,53.75,495600
1986-02-06,53.6252,54,53.6252,53.6252,53.6252,194400
1986-02-07,53,53.3752,53,53,53,502800
1986-02-10,53.8752,53.8752,53.1252,53.8752,53.8752,363600
1986-02-11,53.1252,53.8752,53.1252,53.1252,53.1252,192000
1986-02-12,52.3752,53.1252,52.3752,52.3752,52.3752,150000
1986-02-13,52.8752,52.8752,52.5,52.8752,52.8752,546000
1986-02-14,54.75,54.75,53.25,54.75,54.75,357600
1986-02-18,55.5,55.8752,54.3752,55.5,55.5,648000
1986-02-19,55,55.3752,55,55,55,230400
1986-02-20,55.25,55.25,54.8752,55.25,55.25,249600
1986-02-21,55.25,55.25,55.25,55.25,55.25,400800
1986-02-24,54.6252,55,54.25,54.6252,54.6252,223200
1986-02-25,53.5,54.25,53.5,53.5,53.5,244800
1986-02-26,53.8752,53.8752,53.1252,53.8752,53.8752,211200
