Date,Open,High,Low,Close,AdjustedClose,Volume
2013-07-12,101.15,103.68,101.15,103.68,103.68,1200
2013-07-16,101.91,101.91,101.91,101.91,101.91,400
2013-07-17,101.68,101.68,101.68,101.68,101.68,800
2013-07-18,101.38,101.38,101.3,101.3,101.3,1600
2013-07-22,102,102,101.918,101.918,101.918,2804
2013-07-23,102.04,102.04,102.0399,102.0399,102.0399,1964
2013-07-24,101.64,101.64,101.64,101.64,101.64,11600
2013-07-25,101.25,101.25,100.9,100.9,100.9,1860
2013-07-26,101.352,101.352,101.352,101.352,101.352,800
2013-07-30,101.11,101.11,101.11,101.11,101.11,3200
2013-07-31,100.73,100.73,100.73,100.73,100.73,800
2013-08-01,100.55,100.55,100.546,100.546,100.546,1592
2013-08-06,100.6,100.6,100.55,100.55,100.55,7140
2013-08-07,100.85,101.03,100.85,101.03,101.03,800
2013-08-08,101,101,101,101,101,1200
2013-08-13,100.479,100.479,100.47,100.47,100.47,12400
2013-08-15,100,100,99.65,99.65,99.65,1200
2013-08-16,99.42,99.429,99.11,99.11,99.11,2000
2013-08-19,98.59,98.9,98.59,98.682,98.682,111988
2013-08-20,98.45,98.5,98.45,98.5,98.5,2084
2013-08-21,98.6,98.6,98.6,98.6,98.6,1368
2013-08-22,98.22,98.22,98.22,98.22,98.22,2128
2013-08-23,98.19,98.19,98.19,98.19,98.19,2924
2013-08-26,98.6901,98.6901,98.48,98.48,98.48,3748
2013-08-27,99.14,99.14,99.14,99.14,99.14,2000
2013-09-03,98.98,98.98,98.98,98.98,98.98,11600
2013-09-04,98.01,98.01,98.01,98.01,98.01,1200
2013-09-05,97.43,97.43,97.43,97.43,97.43,748
2013-09-09,97.9999,97.9999,97.8869,97.8869,97.8869,800
2013-09-11,97.4564,97.55,97.31,97.55,97.55,2400
2013-09-12,97.5799,97.63,97.5799,97.63,97.63,61024
2013-09-16,97.8,98.46,97.8,98.1237,98.1237,26472
2013-09-18,98.19,99.06,98.19,99.06,99.06,14800
2013-09-19,99.24,99.24,99.05,99.06,99.06,43600
2013-09-23,99.61,99.72,99.61,99.68,99.68,21840
2013-09-24,99.19,99.35,99.19,99.32,99.32,3224
2013-09-27,100,100,99.574,100,100,5624
2013-09-30,99.85,99.85,99.85,99.85,99.85,7152
2013-10-01,99.61,99.628,99.61,99.628,99.628,1204
2013-10-03,99.9016,99.9499,99.9016,99.9499,99.9499,1160
2013-10-04,99.93,99.93,99.7891,99.91,99.91,2620
