Date,Open,High,Low,Close,AdjustedClose,Volume
2019-05-09,25.04,25.04,24.94,24.98,24.98,63000
2019-05-10,24.86,25,24.86,24.99,24.99,500
2019-05-13,24.814,24.814,24.814,24.814,24.814,200
2019-05-14,24.873,24.873,24.873,24.873,24.873,200
2019-05-15,24.893,24.893,24.893,24.893,24.893,200
2019-05-16,24.944,24.944,24.944,24.944,24.944,100
2019-05-17,24.99,24.99,24.99,24.99,24.99,0
2019-05-20,24.99,24.99,24.99,24.99,24.99,0
2019-05-21,24.99,24.99,24.99,24.99,24.99,0
2019-05-22,24.92,24.976,24.92,24.976,24.976,100
2019-05-23,24.876,24.876,24.876,24.876,24.876,100
2019-05-24,24.876,24.876,24.876,24.876,24.876,0
2019-05-28,24.876,24.876,24.876,24.876,24.876,0
2019-05-29,24.8,24.8,24.764,24.764,24.764,100
2019-05-30,24.764,24.764,24.764,24.764,24.764,0
2019-05-31,24.765,24.765,24.652,24.652,24.652,1000
2019-06-03,24.652,24.652,24.652,24.652,24.652,0
2019-06-04,24.652,24.652,24.652,24.652,24.652,0
2019-06-05,24.9,24.909,24.9,24.909,24.909,400
2019-06-06,24.89,24.94,24.89,24.93,24.93,3400
2019-06-07,24.973,24.973,24.973,24.973,24.973,0
2019-06-10,25.03,25.03,24.982,24.982,24.982,300
2019-06-11,25.013,25.013,25.013,25.013,25.013,0
2019-06-12,24.973,24.973,24.973,24.973,24.973,400
2019-06-13,25.021,25.021,25.021,25.021,25.021,0
2019-06-14,25.025,25.025,25.025,25.025,25.025,100
2019-06-17,24.97,24.97,24.97,24.97,24.97,100
2019-06-18,25.09,25.1,25.085,25.093,25.093,2100
2019-06-19,25.203,25.203,25.203,25.203,25.203,0
2019-06-20,25.28,25.289,25.28,25.289,25.289,900
2019-06-21,25.221,25.221,25.221,25.221,25.221,0
2019-06-24,25.206,25.206,25.206,25.206,25.206,0
2019-06-25,25.203,25.219,25.143,25.143,25.143,5300
2019-06-26,25.14,25.14,25.14,25.14,25.14,500
2019-06-27,25.19,25.21,25.19,25.2,25.2,1400
2019-06-28,25.21,25.21,25.188,25.202,25.202,900
2019-07-01,25.07,25.07,24.98,24.99,24.99,9100
2019-07-02,25.031,25.031,25.03,25.03,25.03,200
2019-07-03,25.063,25.08,25.063,25.08,25.08,400
2019-07-05,25,25.005,25,25.005,25.005,400
2019-07-08,24.95,24.95,24.95,24.95,24.95,0
2019-07-09,24.96,24.96,24.938,24.952,24.952,8200
2019-07-10,25.01,25.01,24.996,24.996,24.996,400
2019-07-11,24.99,24.99,24.95,24.954,24.954,1500
2019-07-12,24.966,24.966,24.966,24.966,24.966,0
2019-07-15,25,25.005,24.99,24.999,24.999,1100
2019-07-16,24.948,24.948,24.948,24.948,24.948,100
2019-07-17,24.92,24.92,24.92,24.92,24.92,1200
2019-07-18,24.89,24.926,24.89,24.926,24.926,100
2019-07-19,24.95,24.95,24.897,24.897,24.897,1300
2019-07-22,24.94,24.945,24.94,24.94,24.94,6500
2019-07-23,24.96,24.99,24.96,24.99,24.99,2900
2019-07-24,24.999,24.999,24.999,24.999,24.999,0
2019-07-25,24.96,24.98,24.932,24.932,24.932,4400
2019-07-26,24.99,24.99,24.99,24.99,24.99,34100
2019-07-29,24.95,24.97,24.95,24.969,24.969,8500
2019-07-30,24.98,24.98,24.98,24.98,24.98,100
2019-07-31,25.01,25.02,24.935,24.935,24.935,4700
