Date,Open,High,Low,Close,AdjustedClose,Volume
1992-09-22,13.5,13.5,12.75,13,13,136600
1992-09-23,13.25,13.25,13,13.25,13.25,34400
1992-09-24,13.25,13.25,12.75,13,13,43800
1992-09-25,13,13,12.375,12.5,12.5,43700
1992-09-28,12.75,12.75,11.75,12.5,12.5,56900
1992-09-29,11.75,12.25,11.75,12.25,12.25,17200
1992-09-30,11.75,12.25,11.5,11.5,11.5,68800
1992-10-01,12,12.25,11.5,12,12,116700
1992-10-02,12.5,12.5,12,12.375,12.375,119300
1992-10-05,12,12.25,11.75,12.25,12.25,88300
1992-10-06,12.125,12.5,12,12.25,12.25,164100
1992-10-07,12,12.5,12,12.25,12.25,106200
1992-10-08,12.25,13,12,12.625,12.625,137200
1992-10-09,13,13.5,13,13.5,13.5,191700
1992-10-12,13.5,13.5,13.125,13.375,13.375,84600
1992-10-13,13.5,13.75,13,13.75,13.75,162100
1992-10-14,13.75,14.5,13.75,14.125,14.125,140600
1992-10-15,14.5,15,14.125,15,15,214000
1992-10-16,15,15,14.25,15,15,58400
1992-10-19,15,15,14.5,15,15,21500
1992-10-20,14.5,15,14.5,15,15,5200
1992-10-21,15,15,14.25,14.25,14.25,13700
1992-10-22,14.25,14.5,14.25,14.5,14.5,95300
1992-10-23,14.5,14.5,14.25,14.5,14.5,5600
1992-10-26,14.5,14.5,14,14.5,14.5,15400
1992-10-27,14.5,14.5,14,14.5,14.5,5300
1992-10-28,14.5,15,14.5,15,15,15800
1992-10-29,15,15.5,14.75,15.5,15.5,80200
1992-10-30,15.5,15.5,15,15,15,19000
1992-11-02,15.25,15.5,15.25,15.5,15.5,16200
1992-11-03,15.25,15.5,15,15.5,15.5,21300
1992-11-04,15,15.5,15,15.5,15.5,117300
1992-11-05,15,15.5,15,15.5,15.5,5800
1992-11-06,15.5,15.75,15,15.5,15.5,50800
1992-11-09,15.75,15.75,15.25,15.75,15.75,27200
1992-11-10,15.75,15.75,15.25,15.25,15.25,10500
1992-11-11,15.75,15.75,15.25,15.375,15.375,35800
1992-11-12,15.25,15.75,15.25,15.25,15.25,10600
1992-11-13,15.5,15.75,15.25,15.75,15.75,6900
1992-11-16,15.375,15.5,15,15,15,65600
1992-11-17,15.125,15.5,15,15,15,48100
1992-11-18,15.25,15.25,14.75,15.25,15.25,10300
1992-11-19,15.25,15.25,14.75,15.25,15.25,7500
1992-11-20,15.25,15.25,15.25,15.25,15.25,1600
1992-11-23,15.25,15.25,14,14.125,14.125,78000
1992-11-24,14.5,14.5,14,14,14,11700
1992-11-25,14.375,14.75,14.25,14.75,14.75,34800
1992-11-27,14.75,14.75,14.75,14.75,14.75,8200
1992-11-30,14.625,15,14.625,15,15,57800
1992-12-01,15,15.25,14.75,15.25,15.25,10900
1992-12-02,15.25,15.25,14.75,15.25,15.25,529100
1992-12-03,15.25,15.25,14.75,15.125,15.125,119000
1992-12-04,15.25,15.25,15,15.25,15.25,41500
1992-12-07,15.5,15.5,15.125,15.375,15.375,224400
1992-12-08,15.5,15.5,15.25,15.5,15.5,211300
1992-12-09,15.5,15.5,15.25,15.375,15.375,58800
1992-12-10,15.5,15.5,15.25,15.375,15.375,16300
1992-12-11,15.5,16.25,15.375,15.75,15.75,40300
1992-12-14,16.25,16.5,16.25,16.5,16.5,32700
1992-12-15,16.5,16.5,16.25,16.5,16.5,110600
1992-12-16,16.5,16.5,16,16.5,16.5,18400
1992-12-17,16,16.5,16,16.5,16.5,7200
1992-12-18,16.5,16.5,16,16.5,16.5,18900
1992-12-21,16.5,16.5,16.25,16.5,16.5,99300
1992-12-22,16.75,17.5,16.5,17.5,17.5,203700
1992-12-23,17.5,17.75,17.5,17.75,17.75,36600
1992-12-24,17.75,17.75,17.5,17.75,17.75,170200
1992-12-28,17.75,18,17.5,18,18,53500
1992-12-29,18,18,17.5,18,18,8900
1992-12-30,18,18.75,17.75,18.75,18.75,252100
1992-12-31,18.75,19.25,18.5,19.25,19.25,69200
1993-01-04,19,19.25,18.75,19,19,55300
1993-01-05,19,19,18.25,18.75,18.75,54500
1993-01-06,19,19,18.5,19,19,19300
1993-01-07,19,19,18.5,18.75,18.75,28600
1993-01-08,18.5,19,18.5,19,19,9700
1993-01-11,19,19,18.5,19,19,10100
1993-01-12,19,19,18.5,18.75,18.75,87800
1993-01-13,18.5,19,18.5,19,19,45400
1993-01-14,18.5,19,18.5,18.875,18.875,41400
1993-01-15,18.5,18.75,18.5,18.75,18.75,34100
1993-01-18,18.75,18.75,18.5,18.5,18.5,27200
1993-01-19,18.75,18.75,18.5,18.5,18.5,11400
1993-01-20,18.75,19.25,18.5,18.75,18.75,92500
1993-01-21,19.25,19.25,18.75,19.125,19.125,22300
1993-01-22,18.75,19.25,18.75,19.25,19.25,9200
1993-01-25,19.25,19.5,18.75,19,19,24600
1993-01-26,19.5,20,19,19.5,19.5,68500
1993-01-27,20,20,19.5,19.875,19.875,6200
1993-01-28,20,20,19.5,20,20,5500
1993-01-29,19.5,20,19.5,20,20,14200
1993-02-01,20,20.5,19.75,20,20,82800
1993-02-02,20,20.5,20,20.5,20.5,63900
1993-02-03,20,20.5,20,20,20,19600
1993-02-04,20.5,20.5,20,20,20,5500
1993-02-05,20.5,20.5,20,20,20,9200
1993-02-08,20.25,20.5,20,20.5,20.5,144700
1993-02-09,20.5,20.5,19.5,19.75,19.75,119000
1993-02-10,20.25,20.25,19.5,19.75,19.75,9800
1993-02-11,19.75,20.25,19.5,19.5,19.5,41400
1993-02-12,20.25,20.25,19.25,19.25,19.25,6900
1993-02-16,19.75,19.75,17,17.75,17.75,81700
1993-02-17,17.25,17.75,17,17.5,17.5,60200
1993-02-18,17.5,17.75,17,17.75,17.75,17900
1993-02-19,17.25,18,17.25,18,18,116800
1993-02-22,18,18,17.5,18,18,15200
1993-02-23,18,18.25,17.75,17.875,17.875,51000
1993-02-24,18.25,18.25,17.75,17.75,17.75,44600
1993-02-25,18.25,18.25,18.25,18.25,18.25,2200
1993-02-26,18.25,18.25,17.5,17.875,17.875,49600
1993-03-01,17.875,17.875,17.5,17.875,17.875,65400
1993-03-02,17.875,18,17.5,18,18,148900
1993-03-03,18,18.25,17.75,18.25,18.25,183900
1993-03-04,18.25,18.25,17.75,18.25,18.25,6400
1993-03-05,18.25,18.375,17.75,18.25,18.25,493500
1993-03-08,18.375,19,18,19,19,172900
1993-03-09,18.5,19,18.5,19,19,7600
1993-03-10,19,19,18.75,18.75,18.75,94300
1993-03-11,19,19,18.5,18.5,18.5,14600
1993-03-12,18.75,19,18.5,18.625,18.625,34000
1993-03-15,18.5,19,18.5,19,19,9000
1993-03-16,19,19,18.5,18.625,18.625,15000
1993-03-17,18.75,19,18.5,19,19,9100
1993-03-18,19,19,18.5,19,19,6800
1993-03-19,19,19,18.5,19,19,8400
1993-03-22,18.5,19,18.5,19,19,12300
1993-03-23,19,19,18.5,19,19,14400
1993-03-24,18.75,19,18.5,19,19,84800
1993-03-25,19,19,18.5,19,19,14200
1993-03-26,19,19,18.5,19,19,1900
1993-03-29,18.5,19,18.5,19,19,165700
1993-03-30,18.5,19,18.5,18.75,18.75,50600
1993-03-31,19,19,18.5,18.5,18.5,28600
1993-04-01,19,19,18.5,19,19,26200
1993-04-02,18.75,19,18.5,18.5,18.5,46900
1993-04-05,18.5,19,18.5,19,19,18400
1993-04-06,18.75,19,18.5,18.5,18.5,11400
1993-04-07,19,19,18.5,18.75,18.75,15500
1993-04-08,19,19,18.5,18.5,18.5,86000
1993-04-12,18.5,18.75,18.25,18.5,18.5,54300
1993-04-13,18.5,18.75,18.25,18.25,18.25,19000
1993-04-14,18.75,18.75,18.5,18.75,18.75,3500
1993-04-15,18.5,18.75,18.25,18.75,18.75,9600
1993-04-16,18.75,18.75,18.25,18.75,18.75,16800
1993-04-19,18.75,18.75,18.375,18.75,18.75,1600
1993-04-20,18.25,18.5,18.25,18.5,18.5,11700
1993-04-21,18.25,18.5,17.75,18,18,16300
1993-04-22,17.75,18.5,17.75,18.5,18.5,2500
1993-04-23,18.5,18.5,17.75,18.125,18.125,19500
1993-04-26,18.5,18.5,17.75,18.25,18.25,6600
1993-04-27,18.25,18.25,17.75,17.75,17.75,9800
1993-04-28,18.5,18.5,18,18.5,18.5,21700
1993-04-29,18.5,18.5,18,18.5,18.5,58200
1993-04-30,18.25,18.5,18.25,18.25,18.25,41000
1993-05-03,18.5,18.5,18.25,18.5,18.5,47400
1993-05-04,18.25,18.75,18.25,18.75,18.75,67200
1993-05-05,18.75,19,18.75,18.875,18.875,71400
1993-05-06,18.5,18.75,18.5,18.75,18.75,4600
1993-05-07,18.5,19,18.5,19,19,2000
1993-05-10,18.5,19,18.5,18.5,18.5,7900
1993-05-11,18.75,19,18.25,19,19,13400
1993-05-12,18.75,18.75,18.25,18.75,18.75,4800
1993-05-13,18.25,18.75,18.25,18.75,18.75,9800
1993-05-14,18.25,18.75,18.25,18.75,18.75,4000
1993-05-17,18.75,19,18.5,18.5,18.5,76900
1993-05-18,18.5,19,18.5,18.5,18.5,800
1993-05-19,18.5,19,18.5,18.875,18.875,15500
1993-05-20,19,19,18.75,18.75,18.75,22500
1993-05-21,18.875,19,18.75,19,19,39200
1993-05-24,18.75,19,18.75,19,19,7600
1993-05-25,18.75,19,18.75,18.75,18.75,1900
1993-05-26,19,19.25,19,19.125,19.125,47700
1993-05-27,19,19.25,19,19.125,19.125,20200
1993-05-28,19.25,19.25,19,19.25,19.25,11300
1993-06-01,19.25,19.25,18,19.25,19.25,37200
1993-06-02,19.25,19.25,18.75,19,19,7000
1993-06-03,19,19.25,19,19.25,19.25,15200
1993-06-04,19.25,19.25,19,19.25,19.25,7600
1993-06-07,19.25,19.25,19,19,19,2500
1993-06-08,19,19.25,19,19,19,4900
1993-06-09,19.25,20.5,19.25,20.375,20.375,262500
1993-06-10,20.25,20.75,20.25,20.5,20.5,37600
1993-06-11,20.25,20.75,20.25,20.25,20.25,5500
1993-06-14,20.25,20.75,20.25,20.25,20.25,17300
1993-06-15,20.5,20.5,20,20.5,20.5,87500
1993-06-16,20.5,20.5,20,20.5,20.5,4700
1993-06-17,20.125,20.5,19.75,19.75,19.75,72200
1993-06-18,19.5,20,19.25,19.25,19.25,32300
1993-06-21,19.75,19.75,19.25,19.5,19.5,61000
1993-06-22,19.5,19.5,19.25,19.25,19.25,4700
1993-06-23,19.5,19.5,19,19.375,19.375,101800
1993-06-24,19.375,19.5,19,19.25,19.25,206800
1993-06-25,19.25,19.375,18.5,18.75,18.75,100800
1993-06-28,18.5,18.75,18.5,18.75,18.75,1300
1993-06-29,18.5,19,18.5,18.625,18.625,28500
1993-06-30,19,19,18.75,18.75,18.75,56800
1993-07-01,19,19,18.75,19,19,17900
1993-07-02,19.25,19.25,18.75,19,19,3400
1993-07-06,19.25,19.25,18.75,18.75,18.75,5100
1993-07-07,18.75,19.5,18.75,19.5,19.5,154300
1993-07-08,18.75,19.5,18.75,19,19,20400
1993-07-09,19.5,19.5,19,19,19,1700
1993-07-12,19,19.5,19,19.5,19.5,15300
1993-07-13,19,19.5,19,19.5,19.5,62600
1993-07-14,19,19,19,19,19,2000
1993-07-15,19,19.5,19,19,19,2100
1993-07-16,19.5,19.5,19.25,19.5,19.5,30200
1993-07-19,19.125,19.5,19.125,19.125,19.125,3400
1993-07-20,19.5,20,19.125,19.875,19.875,134500
1993-07-21,20,20,19.5,20,20,66000
1993-07-22,19.75,20,19.75,20,20,5600
1993-07-23,20,20,19.75,19.75,19.75,25800
1993-07-26,19.75,20,19.75,19.875,19.875,18200
1993-07-27,19.75,20,19.75,20,20,4200
1993-07-28,20,20,19.75,19.875,19.875,91400
1993-07-29,20,20,19.75,19.75,19.75,2100
1993-07-30,19.75,20,19.75,20,20,24200
1993-08-02,19.75,20,19.75,20,20,4800
1993-08-03,19.5,20,19.5,19.5,19.5,5200
1993-08-04,20,20,19.5,19.75,19.75,11500
1993-08-05,20,20,19.5,19.75,19.75,8500
1993-08-06,20,20,19.75,20,20,21000
1993-08-09,20,20,19.75,20,20,7900
1993-08-10,20,20,20,20,20,4300
1993-08-11,20,20.5,20,20.5,20.5,24700
1993-08-12,20,20.5,20,20.375,20.375,37100
1993-08-13,20.5,20.5,20.25,20.5,20.5,26200
1993-08-16,20.5,20.5,20,20.5,20.5,64500
1993-08-17,20.5,20.5,20,20.5,20.5,15000
1993-08-18,20.5,20.5,20.25,20.25,20.25,26500
1993-08-19,20.25,20.5,20.25,20.25,20.25,3600
1993-08-20,20.5,20.5,20.25,20.375,20.375,102000
1993-08-23,20.25,20.5,20,20.5,20.5,9300
1993-08-24,20,20.5,20,20.5,20.5,11300
1993-08-25,20,20.5,19.5,19.5,19.5,12300
1993-08-26,20,20,19.5,20,20,25600
1993-08-27,20.25,20.25,20.25,20.25,20.25,1900
1993-08-30,20.25,20.25,19.5,20.25,20.25,3800
1993-08-31,19.625,20.25,19.5,20,20,29800
1993-09-01,20,20,19.5,20,20,34700
1993-09-02,20,20,19.75,20,20,26600
1993-09-03,19.75,20,19.75,19.875,19.875,11500
1993-09-07,19.875,20.5,19.75,20.5,20.5,38700
1993-09-08,19.875,20.5,19.875,20.5,20.5,11800
1993-09-09,20.5,22.25,20.5,21.5,21.5,209400
1993-09-10,21.75,22,21.5,21.5,21.5,34100
1993-09-13,22,22,21.5,22,22,26400
1993-09-14,22,22,21.5,21.5,21.5,23700
1993-09-15,22,23.25,21.625,23.25,23.25,81800
1993-09-16,23.25,24,23,24,24,41300
1993-09-17,24,24.75,23.25,24.25,24.25,45500
1993-09-20,24.75,25.5,24.25,24.5,24.5,87400
1993-09-21,24.5,24.75,22.25,22.5,22.5,120600
1993-09-22,22.5,24.125,22.25,24.125,24.125,105400
1993-09-23,24.25,24.25,23.5,24.25,24.25,18200
1993-09-24,23.5,24.25,23.5,24.25,24.25,5400
1993-09-27,24.25,25,23.5,24.75,24.75,48700
1993-09-28,25.25,26,25,25,25,63300
1993-09-29,25.5,25.75,25,25.75,25.75,22300
1993-09-30,25.75,25.75,25.25,25.75,25.75,51200
1993-10-01,25.5,25.75,25,25.5,25.5,65200
1993-10-04,24,24.75,22.5,24.75,24.75,186300
1993-10-05,24,24.75,24,24.25,24.25,126400
1993-10-06,24.25,24.75,24.25,24.25,24.25,21600
1993-10-07,24.75,24.75,24,24,24,30200
1993-10-08,23.75,24.5,23.5,24.25,24.25,19600
1993-10-11,23.75,24.5,23.5,24.5,24.5,78300
1993-10-12,23.75,24.5,23.75,24,24,15000
1993-10-13,24,24.5,24,24.5,24.5,17300
1993-10-14,24.5,25,24,24.875,24.875,25300
1993-10-15,25,25,24.5,24.75,24.75,51100
1993-10-18,24.75,25,24.75,24.75,24.75,13500
1993-10-19,24.75,25,24.5,24.5,24.5,66900
1993-10-20,24.5,25.25,24.5,24.5,24.5,70000
1993-10-21,25,25,24.5,25,25,82100
1993-10-22,24.5,25,24.5,24.5,24.5,36900
1993-10-25,24.5,25,24.5,24.5,24.5,2000
1993-10-26,25,25,24.5,24.75,24.75,73500
1993-10-27,24.75,24.75,24.5,24.5,24.5,19500
1993-10-28,24.5,25,24.5,25,25,78800
1993-10-29,25,25,24.5,24.75,24.75,38600
1993-11-01,25,25,24.5,25,25,39500
1993-11-02,24.5,25,24.5,25,25,17600
1993-11-03,24.625,25,24.5,25,25,8500
1993-11-04,24.5,25.75,24.5,25.25,25.25,65200
1993-11-05,25,25.75,24.75,24.75,24.75,70400
1993-11-08,25.25,25.25,24.5,24.5,24.5,43100
1993-11-09,24.5,25.25,24.5,25.25,25.25,139800
1993-11-10,25.25,25.25,24.5,25.25,25.25,28900
1993-11-11,24.5,25.25,24.5,25.25,25.25,11300
1993-11-12,25.25,25.25,24.5,25,25,105300
1993-11-15,25.25,25.25,24.5,25.25,25.25,11800
1993-11-16,24.75,25,24.5,25,25,43200
1993-11-17,24.5,25.25,24.5,25.25,25.25,67500
1993-11-18,24.75,25.5,24.75,24.75,24.75,5400
1993-11-19,24.75,25.5,24.75,25,25,3500
1993-11-22,25.5,25.5,24.75,25,25,8600
1993-11-23,24.75,25.5,24.75,24.75,24.75,2600
1993-11-24,24.75,25.375,24.75,24.75,24.75,6700
1993-11-26,25.25,25.25,24.75,25.25,25.25,400
1993-11-29,24.75,26.75,24.75,26.75,26.75,167700
1993-11-30,26.75,27.5,26.5,27,27,127100
1993-12-01,27,27,26,26.5,26.5,121400
1993-12-02,26.5,26.5,26,26,26,24200
1993-12-03,26.5,26.5,26,26.5,26.5,7600
1993-12-06,26.5,26.5,25.75,26.25,26.25,14400
1993-12-07,26.25,26.25,25.5,26,26,33900
1993-12-08,25.5,26.5,25.5,26.25,26.25,21500
1993-12-09,26.25,26.25,25.5,25.5,25.5,18600
1993-12-10,26.25,26.25,25.5,25.75,25.75,49500
1993-12-13,25.5,26,25.5,25.75,25.75,3900
1993-12-14,26.25,26.25,25.5,25.5,25.5,11300
1993-12-15,25.5,26,25.25,25.5,25.5,6800
1993-12-16,25.25,25.5,25.25,25.25,25.25,5900
1993-12-17,25.25,25.375,24.25,24.25,24.25,71300
1993-12-20,24.25,24.75,23.25,23.5,23.5,66400
1993-12-21,23.25,24.25,23.25,24.25,24.25,61400
1993-12-22,23.75,25,23.75,24.75,24.75,55000
1993-12-23,25,25,24.375,24.5,24.5,15000
1993-12-27,24.75,24.75,24.25,24.75,24.75,2000
1993-12-28,24.25,24.75,24.25,24.25,24.25,5000
1993-12-29,24.25,24.75,24.25,24.5,24.5,11200
1993-12-30,24.75,25,24.5,24.5,24.5,9800
1993-12-31,25,26,25,25.5,25.5,31500
1994-01-03,25.75,25.75,25.25,25.25,25.25,8300
1994-01-04,25.25,25.75,25,25,25,10900
1994-01-05,24.75,25.5,24.75,24.75,24.75,16300
1994-01-06,25.5,25.5,24.75,24.75,24.75,3200
1994-01-07,25.5,25.5,24,24,24,26100
1994-01-10,24.25,24.5,24,24.125,24.125,44600
1994-01-11,24,24.75,24,24.75,24.75,21700
1994-01-12,24.75,25,24.5,25,25,22100
1994-01-13,24.5,25.125,24.5,25,25,30900
1994-01-14,25,25.25,24.75,25,25,26900
1994-01-17,25.25,25.25,24.75,24.75,24.75,5100
1994-01-18,24.75,25.25,24.75,25,25,47000
1994-01-19,24.875,25.25,24.75,25.25,25.25,9100
1994-01-20,24.75,25.25,24.75,25,25,2400
1994-01-21,25.25,25.25,24.75,24.75,24.75,15800
1994-01-24,24.75,25.25,24.75,24.75,24.75,15300
1994-01-25,25.25,25.25,24.75,25,25,16600
1994-01-26,25,26.25,24.75,25.75,25.75,73600
1994-01-27,25.5,25.75,25.25,25.625,25.625,47500
1994-01-28,25.25,25.75,25.25,25.25,25.25,5900
1994-01-31,25.25,25.75,25.25,25.75,25.75,79600
1994-02-01,25.75,25.75,25.25,25.75,25.75,15200
1994-02-02,25.25,25.75,25.25,25.75,25.75,7100
1994-02-03,25.75,26,25.25,25.75,25.75,35900
