Date,Open,High,Low,Close,AdjustedClose,Volume
2018-01-02,20.43,21.79,20.09,21.58,21.58,194860
2018-01-03,21.45,22.16,20.915,21.85,21.85,444225
2018-01-04,21.78,22.2199,21.25,21.38,21.38,130519
2018-01-05,21.36,21.67,21.01,21.09,21.09,169136
2018-01-08,21.09,21.62,21.01,21.37,21.37,241409
2018-01-09,21.35,21.42,21.06,21.06,21.06,122487
2018-01-10,20.98,21.03,20.57,20.88,20.88,122607
2018-01-11,20.96,21.08,20.67,20.87,20.87,91668
2018-01-12,20.98,21.22,20.58,21.16,21.16,259133
2018-01-16,21.22,21.39,21.0374,21.12,21.12,92889
2018-01-17,21.11,21.19,20.97,21.06,21.06,81590
2018-01-18,20.91,21.47,20.72,21.34,21.34,72030
2018-01-19,21.2,21.435,21.1401,21.17,21.17,56662
2018-01-22,21.2,21.54,21.08,21.18,21.18,138470
2018-01-23,21.06,21.54,21,21.45,21.45,257436
2018-01-24,21.56,22.87,21.56,22.73,22.73,411698
2018-01-25,22.82,23.84,22.82,23.55,23.55,536172
2018-01-26,23.54,24,22.87,23.32,23.32,305397
2018-01-29,23.37,23.87,23.12,23.48,23.48,83896
2018-01-30,23.28,23.67,22.86,22.88,22.88,142589
2018-01-31,22.9,23.15,22.44,22.45,22.45,430896
2018-02-01,22.4,22.62,22.03,22.5,22.5,125528
2018-02-02,22.5,23.255,22.18,22.3,22.3,342141
2018-02-05,22.38,22.73,21.57,21.73,21.73,133146
2018-02-06,21.32,22.19,21.3,22.02,22.02,119024
2018-02-07,22.01,22.21,21.795,21.96,21.96,157630
2018-02-08,22.11,22.27,20.88,20.89,20.89,138673
2018-02-09,21.21,21.985,20.55,21.81,21.81,289363
2018-02-12,21.87,22.54,21.75,22.18,22.18,146019
2018-02-13,22.23,22.4,21.98,22.21,22.21,110620
2018-02-14,22.23,23.4,22.095,23.14,23.14,323888
2018-02-15,22.81,23.78,21.37,23.43,23.43,499879
2018-02-16,23.44,23.66,22.76,23.43,23.43,305410
2018-02-20,23.3,23.3,22.09,23,23,342357
2018-02-21,23.1,23.42,22.87,23.11,23.11,180120
2018-02-22,23.17,23.44,22.51,22.79,22.79,190929
2018-02-23,22.85,23.03,22.56,22.58,22.58,341178
2018-02-26,22.72,22.72,21.09,21.45,21.45,582968
2018-02-27,21.3,21.95,21.03,21.06,21.06,147067
2018-02-28,21.05,21.07,20.36,20.7,20.7,457284
2018-03-01,20.79,20.79,20.17,20.48,20.48,209113
2018-03-02,20.4,20.525,20.21,20.5,20.5,180297
2018-03-05,20.37,21.42,20.2946,21.37,21.37,175188
2018-03-06,21.46,21.71,21.16,21.31,21.31,238303
2018-03-07,21.15,21.43,20.98,21.27,21.27,79026
2018-03-08,21.25,21.41,21.05,21.31,21.31,73704
2018-03-09,21.36,21.41,20.87,21.33,21.33,103791
2018-03-12,21.36,22,21.36,21.57,21.57,175211
2018-03-13,21.62,21.7,21.31,21.45,21.45,101456
2018-03-14,21.54,21.67,21.3,21.63,21.63,95535
2018-03-15,21.7,21.72,21.3075,21.59,21.59,106270
2018-03-16,21.66,21.66,21.15,21.35,21.35,242541
2018-03-19,21.22,21.38,21.01,21.22,21.22,177454
2018-03-20,21.21,21.37,20.8,21.07,21.07,95054
2018-03-21,21.06,21.58,20.97,21.39,21.39,244841
2018-03-22,21.22,21.48,20.47,20.59,20.59,179648
2018-03-23,20.6,21,20.47,20.51,20.51,67812
2018-03-26,20.71,20.92,20.4139,20.89,20.89,107100
2018-03-27,20.98,21.34,20.64,20.92,20.92,324930
2018-03-28,20.89,20.89,19.61,19.66,19.66,175582
2018-03-29,19.71,20.05,19,19.45,19.45,298525
2018-04-02,19.37,19.99,19.37,19.75,19.75,142196
2018-04-03,20.7,20.7,19.45,19.6,19.6,142324
2018-04-04,19.41,20.16,19.35,19.88,19.88,98634
2018-04-05,20,20.3,19.79,20.14,20.14,64985
2018-04-06,20.04,20.33,19.95,20.2,20.2,72329
2018-04-09,20.34,20.46,19.56,19.58,19.58,112930
2018-04-10,19.71,19.87,19.55,19.58,19.58,234347
2018-04-11,19.53,19.94,19.53,19.55,19.55,124503
2018-04-12,19.62,19.66,19.15,19.17,19.17,223528
2018-04-13,19.24,19.52,19.18,19.34,19.34,96927
2018-04-16,19.36,19.49,19.18,19.37,19.37,213702
2018-04-17,19.46,20.27,19.37,20.23,20.23,73291
2018-04-18,20.3,20.43,20.17,20.19,20.19,121790
2018-04-19,20.15,20.16,19.81,19.86,19.86,160909
2018-04-20,19.95,20.21,19.74,19.81,19.81,78138
2018-04-23,19.82,19.959,19.66,19.74,19.74,138975
2018-04-24,19.73,19.81,19.4399,19.5,19.5,137559
2018-04-25,19.45,19.87,19.3,19.79,19.79,87481
2018-04-26,19.79,20.16,19.48,19.49,19.49,188322
2018-04-27,19.58,19.64,18.76,18.78,18.78,192078
2018-04-30,18.77,18.96,18.27,18.4,18.4,325505
2018-05-01,18.52,18.72,18.26,18.63,18.63,156735
2018-05-02,18.58,19.78,18.58,19.72,19.72,209477
2018-05-03,19.68,19.92,19.39,19.86,19.86,170099
2018-05-04,19.85,20.55,19.85,20.48,20.48,89495
2018-05-07,20.49,21.13,20.43,20.86,20.86,140053
