Date,Open,High,Low,Close,AdjustedClose,Volume
2020-10-22,18.6,19.5,18.29,18.7,18.7,25260400
2020-10-23,18.68,19.78,18.5,18.79,18.79,4834200
2020-10-26,18.79,18.99,18.37,18.7,18.7,2552500
2020-10-27,18.67,18.91,18.49,18.68,18.68,2515100
2020-10-28,18.39,18.44,16.86,17.15,17.15,5134400
2020-10-29,17.15,17.5,15.42,16.65,16.65,5064000
2020-10-30,16.61,16.87,15.95,16.76,16.76,1556100
2020-11-02,16.87,17.11,16.2,16.46,16.46,1045100
2020-11-03,16.47,16.63,15.96,16.09,16.09,748200
2020-11-04,16.15,16.41,15.68,15.86,15.86,1090000
2020-11-05,15.85,17.01,15.85,17,17,1869400
2020-11-06,16.89,17.29,16.71,16.8,16.8,1254600
2020-11-09,16.99,17.2,16.371,16.44,16.44,508200
2020-11-10,16.4,16.69,16.22,16.47,16.47,262500
2020-11-11,16.39,16.65,16.3,16.4,16.4,306400
2020-11-12,16.61,16.64,16.195,16.38,16.38,959900
2020-11-13,16.5,17.25,16.45,17.16,17.16,559400
2020-11-16,17.62,17.96,17.11,17.42,17.42,1502100
2020-11-17,17.67,17.88,16.81,17,17,1088300
2020-11-18,17.16,17.25,16.4,16.6,16.6,1037800
2020-11-19,16.6,16.72,16.35,16.4,16.4,1518000
2020-11-20,16.44,16.69,15.15,15.85,15.85,3386300
2020-11-23,16.07,16.095,15.45,15.5,15.5,1451200
2020-11-24,15.67,15.97,15.475,15.82,15.82,889700
2020-11-25,15.72,16.39,15.691,16.33,16.33,570200
2020-11-27,17.2,17.39,16.5,16.88,16.88,992100
2020-11-30,17,17,15.7,16.05,16.05,1054600
2020-12-01,16.1,16.198,15.79,15.98,15.98,877000
2020-12-02,15.79,15.97,15.72,15.83,15.83,416100
2020-12-03,15.83,16.11,15.59,15.67,15.67,535600
2020-12-04,15.74,15.785,15.27,15.48,15.48,1269100
2020-12-07,15.39,15.56,15.02,15.09,15.09,929700
2020-12-08,15.2,15.58,14.8,15.48,15.48,1302600
2020-12-09,15.53,15.94,15.44,15.8,15.8,1222600
2020-12-10,15.67,15.96,15.51,15.95,15.95,1007900
2020-12-11,15.76,16.02,15.52,15.8,15.8,1024900
2020-12-14,15.8,16.097,15.26,15.4,15.4,1000400
2020-12-15,15.42,15.55,15.12,15.48,15.48,981300
2020-12-16,15.63,15.68,15.06,15.33,15.33,1512800
2020-12-17,15.42,16.25,15.42,16.01,16.01,2175500
2020-12-18,16.17,17.68,15.82,17.17,17.17,10363100
2020-12-21,16.82,17.15,16.23,16.72,16.72,2548900
2020-12-22,16.72,17.56,16.7,17.37,17.37,1594600
2020-12-23,17.46,18.46,17.01,17.97,17.97,1295300
2020-12-24,18,18.095,17.33,17.76,17.76,481000
2020-12-28,17.82,17.82,16.21,16.24,16.24,697700
2020-12-29,16.3,16.48,15.842,16.34,16.34,683600
2020-12-30,16.28,16.865,16.05,16.62,16.62,984000
2020-12-31,16.62,16.82,15.9,16.69,16.69,1334200
2021-01-04,16.82,17.45,16.47,17.18,17.18,1023900
2021-01-05,17.15,17.64,16.95,17.28,17.28,678900
2021-01-06,17.17,17.19,16.75,16.88,16.88,774200
2021-01-07,17,17.64,16.83,17,17,1568100
2021-01-08,17.15,17.436,16.88,17.41,17.41,757000
2021-01-11,17.35,18.37,17.11,18.3,18.3,1349200
2021-01-12,18.64,19.5,18.33,19.49,19.49,1261100
2021-01-13,19.55,19.78,18.735,18.83,18.83,665200
2021-01-14,19,19.46,18.45,18.64,18.64,389000
2021-01-15,18.59,18.78,18.2,18.51,18.51,348000
2021-01-19,18.81,19.73,18.71,19.2,19.2,505700
2021-01-20,19.4,19.45,18.67,18.8,18.8,212600
2021-01-21,18.96,19.39,18.4,19.32,19.32,370700
2021-01-22,19.39,20.82,19.11,19.19,19.19,1952000
2021-01-25,19.515,20.47,18.5,19.29,19.29,1232900
2021-01-26,19.45,20.82,19.32,20.78,20.78,697300
2021-01-27,21.13,22.14,20.55,21,21,1951000
2021-01-28,20.56,20.9,19.735,20.14,20.14,521800
2021-01-29,20.14,20.29,18.825,18.85,18.85,1088400
2021-02-01,19.04,19.66,18.61,19.23,19.23,970300
2021-02-02,20.17,21.5,20.17,21.15,21.15,1872000
2021-02-03,21.06,21.65,20.25,20.47,20.47,703000
2021-02-04,20.48,21,20.41,20.65,20.65,202200
2021-02-05,20.9,20.98,20.12,20.57,20.57,433700
2021-02-08,20.65,20.96,20.14,20.27,20.27,383600
2021-02-09,20.14,20.77,20,20.29,20.29,407900
2021-02-10,20.59,21.63,19.93,20.8,20.8,1121000
2021-02-11,20.81,21.12,20.08,21.12,21.12,415900
2021-02-12,21.12,21.12,20.28,20.58,20.58,324900
2021-02-16,20.69,20.69,19.101,19.59,19.59,617300
2021-02-17,19.577,19.76,19.12,19.28,19.28,332400
2021-02-18,19.1,19.81,18.42,19.52,19.52,876100
2021-02-19,19.4,19.62,19.01,19.47,19.47,398200
2021-02-22,19.16,19.85,19.16,19.47,19.47,759200
2021-02-23,19.38,19.7,18.52,19.45,19.45,1104800
