Date,Open,High,Low,Close,AdjustedClose,Volume
2010-04-28,20,20.01,20,20,20,440678
2010-04-29,20.1,20.1,20,20.01,20.01,62687
2010-04-30,20.01,20.01,20,20.01,20.01,43318
2010-05-03,20.01,20.01,20,20.01,20.01,43575
2010-05-04,20.01,20.01,20,20,20,52623
2010-05-05,20,20.03,20,20,20,42072
2010-05-06,20,20.0664,20,20.02,20.02,54397
2010-05-07,20.02,20.1,20,20.0599,20.0599,59150
2010-05-10,20.14,20.14,20.02,20.0466,20.0466,27228
2010-05-11,20.05,20.08,20,20.07,20.07,48505
2010-05-12,20.05,20.08,20.0199,20.07,20.07,38875
2010-05-13,20.07,20.19,20.04,20.11,20.11,52910
2010-05-14,20.11,20.17,20.04,20.17,20.17,31125
2010-05-17,20.18,20.22,20.052,20.18,20.18,49296
2010-05-18,20.2,20.237,20.1301,20.17,20.17,34107
2010-05-19,20.25,20.25,20.11,20.18,20.18,47481
2010-05-20,20.22,20.22,20.12,20.12,20.12,69779
2010-05-21,20.12,20.25,20.02,20.2,20.2,57336
2010-05-24,20.19,20.31,20.12,20.15,20.15,107124
2010-05-25,20.14,20.16,20.03,20.064,20.064,66576
2010-05-26,20,20.02,20,20.0005,20.0005,349732
2010-05-27,20,20.01,20,20,20,114653
2010-05-28,20,20.02,20,20.01,20.01,96938
2010-06-01,20,20.0182,20,20.0182,20.0182,79824
2010-06-02,20.01,20.03,19.98,20.02,20.02,276154
2010-06-03,20.03,20.03,20,20.01,20.01,136391
2010-06-04,20.01,20.01,20,20,20,103580
2010-06-07,20.01,20.03,20,20.016,20.016,192628
2010-06-08,20.05,20.1,20,20.01,20.01,342965
2010-06-09,20.08,20.1,20,20.0682,20.0682,108131
2010-06-10,20.1,20.12,20.06,20.08,20.08,71314
2010-06-11,19.99,20.01,19.9,19.97,19.97,78734
2010-06-14,19.98,20.01,19.63,19.77,19.77,88067
2010-06-15,19.79,19.903,19.592,19.7,19.7,72425
2010-06-16,19.75,19.99,19.4,19.8,19.8,128033
2010-06-17,19.8,19.8,19.64,19.68,19.68,64721
2010-06-18,19.75,19.89,19.48,19.49,19.49,69936
2010-06-21,19.51,19.88,19.492,19.67,19.67,102585
2010-06-22,19.68,19.71,19.51,19.5227,19.5227,68771
2010-06-23,19.6,19.75,19.49,19.72,19.72,69161
2010-06-24,19.72,19.72,19.498,19.686,19.686,63532
2010-06-25,19.69,19.7,19.49,19.61,19.61,56104
2010-06-28,19.69,19.7,19.59,19.7,19.7,52242
2010-06-29,19.7,19.79,19.52,19.7656,19.7656,120282
2010-06-30,19.88,19.88,19.77,19.8,19.8,97654
2010-07-01,19.81,19.89,19.53,19.54,19.54,121895
2010-07-02,19.65,19.78,19.6,19.7634,19.7634,59527
2010-07-06,19.51,19.9,19.51,19.84,19.84,55041
2010-07-07,19.88,19.9,19.76,19.76,19.76,70365
2010-07-08,19.8,19.9,19.76,19.85,19.85,78862
2010-07-09,19.8,19.9,19.78,19.83,19.83,82351
2010-07-12,19.88,19.98,19.846,19.98,19.98,63471
2010-07-13,19.95,19.95,19.69,19.87,19.87,72930
2010-07-14,19.8,19.95,19.7,19.71,19.71,99405
2010-07-15,19.75,19.95,19.67,19.86,19.86,103067
2010-07-16,19.88,19.88,19.35,19.79,19.79,75316
2010-07-19,19.8,19.91,19.7,19.85,19.85,76092
2010-07-20,19.85,19.9,19.78,19.84,19.84,55534
2010-07-21,19.88,19.9,19.74,19.84,19.84,63522
2010-07-22,19.84,19.8699,19.7,19.72,19.72,70695
2010-07-23,19.7,19.8037,19.6205,19.8037,19.8037,70152
2010-07-26,19.83,19.89,19.7,19.83,19.83,86044
2010-07-27,19.84,19.99,19.8025,19.91,19.91,108799
2010-07-28,19.97,19.97,19.83,19.85,19.85,62023
2010-07-29,19.86,19.96,19.77,19.9,19.9,65207
2010-07-30,19.93,19.93,19.75,19.8,19.8,82590
2010-08-02,19.81,19.93,19.76,19.85,19.85,124022
2010-08-03,19.9,19.94,19.75,19.9,19.9,128855
2010-08-04,19.9,19.95,19.8825,19.9,19.9,62410
2010-08-05,19.93,19.96,19.88,19.96,19.96,69570
2010-08-06,19.94,20.06,19.88,20.04,20.04,99592
2010-08-09,20.08,20.09,19.9818,20,20,110390
2010-08-10,20,20.09,19.95,20.0305,20.0305,161086
2010-08-11,19.91,20.07,19.8444,20.07,20.07,173823
2010-08-12,20.09,20.15,20.0199,20.11,20.11,118292
2010-08-13,20.15,20.1846,20.08,20.1846,20.1846,87130
2010-08-16,20.2,20.2,20.05,20.1801,20.1801,208512
2010-08-17,20.2,20.26,20.08,20.2543,20.2543,206642
2010-08-18,20.3,20.3,20.0799,20.11,20.11,108156
2010-08-19,20.17,20.17,20.08,20.11,20.11,140042
2010-08-20,20.1,20.23,20.1,20.1246,20.1246,135840
2010-08-23,20.17,20.17,20.01,20.05,20.05,191176
2010-08-24,20.02,20.22,20.02,20.18,20.18,122762
2010-08-25,20.24,20.3,20.11,20.23,20.23,166189
2010-08-26,20.16,20.34,20.09,20.15,20.15,184768
2010-08-27,20.18,20.33,20.14,20.3,20.3,105738
2010-08-30,20.28,20.525,20.28,20.5,20.5,108766
2010-08-31,20.53,20.71,20.39,20.56,20.56,163843
2010-09-01,20.38,20.7,20.37,20.45,20.45,129710
2010-09-02,20.57,20.57,20.39,20.56,20.56,140842
2010-09-03,20.46,20.63,20.41,20.57,20.57,118779
2010-09-07,20.5,20.63,20.32,20.35,20.35,115196
2010-09-08,20.44,20.53,20.25,20.33,20.33,101261
2010-09-09,20.35,20.4,20.15,20.28,20.28,171011
2010-09-10,20.24,20.34,20.21,20.34,20.34,37648
2010-09-13,20.22,20.38,20.1415,20.3692,20.3692,73084
2010-09-14,20.35,20.36,20.16,20.32,20.32,99011
2010-09-15,20.3,20.39,20.2,20.3,20.3,138845
2010-09-16,20.33,20.39,20.18,20.361,20.361,107663
2010-09-17,20.35,20.5,20.27,20.39,20.39,131264
2010-09-20,20.3,20.5664,20.25,20.52,20.52,183699
2010-09-21,20.52,20.63,20.2501,20.4,20.4,159368
2010-09-22,20.5,20.54,20.27,20.54,20.54,188504
2010-09-23,20.35,20.5,20.1,20.16,20.16,183549
2010-09-24,20.2,20.36,20.2,20.2799,20.2799,84488
2010-09-27,20.33,20.44,20.173,20.391,20.391,85636
